date,open,high,low,close,volume
1672527600000,1.053,1.056,1.05,1.056,60908.43
1672531200000,1.056,1.059,1.054,1.054,69326.11
1672534800000,1.054,1.055,1.052,1.053,26946.76
1672538400000,1.052,1.056,1.051,1.053,42347.92
1672542000000,1.053,1.058,1.053,1.056,4946.22
1672545600000,1.057,1.058,1.053,1.054,13831.97
1672549200000,1.054,1.055,1.052,1.054,7121.88
1672552800000,1.054,1.055,1.052,1.052,7465.78
1672556400000,1.053,1.053,1.048,1.051,20331.3
1672560000000,1.051,1.053,1.05,1.051,12665.33
1672563600000,1.051,1.055,1.05,1.054,6371.87
1672567200000,1.055,1.056,1.054,1.055,9866.28
1672570800000,1.056,1.058,1.056,1.056,13269.45
1672574400000,1.057,1.058,1.056,1.058,11845.86
1672578000000,1.058,1.058,1.055,1.056,26002.65
1672581600000,1.056,1.059,1.056,1.059,17757.48
1672585200000,1.059,1.062,1.057,1.061,81863.38
1672588800000,1.062,1.063,1.059,1.06,30976.1
1672592400000,1.06,1.062,1.059,1.061,14930.54
1672596000000,1.06,1.064,1.06,1.062,22305.47
1672599600000,1.062,1.065,1.061,1.062,37454.5
1672603200000,1.063,1.067,1.063,1.065,39996.85
1672606800000,1.064,1.065,1.062,1.063,10262.37
1672610400000,1.063,1.064,1.059,1.061,53897.12
1672614000000,1.061,1.069,1.061,1.063,49777.7
1672617600000,1.063,1.066,1.058,1.058,47955.76
1672621200000,1.059,1.059,1.044,1.048,162032.83
1672624800000,1.047,1.051,1.047,1.049,36242.13
1672628400000,1.049,1.055,1.048,1.054,28092.82
1672632000000,1.055,1.057,1.053,1.054,24032.32
1672635600000,1.053,1.054,1.052,1.053,15448.85
1672639200000,1.054,1.054,1.05,1.051,11151.92
1672642800000,1.051,1.073,1.05,1.066,454149.96
1672646400000,1.066,1.077,1.066,1.076,61060.33
1672650000000,1.077,1.089,1.075,1.086,88972.63
1672653600000,1.085,1.086,1.08,1.082,61079.52
1672657200000,1.082,1.087,1.081,1.083,40742.27
1672660800000,1.085,1.088,1.084,1.086,64787.92
1672664400000,1.087,1.088,1.079,1.082,27161.9
1672668000000,1.082,1.083,1.078,1.081,38705.72
1672671600000,1.082,1.089,1.08,1.086,45783.17
1672675200000,1.086,1.086,1.083,1.083,14806.92
1672678800000,1.083,1.084,1.081,1.084,11221.17
1672682400000,1.084,1.09,1.084,1.089,29228.22
1672686000000,1.089,1.094,1.089,1.094,30530.54
1672689600000,1.093,1.101,1.09,1.101,53180.04
1672693200000,1.101,1.111,1.1,1.109,44459.5
1672696800000,1.108,1.109,1.094,1.095,68472.03
1672700400000,1.096,1.101,1.094,1.096,39114.74
1672704000000,1.097,1.103,1.096,1.102,25591.81
1672707600000,1.102,1.102,1.091,1.095,50576.95
1672711200000,1.096,1.099,1.095,1.097,9025.05
1672714800000,1.096,1.096,1.09,1.095,33705.38
1672718400000,1.094,1.097,1.094,1.096,50353.84
1672722000000,1.096,1.105,1.096,1.105,39826.66
1672725600000,1.104,1.11,1.103,1.104,46303.51
1672729200000,1.104,1.105,1.101,1.103,22929.09
1672732800000,1.103,1.103,1.084,1.09,57159.63
1672736400000,1.09,1.095,1.089,1.094,18258.41
1672740000000,1.095,1.098,1.095,1.096,30688.21
1672743600000,1.096,1.097,1.088,1.091,34670.3
1672747200000,1.091,1.093,1.089,1.09,28483.08
1672750800000,1.091,1.094,1.088,1.089,135255.66
1672754400000,1.089,1.1,1.08,1.082,119832.48
1672758000000,1.083,1.089,1.082,1.086,106347.54
1672761600000,1.085,1.09,1.08,1.084,128407.45
1672765200000,1.083,1.089,1.082,1.083,30763.01
1672768800000,1.084,1.085,1.082,1.083,24367.0
1672772400000,1.083,1.087,1.082,1.085,42660.34
1672776000000,1.084,1.088,1.084,1.086,19305.9
1672779600000,1.088,1.088,1.087,1.087,8938.95
1672783200000,1.088,1.089,1.085,1.089,14342.64
1672786800000,1.09,1.093,1.09,1.091,8635.43
1672790400000,1.091,1.097,1.09,1.096,40070.52
1672794000000,1.095,1.108,1.095,1.102,82906.52
1672797600000,1.102,1.11,1.1,1.109,43312.83
1672801200000,1.111,1.117,1.109,1.114,50733.81
1672804800000,1.114,1.116,1.109,1.111,24085.38
1672808400000,1.111,1.112,1.107,1.111,15989.15
1672812000000,1.112,1.12,1.112,1.119,62169.98
1672815600000,1.119,1.12,1.111,1.117,40569.97
1672819200000,1.117,1.118,1.103,1.11,77122.34
1672822800000,1.11,1.112,1.108,1.11,26647.91
1672826400000,1.11,1.113,1.109,1.11,21634.59
1672830000000,1.11,1.113,1.108,1.113,22904.99
1672833600000,1.113,1.116,1.108,1.109,61682.22
1672837200000,1.11,1.116,1.109,1.116,29151.68
1672840800000,1.115,1.118,1.109,1.109,48141.47
1672844400000,1.111,1.114,1.094,1.114,106260.48
1672848000000,1.114,1.12,1.109,1.117,81328.6
1672851600000,1.117,1.125,1.113,1.118,61600.2
1672855200000,1.117,1.122,1.114,1.119,112178.02
1672858800000,1.119,1.119,1.101,1.107,120676.38
1672862400000,1.107,1.108,1.098,1.1,44805.14
1672866000000,1.1,1.106,1.1,1.105,14856.57
1672869600000,1.106,1.113,1.106,1.113,16960.99
1672873200000,1.112,1.12,1.112,1.119,28390.14
1672876800000,1.119,1.131,1.119,1.12,65432.29
1672880400000,1.121,1.128,1.114,1.123,42359.7
1672884000000,1.123,1.125,1.118,1.123,53773.25
1672887600000,1.124,1.13,1.121,1.129,47508.23
1672891200000,1.129,1.136,1.127,1.13,132041.67
1672894800000,1.131,1.138,1.129,1.13,65528.36
1672898400000,1.13,1.132,1.12,1.123,58608.65
1672902000000,1.123,1.123,1.114,1.123,53215.44
1672905600000,1.124,1.124,1.113,1.117,53525.31
1672909200000,1.118,1.118,1.104,1.112,122951.68
1672912800000,1.111,1.12,1.11,1.117,74351.67
1672916400000,1.117,1.161,1.115,1.147,440162.07
1672920000000,1.146,1.146,1.132,1.135,162910.18
1672923600000,1.137,1.137,1.12,1.122,130384.37
1672927200000,1.122,1.13,1.121,1.127,92495.37
1672930800000,1.127,1.13,1.124,1.126,43367.87
1672934400000,1.126,1.129,1.121,1.123,43070.49
1672938000000,1.124,1.124,1.118,1.12,57289.59
1672941600000,1.12,1.128,1.12,1.127,34383.35
1672945200000,1.127,1.129,1.125,1.125,27301.71
1672948800000,1.125,1.128,1.123,1.124,18960.53
1672952400000,1.124,1.129,1.122,1.127,23913.34
1672956000000,1.126,1.127,1.12,1.122,27312.2
1672959600000,1.123,1.124,1.104,1.115,162878.17
1672963200000,1.116,1.128,1.116,1.125,66161.55
1672966800000,1.127,1.127,1.118,1.118,35776.25
1672970400000,1.119,1.121,1.112,1.12,40660.69
1672974000000,1.119,1.12,1.117,1.117,22253.78
1672977600000,1.116,1.117,1.103,1.108,50302.84
1672981200000,1.108,1.108,1.099,1.103,36930.25
1672984800000,1.103,1.104,1.095,1.097,69305.99
1672988400000,1.097,1.103,1.097,1.101,17570.8
1672992000000,1.1,1.102,1.1,1.101,9366.43
1672995600000,1.1,1.1,1.09,1.099,70161.2
1672999200000,1.098,1.104,1.097,1.097,30575.3
1673002800000,1.097,1.099,1.085,1.092,84848.61
1673006400000,1.092,1.092,1.084,1.084,66526.37
1673010000000,1.085,1.103,1.078,1.095,128050.46
1673013600000,1.095,1.099,1.091,1.094,53093.83
1673017200000,1.094,1.109,1.094,1.108,83395.41
1673020800000,1.107,1.112,1.103,1.11,127047.39
1673024400000,1.11,1.113,1.108,1.112,35179.38
1673028000000,1.112,1.119,1.112,1.116,44379.84
1673031600000,1.118,1.126,1.114,1.126,95193.16
1673035200000,1.126,1.13,1.119,1.121,65039.7
1673038800000,1.121,1.128,1.121,1.126,30782.27
1673042400000,1.127,1.14,1.125,1.139,52929.32
1673046000000,1.139,1.139,1.132,1.136,75609.87
1673049600000,1.136,1.149,1.134,1.147,104067.07
1673053200000,1.147,1.147,1.14,1.144,38625.32
1673056800000,1.145,1.146,1.141,1.142,20144.71
1673060400000,1.141,1.145,1.136,1.143,38204.96
1673064000000,1.144,1.144,1.139,1.141,38934.29
1673067600000,1.141,1.176,1.141,1.174,127195.76
1673071200000,1.174,1.174,1.148,1.158,156740.53
1673074800000,1.158,1.17,1.158,1.161,92635.72
1673078400000,1.16,1.16,1.144,1.146,99545.89
1673082000000,1.147,1.15,1.14,1.141,38156.34
1673085600000,1.142,1.149,1.14,1.142,52693.4
1673089200000,1.143,1.147,1.142,1.142,20709.94
1673092800000,1.142,1.142,1.131,1.134,91539.88
1673096400000,1.135,1.14,1.134,1.134,33494.49
1673100000000,1.134,1.137,1.133,1.137,21178.21
1673103600000,1.137,1.142,1.137,1.14,24860.79
1673107200000,1.14,1.145,1.137,1.139,67321.41
1673110800000,1.138,1.139,1.136,1.138,7676.4
1673114400000,1.138,1.139,1.133,1.134,35687.85
1673118000000,1.135,1.137,1.134,1.135,9796.65
1673121600000,1.137,1.137,1.126,1.129,40747.57
1673125200000,1.13,1.132,1.125,1.125,25068.02
1673128800000,1.125,1.128,1.124,1.125,18282.14
1673132400000,1.124,1.128,1.124,1.127,17456.57
1673136000000,1.127,1.133,1.108,1.117,120545.32
1673139600000,1.116,1.119,1.113,1.117,54728.26
1673143200000,1.117,1.118,1.114,1.117,25096.53
1673146800000,1.117,1.121,1.116,1.121,23963.67
1673150400000,1.121,1.122,1.119,1.122,16376.35
1673154000000,1.121,1.124,1.119,1.124,18136.08
1673157600000,1.124,1.125,1.122,1.124,8380.62
1673161200000,1.124,1.125,1.122,1.125,16157.01
1673164800000,1.125,1.127,1.122,1.126,17700.33
1673168400000,1.126,1.131,1.124,1.127,27425.21
1673172000000,1.127,1.131,1.127,1.129,15879.73
1673175600000,1.128,1.137,1.126,1.131,49747.64
1673179200000,1.13,1.13,1.127,1.129,13516.39
1673182800000,1.128,1.131,1.125,1.129,25244.23
1673186400000,1.13,1.147,1.129,1.143,97814.01
1673190000000,1.144,1.145,1.137,1.143,54899.69
1673193600000,1.143,1.146,1.129,1.137,95978.33
1673197200000,1.136,1.159,1.134,1.141,179882.92
1673200800000,1.14,1.148,1.137,1.147,42955.62
1673204400000,1.147,1.16,1.147,1.158,88405.01
1673208000000,1.158,1.2,1.153,1.182,441261.76
1673211600000,1.183,1.19,1.174,1.179,83224.73
1673215200000,1.179,1.19,1.178,1.187,73263.19
1673218800000,1.187,1.2,1.183,1.191,126362.05
1673222400000,1.191,1.213,1.185,1.213,299365.86
1673226000000,1.212,1.23,1.208,1.218,157924.53
1673229600000,1.218,1.232,1.212,1.212,150243.81
1673233200000,1.213,1.227,1.213,1.226,73136.66
1673236800000,1.226,1.237,1.224,1.226,86463.57
1673240400000,1.226,1.23,1.22,1.221,55009.19
1673244000000,1.221,1.233,1.219,1.225,57624.08
1673247600000,1.225,1.238,1.225,1.227,66323.23
1673251200000,1.227,1.232,1.222,1.227,76783.22
1673254800000,1.226,1.245,1.225,1.236,109047.24
1673258400000,1.236,1.246,1.231,1.232,95455.95
1673262000000,1.232,1.239,1.223,1.224,79864.81
1673265600000,1.223,1.239,1.223,1.239,65664.27
1673269200000,1.239,1.25,1.216,1.226,127797.47
1673272800000,1.226,1.242,1.215,1.241,183040.99
1673276400000,1.24,1.248,1.225,1.237,114067.12
1673280000000,1.236,1.268,1.236,1.256,225106.82
