date,open,high,low,close,volume
1672527600000,2.226,2.237,2.226,2.236,15959.0
1672531200000,2.236,2.236,2.208,2.215,34696.5
1672534800000,2.215,2.233,2.214,2.231,9029.2
1672538400000,2.23,2.237,2.227,2.234,13612.4
1672542000000,2.234,2.255,2.234,2.254,22128.5
1672545600000,2.255,2.259,2.241,2.251,11448.5
1672549200000,2.251,2.286,2.251,2.26,70237.7
1672552800000,2.261,2.27,2.247,2.25,26980.9
1672556400000,2.25,2.255,2.239,2.246,30449.2
1672560000000,2.246,2.256,2.243,2.247,21891.9
1672563600000,2.247,2.252,2.235,2.238,14437.5
1672567200000,2.236,2.246,2.221,2.227,18376.2
1672570800000,2.226,2.235,2.223,2.235,9670.8
1672574400000,2.235,2.238,2.229,2.237,4080.2
1672578000000,2.238,2.24,2.223,2.227,13046.7
1672581600000,2.228,2.229,2.211,2.22,30115.3
1672585200000,2.217,2.228,2.216,2.227,10003.4
1672588800000,2.228,2.232,2.224,2.23,7152.5
1672592400000,2.23,2.243,2.23,2.233,8827.3
1672596000000,2.232,2.241,2.229,2.229,12124.1
1672599600000,2.23,2.238,2.222,2.232,40546.4
1672603200000,2.233,2.237,2.217,2.222,8898.0
1672606800000,2.22,2.223,2.217,2.223,5987.0
1672610400000,2.223,2.223,2.212,2.213,11701.4
1672614000000,2.212,2.216,2.196,2.2,14943.1
1672617600000,2.199,2.201,2.162,2.174,25785.8
1672621200000,2.173,2.173,2.131,2.137,79779.6
1672624800000,2.138,2.143,2.121,2.122,66290.9
1672628400000,2.12,2.134,2.111,2.133,46410.9
1672632000000,2.132,2.132,2.089,2.107,83750.9
1672635600000,2.107,2.107,2.079,2.083,70610.2
1672639200000,2.083,2.09,2.07,2.089,54016.1
1672642800000,2.089,2.147,2.08,2.115,324916.1
1672646400000,2.115,2.134,2.102,2.122,75688.7
1672650000000,2.123,2.13,2.112,2.118,33157.6
1672653600000,2.118,2.122,2.111,2.122,59341.8
1672657200000,2.122,2.135,2.117,2.122,87273.4
1672660800000,2.121,2.121,2.093,2.111,63232.2
1672664400000,2.111,2.115,2.093,2.102,32108.9
1672668000000,2.102,2.105,2.09,2.098,15724.3
1672671600000,2.097,2.108,2.089,2.103,54340.6
1672675200000,2.104,2.106,2.088,2.088,33882.2
1672678800000,2.087,2.114,2.076,2.081,119846.4
1672682400000,2.08,2.089,2.073,2.088,45511.5
1672686000000,2.088,2.101,2.084,2.099,41765.2
1672689600000,2.099,2.102,2.088,2.093,18429.4
1672693200000,2.095,2.114,2.095,2.114,37064.8
