date,open,high,low,close,volume
1672527600000,3.622,3.643,3.618,3.636,25427.8
1672531200000,3.636,3.638,3.615,3.62,39719.09
1672534800000,3.62,3.633,3.616,3.632,44842.56
1672538400000,3.632,3.645,3.627,3.639,46015.43
1672542000000,3.639,3.641,3.627,3.637,29654.87
1672545600000,3.637,3.642,3.634,3.635,24920.47
1672549200000,3.636,3.636,3.623,3.627,35074.89
1672552800000,3.627,3.639,3.627,3.637,19220.07
1672556400000,3.636,3.642,3.63,3.637,34593.2
1672560000000,3.638,3.643,3.637,3.64,26550.51
1672563600000,3.639,3.654,3.638,3.649,52090.94
1672567200000,3.648,3.649,3.643,3.646,21294.45
1672570800000,3.647,3.648,3.637,3.641,30351.36
1672574400000,3.64,3.655,3.64,3.649,32633.88
1672578000000,3.649,3.651,3.645,3.646,23346.73
1672581600000,3.645,3.664,3.645,3.658,83784.81
1672585200000,3.658,3.666,3.652,3.661,32980.76
1672588800000,3.661,3.74,3.661,3.726,390310.5
1672592400000,3.726,3.753,3.712,3.718,240158.1
1672596000000,3.718,3.74,3.715,3.725,181592.84
1672599600000,3.726,3.78,3.72,3.764,282349.01
1672603200000,3.764,4.05,3.753,3.864,972949.9
1672606800000,3.864,3.9,3.842,3.885,321152.15
1672610400000,3.886,3.894,3.82,3.827,250674.81
1672614000000,3.827,3.869,3.827,3.868,114372.35
1672617600000,3.868,3.869,3.819,3.831,261644.28
1672621200000,3.831,3.836,3.795,3.813,128321.97
1672624800000,3.813,3.848,3.812,3.847,236460.55
1672628400000,3.847,3.88,3.843,3.862,103776.89
1672632000000,3.862,3.878,3.835,3.855,320994.8
1672635600000,3.856,3.865,3.837,3.837,61944.53
1672639200000,3.837,3.84,3.813,3.836,58346.92
1672642800000,3.835,3.914,3.832,3.856,339099.95
1672646400000,3.857,3.902,3.852,3.861,155396.49
1672650000000,3.861,3.891,3.85,3.868,256778.07
1672653600000,3.869,3.891,3.863,3.876,135094.59
1672657200000,3.875,3.877,3.855,3.864,78368.75
1672660800000,3.864,3.873,3.861,3.872,56060.09
1672664400000,3.872,3.891,3.871,3.88,106259.56
1672668000000,3.881,3.891,3.872,3.881,67547.54
1672671600000,3.879,3.962,3.871,3.942,192432.98
1672675200000,3.94,3.953,3.915,3.936,260754.29
1672678800000,3.935,3.953,3.933,3.938,92824.58
1672682400000,3.938,3.954,3.927,3.931,109931.91
1672686000000,3.932,3.95,3.923,3.95,70595.98
1672689600000,3.949,3.97,3.935,3.968,65527.98
1672693200000,3.968,3.987,3.954,3.978,60177.75
1672696800000,3.978,3.979,3.937,3.952,106704.92
1672700400000,3.953,3.988,3.941,3.956,131744.65
1672704000000,3.955,3.955,3.917,3.917,134318.41
1672707600000,3.917,3.917,3.871,3.893,101115.72
1672711200000,3.892,3.925,3.889,3.906,53979.35
1672714800000,3.908,3.916,3.899,3.908,39284.27
1672718400000,3.908,3.966,3.908,3.952,251530.81
1672722000000,3.951,3.973,3.943,3.97,109762.72
1672725600000,3.971,4.019,3.969,3.976,188103.02
1672729200000,3.975,4.025,3.965,4.013,113597.39
1672732800000,4.012,4.013,3.983,3.993,89905.06
1672736400000,3.993,4.015,3.976,3.986,138421.92
1672740000000,3.986,4.001,3.971,3.977,98009.61
1672743600000,3.977,3.989,3.95,3.953,143255.13
1672747200000,3.953,3.973,3.944,3.948,85648.42
1672750800000,3.948,3.98,3.946,3.966,112745.19
1672754400000,3.966,3.993,3.935,3.951,151219.84
1672758000000,3.95,3.969,3.919,3.948,188883.49
1672761600000,3.949,3.966,3.919,3.924,176579.85
1672765200000,3.925,3.948,3.923,3.947,54087.65
1672768800000,3.948,3.981,3.947,3.981,83304.61
1672772400000,3.982,3.99,3.961,3.973,73473.16
1672776000000,3.973,4.045,3.973,4.0,293402.14
1672779600000,3.999,4.014,3.992,4.007,66486.39
1672783200000,4.007,4.02,3.991,4.006,41818.26
1672786800000,4.005,4.028,4.002,4.006,64918.42
1672790400000,4.006,4.017,3.99,4.006,71529.21
1672794000000,4.004,4.139,4.0,4.106,556222.56
1672797600000,4.106,4.2,4.086,4.155,480748.09
1672801200000,4.155,4.185,4.128,4.158,230015.84
1672804800000,4.159,4.19,4.143,4.16,202265.9
1672808400000,4.161,4.195,4.144,4.169,134671.17
1672812000000,4.169,4.2,4.159,4.166,189331.53
1672815600000,4.166,4.177,4.135,4.151,203001.2
1672819200000,4.152,4.167,4.104,4.135,233281.54
1672822800000,4.136,4.162,4.129,4.149,167111.65
1672826400000,4.149,4.157,4.119,4.134,138782.43
1672830000000,4.134,4.148,4.124,4.147,82907.75
1672833600000,4.147,4.176,4.136,4.144,117125.87
1672837200000,4.145,4.153,4.121,4.147,242745.62
1672840800000,4.146,4.152,4.106,4.116,203795.59
1672844400000,4.117,4.129,4.056,4.107,298528.99
1672848000000,4.107,4.116,4.068,4.08,169067.75
1672851600000,4.08,4.2,4.072,4.093,290867.24
1672855200000,4.093,4.137,4.083,4.106,139056.61
1672858800000,4.104,4.125,4.042,4.069,242811.98
1672862400000,4.069,4.071,4.0,4.02,176478.25
1672866000000,4.02,4.031,4.015,4.019,69176.13
1672869600000,4.02,4.04,4.018,4.031,75048.77
1672873200000,4.031,4.056,4.029,4.056,69742.53
1672876800000,4.056,4.106,4.054,4.056,265982.16
1672880400000,4.056,4.079,4.038,4.066,81551.76
1672884000000,4.064,4.067,4.04,4.062,36482.81
1672887600000,4.063,4.063,4.038,4.043,72372.21
1672891200000,4.043,4.077,4.042,4.067,129136.83
1672894800000,4.066,4.103,4.066,4.088,220039.07
1672898400000,4.088,4.09,4.032,4.038,107289.38
1672902000000,4.038,4.05,4.019,4.044,72004.68
1672905600000,4.043,4.043,4.0,4.009,147294.47
1672909200000,4.01,4.029,3.982,4.028,224843.64
1672912800000,4.028,4.036,4.017,4.024,82786.0
1672916400000,4.025,4.038,4.01,4.034,44944.48
1672920000000,4.035,4.047,4.014,4.037,75630.07
1672923600000,4.038,4.05,4.006,4.006,216388.62
1672927200000,4.006,4.029,3.98,4.006,181470.7
1672930800000,4.005,4.041,3.999,4.018,114557.53
1672934400000,4.018,4.053,4.001,4.03,182872.23
1672938000000,4.03,4.038,4.024,4.035,61458.97
1672941600000,4.036,4.046,4.031,4.044,31024.06
1672945200000,4.044,4.047,4.024,4.033,104013.75
