date,open,high,low,close,volume
1672527600000,1.018,1.019,1.014,1.017,14955.87
1672531200000,1.015,1.015,1.0,1.01,85869.73
1672534800000,1.011,1.013,1.01,1.013,1939.17
1672538400000,1.013,1.015,1.011,1.013,11859.43
1672542000000,1.014,1.014,1.01,1.011,1311.27
1672545600000,1.011,1.011,0.999,0.999,33436.24
1672549200000,0.999,1.007,0.998,1.007,21911.91
1672552800000,1.007,1.013,1.005,1.005,15846.3
1672556400000,1.008,1.008,1.002,1.007,14142.41
1672560000000,1.007,1.01,1.004,1.009,12223.09
1672563600000,1.009,1.014,1.009,1.014,17730.93
1672567200000,1.014,1.017,1.012,1.014,15240.96
1672570800000,1.014,1.015,1.01,1.01,14380.53
1672574400000,1.012,1.013,1.01,1.013,4534.41
1672578000000,1.012,1.017,1.012,1.013,14126.14
1672581600000,1.015,1.018,1.015,1.017,8071.49
1672585200000,1.016,1.017,1.013,1.016,11191.49
1672588800000,1.016,1.017,1.01,1.011,20549.3
1672592400000,1.012,1.015,1.01,1.013,5611.95
1672596000000,1.012,1.014,1.01,1.01,13897.02
1672599600000,1.012,1.015,1.01,1.01,8411.23
1672603200000,1.01,1.015,1.008,1.015,11849.28
1672606800000,1.014,1.014,1.01,1.012,2027.6
1672610400000,1.013,1.014,1.011,1.011,3116.61
1672614000000,1.011,1.014,1.009,1.013,7741.96
1672617600000,1.013,1.016,1.005,1.008,15889.33
1672621200000,1.008,1.008,0.996,1.005,27429.88
1672624800000,1.003,1.012,1.001,1.005,16681.74
1672628400000,1.005,1.008,1.002,1.007,10999.13
1672632000000,1.008,1.013,1.008,1.013,17109.58
1672635600000,1.015,1.019,1.012,1.016,8682.19
1672639200000,1.015,1.021,1.015,1.017,18146.54
1672642800000,1.017,1.041,1.016,1.026,216344.6
1672646400000,1.03,1.036,1.028,1.034,8750.08
1672650000000,1.035,1.038,1.032,1.032,18984.98
1672653600000,1.032,1.033,1.025,1.03,35845.66
1672657200000,1.029,1.03,1.024,1.029,10817.58
1672660800000,1.03,1.034,1.029,1.029,16708.59
1672664400000,1.031,1.032,1.027,1.031,15272.91
1672668000000,1.031,1.041,1.03,1.04,58742.25
1672671600000,1.04,1.043,1.035,1.042,26367.44
1672675200000,1.044,1.054,1.043,1.046,57809.95
1672678800000,1.046,1.056,1.046,1.054,32497.75
1672682400000,1.054,1.064,1.049,1.063,45393.84
1672686000000,1.063,1.063,1.053,1.059,44145.11
1672689600000,1.061,1.063,1.049,1.051,42965.53
1672693200000,1.052,1.055,1.052,1.054,16017.99
1672696800000,1.054,1.055,1.041,1.042,20539.17
1672700400000,1.045,1.049,1.042,1.045,5749.49
1672704000000,1.045,1.052,1.043,1.051,9791.27
1672707600000,1.051,1.051,1.041,1.048,46349.77
1672711200000,1.046,1.053,1.046,1.052,4912.1
1672714800000,1.051,1.059,1.05,1.057,8848.2
1672718400000,1.055,1.057,1.047,1.05,1673.03
1672722000000,1.05,1.053,1.047,1.05,8501.65
1672725600000,1.051,1.057,1.051,1.053,10864.59
1672729200000,1.054,1.056,1.05,1.051,9459.89
1672732800000,1.051,1.052,1.034,1.037,65478.03
1672736400000,1.038,1.051,1.038,1.048,20368.54
1672740000000,1.047,1.05,1.046,1.046,7311.66
1672743600000,1.047,1.047,1.035,1.038,22661.86
1672747200000,1.038,1.043,1.038,1.04,7530.79
1672750800000,1.041,1.047,1.04,1.041,18756.34
1672754400000,1.041,1.052,1.032,1.036,35624.67
1672758000000,1.036,1.044,1.03,1.035,37352.93
1672761600000,1.036,1.04,1.028,1.029,39167.99
1672765200000,1.028,1.034,1.028,1.031,5461.91
1672768800000,1.03,1.033,1.027,1.033,9308.66
1672772400000,1.031,1.039,1.031,1.037,10671.71
1672776000000,1.037,1.048,1.037,1.047,18222.41
1672779600000,1.047,1.047,1.042,1.045,11797.88
1672783200000,1.045,1.047,1.04,1.046,6480.64
1672786800000,1.047,1.051,1.047,1.05,3609.51
