date,open,high,low,close,volume
1672527600000,6.21,6.21,6.16,6.17,16636.48
1672531200000,6.18,6.18,6.09,6.12,20421.85
1672534800000,6.11,6.13,6.08,6.13,10779.11
1672538400000,6.12,6.14,6.11,6.13,3978.74
1672542000000,6.13,6.13,6.11,6.13,7975.45
1672545600000,6.13,6.13,6.09,6.1,4226.07
1672549200000,6.09,6.13,6.09,6.13,3465.33
1672552800000,6.12,6.16,6.11,6.15,4963.67
1672556400000,6.16,6.17,6.14,6.17,7481.91
1672560000000,6.16,6.18,6.15,6.15,6134.29
1672563600000,6.15,6.18,6.14,6.18,11928.13
1672567200000,6.17,6.19,6.17,6.18,12053.78
1672570800000,6.19,6.2,6.19,6.2,4664.12
1672574400000,6.2,6.22,6.2,6.21,3917.34
1672578000000,6.22,6.23,6.2,6.2,8398.24
1672581600000,6.21,6.26,6.21,6.26,13768.7
1672585200000,6.25,6.29,6.23,6.27,13402.84
1672588800000,6.28,6.29,6.25,6.27,8424.92
1672592400000,6.27,6.3,6.27,6.28,7386.78
1672596000000,6.29,6.31,6.28,6.29,7985.56
1672599600000,6.29,6.32,6.29,6.31,6376.23
1672603200000,6.31,6.4,6.31,6.35,18745.96
1672606800000,6.36,6.4,6.36,6.38,7113.57
1672610400000,6.37,6.41,6.32,6.35,10225.99
1672614000000,6.35,6.37,6.33,6.37,3943.17
1672617600000,6.37,6.39,6.32,6.33,12053.21
1672621200000,6.33,6.34,6.23,6.29,38153.24
1672624800000,6.29,6.31,6.27,6.3,13166.94
1672628400000,6.3,6.35,6.26,6.33,16369.52
1672632000000,6.35,6.37,6.33,6.37,9702.67
1672635600000,6.36,6.39,6.35,6.38,7099.07
1672639200000,6.38,6.4,6.34,6.36,6331.88
1672642800000,6.36,6.59,6.36,6.57,76084.8
1672646400000,6.57,6.65,6.53,6.58,57979.0
1672650000000,6.58,6.67,6.58,6.64,39538.08
1672653600000,6.64,6.67,6.58,6.64,44001.69
1672657200000,6.64,6.67,6.62,6.66,16980.73
1672660800000,6.66,6.72,6.64,6.66,35767.82
1672664400000,6.65,6.69,6.6,6.62,15515.58
1672668000000,6.63,6.66,6.61,6.62,20199.35
1672671600000,6.62,6.68,6.62,6.65,11811.66
1672675200000,6.65,6.69,6.64,6.65,16702.09
1672678800000,6.65,6.67,6.61,6.61,34502.15
1672682400000,6.62,6.68,6.61,6.67,14372.2
1672686000000,6.67,6.7,6.66,6.68,7034.97
1672689600000,6.68,6.68,6.66,6.66,2589.11
1672693200000,6.67,6.76,6.64,6.75,18129.67
1672696800000,6.75,6.76,6.63,6.63,13881.84
1672700400000,6.64,6.69,6.63,6.65,14092.43
1672704000000,6.64,6.75,6.64,6.72,30829.84
1672707600000,6.72,6.73,6.65,6.65,50285.62
