date,open,high,low,close,volume
1672527600000,0.0385,0.0386,0.0384,0.0385,91499.2
1672531200000,0.0385,0.0386,0.0384,0.0386,175489.2
1672534800000,0.0385,0.0386,0.0383,0.0384,336209.7
1672538400000,0.0384,0.0385,0.0383,0.0384,43271.8
1672542000000,0.0384,0.0384,0.0383,0.0384,17095.4
1672545600000,0.0384,0.0384,0.0382,0.0383,119688.0
1672549200000,0.0384,0.0387,0.0384,0.0385,214484.1
1672552800000,0.0386,0.0386,0.0385,0.0386,40321.1
1672556400000,0.0387,0.0388,0.0386,0.0387,169456.2
1672560000000,0.0387,0.0387,0.0382,0.0385,765137.0
1672563600000,0.0385,0.0387,0.0383,0.0385,426895.5
1672567200000,0.0385,0.0387,0.0385,0.0385,167234.3
1672570800000,0.0385,0.0387,0.0385,0.0387,465659.4
1672574400000,0.0386,0.0387,0.0386,0.0386,122467.5
1672578000000,0.0386,0.0391,0.0386,0.0389,1082557.1
1672581600000,0.039,0.0391,0.0388,0.039,316690.0
1672585200000,0.0389,0.039,0.0388,0.039,158101.5
1672588800000,0.039,0.039,0.0387,0.0388,131146.6
1672592400000,0.0388,0.0391,0.0387,0.0389,339952.5
1672596000000,0.0388,0.0393,0.0388,0.0391,266275.6
1672599600000,0.0391,0.0392,0.039,0.0392,148629.7
1672603200000,0.039,0.0392,0.0389,0.0391,346212.8
1672606800000,0.0392,0.0395,0.0391,0.0393,358775.3
1672610400000,0.0394,0.0398,0.0392,0.0397,879840.3
1672614000000,0.0397,0.04,0.0391,0.0394,598519.7
1672617600000,0.0395,0.0395,0.0393,0.0394,98006.4
1672621200000,0.0395,0.0395,0.0389,0.0391,394133.4
1672624800000,0.0391,0.0399,0.0391,0.0394,649912.3
1672628400000,0.0394,0.04,0.0393,0.0397,1111903.6
1672632000000,0.0397,0.0403,0.0396,0.0398,865735.3
1672635600000,0.0399,0.0402,0.0397,0.0397,925234.2
1672639200000,0.0398,0.0404,0.0397,0.04,1111817.3
1672642800000,0.0399,0.0406,0.0399,0.0399,1428207.7
1672646400000,0.04,0.04,0.0399,0.0399,406147.4
1672650000000,0.04,0.0402,0.0399,0.0399,528079.7
1672653600000,0.0399,0.0399,0.0397,0.0397,342358.0
1672657200000,0.0398,0.0398,0.0395,0.0397,230640.8
1672660800000,0.0397,0.0399,0.0396,0.0397,642740.8
1672664400000,0.0398,0.0398,0.0396,0.0396,175551.2
1672668000000,0.0396,0.0397,0.0394,0.0395,800475.4
1672671600000,0.0396,0.0398,0.0395,0.0398,696607.1
1672675200000,0.0397,0.0398,0.0397,0.0397,176120.3
1672678800000,0.0397,0.0399,0.0396,0.0397,364823.8
1672682400000,0.0397,0.0398,0.0396,0.0397,157202.1
1672686000000,0.0396,0.0398,0.0395,0.0397,507838.2
1672689600000,0.0396,0.0397,0.0395,0.0397,134455.0
1672693200000,0.0397,0.0397,0.0393,0.0396,673259.2
1672696800000,0.0396,0.0396,0.039,0.0392,927067.0
1672700400000,0.0392,0.0394,0.0392,0.0392,238479.0
1672704000000,0.0392,0.0395,0.0392,0.0394,199859.4
1672707600000,0.0395,0.0395,0.0392,0.0394,393398.3
1672711200000,0.0393,0.0393,0.0391,0.0392,272167.3
1672714800000,0.0392,0.0395,0.039,0.0392,668266.8
1672718400000,0.0391,0.0393,0.0391,0.0391,267400.8
1672722000000,0.0391,0.0391,0.0388,0.039,534553.1
1672725600000,0.0391,0.0393,0.0389,0.0392,617543.4
1672729200000,0.0392,0.0393,0.0389,0.0391,755983.3
1672732800000,0.0391,0.0392,0.0389,0.039,386914.1
1672736400000,0.0389,0.0391,0.0389,0.039,206085.9
1672740000000,0.039,0.0391,0.0388,0.0389,576408.6
1672743600000,0.0389,0.0391,0.0389,0.0389,216493.8
1672747200000,0.0389,0.039,0.0388,0.0388,356823.7
1672750800000,0.0388,0.039,0.0388,0.039,353150.3
1672754400000,0.0389,0.0391,0.0388,0.0388,913245.3
1672758000000,0.0388,0.039,0.0388,0.0389,613031.0
1672761600000,0.039,0.039,0.0389,0.039,319797.4
1672765200000,0.0389,0.039,0.0389,0.0389,196430.1
1672768800000,0.0389,0.0391,0.0388,0.0388,475043.1
1672772400000,0.0388,0.0391,0.0388,0.0389,202980.9
1672776000000,0.0389,0.0391,0.0389,0.0389,182311.5
1672779600000,0.0389,0.039,0.0389,0.0389,147846.5
1672783200000,0.0389,0.0391,0.0388,0.0389,237712.4
1672786800000,0.0389,0.0391,0.0388,0.0388,122603.2
1672790400000,0.039,0.0391,0.0388,0.039,206144.4
1672794000000,0.0389,0.0396,0.0389,0.0394,632795.7
1672797600000,0.0394,0.04,0.0392,0.0397,1529923.7
1672801200000,0.0397,0.04,0.0395,0.0397,518087.4
1672804800000,0.0397,0.0398,0.0395,0.0396,270894.2
1672808400000,0.0396,0.0403,0.0396,0.0398,1439649.9
1672812000000,0.0398,0.0414,0.0398,0.0403,2666811.4
1672815600000,0.0402,0.0403,0.0398,0.0399,784920.4
1672819200000,0.0399,0.0404,0.0397,0.0403,1389430.1
1672822800000,0.0403,0.0403,0.0399,0.0401,698407.7
1672826400000,0.0401,0.0403,0.0396,0.0398,1197786.3
1672830000000,0.0397,0.04,0.0396,0.0398,311115.8
1672833600000,0.0398,0.04,0.0396,0.0398,760747.3
1672837200000,0.0397,0.04,0.0396,0.0397,515390.1
1672840800000,0.0398,0.0399,0.0396,0.0397,395575.8
1672844400000,0.0397,0.0399,0.0393,0.0396,991157.2
1672848000000,0.0396,0.0397,0.0394,0.0395,420589.4
1672851600000,0.0395,0.0396,0.0394,0.0395,352623.6
1672855200000,0.0395,0.0398,0.0395,0.0398,311420.2
1672858800000,0.0397,0.0398,0.0392,0.0393,460035.7
1672862400000,0.0394,0.0395,0.0392,0.0392,303653.1
1672866000000,0.0392,0.0394,0.0391,0.0392,413704.6
1672869600000,0.0392,0.0394,0.0391,0.0392,261647.6
1672873200000,0.0392,0.0394,0.0392,0.0393,195296.7
1672876800000,0.0394,0.0396,0.0393,0.0394,309334.1
1672880400000,0.0394,0.0396,0.0392,0.0393,389043.2
1672884000000,0.0395,0.0396,0.0392,0.0395,450295.5
1672887600000,0.0395,0.0396,0.0394,0.0395,244179.7
1672891200000,0.0395,0.0396,0.0394,0.0395,258711.8
1672894800000,0.0394,0.0398,0.0394,0.0396,359972.8
1672898400000,0.0396,0.0397,0.0392,0.0394,769342.5
1672902000000,0.0394,0.0395,0.0391,0.0393,337579.4
1672905600000,0.0391,0.0393,0.0389,0.039,475586.6
1672909200000,0.0389,0.039,0.0387,0.0389,963113.6
1672912800000,0.0389,0.0393,0.0387,0.0392,884607.4
1672916400000,0.0392,0.0393,0.0391,0.0392,345328.2
1672920000000,0.0393,0.0393,0.0388,0.0388,797122.1
1672923600000,0.0388,0.0391,0.0386,0.0387,905017.8
1672927200000,0.0386,0.0391,0.0385,0.0387,553339.4
1672930800000,0.0387,0.0391,0.0387,0.039,617849.9
1672934400000,0.039,0.039,0.0387,0.0389,447549.1
1672938000000,0.0389,0.039,0.0387,0.0389,419203.3
1672941600000,0.0389,0.0389,0.0388,0.0389,145288.4
1672945200000,0.0388,0.0389,0.0387,0.0388,326929.7
1672948800000,0.0388,0.0389,0.0387,0.0388,304066.8
1672952400000,0.0389,0.039,0.0388,0.0389,195273.8
1672956000000,0.0389,0.0389,0.0388,0.0389,93907.8
1672959600000,0.0388,0.0389,0.0388,0.0388,248238.4
1672963200000,0.0389,0.0392,0.0388,0.0392,557743.8
1672966800000,0.0392,0.0392,0.039,0.0391,279481.5
1672970400000,0.0391,0.0391,0.0388,0.039,405806.2
1672974000000,0.039,0.0393,0.0388,0.0392,881329.6
1672977600000,0.0392,0.0392,0.039,0.0392,300313.4
1672981200000,0.0391,0.0393,0.039,0.0393,414905.8
1672984800000,0.0393,0.0395,0.0392,0.0395,459697.8
1672988400000,0.0394,0.0402,0.0393,0.0398,1421526.4
1672992000000,0.0399,0.0399,0.0392,0.0394,1125499.9
1672995600000,0.0393,0.0394,0.039,0.0392,562665.8
1672999200000,0.0391,0.0392,0.0389,0.0391,509205.7
1673002800000,0.0391,0.0391,0.0388,0.0391,537865.2
1673006400000,0.0391,0.0407,0.039,0.04,3122233.9
1673010000000,0.04,0.04,0.0388,0.0393,2347960.1
1673013600000,0.0395,0.0399,0.0393,0.0395,709616.4
1673017200000,0.0396,0.0403,0.0394,0.04,932894.9
1673020800000,0.0401,0.0404,0.04,0.0401,1265677.0
1673024400000,0.0401,0.0404,0.04,0.04,545254.3
1673028000000,0.0401,0.0403,0.04,0.04,310581.8
1673031600000,0.0401,0.0403,0.04,0.0403,538600.8
