date,open,high,low,close,volume
1672527600000,9.299,9.37,9.282,9.353,34290.01
1672531200000,9.355,9.428,9.349,9.393,66532.27
1672534800000,9.392,9.394,9.302,9.31,46774.09
1672538400000,9.309,9.398,9.304,9.369,37199.56
1672542000000,9.369,9.392,9.349,9.383,19008.95
1672545600000,9.386,9.392,9.312,9.321,41644.77
1672549200000,9.322,9.367,9.311,9.359,24077.89
1672552800000,9.358,9.375,9.345,9.352,18028.17
1672556400000,9.354,9.393,9.338,9.38,37464.77
1672560000000,9.38,9.384,9.354,9.362,22553.02
1672563600000,9.359,9.399,9.351,9.398,20229.22
1672567200000,9.398,9.409,9.387,9.403,35707.73
1672570800000,9.401,9.425,9.383,9.397,26722.19
1672574400000,9.398,9.416,9.381,9.386,17661.93
1672578000000,9.389,9.393,9.36,9.373,21723.78
1672581600000,9.371,9.397,9.37,9.389,11868.24
1672585200000,9.391,9.423,9.379,9.415,29718.41
1672588800000,9.416,9.442,9.394,9.435,35070.98
1672592400000,9.435,9.461,9.415,9.415,41684.68
1672596000000,9.416,9.448,9.412,9.441,38431.68
1672599600000,9.443,9.479,9.442,9.452,55729.19
1672603200000,9.454,9.479,9.435,9.435,32706.2
1672606800000,9.436,9.446,9.406,9.439,36524.9
1672610400000,9.44,9.448,9.429,9.43,23005.74
1672614000000,9.43,9.473,9.43,9.462,29997.78
1672617600000,9.46,9.468,9.404,9.416,41121.41
1672621200000,9.417,9.504,9.383,9.432,121652.31
1672624800000,9.431,9.486,9.418,9.478,52485.68
1672628400000,9.478,9.697,9.47,9.631,218348.74
1672632000000,9.63,9.667,9.572,9.61,91730.64
1672635600000,9.612,9.686,9.611,9.682,89301.58
1672639200000,9.682,9.7,9.628,9.663,77848.44
1672642800000,9.664,9.997,9.659,9.888,475425.1
1672646400000,9.889,9.964,9.875,9.903,126659.02
1672650000000,9.904,9.972,9.877,9.886,107171.26
1672653600000,9.886,9.937,9.867,9.919,63937.74
1672657200000,9.919,10.055,9.919,9.975,157439.6
1672660800000,9.977,10.02,9.929,9.979,87668.98
1672664400000,9.98,9.984,9.888,9.919,87852.82
1672668000000,9.919,9.962,9.9,9.904,89119.31
1672671600000,9.907,9.928,9.871,9.908,84250.51
1672675200000,9.906,9.92,9.862,9.901,74210.14
1672678800000,9.902,9.958,9.899,9.937,72139.33
1672682400000,9.937,9.957,9.908,9.927,31262.44
1672686000000,9.927,9.939,9.873,9.891,60694.53
1672689600000,9.89,9.893,9.842,9.864,45880.64
1672693200000,9.864,9.938,9.847,9.904,43638.22
1672696800000,9.904,9.904,9.784,9.809,56684.76
1672700400000,9.812,9.852,9.791,9.818,60737.18
1672704000000,9.818,9.862,9.784,9.846,44037.47
1672707600000,9.845,9.857,9.755,9.829,63262.51
1672711200000,9.83,9.893,9.82,9.871,66239.93
1672714800000,9.872,9.922,9.849,9.918,37168.38
1672718400000,9.919,9.938,9.886,9.893,44496.86
1672722000000,9.893,9.979,9.884,9.965,73603.95
1672725600000,9.965,9.998,9.897,9.915,89723.38
1672729200000,9.916,9.92,9.884,9.904,44862.37
1672732800000,9.904,9.915,9.839,9.873,58360.16
1672736400000,9.874,10.369,9.873,10.214,1069408.39
1672740000000,10.215,10.229,10.105,10.116,174352.71
1672743600000,10.113,10.178,10.102,10.113,72985.36
1672747200000,10.117,10.165,10.097,10.139,68286.37
1672750800000,10.141,10.189,10.134,10.146,45946.04
1672754400000,10.144,10.267,10.096,10.13,176989.94
1672758000000,10.127,10.176,10.05,10.156,147527.47
1672761600000,10.156,10.256,10.082,10.093,137592.78
1672765200000,10.094,10.19,10.093,10.187,62970.79
1672768800000,10.186,10.189,10.126,10.155,35467.82
1672772400000,10.155,10.156,10.081,10.107,50257.72
1672776000000,10.108,10.452,10.072,10.08,230447.34
1672779600000,10.08,10.128,10.064,10.119,89874.27
1672783200000,10.12,10.138,10.071,10.135,55257.68
1672786800000,10.135,10.201,10.128,10.157,86969.24
1672790400000,10.157,10.252,10.128,10.176,164657.8
1672794000000,10.176,10.298,10.167,10.224,195019.09
1672797600000,10.227,10.406,10.226,10.379,193662.49
1672801200000,10.379,10.46,10.291,10.348,205257.29
1672804800000,10.351,10.372,10.293,10.322,79986.25
1672808400000,10.323,10.361,10.288,10.353,65601.63
1672812000000,10.353,10.374,10.312,10.348,75198.9
1672815600000,10.347,10.379,10.166,10.324,164521.65
1672819200000,10.323,10.331,10.229,10.263,112973.14
1672822800000,10.263,10.292,10.249,10.263,51732.82
1672826400000,10.262,10.271,10.223,10.238,57415.71
1672830000000,10.238,10.239,10.198,10.206,60794.83
1672833600000,10.205,10.236,10.181,10.206,86920.48
1672837200000,10.206,10.267,10.203,10.247,54300.23
1672840800000,10.247,10.271,10.188,10.223,90495.53
1672844400000,10.223,10.269,10.131,10.257,121906.1
1672848000000,10.256,10.277,10.205,10.215,51107.29
1672851600000,10.213,10.487,10.2,10.272,187040.41
1672855200000,10.271,10.294,10.249,10.265,88658.7
1672858800000,10.259,10.277,10.107,10.183,152578.93
1672862400000,10.181,10.183,10.047,10.09,92228.74
1672866000000,10.087,10.155,10.078,10.153,46272.74
1672869600000,10.15,10.234,10.141,10.202,62477.51
1672873200000,10.202,10.235,10.188,10.196,34836.63
1672876800000,10.197,10.235,10.125,10.126,77116.44
1672880400000,10.126,10.211,10.103,10.159,78416.2
1672884000000,10.159,10.187,10.121,10.16,60244.76
1672887600000,10.159,10.17,10.12,10.152,62687.75
1672891200000,10.153,10.2,10.141,10.173,49632.28
1672894800000,10.173,10.214,10.163,10.193,67922.38
1672898400000,10.193,10.194,10.104,10.124,42745.03
1672902000000,10.128,10.13,10.06,10.112,49713.59
1672905600000,10.113,10.126,10.054,10.088,61223.54
1672909200000,10.089,10.089,9.989,9.996,133034.96
1672912800000,9.995,10.072,9.989,10.061,45037.1
1672916400000,10.062,10.114,10.062,10.107,51672.64
1672920000000,10.108,10.122,10.058,10.078,40782.21
1672923600000,10.078,10.105,9.999,10.005,81419.11
1672927200000,10.005,10.072,9.997,10.05,100056.53
1672930800000,10.052,10.1,10.042,10.066,55694.11
1672934400000,10.066,10.087,10.039,10.06,26265.36
1672938000000,10.061,10.078,10.041,10.055,23153.8
1672941600000,10.055,10.12,10.05,10.119,38129.52
1672945200000,10.12,10.148,10.108,10.146,43366.75
1672948800000,10.147,10.171,10.112,10.126,62238.44
1672952400000,10.125,10.139,10.098,10.12,34337.92
1672956000000,10.123,10.141,10.091,10.099,21538.2
1672959600000,10.099,10.115,10.032,10.085,68493.25
1672963200000,10.086,10.182,10.068,10.178,70834.14
1672966800000,10.182,10.184,10.128,10.133,32754.73
1672970400000,10.134,10.143,10.078,10.116,40573.62
1672974000000,10.115,10.124,10.084,10.092,27114.18
1672977600000,10.093,10.115,10.014,10.065,73242.26
1672981200000,10.065,10.092,10.025,10.043,69762.97
1672984800000,10.043,10.043,9.962,9.979,84744.19
1672988400000,9.978,9.997,9.95,9.957,37461.7
1672992000000,9.958,9.994,9.956,9.984,48109.09
1672995600000,9.984,9.984,9.915,9.941,65805.6
1672999200000,9.944,9.959,9.914,9.934,59315.99
1673002800000,9.932,10.026,9.911,10.001,117687.39
