date,open,high,low,close,volume
1672527600000,1.405,1.41,1.4,1.406,14011.5
1672531200000,1.408,1.411,1.391,1.397,33753.5
1672534800000,1.396,1.4,1.391,1.396,16902.1
1672538400000,1.394,1.405,1.392,1.403,18488.8
1672542000000,1.401,1.401,1.393,1.396,15728.8
1672545600000,1.396,1.396,1.385,1.385,20629.4
1672549200000,1.384,1.394,1.384,1.39,17230.3
1672552800000,1.39,1.392,1.384,1.388,21246.3
1672556400000,1.388,1.39,1.382,1.384,25576.9
1672560000000,1.384,1.392,1.383,1.392,47751.0
1672563600000,1.391,1.398,1.389,1.395,15575.9
1672567200000,1.396,1.398,1.393,1.394,11962.9
1672570800000,1.396,1.4,1.393,1.397,20332.2
1672574400000,1.397,1.398,1.387,1.391,27168.6
1672578000000,1.391,1.392,1.387,1.39,31786.7
1672581600000,1.391,1.392,1.389,1.392,3171.9
1672585200000,1.392,1.393,1.389,1.393,17690.4
1672588800000,1.393,1.397,1.391,1.391,12285.0
1672592400000,1.391,1.4,1.391,1.398,10960.1
1672596000000,1.397,1.405,1.397,1.401,25680.9
1672599600000,1.402,1.41,1.402,1.406,27237.1
1672603200000,1.408,1.414,1.404,1.405,24602.5
1672606800000,1.405,1.408,1.403,1.408,18228.9
1672610400000,1.408,1.408,1.402,1.402,13781.7
1672614000000,1.403,1.408,1.401,1.404,24882.7
1672617600000,1.405,1.412,1.395,1.396,19141.5
1672621200000,1.395,1.396,1.362,1.37,227266.8
1672624800000,1.371,1.382,1.371,1.38,32766.2
1672628400000,1.381,1.394,1.378,1.394,32671.1
1672632000000,1.394,1.396,1.389,1.39,29310.0
1672635600000,1.391,1.394,1.391,1.393,12523.8
1672639200000,1.394,1.398,1.389,1.392,13777.0
1672642800000,1.391,1.427,1.388,1.408,235266.4
1672646400000,1.409,1.432,1.406,1.419,102668.8
1672650000000,1.42,1.429,1.418,1.422,101083.0
1672653600000,1.423,1.427,1.415,1.423,86369.7
1672657200000,1.422,1.425,1.412,1.417,32708.1
1672660800000,1.419,1.424,1.416,1.42,39153.5
1672664400000,1.42,1.424,1.414,1.416,47292.7
1672668000000,1.416,1.42,1.412,1.415,29285.2
1672671600000,1.416,1.424,1.413,1.42,51762.0
1672675200000,1.42,1.425,1.417,1.418,37738.2
1672678800000,1.418,1.424,1.417,1.424,20242.5
1672682400000,1.423,1.426,1.418,1.423,55707.6
1672686000000,1.424,1.429,1.422,1.426,28762.1
1672689600000,1.426,1.429,1.422,1.428,11473.0
1672693200000,1.429,1.441,1.428,1.435,38102.7
1672696800000,1.435,1.437,1.418,1.419,42424.4
1672700400000,1.419,1.429,1.419,1.427,25076.5
1672704000000,1.426,1.437,1.423,1.436,37096.8
1672707600000,1.436,1.436,1.414,1.423,53053.4
1672711200000,1.423,1.424,1.418,1.419,19010.3
1672714800000,1.418,1.424,1.417,1.424,11641.2
1672718400000,1.424,1.43,1.42,1.423,23355.7
1672722000000,1.423,1.437,1.422,1.437,51587.3
1672725600000,1.436,1.447,1.434,1.434,83495.5
1672729200000,1.435,1.439,1.43,1.438,46521.7
1672732800000,1.438,1.439,1.417,1.42,50987.9
1672736400000,1.421,1.429,1.42,1.427,32984.7
1672740000000,1.428,1.43,1.422,1.426,40234.4
1672743600000,1.426,1.426,1.408,1.411,73191.2
1672747200000,1.411,1.423,1.411,1.417,33145.7
1672750800000,1.416,1.421,1.412,1.413,82134.0
1672754400000,1.413,1.426,1.396,1.399,110377.3
1672758000000,1.399,1.406,1.391,1.403,57142.7
1672761600000,1.403,1.407,1.39,1.391,69612.7
1672765200000,1.392,1.398,1.389,1.394,29191.9
1672768800000,1.394,1.398,1.39,1.398,14651.8
1672772400000,1.398,1.401,1.394,1.399,19282.9
1672776000000,1.399,1.406,1.397,1.403,28106.1
1672779600000,1.403,1.416,1.402,1.415,28092.5
1672783200000,1.413,1.423,1.411,1.42,38052.6
1672786800000,1.424,1.435,1.422,1.43,41763.7
1672790400000,1.43,1.46,1.43,1.44,88858.6
1672794000000,1.439,1.499,1.438,1.487,320309.5
1672797600000,1.487,1.498,1.473,1.478,128407.4
1672801200000,1.479,1.489,1.47,1.486,148301.0
1672804800000,1.487,1.487,1.473,1.477,91569.1
1672808400000,1.478,1.484,1.472,1.477,43712.0
1672812000000,1.477,1.482,1.473,1.479,27797.6
1672815600000,1.478,1.48,1.465,1.472,73792.4
1672819200000,1.471,1.479,1.459,1.466,71403.7
1672822800000,1.466,1.469,1.46,1.461,45878.2
1672826400000,1.461,1.463,1.457,1.459,28970.3
1672830000000,1.46,1.465,1.458,1.464,22159.5
1672833600000,1.465,1.475,1.461,1.464,47080.8
1672837200000,1.465,1.475,1.46,1.471,78888.4
1672840800000,1.471,1.474,1.459,1.461,66577.2
