date,open,high,low,close,volume
1672527600000,0.1659,0.1662,0.1654,0.1662,202850.0
1672531200000,0.1662,0.1662,0.1655,0.1655,147285.0
1672534800000,0.1655,0.1655,0.1653,0.1655,122931.0
1672538400000,0.1654,0.1665,0.1654,0.1663,81573.0
1672542000000,0.1663,0.1665,0.166,0.1661,79628.0
1672545600000,0.1661,0.1664,0.1655,0.1655,116744.0
1672549200000,0.1656,0.1664,0.1655,0.1663,73277.0
1672552800000,0.1664,0.1671,0.1662,0.1663,410846.0
1672556400000,0.1663,0.1664,0.1652,0.1654,399495.0
1672560000000,0.1654,0.1654,0.1645,0.1646,118910.0
1672563600000,0.1645,0.1651,0.1643,0.1651,154916.0
1672567200000,0.1651,0.1654,0.1651,0.1654,26209.0
1672570800000,0.1655,0.166,0.1655,0.166,70439.0
1672574400000,0.166,0.1661,0.1657,0.1661,43810.0
1672578000000,0.1661,0.1664,0.166,0.1663,103415.0
1672581600000,0.1663,0.1675,0.1663,0.1671,335349.0
1672585200000,0.1672,0.1675,0.1671,0.1674,90791.0
1672588800000,0.1674,0.1677,0.1673,0.1673,65213.0
1672592400000,0.1674,0.1678,0.1673,0.1677,65225.0
1672596000000,0.1675,0.1683,0.1674,0.168,119075.0
1672599600000,0.1679,0.1686,0.1679,0.1682,109261.0
1672603200000,0.1683,0.1692,0.1682,0.1692,189145.0
1672606800000,0.1691,0.1692,0.1687,0.169,73855.0
1672610400000,0.1692,0.1692,0.1677,0.1678,190127.0
1672614000000,0.1677,0.1686,0.1677,0.1682,189638.0
1672617600000,0.1681,0.1684,0.1666,0.1666,191957.0
1672621200000,0.1667,0.1667,0.1648,0.1653,295674.0
1672624800000,0.1653,0.1666,0.1652,0.1664,137228.0
1672628400000,0.1664,0.1678,0.1664,0.1675,229792.0
1672632000000,0.1676,0.1679,0.1673,0.1679,89216.0
1672635600000,0.1679,0.1685,0.1678,0.1684,124087.0
1672639200000,0.1684,0.1685,0.1678,0.1678,67631.0
1672642800000,0.1679,0.1723,0.1679,0.1714,1352641.0
1672646400000,0.1714,0.1721,0.1708,0.1709,520211.0
1672650000000,0.1711,0.1716,0.1708,0.1709,103830.0
1672653600000,0.171,0.1716,0.1705,0.1713,178574.0
1672657200000,0.1713,0.1715,0.1707,0.1713,118827.0
1672660800000,0.1715,0.1718,0.1713,0.1714,170789.0
1672664400000,0.1714,0.1719,0.1712,0.1712,206447.0
1672668000000,0.1711,0.1715,0.1705,0.1711,125587.0
1672671600000,0.1711,0.1726,0.1708,0.1719,309245.0
1672675200000,0.172,0.1725,0.172,0.1721,181809.0
1672678800000,0.1721,0.1734,0.1719,0.173,141384.0
1672682400000,0.173,0.1739,0.1728,0.1733,209048.0
1672686000000,0.1733,0.1747,0.1732,0.1744,407748.0
1672689600000,0.1744,0.175,0.1737,0.1746,433907.0
1672693200000,0.1747,0.175,0.1743,0.1749,299354.0
1672696800000,0.1749,0.175,0.1729,0.1729,241917.0
1672700400000,0.173,0.1738,0.173,0.1733,193340.0
1672704000000,0.1733,0.1738,0.1728,0.1734,220481.0
1672707600000,0.1733,0.1734,0.1717,0.1723,306527.0
1672711200000,0.1723,0.1731,0.1722,0.1724,199313.0
1672714800000,0.1723,0.173,0.172,0.1729,152398.0
1672718400000,0.1729,0.1735,0.1729,0.1732,174055.0
1672722000000,0.173,0.1739,0.1728,0.1736,212060.0
1672725600000,0.1736,0.1742,0.1734,0.1734,126367.0
1672729200000,0.1734,0.1737,0.1734,0.1737,158965.0
1672732800000,0.1737,0.1738,0.1719,0.1725,410115.0
1672736400000,0.1725,0.174,0.1725,0.1737,243861.0
1672740000000,0.1737,0.1739,0.1732,0.1732,93564.0
1672743600000,0.1732,0.1737,0.1706,0.1715,405915.0
1672747200000,0.1716,0.1723,0.1709,0.1713,233692.0
1672750800000,0.1714,0.1721,0.1712,0.1715,187237.0
1672754400000,0.1715,0.1723,0.1696,0.1703,565151.0
1672758000000,0.1702,0.171,0.17,0.171,356774.0
1672761600000,0.1709,0.1718,0.17,0.17,327989.0
1672765200000,0.1702,0.1713,0.17,0.1709,217922.0
1672768800000,0.1709,0.171,0.1701,0.1704,206786.0
1672772400000,0.1705,0.1708,0.1699,0.1705,148356.0
1672776000000,0.1707,0.172,0.1706,0.172,86182.0
1672779600000,0.172,0.1723,0.1718,0.1723,190498.0
1672783200000,0.1722,0.1726,0.1718,0.1725,234319.0
1672786800000,0.1726,0.1736,0.1725,0.1735,255656.0
1672790400000,0.1736,0.174,0.1729,0.1739,483767.0
1672794000000,0.174,0.1762,0.1738,0.1755,655363.0
1672797600000,0.1757,0.1784,0.1753,0.1779,702176.0
1672801200000,0.1782,0.1796,0.1779,0.1795,547167.0
1672804800000,0.1795,0.1803,0.1788,0.18,458460.0
1672808400000,0.18,0.181,0.1795,0.1801,420521.0
1672812000000,0.1802,0.1805,0.1796,0.1804,136456.0
1672815600000,0.1804,0.1807,0.1793,0.18,245525.0
1672819200000,0.1801,0.1802,0.178,0.1793,390599.0
1672822800000,0.1794,0.1802,0.1791,0.1802,556816.0
1672826400000,0.1802,0.1803,0.1797,0.1799,193833.0
1672830000000,0.18,0.1806,0.1793,0.1802,348115.0
1672833600000,0.1801,0.1802,0.1793,0.1794,325337.0
1672837200000,0.1793,0.1796,0.179,0.1796,164771.0
1672840800000,0.1797,0.1803,0.1787,0.1798,538774.0
1672844400000,0.1795,0.1809,0.1774,0.1808,418563.0
1672848000000,0.1808,0.1813,0.1802,0.1809,457110.0
1672851600000,0.181,0.1827,0.1807,0.1816,1037923.0
1672855200000,0.1815,0.1833,0.1812,0.1823,471696.0
1672858800000,0.1823,0.1826,0.1792,0.1804,600637.0
1672862400000,0.1805,0.1805,0.1782,0.1794,201683.0
1672866000000,0.1793,0.1802,0.1791,0.1795,239253.0
1672869600000,0.1795,0.181,0.1795,0.1808,135509.0
1672873200000,0.1809,0.1815,0.1801,0.1801,643104.0
1672876800000,0.1801,0.1836,0.1801,0.1808,796918.0
1672880400000,0.1807,0.1814,0.1794,0.1808,942363.0
1672884000000,0.1808,0.181,0.1798,0.1803,485878.0
1672887600000,0.1804,0.1807,0.1795,0.1801,314922.0
1672891200000,0.1801,0.1813,0.18,0.1811,371702.0
1672894800000,0.181,0.1815,0.1807,0.181,271506.0
1672898400000,0.1809,0.1811,0.1794,0.1798,489038.0
1672902000000,0.1798,0.1799,0.1785,0.1795,343194.0
1672905600000,0.1794,0.1796,0.1778,0.1781,259500.0
1672909200000,0.1782,0.1784,0.1763,0.1772,396916.0
1672912800000,0.1769,0.1793,0.1768,0.1792,404881.0
1672916400000,0.1792,0.1807,0.1789,0.1804,223536.0
1672920000000,0.1803,0.1804,0.1794,0.1799,205051.0
1672923600000,0.1798,0.1801,0.1779,0.178,248014.0
1672927200000,0.1778,0.1787,0.1765,0.1776,280689.0
1672930800000,0.1777,0.179,0.1777,0.1777,369522.0
1672934400000,0.1777,0.178,0.1758,0.1759,467331.0
1672938000000,0.1758,0.1766,0.1751,0.1755,347856.0
1672941600000,0.1755,0.1765,0.1754,0.1759,358118.0
