date,open,high,low,close,volume
1672527600000,0.0493,0.0493,0.0491,0.0493,111656.0
1672531200000,0.0493,0.0493,0.0492,0.0492,40855.0
1672534800000,0.0492,0.0493,0.0492,0.0492,108186.0
1672538400000,0.0493,0.0495,0.0492,0.0495,58308.0
1672542000000,0.0495,0.0495,0.0491,0.0492,130837.0
1672545600000,0.0491,0.0492,0.0486,0.0486,703768.0
1672549200000,0.0486,0.0489,0.0485,0.0488,158946.0
1672552800000,0.0488,0.0488,0.0487,0.0488,89819.0
1672556400000,0.0488,0.0488,0.0485,0.0486,121361.0
1672560000000,0.0486,0.0486,0.0483,0.0483,328316.0
1672563600000,0.0484,0.0484,0.0482,0.0483,269563.0
1672567200000,0.0484,0.0486,0.0484,0.0486,166406.0
1672570800000,0.0485,0.0488,0.0485,0.0488,108877.0
1672574400000,0.0488,0.049,0.0487,0.0488,268547.0
1672578000000,0.0489,0.0489,0.0485,0.0485,137548.0
1672581600000,0.0486,0.0486,0.0485,0.0485,87917.0
1672585200000,0.0486,0.0487,0.0485,0.0485,111224.0
1672588800000,0.0486,0.0487,0.0485,0.0486,126402.0
1672592400000,0.0487,0.0489,0.0486,0.0487,283412.0
1672596000000,0.0488,0.0491,0.0488,0.0489,224337.0
1672599600000,0.0489,0.0492,0.0489,0.0491,161246.0
1672603200000,0.0491,0.0495,0.0491,0.0493,343735.0
1672606800000,0.0493,0.0494,0.0492,0.0494,105970.0
1672610400000,0.0494,0.0495,0.0493,0.0493,187421.0
1672614000000,0.0493,0.0497,0.0493,0.0496,678897.0
1672617600000,0.0497,0.0497,0.0494,0.0495,234814.0
1672621200000,0.0495,0.0498,0.0489,0.0492,619452.0
1672624800000,0.0492,0.0495,0.0492,0.0494,154024.0
1672628400000,0.0495,0.0498,0.0494,0.0498,154427.0
1672632000000,0.0498,0.0499,0.0496,0.0497,396279.0
1672635600000,0.0497,0.0501,0.0497,0.05,1607103.0
1672639200000,0.0499,0.05,0.0496,0.0497,562556.0
1672642800000,0.0497,0.0506,0.0497,0.0505,1395300.0
1672646400000,0.0506,0.0508,0.0504,0.0504,731962.0
1672650000000,0.0505,0.0508,0.0504,0.0504,503407.0
1672653600000,0.0504,0.0511,0.0504,0.051,434017.0
1672657200000,0.051,0.051,0.0505,0.0508,355078.0
1672660800000,0.0509,0.051,0.0508,0.0508,151518.0
1672664400000,0.0508,0.0509,0.0503,0.0505,413350.0
1672668000000,0.0505,0.0511,0.0505,0.051,260447.0
1672671600000,0.051,0.0515,0.0509,0.0514,625458.0
1672675200000,0.0513,0.0516,0.0511,0.0513,263273.0
1672678800000,0.0513,0.0514,0.0511,0.0513,416834.0
1672682400000,0.0514,0.0515,0.0512,0.0513,188888.0
1672686000000,0.0514,0.0515,0.0512,0.0514,536436.0
1672689600000,0.0514,0.0514,0.0509,0.051,1198382.0
1672693200000,0.0511,0.0513,0.051,0.0513,245758.0
1672696800000,0.0514,0.0514,0.0509,0.051,373753.0
1672700400000,0.051,0.0514,0.051,0.0511,293776.0
1672704000000,0.0511,0.0512,0.051,0.0512,246496.0
1672707600000,0.0512,0.0513,0.0507,0.0509,317391.0
1672711200000,0.0508,0.051,0.0508,0.051,65604.0
1672714800000,0.051,0.0512,0.051,0.0511,83330.0
1672718400000,0.0512,0.0513,0.0511,0.0511,253811.0
1672722000000,0.0511,0.0515,0.051,0.0514,270182.0
1672725600000,0.0514,0.0517,0.0514,0.0514,303736.0
1672729200000,0.0514,0.0516,0.0513,0.0515,167721.0
