date,open,high,low,close,volume
1672527600000,246.3,246.9,246.0,246.3,4340.382
1672531200000,246.3,246.7,245.5,245.7,4233.967
1672534800000,245.8,246.0,245.5,245.8,2424.087
1672538400000,245.8,245.9,245.2,245.3,3971.279
1672542000000,245.3,245.6,245.1,245.3,4221.176
1672545600000,245.3,245.3,243.7,243.8,9096.266
1672549200000,243.8,244.3,243.5,244.1,10212.546
1672552800000,244.1,244.4,243.9,244.0,5323.965
1672556400000,243.9,244.3,243.8,244.0,5905.345
1672560000000,244.1,244.1,243.4,243.5,5504.355
1672563600000,243.6,244.5,243.4,244.5,3802.362
1672567200000,244.5,244.5,244.0,244.4,2170.316
1672570800000,244.3,244.6,244.2,244.4,2654.232
1672574400000,244.4,244.7,244.2,244.3,3644.056
1672578000000,244.3,244.6,244.0,244.2,4105.371
1672581600000,244.3,244.5,244.1,244.1,2604.519
1672585200000,244.1,244.8,244.1,244.6,3919.003
1672588800000,244.6,245.0,244.4,244.9,4306.663
1672592400000,245.0,245.5,244.8,245.4,4081.362
1672596000000,245.4,245.7,244.7,244.8,3810.146
1672599600000,244.9,245.7,244.8,245.3,3091.611
1672603200000,245.3,245.9,245.2,245.3,3273.398
1672606800000,245.3,245.4,245.0,245.1,1897.406
1672610400000,245.2,245.2,244.6,244.8,3834.835
1672614000000,244.8,244.9,243.5,244.4,11361.851
1672617600000,244.5,244.6,243.5,243.6,6272.074
1672621200000,243.6,243.8,240.7,242.1,26137.466
1672624800000,242.0,242.9,241.6,242.4,5721.892
1672628400000,242.4,244.1,242.4,243.9,6549.09
1672632000000,243.9,243.9,243.0,243.4,4734.857
1672635600000,243.5,244.4,243.5,244.0,3110.93
1672639200000,244.1,244.4,243.6,244.0,3805.972
1672642800000,244.1,247.0,243.9,246.4,27785.87
1672646400000,246.4,247.5,246.3,247.0,12176.814
1672650000000,247.1,247.9,246.5,246.7,9651.816
1672653600000,246.7,247.7,246.4,246.9,6944.628
1672657200000,246.9,247.1,246.2,246.8,4518.167
1672660800000,246.8,247.6,246.8,247.1,5653.787
1672664400000,247.2,247.5,246.1,246.6,5212.892
1672668000000,246.7,246.8,246.0,246.5,5029.121
1672671600000,246.5,247.3,246.1,247.0,6152.326
1672675200000,247.0,247.2,246.1,246.2,4607.705
1672678800000,246.2,246.7,246.1,246.6,2534.371
1672682400000,246.6,246.8,246.3,246.6,3964.563
1672686000000,246.5,246.8,246.2,246.6,3442.991
1672689600000,246.7,247.4,246.2,247.3,5136.817
1672693200000,247.3,247.8,247.0,247.4,4490.576
1672696800000,247.3,247.5,246.0,246.0,4498.103
1672700400000,246.1,246.6,245.2,245.2,5320.072
1672704000000,245.3,246.2,245.0,245.9,3719.005
1672707600000,246.0,246.0,244.5,245.4,6849.269
1672711200000,245.5,245.8,245.3,245.5,2767.202
1672714800000,245.4,246.0,245.2,245.8,2522.91
1672718400000,245.9,246.0,245.3,245.3,2493.63
1672722000000,245.4,246.5,245.2,246.4,3958.452
1672725600000,246.5,247.0,246.1,246.3,6196.567
1672729200000,246.2,246.4,245.9,246.3,2915.569
1672732800000,246.2,246.5,245.6,246.0,4128.861
1672736400000,246.0,246.6,245.8,246.4,4973.896
1672740000000,246.4,246.5,245.3,245.9,9936.513
1672743600000,245.9,246.4,245.3,245.6,6897.406
1672747200000,245.6,245.8,245.0,245.4,7217.026
1672750800000,245.4,245.7,245.0,245.4,4282.999
1672754400000,245.5,246.4,244.4,244.8,10359.445
1672758000000,244.8,245.7,244.6,245.5,8103.3
1672761600000,245.5,246.0,244.5,244.9,5494.614
1672765200000,244.8,245.4,244.7,245.4,3858.367
1672768800000,245.4,245.5,244.7,245.1,5952.469
1672772400000,245.2,245.6,244.9,245.4,2583.727
1672776000000,245.3,245.7,245.2,245.5,2696.895
1672779600000,245.6,245.9,245.4,245.9,2388.252
1672783200000,245.9,246.1,245.5,246.0,2587.118
1672786800000,246.0,246.3,245.9,246.1,2176.499
1672790400000,246.2,246.3,245.6,246.0,3362.591
1672794000000,246.0,247.3,245.9,246.4,12438.173
1672797600000,246.5,252.7,246.4,251.3,57625.52
1672801200000,251.3,258.9,251.3,257.1,59526.502
1672804800000,257.2,257.4,255.4,255.7,13831.711
1672808400000,255.7,255.9,254.8,255.2,7182.355
1672812000000,255.1,255.3,253.8,255.0,10535.678
1672815600000,255.0,255.7,254.3,255.3,6566.225
1672819200000,255.2,256.3,254.1,255.1,9292.873
1672822800000,255.2,255.6,254.7,254.9,7011.362
1672826400000,254.9,255.3,254.0,254.9,14659.418
1672830000000,255.0,255.0,254.6,254.8,3596.838
1672833600000,254.9,256.0,254.8,255.1,7619.988
1672837200000,255.0,255.9,254.9,255.5,6976.351
1672840800000,255.6,256.2,255.0,255.6,7488.086
1672844400000,255.6,257.4,254.1,257.0,14956.324
1672848000000,257.1,260.0,256.0,257.7,29918.321
1672851600000,257.7,261.0,257.2,259.6,31731.529
1672855200000,259.7,260.9,259.2,259.6,16291.828
1672858800000,259.5,260.2,256.6,257.8,18523.388
1672862400000,257.8,257.8,255.0,255.9,11710.91
1672866000000,255.9,257.5,255.7,257.3,6783.634
1672869600000,257.4,258.4,256.8,257.7,6513.91
1672873200000,257.8,259.5,257.6,258.9,5911.567
1672876800000,258.9,259.1,257.3,257.3,8141.87
1672880400000,257.4,258.5,256.9,257.9,5235.663
1672884000000,257.9,258.3,257.2,258.1,4294.303
1672887600000,258.2,258.3,257.3,257.9,3377.509
1672891200000,257.9,259.0,257.7,258.6,4706.444
1672894800000,258.5,259.2,258.4,258.6,3507.447
1672898400000,258.6,258.6,257.5,257.8,5366.681
1672902000000,257.8,257.9,256.5,257.5,7569.641
1672905600000,257.6,257.8,256.4,257.2,7398.478
1672909200000,257.3,257.3,255.6,256.4,9159.773
1672912800000,256.4,257.2,256.3,257.0,5258.888
1672916400000,257.0,257.3,256.2,257.1,4498.299
1672920000000,257.1,257.2,256.5,256.8,3735.624
1672923600000,256.8,257.1,255.8,255.8,9363.651
1672927200000,255.8,256.9,255.2,256.4,10871.106
1672930800000,256.4,258.4,256.2,256.8,14250.307
1672934400000,256.9,257.1,256.0,256.6,7995.549
1672938000000,256.6,256.8,256.3,256.6,2596.006
1672941600000,256.6,257.5,256.4,257.1,4697.941
1672945200000,257.2,258.3,257.1,257.8,3991.156
1672948800000,257.7,258.1,257.5,257.9,2276.731
1672952400000,257.9,257.9,257.0,257.2,2984.403
1672956000000,257.3,257.5,256.7,256.9,3954.969
1672959600000,256.9,257.3,255.8,256.7,10065.524
1672963200000,256.7,258.0,256.1,257.9,6958.362
1672966800000,257.9,258.3,257.4,257.6,3423.977
1672970400000,257.7,258.6,256.9,258.4,8636.318
1672974000000,258.4,258.8,256.9,257.7,12719.791
1672977600000,257.8,258.1,256.8,257.5,4174.486
1672981200000,257.6,257.6,256.6,257.0,4047.984
1672984800000,257.0,257.0,255.3,255.7,10861.475
1672988400000,255.6,256.5,255.3,256.4,4723.906
1672992000000,256.4,257.4,256.3,256.9,10198.332
1672995600000,256.9,257.1,256.0,256.5,8157.108
1672999200000,256.6,256.8,255.8,256.0,5264.808
1673002800000,256.1,256.7,255.4,256.4,6802.939
1673006400000,256.4,256.5,254.2,255.7,12060.18
1673010000000,255.7,257.3,254.5,256.4,20634.189
1673013600000,256.3,257.1,255.8,256.4,7777.101
1673017200000,256.5,259.7,256.4,259.1,16469.185
1673020800000,259.0,260.4,258.0,258.9,11002.158
1673024400000,259.0,259.2,258.3,258.5,4098.569
1673028000000,258.4,259.9,258.4,258.8,9613.786
1673031600000,258.8,260.4,258.4,260.0,8226.604
1673035200000,260.1,260.7,258.6,258.8,10156.03
1673038800000,258.7,259.6,258.7,259.1,3287.342
1673042400000,259.0,259.9,259.0,259.8,4346.844
1673046000000,259.8,260.2,259.3,259.9,5855.602
1673049600000,259.9,263.9,259.4,263.1,18501.007
1673053200000,263.2,263.2,261.2,261.8,12277.663
1673056800000,261.8,262.2,261.4,261.6,4469.481
1673060400000,261.6,262.2,261.5,262.1,3262.59
1673064000000,262.2,262.3,261.0,261.1,5070.005
1673067600000,261.1,261.5,260.7,260.8,2491.459
1673071200000,260.8,261.2,260.5,261.1,4401.549
1673074800000,261.1,261.3,260.6,261.1,4151.452
1673078400000,261.1,261.4,260.7,261.0,3401.883
1673082000000,261.0,261.4,260.8,261.3,3218.63
1673085600000,261.2,261.3,260.8,261.0,2341.342
1673089200000,261.0,261.1,260.7,260.9,3131.469
1673092800000,260.8,260.9,259.8,260.2,6966.233
1673096400000,260.2,261.0,260.0,260.5,4570.515
1673100000000,260.5,260.6,260.0,260.5,5625.307
1673103600000,260.5,261.2,260.3,261.0,2821.216
1673107200000,261.0,261.4,260.6,260.9,4863.959
1673110800000,260.9,261.4,260.7,261.3,2849.088
1673114400000,261.3,261.8,261.2,261.2,4123.235
1673118000000,261.3,261.9,261.2,261.7,2850.042
1673121600000,261.7,261.8,261.4,261.7,2867.157
1673125200000,261.8,261.8,261.2,261.3,3194.285
1673128800000,261.3,261.5,260.8,261.0,3828.591
1673132400000,261.0,261.5,260.8,261.3,3874.612
1673136000000,261.3,261.9,260.1,260.6,9468.62
1673139600000,260.6,261.1,260.3,260.8,3655.102
1673143200000,260.8,261.3,260.5,260.7,3270.906
1673146800000,260.8,261.0,260.6,261.0,2369.698
1673150400000,261.0,261.2,260.8,261.1,2287.193
1673154000000,261.1,261.3,260.5,261.3,5000.319
1673157600000,261.3,261.3,260.9,261.1,1968.924
1673161200000,261.2,261.2,260.7,260.9,3066.336
1673164800000,261.0,261.0,260.6,260.9,3613.71
1673168400000,260.9,261.5,260.7,261.1,5086.1
1673172000000,261.1,261.4,261.1,261.3,2045.513
1673175600000,261.3,261.6,261.0,261.0,3320.119
1673179200000,261.0,261.4,260.8,261.1,5201.131
1673182800000,261.2,262.5,261.0,261.8,7518.764
1673186400000,261.7,263.9,261.7,263.6,12453.355
1673190000000,263.7,267.7,262.7,267.0,36565.819
1673193600000,267.0,267.3,263.8,264.7,18235.597
1673197200000,264.8,265.8,264.7,265.2,5936.775
1673200800000,265.3,266.2,265.1,265.6,7246.651
1673204400000,265.6,268.8,265.3,267.4,14357.868
1673208000000,267.5,271.2,267.1,269.9,27573.22
1673211600000,270.0,270.9,269.5,269.9,8153.883
1673215200000,269.9,272.6,269.7,271.8,14475.93
1673218800000,271.8,276.5,271.8,274.9,34437.357
1673222400000,274.9,278.4,273.6,278.4,36707.162
1673226000000,278.4,280.5,275.9,278.4,43207.995
1673229600000,278.5,281.0,277.7,278.5,30222.673
1673233200000,278.5,279.6,277.9,278.7,12366.614
1673236800000,278.7,279.8,278.6,279.0,12386.172
1673240400000,279.0,279.7,278.1,278.2,10501.713
1673244000000,278.2,278.7,277.6,277.7,8596.033
1673247600000,277.8,278.6,277.5,277.7,12516.014
1673251200000,277.7,277.9,276.6,276.9,12456.057
1673254800000,276.9,279.7,276.7,279.0,14959.286
1673258400000,279.0,280.3,278.4,278.7,13563.636
1673262000000,278.7,279.8,278.2,278.3,10347.19
1673265600000,278.3,279.0,277.9,278.9,8937.931
1673269200000,278.9,279.9,276.7,277.6,15546.295
1673272800000,277.5,280.6,276.9,280.2,17363.443
1673276400000,280.2,282.7,278.6,280.3,26059.51
1673280000000,280.4,282.4,279.4,281.7,20118.089
1673283600000,281.8,283.5,280.8,281.9,19122.532
1673287200000,281.9,282.4,277.2,278.0,27359.91
1673290800000,277.9,278.2,276.6,276.8,11756.066
1673294400000,276.7,277.1,271.6,272.6,32583.992
1673298000000,272.6,274.2,271.7,272.1,12080.988
1673301600000,272.0,273.6,271.4,273.4,16876.369
1673305200000,273.4,273.4,271.3,272.6,12192.758
1673308800000,272.6,276.3,272.5,276.2,16033.534
1673312400000,276.2,276.2,274.0,274.5,9025.879
1673316000000,274.4,275.2,270.2,272.9,21491.131
1673319600000,272.9,273.8,272.0,273.8,8180.254
1673323200000,273.8,274.6,273.0,274.6,8845.608
1673326800000,274.6,274.9,273.7,274.6,6395.802
1673330400000,274.6,275.2,273.8,274.7,5921.99
1673334000000,274.8,275.0,274.0,274.4,5148.492
1673337600000,274.5,275.8,274.1,275.2,12545.867
1673341200000,275.2,276.1,274.7,275.3,12336.663
1673344800000,275.4,276.6,275.1,276.4,8605.946
1673348400000,276.4,276.9,274.5,275.0,9387.514
1673352000000,275.0,275.3,273.7,273.9,10252.14
1673355600000,274.0,274.9,273.5,274.6,8205.282
1673359200000,274.7,276.2,273.7,275.3,16802.641
1673362800000,275.4,276.6,274.7,275.9,17190.99
1673366400000,275.9,276.0,274.3,274.8,13470.115
1673370000000,274.9,275.4,274.6,275.3,5562.521
1673373600000,275.2,276.4,274.8,275.9,12142.399
1673377200000,276.0,276.4,275.5,276.2,6809.499
