date,open,high,low,close,volume
1672527600000,71.0,71.5,70.9,71.2,438.856
1672531200000,71.2,71.2,70.9,70.9,91.706
1672534800000,71.0,71.1,70.8,71.0,268.593
1672538400000,70.9,71.0,70.9,70.9,31.635
1672542000000,71.0,71.0,70.7,70.9,121.399
1672545600000,70.8,70.8,70.4,70.5,177.74
1672549200000,70.5,70.5,70.3,70.3,281.574
1672552800000,70.4,70.4,69.9,69.9,516.447
1672556400000,69.9,70.0,69.3,69.5,708.067
1672560000000,69.4,69.5,69.2,69.4,410.411
1672563600000,69.4,69.8,69.3,69.7,182.466
1672567200000,69.7,69.8,69.6,69.8,200.706
1672570800000,69.8,70.3,69.8,69.8,584.473
1672574400000,69.9,70.0,69.6,69.9,170.846
1672578000000,69.9,70.1,69.7,69.9,185.477
1672581600000,69.9,70.1,69.9,70.1,161.283
1672585200000,70.1,70.3,70.0,70.2,171.257
1672588800000,70.2,70.3,68.5,69.5,1872.807
1672592400000,69.7,69.7,69.3,69.4,536.852
1672596000000,69.4,69.4,69.2,69.4,358.952
1672599600000,69.4,69.4,69.2,69.2,141.932
1672603200000,69.3,69.9,69.3,69.8,316.443
1672606800000,69.7,69.8,69.5,69.6,103.59
1672610400000,69.6,69.7,69.2,69.3,203.288
1672614000000,69.3,69.4,69.2,69.2,62.32
1672617600000,69.4,69.4,68.8,68.8,496.88
1672621200000,68.8,68.9,68.4,68.7,370.827
1672624800000,68.7,69.2,68.7,69.2,550.72
1672628400000,69.1,69.8,69.1,69.4,545.631
1672632000000,69.4,69.6,69.4,69.4,275.219
1672635600000,69.4,69.8,69.4,69.6,222.58
1672639200000,69.7,69.9,69.6,69.7,339.682
1672642800000,69.8,71.1,69.7,70.7,1427.085
1672646400000,70.8,71.5,70.8,71.2,797.835
1672650000000,71.1,72.0,71.1,71.6,1136.456
1672653600000,71.7,72.7,71.7,71.7,2775.351
1672657200000,71.7,71.8,71.0,71.1,1216.725
1672660800000,71.1,71.3,70.9,70.9,116.45
1672664400000,71.0,71.2,70.9,70.9,66.64
1672668000000,71.0,71.1,70.7,70.9,257.226
1672671600000,70.9,71.3,70.8,71.0,391.482
1672675200000,71.0,71.2,70.9,71.1,48.624
1672678800000,71.0,71.2,71.0,71.1,117.826
1672682400000,71.1,71.2,71.0,71.1,27.185
1672686000000,71.2,71.4,71.1,71.4,216.717
1672689600000,71.4,71.5,71.2,71.3,201.205
1672693200000,71.3,71.5,71.2,71.4,54.142
1672696800000,71.4,71.4,71.0,71.1,66.898
1672700400000,71.2,71.2,70.9,70.9,113.177
1672704000000,70.9,71.1,70.7,71.1,194.582
1672707600000,71.1,71.2,70.9,71.1,160.91
1672711200000,71.1,71.2,70.7,70.8,267.053
1672714800000,70.8,70.9,70.6,70.7,278.818
1672718400000,70.6,70.7,70.4,70.5,477.694
1672722000000,70.5,70.6,70.2,70.4,862.483
1672725600000,70.3,70.5,70.1,70.2,265.396
1672729200000,70.3,70.6,70.2,70.5,181.131
1672732800000,70.6,70.6,70.3,70.3,151.719
1672736400000,70.4,70.5,70.2,70.3,137.92
1672740000000,70.4,70.4,70.2,70.2,118.941
1672743600000,70.3,70.3,69.8,69.8,425.567
1672747200000,69.8,69.8,69.4,69.8,863.996
1672750800000,69.8,70.1,69.7,70.0,156.083
1672754400000,70.0,70.1,69.6,69.6,404.009
1672758000000,69.6,70.0,69.4,69.8,409.407
1672761600000,69.8,70.5,69.7,69.7,424.645
1672765200000,69.7,69.8,69.6,69.7,168.138
1672768800000,69.8,69.9,69.7,69.8,51.123
1672772400000,69.8,69.8,69.6,69.6,167.827
1672776000000,69.6,69.6,69.5,69.6,211.455
1672779600000,69.5,69.6,69.4,69.5,369.635
1672783200000,69.5,69.6,69.3,69.4,51.554
1672786800000,69.5,69.5,69.2,69.4,409.183
1672790400000,69.3,69.5,69.1,69.4,268.899
1672794000000,69.3,70.0,69.3,69.8,643.11
1672797600000,69.8,70.3,69.8,70.2,295.581
1672801200000,70.2,71.0,70.1,70.9,763.481
1672804800000,71.0,71.2,70.7,70.9,534.333
1672808400000,70.9,70.9,70.5,70.5,1126.139
1672812000000,70.6,71.0,70.5,70.9,338.202
1672815600000,70.9,71.0,70.8,70.8,100.815
1672819200000,70.9,70.9,70.7,70.7,93.308
1672822800000,70.7,70.8,70.7,70.8,104.033
1672826400000,70.8,70.9,70.7,70.7,70.743
1672830000000,70.8,70.9,70.6,70.9,394.367
1672833600000,70.9,71.2,70.8,70.8,579.331
1672837200000,70.8,71.0,70.8,71.0,85.849
1672840800000,71.0,71.5,70.9,71.4,927.763
1672844400000,71.3,71.3,70.6,70.9,812.433
1672848000000,70.9,71.0,70.7,70.7,471.346
1672851600000,70.8,70.8,70.1,70.3,584.724
1672855200000,70.3,70.3,69.5,69.6,1343.246
1672858800000,69.5,69.6,69.1,69.5,1013.411
1672862400000,69.5,69.7,69.4,69.6,405.297
1672866000000,69.6,69.8,69.6,69.8,183.088
1672869600000,69.8,70.0,69.6,69.6,267.839
1672873200000,69.8,70.2,69.7,70.0,225.486
1672876800000,70.0,70.5,69.9,70.2,1110.65
1672880400000,70.2,70.8,70.1,70.7,353.893
1672884000000,70.6,70.7,70.4,70.4,133.604
1672887600000,70.4,70.7,70.4,70.5,209.995
1672891200000,70.5,70.6,70.4,70.5,77.725
1672894800000,70.5,70.8,70.5,70.5,57.748
1672898400000,70.5,70.6,70.2,70.2,306.775
1672902000000,70.3,70.3,69.3,69.6,1373.923
1672905600000,69.7,69.8,69.5,69.7,469.548
1672909200000,69.8,69.9,69.4,69.5,988.131
1672912800000,69.5,69.9,69.5,69.5,879.585
1672916400000,69.5,69.8,69.5,69.7,296.879
1672920000000,69.7,69.8,69.3,69.7,379.644
1672923600000,69.6,69.8,69.4,69.6,307.326
1672927200000,69.7,69.7,69.4,69.6,333.24
1672930800000,69.7,69.7,68.8,68.9,2012.828
1672934400000,69.0,69.2,68.8,69.1,226.688
1672938000000,69.1,69.1,69.0,69.0,46.019
1672941600000,69.0,69.1,68.0,68.5,2183.731
1672945200000,68.5,68.6,68.4,68.6,279.837
1672948800000,68.5,68.7,68.4,68.6,306.657
1672952400000,68.7,69.2,68.7,69.0,673.842
1672956000000,69.0,69.0,68.8,68.9,112.564
1672959600000,68.8,69.2,68.8,69.0,572.024
1672963200000,69.2,69.2,68.8,69.1,184.249
1672966800000,69.2,69.3,69.1,69.1,339.131
1672970400000,69.1,69.1,69.0,69.1,22.695
1672974000000,69.0,69.0,68.4,68.4,1231.906
1672977600000,68.4,68.4,67.4,67.5,2309.592
1672981200000,67.6,67.9,67.2,67.4,849.249
1672984800000,67.3,67.5,65.6,65.7,3348.906
1672988400000,65.8,65.9,65.3,65.8,2691.042
1672992000000,65.7,69.4,65.7,66.4,6771.773
1672995600000,66.4,66.4,65.8,65.9,973.41
1672999200000,66.0,66.1,65.4,65.4,713.081
1673002800000,65.4,65.6,63.6,63.8,7152.335
1673006400000,63.8,64.0,62.1,62.5,4922.308
1673010000000,62.5,62.9,57.3,58.5,40505.51
1673013600000,58.5,59.4,57.7,58.0,9434.61
1673017200000,58.0,59.8,58.0,59.2,7326.19
1673020800000,59.3,59.3,57.5,59.0,7548.33
1673024400000,59.0,59.0,58.8,58.9,841.569
1673028000000,58.9,59.1,58.0,59.1,2563.878
1673031600000,59.1,59.1,58.5,58.9,1815.009
1673035200000,58.9,59.0,58.5,58.8,2465.057
1673038800000,58.8,59.0,58.4,58.9,1373.927
1673042400000,58.8,58.9,58.4,58.6,2290.852
1673046000000,58.5,59.9,58.5,59.2,3008.446
1673049600000,59.2,61.3,58.9,61.0,7650.652
1673053200000,61.0,61.1,60.2,60.5,2184.206
1673056800000,60.5,61.1,60.5,60.9,1273.992
1673060400000,61.0,62.0,60.9,61.7,2616.369
1673064000000,61.7,61.7,60.9,60.9,1087.413
1673067600000,60.9,60.9,60.3,60.6,2292.576
1673071200000,60.6,60.6,60.4,60.6,612.173
1673074800000,60.6,60.7,60.5,60.6,774.548
1673078400000,60.5,60.6,59.2,59.6,2983.202
1673082000000,59.5,59.8,59.5,59.7,1197.442
1673085600000,59.6,60.2,59.0,60.2,3639.258
1673089200000,60.3,60.4,60.0,60.0,2594.564
1673092800000,60.0,60.0,59.7,59.8,1795.796
1673096400000,59.8,60.0,59.5,59.6,977.339
1673100000000,59.5,59.7,59.3,59.4,1052.906
1673103600000,59.4,60.1,59.4,59.9,1637.281
1673107200000,59.9,60.3,59.7,59.8,1250.279
1673110800000,59.8,59.8,59.5,59.5,758.28
1673114400000,59.5,59.8,59.5,59.5,458.791
1673118000000,59.5,59.8,59.5,59.7,377.39
1673121600000,59.7,59.7,59.4,59.5,546.833
1673125200000,59.5,59.5,59.2,59.3,505.292
1673128800000,59.3,59.4,58.4,58.6,1803.907
1673132400000,58.6,59.1,58.6,58.9,408.02
1673136000000,59.0,59.2,58.5,58.7,665.043
1673139600000,58.7,58.9,58.6,58.7,321.838
1673143200000,58.7,58.8,58.6,58.7,209.812
1673146800000,58.7,58.8,58.2,58.4,1021.48
1673150400000,58.4,58.8,58.4,58.8,409.273
1673154000000,58.8,60.0,58.8,59.7,2528.785
1673157600000,59.8,60.2,59.7,59.8,2741.437
1673161200000,59.8,59.9,59.6,59.7,611.134
1673164800000,59.6,60.2,59.6,60.0,1110.228
1673168400000,60.1,60.5,59.8,60.1,1326.062
1673172000000,60.1,60.2,59.9,59.9,431.296
1673175600000,59.9,60.4,59.9,60.1,804.709
1673179200000,60.1,60.1,59.5,59.6,1083.876
1673182800000,59.6,59.8,59.5,59.8,778.52
1673186400000,59.8,60.3,59.7,60.2,1634.258
1673190000000,60.3,60.4,60.0,60.2,1780.305
1673193600000,60.3,60.4,59.8,59.9,444.236
1673197200000,59.9,60.3,59.9,59.9,386.108
1673200800000,59.9,60.0,59.8,59.9,674.032
1673204400000,59.9,60.4,59.9,60.3,2358.601
1673208000000,60.2,61.1,60.2,60.7,2445.044
1673211600000,60.7,61.4,60.7,61.0,1879.955
1673215200000,60.9,61.1,60.5,60.6,744.414
1673218800000,60.7,61.2,60.4,60.9,1051.771
1673222400000,61.0,61.5,61.0,61.4,1637.863
1673226000000,61.4,62.0,61.3,61.8,1475.035
1673229600000,61.8,62.6,61.4,61.9,3443.408
1673233200000,62.0,62.6,61.7,62.6,1880.491
1673236800000,62.6,66.3,62.2,64.5,10355.14
1673240400000,64.5,65.1,63.8,63.9,2268.548
1673244000000,63.9,64.0,63.5,63.5,1416.049
1673247600000,63.5,63.9,63.0,63.7,1268.016
1673251200000,63.8,64.0,63.1,63.1,1005.827
1673254800000,63.1,63.9,63.1,63.4,934.425
1673258400000,63.4,72.8,63.4,69.1,43016.455
1673262000000,69.1,73.3,68.6,70.5,25489.579
1673265600000,70.5,72.1,70.0,71.4,7960.972
1673269200000,71.4,72.0,70.2,71.0,6807.276
1673272800000,71.0,73.3,70.6,72.1,9529.715
