date,open,high,low,close,volume
1672527600000,0.473,0.475,0.472,0.474,46692.3
1672531200000,0.475,0.475,0.465,0.469,120114.3
1672534800000,0.469,0.469,0.467,0.469,76131.7
1672538400000,0.468,0.47,0.467,0.47,46143.5
1672542000000,0.47,0.471,0.469,0.471,45780.8
1672545600000,0.471,0.471,0.468,0.468,49100.6
1672549200000,0.468,0.469,0.467,0.469,36974.6
1672552800000,0.469,0.47,0.469,0.47,43268.4
1672556400000,0.47,0.47,0.467,0.47,36805.1
1672560000000,0.47,0.47,0.467,0.468,67499.0
1672563600000,0.468,0.47,0.465,0.47,64164.0
1672567200000,0.47,0.471,0.469,0.471,44373.4
1672570800000,0.471,0.474,0.47,0.474,46330.7
1672574400000,0.474,0.476,0.473,0.475,44715.0
1672578000000,0.474,0.476,0.471,0.472,57316.8
1672581600000,0.472,0.476,0.472,0.476,39141.6
1672585200000,0.476,0.477,0.474,0.476,49376.0
1672588800000,0.476,0.479,0.475,0.478,91483.6
1672592400000,0.478,0.479,0.477,0.479,56251.9
1672596000000,0.479,0.481,0.477,0.48,59052.6
1672599600000,0.48,0.484,0.48,0.481,149456.6
1672603200000,0.481,0.485,0.481,0.484,79637.5
1672606800000,0.484,0.484,0.481,0.482,78014.7
1672610400000,0.482,0.483,0.48,0.481,52503.4
1672614000000,0.481,0.484,0.48,0.481,63144.7
1672617600000,0.481,0.483,0.48,0.481,55340.9
1672621200000,0.481,0.481,0.47,0.472,205880.8
1672624800000,0.472,0.474,0.471,0.474,97416.7
1672628400000,0.474,0.478,0.473,0.478,46434.0
1672632000000,0.478,0.48,0.477,0.48,37616.1
1672635600000,0.48,0.481,0.479,0.481,45729.8
1672639200000,0.481,0.481,0.479,0.48,65181.0
1672642800000,0.481,0.489,0.48,0.485,271300.3
1672646400000,0.485,0.491,0.484,0.489,114263.1
1672650000000,0.49,0.491,0.488,0.489,129711.2
1672653600000,0.489,0.49,0.487,0.49,62978.0
1672657200000,0.49,0.491,0.487,0.488,97803.0
1672660800000,0.489,0.491,0.488,0.49,79625.8
1672664400000,0.49,0.494,0.489,0.493,139569.4
1672668000000,0.492,0.492,0.49,0.491,81214.0
1672671600000,0.491,0.495,0.49,0.493,78943.1
1672675200000,0.493,0.495,0.492,0.495,46210.2
1672678800000,0.495,0.498,0.493,0.497,70380.1
1672682400000,0.496,0.497,0.492,0.493,55406.7
1672686000000,0.493,0.497,0.493,0.495,56728.9
1672689600000,0.495,0.499,0.494,0.498,54601.0
1672693200000,0.498,0.5,0.497,0.499,72343.3
1672696800000,0.499,0.499,0.491,0.492,116941.0
1672700400000,0.492,0.495,0.491,0.492,150093.8
1672704000000,0.491,0.495,0.491,0.495,72143.9
1672707600000,0.494,0.494,0.489,0.492,72762.9
1672711200000,0.492,0.493,0.491,0.492,48029.3
1672714800000,0.492,0.492,0.49,0.491,51764.2
1672718400000,0.491,0.493,0.489,0.491,94467.2
1672722000000,0.491,0.493,0.489,0.493,44190.9
1672725600000,0.493,0.496,0.492,0.494,76428.1
