date,open,high,low,close,volume
1672527600000,0.1067,0.107,0.1066,0.107,52474.0
1672531200000,0.1069,0.1071,0.1065,0.1067,144841.0
1672534800000,0.1067,0.1068,0.1065,0.1068,53482.0
1672538400000,0.1066,0.1069,0.1066,0.1067,86016.0
1672542000000,0.1066,0.1068,0.1065,0.1068,84506.0
1672545600000,0.1067,0.1068,0.1064,0.1064,153759.0
1672549200000,0.1064,0.1066,0.1063,0.1065,98125.0
1672552800000,0.1064,0.1065,0.1063,0.1063,23561.0
1672556400000,0.1064,0.1065,0.106,0.106,128964.0
1672560000000,0.106,0.1061,0.1058,0.1059,112256.0
1672563600000,0.1059,0.1059,0.1053,0.1056,668513.0
1672567200000,0.1056,0.1057,0.1055,0.1056,107581.0
1672570800000,0.1056,0.1058,0.1055,0.1057,50470.0
1672574400000,0.1056,0.1057,0.1055,0.1056,124767.0
1672578000000,0.1057,0.1057,0.1052,0.1053,92362.0
1672581600000,0.1053,0.1057,0.1053,0.1056,447621.0
1672585200000,0.1057,0.1058,0.1057,0.1058,41844.0
1672588800000,0.1059,0.1062,0.1058,0.1061,185934.0
1672592400000,0.1062,0.1065,0.1061,0.1062,121635.0
1672596000000,0.1062,0.1063,0.1062,0.1062,61540.0
1672599600000,0.1062,0.1065,0.1057,0.106,580514.0
1672603200000,0.106,0.1064,0.1058,0.1061,148765.0
1672606800000,0.1061,0.1062,0.1059,0.1062,23315.0
1672610400000,0.1062,0.1062,0.1059,0.1059,157429.0
1672614000000,0.1059,0.1063,0.1059,0.1061,174081.0
1672617600000,0.1062,0.1062,0.1049,0.1051,529683.0
1672621200000,0.1051,0.1051,0.1039,0.1045,1516028.0
1672624800000,0.1043,0.1047,0.1042,0.1046,203936.0
1672628400000,0.1045,0.1055,0.1044,0.1054,388613.0
1672632000000,0.1054,0.1054,0.1049,0.105,95466.0
1672635600000,0.1051,0.1054,0.105,0.1052,112799.0
1672639200000,0.1052,0.1056,0.1052,0.1054,138665.0
1672642800000,0.1053,0.1075,0.1053,0.1064,2581987.0
1672646400000,0.1063,0.1079,0.1063,0.1073,834695.0
1672650000000,0.1074,0.1078,0.1072,0.1075,419221.0
1672653600000,0.1075,0.108,0.1073,0.1078,273154.0
1672657200000,0.1078,0.1078,0.1071,0.1078,624270.0
1672660800000,0.1077,0.1081,0.1076,0.108,325371.0
1672664400000,0.108,0.1085,0.1078,0.1081,359613.0
1672668000000,0.1081,0.1085,0.108,0.1085,365596.0
1672671600000,0.1085,0.1095,0.1084,0.1092,1153487.0
