date,open,high,low,close,volume
1672527600000,31.09,31.23,30.99,31.2,4715.906
1672531200000,31.21,31.37,30.93,30.94,9500.203
1672534800000,30.95,31.04,30.9,31.0,4698.122
1672538400000,31.0,31.47,30.94,31.17,23189.195
1672542000000,31.17,31.22,31.1,31.18,4782.237
1672545600000,31.18,31.22,30.91,30.92,8542.808
1672549200000,30.94,30.96,30.85,30.92,967.895
1672552800000,30.9,31.02,30.9,30.93,1256.958
1672556400000,30.92,31.24,30.91,31.22,4989.879
1672560000000,31.22,31.31,31.09,31.16,1968.75
1672563600000,31.16,31.26,31.03,31.25,2671.574
1672567200000,31.26,31.29,31.12,31.22,2629.625
1672570800000,31.24,31.36,31.23,31.35,1720.503
1672574400000,31.35,31.59,31.29,31.44,2519.475
1672578000000,31.45,32.3,31.44,31.82,19759.801
1672581600000,31.82,31.85,31.62,31.63,3022.128
1672585200000,31.63,31.79,31.59,31.74,1769.765
1672588800000,31.74,31.8,31.63,31.74,1887.414
1672592400000,31.73,31.86,31.64,31.82,2794.167
1672596000000,31.82,31.82,31.68,31.71,1472.194
1672599600000,31.72,31.78,31.68,31.71,1261.388
1672603200000,31.71,31.83,31.63,31.63,1513.99
1672606800000,31.63,31.72,31.62,31.69,1140.433
1672610400000,31.69,31.69,31.5,31.5,1918.667
1672614000000,31.5,31.65,31.5,31.55,1803.723
1672617600000,31.55,31.62,31.11,31.19,6799.394
1672621200000,31.18,31.23,30.77,30.91,8185.064
1672624800000,30.89,31.13,30.87,31.11,1452.517
1672628400000,31.12,31.33,31.07,31.25,6309.805
1672632000000,31.26,31.37,31.23,31.28,4359.721
1672635600000,31.29,31.37,31.24,31.27,1785.254
1672639200000,31.28,31.35,31.18,31.24,2293.128
1672642800000,31.24,31.96,31.14,31.69,15446.986
1672646400000,31.71,31.88,31.7,31.74,4771.908
1672650000000,31.73,32.23,31.73,31.99,12453.565
1672653600000,32.0,32.03,31.74,31.85,3094.056
1672657200000,31.86,32.11,31.75,32.11,2918.797
1672660800000,32.1,32.32,32.05,32.13,7834.423
1672664400000,32.14,32.21,31.94,31.96,3347.62
1672668000000,31.96,32.04,31.85,32.03,1935.353
1672671600000,32.03,32.19,31.91,32.1,1941.495
1672675200000,32.1,32.2,32.07,32.11,1172.628
1672678800000,32.1,32.19,32.04,32.19,1333.22
1672682400000,32.19,32.2,32.12,32.12,1176.334
1672686000000,32.13,32.31,32.13,32.23,1261.207
1672689600000,32.26,32.3,32.07,32.08,782.089
1672693200000,32.09,32.17,32.05,32.11,826.326
1672696800000,32.11,32.14,31.82,31.82,1768.614
1672700400000,31.85,32.12,31.85,31.99,2642.181
1672704000000,32.0,32.09,31.94,32.0,1671.345
1672707600000,31.98,32.02,31.67,31.74,3604.536
1672711200000,31.73,31.87,31.68,31.68,2848.427
1672714800000,31.69,31.86,31.69,31.83,1338.272
1672718400000,31.84,31.89,31.74,31.79,2045.185
1672722000000,31.79,31.99,31.79,31.99,2199.649
1672725600000,31.98,32.08,31.86,31.89,1748.312
1672729200000,31.9,31.99,31.84,31.9,1034.024
1672732800000,31.9,31.91,31.49,31.65,4859.371
1672736400000,31.64,31.81,31.6,31.76,1540.008
1672740000000,31.76,31.79,31.65,31.65,2108.085
1672743600000,31.67,31.76,31.51,31.65,4693.875
1672747200000,31.64,31.68,31.58,31.61,1925.997
1672750800000,31.61,31.7,31.53,31.55,4275.565
1672754400000,31.55,31.72,31.06,31.17,8128.502
1672758000000,31.17,31.26,31.0,31.19,4214.443
1672761600000,31.18,31.29,30.9,30.92,4673.386
1672765200000,30.91,31.11,30.91,31.03,1365.082
1672768800000,31.02,31.16,30.95,31.16,1179.0
1672772400000,31.16,31.25,31.07,31.21,1092.921
1672776000000,31.22,31.36,31.19,31.22,1729.379
1672779600000,31.23,31.23,31.08,31.18,1606.738
1672783200000,31.18,31.22,30.99,31.07,1364.921
1672786800000,31.11,31.29,31.11,31.23,2008.19
1672790400000,31.23,31.43,31.21,31.33,2966.213
1672794000000,31.31,31.85,31.31,31.59,6142.648
1672797600000,31.59,32.0,31.58,31.92,5388.212
1672801200000,31.93,32.46,31.88,32.38,15563.676
1672804800000,32.38,33.01,32.27,32.66,19805.959
1672808400000,32.67,34.17,32.6,34.06,51153.89
1672812000000,34.05,34.22,33.61,33.7,13478.276
1672815600000,33.7,33.84,33.48,33.67,7317.652
1672819200000,33.66,33.66,33.24,33.25,6364.38
1672822800000,33.25,33.34,33.1,33.27,4298.177
1672826400000,33.25,33.25,33.05,33.09,2890.636
1672830000000,33.09,33.27,33.04,33.09,2810.391
1672833600000,33.09,33.44,33.08,33.15,6615.595
1672837200000,33.16,33.84,33.15,33.66,11994.977
1672840800000,33.65,33.66,33.35,33.49,3488.191
1672844400000,33.46,33.9,32.96,33.86,6372.905
1672848000000,33.87,33.89,33.6,33.68,3316.128
1672851600000,33.68,34.03,33.65,33.66,2837.216
1672855200000,33.65,33.91,33.57,33.57,2811.9
1672858800000,33.57,33.68,33.1,33.24,5686.465
1672862400000,33.25,33.29,32.64,32.79,5265.451
1672866000000,32.77,32.92,32.7,32.75,2308.514
1672869600000,32.77,33.22,32.74,33.21,2689.329
1672873200000,33.19,33.4,33.15,33.23,4594.824
1672876800000,33.25,33.51,33.06,33.06,4897.643
1672880400000,33.07,33.37,32.95,33.14,2773.426
1672884000000,33.14,33.3,33.0,33.24,2853.717
1672887600000,33.23,33.25,33.04,33.09,2800.745
1672891200000,33.1,33.47,33.08,33.38,3380.678
1672894800000,33.38,33.48,33.33,33.48,1787.402
1672898400000,33.49,33.6,33.13,33.18,3009.085
1672902000000,33.19,33.25,32.92,33.0,2149.584
1672905600000,33.05,33.1,32.74,32.83,4684.155
1672909200000,32.85,33.03,32.61,32.8,3578.236
