date,open,high,low,close,volume
1672527600000,0.525,0.527,0.523,0.524,198448.5
1672531200000,0.524,0.529,0.524,0.524,351870.1
1672534800000,0.524,0.528,0.523,0.527,136338.2
1672538400000,0.527,0.53,0.524,0.526,316414.0
1672542000000,0.526,0.527,0.523,0.526,124218.7
1672545600000,0.526,0.528,0.524,0.525,321846.2
1672549200000,0.526,0.529,0.525,0.526,156080.1
1672552800000,0.526,0.527,0.523,0.525,139974.7
1672556400000,0.526,0.529,0.524,0.527,356622.9
1672560000000,0.527,0.529,0.526,0.527,220044.3
1672563600000,0.527,0.529,0.526,0.526,130464.6
1672567200000,0.527,0.529,0.525,0.527,153693.7
1672570800000,0.528,0.529,0.524,0.525,152997.8
1672574400000,0.525,0.527,0.524,0.524,86797.7
1672578000000,0.525,0.525,0.523,0.523,106331.3
1672581600000,0.524,0.524,0.519,0.52,201920.8
1672585200000,0.521,0.524,0.52,0.522,183691.9
1672588800000,0.522,0.524,0.522,0.523,125775.3
1672592400000,0.524,0.525,0.522,0.523,190632.6
1672596000000,0.524,0.527,0.523,0.525,204625.9
1672599600000,0.526,0.528,0.525,0.526,140519.3
1672603200000,0.526,0.528,0.526,0.526,138343.8
1672606800000,0.526,0.529,0.524,0.526,180291.7
1672610400000,0.526,0.529,0.526,0.527,110136.0
1672614000000,0.527,0.529,0.526,0.527,303990.6
1672617600000,0.528,0.529,0.525,0.525,226713.4
1672621200000,0.525,0.526,0.52,0.52,534728.4
1672624800000,0.52,0.525,0.519,0.524,199069.0
1672628400000,0.525,0.526,0.523,0.525,129753.0
1672632000000,0.525,0.527,0.523,0.523,140649.8
1672635600000,0.524,0.526,0.522,0.524,87107.8
1672639200000,0.524,0.526,0.521,0.523,282323.0
1672642800000,0.524,0.537,0.522,0.532,1388285.7
1672646400000,0.532,0.542,0.532,0.538,1125933.7
1672650000000,0.539,0.543,0.534,0.535,665554.1
1672653600000,0.535,0.539,0.534,0.537,350749.7
1672657200000,0.538,0.54,0.536,0.539,293308.6
1672660800000,0.54,0.542,0.538,0.539,245056.3
1672664400000,0.539,0.542,0.536,0.538,306858.5
1672668000000,0.539,0.545,0.536,0.544,447340.6
1672671600000,0.544,0.55,0.542,0.544,563869.0
1672675200000,0.544,0.549,0.544,0.544,433421.1
1672678800000,0.544,0.546,0.541,0.541,200550.3
1672682400000,0.542,0.543,0.538,0.539,228701.9
1672686000000,0.539,0.54,0.537,0.538,153285.1
1672689600000,0.538,0.54,0.536,0.537,93607.1
1672693200000,0.537,0.539,0.534,0.538,511979.9
1672696800000,0.539,0.539,0.533,0.533,249397.0
1672700400000,0.534,0.537,0.532,0.533,218783.4
1672704000000,0.533,0.536,0.532,0.534,137835.7
1672707600000,0.534,0.535,0.53,0.532,209136.5
1672711200000,0.533,0.533,0.529,0.529,229099.0
1672714800000,0.529,0.532,0.528,0.53,194095.0
1672718400000,0.531,0.533,0.529,0.532,226324.8
1672722000000,0.532,0.534,0.531,0.534,200145.4
1672725600000,0.534,0.538,0.533,0.533,277790.1
1672729200000,0.533,0.534,0.53,0.531,128332.3
1672732800000,0.531,0.533,0.527,0.529,248216.7
1672736400000,0.529,0.534,0.529,0.532,200795.5
1672740000000,0.533,0.536,0.531,0.534,141730.6
1672743600000,0.535,0.536,0.531,0.532,117164.5
1672747200000,0.533,0.534,0.529,0.531,235231.1
1672750800000,0.531,0.534,0.531,0.532,234301.8
1672754400000,0.532,0.535,0.525,0.525,575941.7
1672758000000,0.525,0.529,0.522,0.525,722367.3
1672761600000,0.526,0.529,0.523,0.524,470415.6
1672765200000,0.524,0.526,0.523,0.524,199284.1
1672768800000,0.524,0.525,0.522,0.525,162462.7
1672772400000,0.524,0.525,0.522,0.524,98514.7
1672776000000,0.525,0.527,0.524,0.525,92555.4
1672779600000,0.525,0.527,0.524,0.526,121585.6
1672783200000,0.526,0.528,0.525,0.527,69737.0
1672786800000,0.528,0.531,0.528,0.53,129070.0
1672790400000,0.53,0.531,0.528,0.53,185661.3
1672794000000,0.531,0.538,0.53,0.532,647881.2
1672797600000,0.532,0.543,0.532,0.543,726865.2
1672801200000,0.542,0.56,0.542,0.557,1883872.5
1672804800000,0.558,0.565,0.554,0.564,580168.2
1672808400000,0.564,0.566,0.56,0.562,281937.8
1672812000000,0.562,0.564,0.559,0.561,428995.5
1672815600000,0.561,0.563,0.556,0.557,358194.4
1672819200000,0.557,0.563,0.556,0.56,978441.0
1672822800000,0.56,0.563,0.558,0.558,353282.0
1672826400000,0.558,0.559,0.555,0.556,193596.9
