date,open,high,low,close,volume
1672527600000,0.742,0.744,0.735,0.744,129387.4
1672531200000,0.744,0.744,0.738,0.739,33931.5
1672534800000,0.739,0.755,0.738,0.74,95485.9
1672538400000,0.74,0.743,0.737,0.742,24557.8
1672542000000,0.742,0.748,0.74,0.746,27828.3
1672545600000,0.746,0.749,0.745,0.748,17805.9
1672549200000,0.749,0.75,0.745,0.745,17961.1
1672552800000,0.746,0.747,0.744,0.747,13374.4
1672556400000,0.747,0.749,0.745,0.745,6602.2
1672560000000,0.746,0.746,0.741,0.743,14851.9
1672563600000,0.742,0.744,0.74,0.743,16915.3
1672567200000,0.742,0.75,0.742,0.747,30612.4
1672570800000,0.747,0.75,0.742,0.744,47031.7
1672574400000,0.744,0.748,0.74,0.74,9563.3
1672578000000,0.741,0.744,0.74,0.744,10145.0
1672581600000,0.744,0.747,0.742,0.743,32117.8
1672585200000,0.743,0.745,0.741,0.743,20688.5
1672588800000,0.744,0.745,0.743,0.744,8227.0
1672592400000,0.745,0.746,0.743,0.744,1611.2
1672596000000,0.744,0.745,0.743,0.744,5217.3
1672599600000,0.744,0.748,0.744,0.745,4771.8
1672603200000,0.745,0.746,0.744,0.744,8004.1
1672606800000,0.744,0.744,0.741,0.741,6248.9
1672610400000,0.742,0.743,0.736,0.737,16803.3
1672614000000,0.738,0.74,0.737,0.738,8470.1
1672617600000,0.738,0.741,0.735,0.738,12583.5
1672621200000,0.737,0.737,0.732,0.733,29297.3
1672624800000,0.732,0.733,0.731,0.732,6833.2
1672628400000,0.732,0.736,0.731,0.735,24658.1
1672632000000,0.735,0.735,0.73,0.734,27167.0
1672635600000,0.733,0.734,0.729,0.732,15862.3
1672639200000,0.732,0.734,0.73,0.731,4881.6
1672642800000,0.731,0.75,0.73,0.744,352679.3
1672646400000,0.744,0.745,0.74,0.74,23086.3
1672650000000,0.741,0.741,0.736,0.736,23681.2
1672653600000,0.736,0.74,0.733,0.739,30833.4
1672657200000,0.739,0.741,0.736,0.739,18883.7
1672660800000,0.74,0.741,0.737,0.737,14182.1
1672664400000,0.738,0.738,0.732,0.732,16071.8
1672668000000,0.733,0.735,0.731,0.734,10383.1
1672671600000,0.734,0.738,0.732,0.735,20046.0
1672675200000,0.735,0.736,0.733,0.734,5756.5
1672678800000,0.734,0.735,0.73,0.734,12691.3
1672682400000,0.733,0.733,0.73,0.732,7636.5
1672686000000,0.732,0.732,0.728,0.73,18446.1
1672689600000,0.73,0.73,0.726,0.728,19649.6
1672693200000,0.728,0.729,0.725,0.729,12207.3
1672696800000,0.729,0.729,0.72,0.723,10401.1
1672700400000,0.723,0.726,0.721,0.724,9858.1
1672704000000,0.723,0.73,0.723,0.729,19144.5
1672707600000,0.728,0.728,0.722,0.722,15192.4
1672711200000,0.722,0.723,0.718,0.719,23518.3
1672714800000,0.719,0.721,0.718,0.72,9907.9
1672718400000,0.719,0.722,0.716,0.718,15199.2
1672722000000,0.719,0.725,0.719,0.722,31950.4
1672725600000,0.722,0.725,0.721,0.721,25838.0
1672729200000,0.721,0.723,0.715,0.72,41475.8
1672732800000,0.72,0.72,0.716,0.717,18893.5
1672736400000,0.718,0.72,0.717,0.719,12779.1
1672740000000,0.719,0.719,0.718,0.718,5824.0
1672743600000,0.718,0.718,0.713,0.714,17404.5
1672747200000,0.714,0.714,0.708,0.71,36910.1
1672750800000,0.71,0.714,0.71,0.713,24001.4
1672754400000,0.712,0.715,0.705,0.709,58370.8
1672758000000,0.709,0.712,0.704,0.71,47669.6
1672761600000,0.709,0.713,0.708,0.708,28315.9
1672765200000,0.708,0.715,0.708,0.715,53526.6
1672768800000,0.714,0.715,0.711,0.713,5863.8
1672772400000,0.713,0.717,0.713,0.716,10604.9
1672776000000,0.716,0.718,0.715,0.718,17260.8
1672779600000,0.718,0.719,0.716,0.716,14286.5
1672783200000,0.717,0.718,0.716,0.717,11361.5
1672786800000,0.717,0.721,0.717,0.717,6126.1
1672790400000,0.717,0.717,0.712,0.713,16508.0
1672794000000,0.713,0.722,0.712,0.718,30095.9
1672797600000,0.718,0.726,0.718,0.724,40598.8
1672801200000,0.724,0.732,0.724,0.73,74737.1
1672804800000,0.73,0.732,0.726,0.726,96531.7
1672808400000,0.726,0.731,0.722,0.73,60305.4
1672812000000,0.731,0.731,0.728,0.731,18820.9
1672815600000,0.731,0.733,0.728,0.732,39087.0
1672819200000,0.733,0.734,0.728,0.733,20437.0
1672822800000,0.733,0.741,0.733,0.739,36099.0
1672826400000,0.74,0.74,0.737,0.737,12661.1
1672830000000,0.737,0.737,0.733,0.737,19088.1
1672833600000,0.736,0.739,0.734,0.734,10319.8
1672837200000,0.733,0.736,0.733,0.735,15924.5
1672840800000,0.736,0.737,0.731,0.734,29165.8
1672844400000,0.734,0.736,0.725,0.736,28137.2
1672848000000,0.736,0.738,0.733,0.735,15803.7
1672851600000,0.735,0.743,0.735,0.74,19175.7
