date,open,high,low,close,volume
1672527600000,4.319,4.322,4.298,4.309,79289.01
1672531200000,4.308,4.313,4.278,4.285,129675.3
1672534800000,4.284,4.304,4.275,4.298,94752.82
1672538400000,4.299,4.308,4.29,4.3,32398.97
1672542000000,4.299,4.304,4.295,4.302,49242.49
1672545600000,4.301,4.302,4.278,4.283,36164.19
1672549200000,4.283,4.299,4.28,4.298,30242.18
1672552800000,4.298,4.305,4.291,4.301,24035.69
1672556400000,4.301,4.308,4.288,4.304,71075.0
1672560000000,4.304,4.305,4.289,4.292,47052.14
1672563600000,4.292,4.32,4.288,4.317,55387.25
1672567200000,4.316,4.344,4.309,4.341,110673.06
1672570800000,4.341,4.344,4.328,4.336,71143.57
1672574400000,4.337,4.342,4.325,4.327,58382.82
1672578000000,4.327,4.333,4.317,4.318,33589.23
1672581600000,4.319,4.331,4.319,4.322,20302.94
1672585200000,4.323,4.339,4.323,4.339,18834.8
1672588800000,4.339,4.344,4.333,4.34,34769.24
1672592400000,4.341,4.36,4.34,4.358,50583.84
1672596000000,4.36,4.373,4.36,4.362,45570.85
1672599600000,4.362,4.378,4.349,4.355,75697.57
1672603200000,4.356,4.375,4.356,4.369,53501.48
1672606800000,4.369,4.387,4.363,4.38,70822.89
1672610400000,4.379,4.382,4.368,4.373,39489.56
1672614000000,4.374,4.384,4.36,4.371,88355.82
1672617600000,4.371,4.379,4.346,4.347,79748.67
1672621200000,4.347,4.35,4.316,4.338,133562.58
1672624800000,4.339,4.397,4.335,4.374,148623.45
1672628400000,4.373,4.452,4.37,4.442,454807.31
1672632000000,4.442,4.47,4.436,4.444,566545.75
1672635600000,4.444,4.456,4.437,4.442,70116.41
1672639200000,4.443,4.456,4.425,4.43,51788.79
1672642800000,4.43,4.494,4.424,4.472,302984.42
1672646400000,4.473,4.5,4.472,4.49,174439.84
1672650000000,4.492,4.521,4.489,4.49,159312.68
1672653600000,4.491,4.501,4.482,4.487,102427.71
1672657200000,4.488,4.491,4.476,4.488,52796.49
1672660800000,4.487,4.497,4.483,4.483,31584.45
1672664400000,4.483,4.489,4.47,4.475,79012.14
1672668000000,4.475,4.495,4.475,4.494,48568.71
1672671600000,4.494,4.514,4.485,4.499,83490.06
1672675200000,4.5,4.56,4.497,4.51,198719.03
1672678800000,4.51,4.516,4.484,4.499,112552.03
1672682400000,4.499,4.515,4.496,4.51,49374.43
1672686000000,4.51,4.528,4.51,4.517,52657.04
1672689600000,4.517,4.524,4.501,4.504,36148.4
1672693200000,4.505,4.524,4.498,4.51,63165.05
1672696800000,4.51,4.512,4.479,4.486,49753.87
1672700400000,4.486,4.503,4.477,4.492,62608.25
1672704000000,4.492,4.509,4.488,4.504,66515.04
1672707600000,4.503,4.505,4.462,4.485,88684.05
1672711200000,4.485,4.496,4.48,4.482,63404.84
1672714800000,4.482,4.502,4.481,4.493,66501.96
1672718400000,4.493,4.497,4.483,4.488,37555.42
1672722000000,4.487,4.516,4.484,4.515,90518.51
1672725600000,4.515,4.545,4.508,4.51,95416.19
1672729200000,4.511,4.518,4.498,4.512,85625.06
1672732800000,4.513,4.52,4.488,4.504,92759.61
1672736400000,4.505,4.539,4.505,4.532,66802.4
1672740000000,4.533,4.537,4.525,4.525,64065.74
1672743600000,4.525,4.534,4.512,4.521,47981.14
1672747200000,4.52,4.535,4.514,4.522,52784.99
1672750800000,4.522,4.53,4.516,4.521,38560.96
1672754400000,4.52,4.545,4.488,4.495,177200.99
1672758000000,4.495,4.517,4.489,4.51,192122.54
1672761600000,4.51,4.523,4.491,4.496,233185.57
1672765200000,4.495,4.508,4.48,4.489,58989.55
1672768800000,4.488,4.5,4.483,4.495,53761.86
1672772400000,4.496,4.515,4.483,4.509,77004.83
1672776000000,4.509,4.527,4.509,4.517,65888.85
1672779600000,4.516,4.523,4.505,4.512,60934.23
1672783200000,4.512,4.517,4.503,4.515,37587.02
1672786800000,4.516,4.53,4.516,4.526,50252.27
1672790400000,4.526,4.555,4.526,4.542,104868.69
1672794000000,4.542,4.637,4.54,4.624,399954.4
1672797600000,4.624,4.66,4.62,4.651,257462.09
1672801200000,4.652,4.689,4.647,4.679,216439.0
1672804800000,4.679,4.684,4.65,4.664,135583.07
1672808400000,4.664,4.665,4.649,4.659,69594.22
1672812000000,4.659,4.667,4.643,4.666,127036.21
1672815600000,4.666,4.677,4.65,4.663,121801.35
1672819200000,4.662,4.675,4.628,4.642,113246.06
1672822800000,4.643,4.659,4.638,4.645,122432.57
1672826400000,4.646,4.65,4.636,4.639,47220.27
