date,open,high,low,close,volume
1672527600000,0.0833,0.0834,0.083,0.0832,90916.0
1672531200000,0.0833,0.0833,0.0829,0.0831,67847.0
1672534800000,0.0831,0.0836,0.0829,0.083,202644.0
1672538400000,0.0831,0.0832,0.0831,0.0832,14768.0
1672542000000,0.0832,0.0839,0.0832,0.0838,237435.0
1672545600000,0.0837,0.0839,0.0834,0.0834,137238.0
1672549200000,0.0835,0.0836,0.0833,0.0835,116790.0
1672552800000,0.0835,0.0838,0.0834,0.0835,253651.0
1672556400000,0.0835,0.0837,0.0834,0.0835,116770.0
1672560000000,0.0834,0.0837,0.083,0.0831,177789.0
1672563600000,0.0831,0.0834,0.0831,0.0832,128020.0
1672567200000,0.0832,0.0838,0.0832,0.0837,149383.0
1672570800000,0.0837,0.084,0.0834,0.0836,117111.0
1672574400000,0.0835,0.0838,0.0828,0.0829,225972.0
1672578000000,0.0829,0.083,0.0821,0.0822,727122.0
1672581600000,0.0822,0.0824,0.082,0.0823,47418.0
1672585200000,0.0823,0.0826,0.0823,0.0824,73467.0
1672588800000,0.0825,0.0826,0.0823,0.0823,48596.0
1672592400000,0.0824,0.0826,0.0824,0.0825,58128.0
1672596000000,0.0824,0.0827,0.0824,0.0826,45255.0
1672599600000,0.0825,0.0825,0.0822,0.0822,55669.0
1672603200000,0.0822,0.0827,0.0822,0.0823,314692.0
1672606800000,0.0823,0.0824,0.0819,0.082,96722.0
1672610400000,0.082,0.0821,0.0817,0.0817,449613.0
1672614000000,0.0817,0.082,0.0815,0.0819,177686.0
1672617600000,0.0819,0.0823,0.0812,0.0813,368669.0
1672621200000,0.0813,0.0813,0.0805,0.0807,462761.0
1672624800000,0.0808,0.081,0.0807,0.0809,68137.0
1672628400000,0.081,0.0815,0.081,0.0814,90779.0
1672632000000,0.0814,0.0815,0.0809,0.0811,77644.0
1672635600000,0.0812,0.0812,0.0808,0.081,61499.0
1672639200000,0.081,0.0812,0.0809,0.0811,55744.0
1672642800000,0.0809,0.0825,0.0807,0.082,1059430.0
1672646400000,0.0819,0.0827,0.0819,0.0826,446450.0
1672650000000,0.0825,0.0831,0.0825,0.0827,482551.0
1672653600000,0.0827,0.0829,0.0826,0.0828,130719.0
1672657200000,0.0828,0.0831,0.0826,0.0831,253702.0
1672660800000,0.083,0.0834,0.083,0.083,262331.0
1672664400000,0.0831,0.0834,0.083,0.0833,710247.0
1672668000000,0.0832,0.0833,0.083,0.0831,87471.0
1672671600000,0.0831,0.0835,0.0831,0.0833,137377.0
1672675200000,0.0834,0.0835,0.0832,0.0833,52417.0
1672678800000,0.0832,0.0832,0.083,0.0832,25237.0
1672682400000,0.0832,0.0834,0.0831,0.0833,74369.0
1672686000000,0.0833,0.0836,0.0832,0.0834,43162.0
1672689600000,0.0835,0.0835,0.0833,0.0833,44727.0
1672693200000,0.0834,0.0835,0.0832,0.0834,62657.0
1672696800000,0.0835,0.0835,0.0827,0.0828,560330.0
1672700400000,0.0827,0.0831,0.0826,0.0828,147433.0
1672704000000,0.0828,0.0832,0.0828,0.0832,133911.0
1672707600000,0.0831,0.0831,0.0827,0.0828,76010.0
1672711200000,0.0829,0.083,0.0828,0.083,44648.0
1672714800000,0.0829,0.0834,0.0829,0.0832,54750.0
1672718400000,0.0832,0.0833,0.0831,0.0831,12999.0
1672722000000,0.0831,0.0835,0.0831,0.0835,59469.0
1672725600000,0.0835,0.085,0.0835,0.084,729723.0
1672729200000,0.0841,0.0841,0.0836,0.0837,141106.0
1672732800000,0.0837,0.0839,0.0834,0.0837,140543.0
1672736400000,0.0837,0.0841,0.0836,0.0841,76533.0
1672740000000,0.0841,0.0841,0.0835,0.0836,93911.0
1672743600000,0.0835,0.084,0.0833,0.0834,183197.0
1672747200000,0.0835,0.0836,0.0831,0.0832,251340.0
1672750800000,0.0832,0.0838,0.0832,0.0836,340119.0
1672754400000,0.0835,0.0844,0.0828,0.083,308308.0
1672758000000,0.083,0.0835,0.0829,0.0831,187136.0
1672761600000,0.0831,0.0835,0.0826,0.0826,169522.0
1672765200000,0.0825,0.0831,0.0825,0.0828,377926.0
1672768800000,0.0828,0.0828,0.0825,0.0826,196359.0
1672772400000,0.0827,0.0829,0.0827,0.0829,69475.0
1672776000000,0.0828,0.0832,0.0828,0.0832,39045.0
1672779600000,0.0831,0.0834,0.0831,0.0834,241952.0
1672783200000,0.0834,0.0835,0.0832,0.0835,232352.0
1672786800000,0.0836,0.0838,0.0836,0.0836,245177.0
1672790400000,0.0836,0.0838,0.0834,0.0837,149562.0
1672794000000,0.0837,0.085,0.0837,0.0846,533395.0
1672797600000,0.0847,0.0855,0.0846,0.0853,535745.0
1672801200000,0.0853,0.0859,0.085,0.0855,314187.0
1672804800000,0.0856,0.0858,0.0853,0.0854,145327.0
