date,open,high,low,close,volume
1672527600000,1.1,1.108,1.095,1.103,224560.99
1672531200000,1.103,1.111,1.099,1.099,282395.12
1672534800000,1.099,1.101,1.088,1.096,267418.17
1672538400000,1.094,1.101,1.092,1.099,151638.28
1672542000000,1.099,1.1,1.095,1.098,81176.68
1672545600000,1.099,1.102,1.086,1.09,192137.76
1672549200000,1.089,1.1,1.089,1.096,197649.99
1672552800000,1.096,1.107,1.096,1.105,138153.4
1672556400000,1.106,1.108,1.09,1.091,270219.33
1672560000000,1.091,1.096,1.09,1.092,197803.21
1672563600000,1.092,1.096,1.087,1.096,111463.06
1672567200000,1.096,1.1,1.094,1.099,100410.51
1672570800000,1.099,1.103,1.097,1.097,69250.4
1672574400000,1.098,1.106,1.095,1.103,166189.05
1672578000000,1.104,1.107,1.097,1.104,180823.26
1672581600000,1.104,1.155,1.104,1.12,1004264.7
1672585200000,1.12,1.134,1.118,1.13,422077.63
1672588800000,1.13,1.131,1.12,1.127,169320.31
1672592400000,1.127,1.151,1.125,1.134,667446.64
1672596000000,1.135,1.146,1.133,1.139,259552.88
1672599600000,1.138,1.142,1.134,1.139,122851.73
1672603200000,1.14,1.147,1.138,1.144,86882.77
1672606800000,1.145,1.146,1.139,1.143,104394.86
1672610400000,1.143,1.162,1.143,1.149,267798.54
1672614000000,1.149,1.15,1.139,1.14,147495.56
1672617600000,1.14,1.142,1.132,1.138,188029.71
1672621200000,1.138,1.138,1.123,1.127,267254.09
1672624800000,1.127,1.133,1.124,1.127,162299.97
1672628400000,1.128,1.147,1.127,1.142,225938.43
1672632000000,1.143,1.145,1.133,1.145,179320.05
1672635600000,1.144,1.15,1.136,1.147,234929.33
1672639200000,1.147,1.154,1.146,1.148,227447.06
1672642800000,1.148,1.2,1.146,1.183,878092.75
1672646400000,1.184,1.194,1.175,1.18,564858.09
1672650000000,1.18,1.192,1.177,1.184,563363.0
1672653600000,1.183,1.188,1.178,1.182,378836.51
1672657200000,1.183,1.185,1.173,1.178,588610.8
1672660800000,1.178,1.184,1.176,1.18,186020.0
1672664400000,1.179,1.188,1.178,1.181,201593.63
1672668000000,1.181,1.188,1.177,1.187,205602.38
1672671600000,1.187,1.195,1.182,1.184,310074.83
1672675200000,1.185,1.185,1.178,1.178,169346.07
1672678800000,1.177,1.184,1.177,1.181,80518.8
1672682400000,1.182,1.195,1.18,1.187,455721.3
1672686000000,1.188,1.189,1.183,1.184,143479.58
1672689600000,1.185,1.189,1.182,1.187,74712.16
1672693200000,1.187,1.212,1.187,1.198,506783.88
1672696800000,1.197,1.199,1.183,1.185,237254.86
1672700400000,1.185,1.188,1.18,1.182,319006.31
1672704000000,1.183,1.188,1.177,1.187,197641.61
1672707600000,1.186,1.186,1.167,1.178,366190.17
1672711200000,1.178,1.189,1.177,1.185,127162.08
1672714800000,1.185,1.195,1.185,1.191,224884.3
1672718400000,1.192,1.194,1.186,1.188,314276.44
1672722000000,1.188,1.196,1.184,1.186,145863.61
1672725600000,1.186,1.196,1.184,1.185,189898.92
1672729200000,1.186,1.19,1.18,1.187,155014.81
1672732800000,1.187,1.191,1.174,1.175,210455.77
1672736400000,1.176,1.182,1.171,1.176,244079.84
1672740000000,1.176,1.178,1.162,1.165,452527.82
1672743600000,1.166,1.166,1.152,1.161,418454.65
1672747200000,1.161,1.171,1.155,1.16,275495.0
1672750800000,1.159,1.163,1.15,1.154,337672.77
1672754400000,1.155,1.167,1.143,1.146,430083.81
1672758000000,1.147,1.154,1.138,1.147,331790.75
1672761600000,1.148,1.153,1.133,1.137,288100.34
1672765200000,1.138,1.142,1.132,1.138,223395.54
1672768800000,1.138,1.143,1.134,1.142,148164.29
1672772400000,1.142,1.143,1.135,1.139,136670.17
1672776000000,1.14,1.147,1.138,1.147,64656.54
1672779600000,1.147,1.157,1.146,1.155,98453.11
1672783200000,1.155,1.163,1.151,1.163,141137.08
1672786800000,1.163,1.169,1.158,1.163,485191.34
1672790400000,1.163,1.18,1.158,1.165,599819.6
1672794000000,1.165,1.193,1.164,1.18,494134.92
1672797600000,1.18,1.193,1.174,1.191,680560.26
1672801200000,1.191,1.197,1.18,1.189,877950.27
1672804800000,1.189,1.202,1.179,1.194,426946.18
1672808400000,1.194,1.2,1.186,1.192,156510.79
1672812000000,1.192,1.193,1.181,1.187,176346.71
1672815600000,1.187,1.189,1.174,1.183,392544.21
1672819200000,1.183,1.195,1.177,1.181,347593.09
1672822800000,1.18,1.189,1.18,1.185,125805.64
1672826400000,1.184,1.185,1.177,1.179,106281.41
1672830000000,1.178,1.185,1.175,1.181,135359.54
1672833600000,1.181,1.186,1.178,1.18,167602.29
1672837200000,1.18,1.19,1.18,1.186,144771.76
1672840800000,1.186,1.191,1.18,1.185,213546.23
1672844400000,1.185,1.195,1.167,1.193,540484.13
1672848000000,1.192,1.193,1.183,1.186,160865.87
1672851600000,1.186,1.194,1.179,1.184,234248.91
1672855200000,1.184,1.191,1.182,1.182,164203.42
1672858800000,1.183,1.186,1.164,1.172,372232.1
1672862400000,1.172,1.173,1.155,1.162,190092.11
1672866000000,1.161,1.168,1.158,1.162,118049.16
1672869600000,1.161,1.175,1.161,1.172,82390.04
1672873200000,1.174,1.184,1.174,1.179,336664.4
1672876800000,1.18,1.193,1.177,1.177,322199.42
1672880400000,1.177,1.188,1.169,1.183,226302.13
1672884000000,1.184,1.187,1.179,1.185,119045.96
