date,open,high,low,close,volume
1672527600000,32.8,32.81,32.7,32.8,1170.47
1672531200000,32.8,32.84,32.67,32.76,3863.65
1672534800000,32.76,32.78,32.71,32.73,2238.48
1672538400000,32.73,32.8,32.71,32.8,1096.57
1672542000000,32.79,32.79,32.71,32.79,1939.0
1672545600000,32.79,32.8,32.57,32.62,1778.92
1672549200000,32.62,32.65,32.57,32.62,2038.85
1672552800000,32.62,32.76,32.62,32.75,1280.68
1672556400000,32.77,32.82,32.7,32.8,551.61
1672560000000,32.81,32.84,32.74,32.75,711.77
1672563600000,32.76,32.87,32.73,32.85,1002.5
1672567200000,32.87,32.87,32.79,32.82,515.4
1672570800000,32.82,32.89,32.79,32.86,1413.81
1672574400000,32.86,32.89,32.78,32.84,1869.64
1672578000000,32.85,32.87,32.71,32.76,1486.08
1672581600000,32.76,32.78,32.71,32.75,1067.12
1672585200000,32.74,32.84,32.74,32.84,1038.99
1672588800000,32.84,32.87,32.81,32.83,796.39
1672592400000,32.85,32.88,32.8,32.83,1375.82
1672596000000,32.84,32.97,32.84,32.89,2682.8
1672599600000,32.89,33.06,32.88,32.96,2218.19
1672603200000,32.99,33.01,32.91,32.95,1414.79
1672606800000,32.95,33.01,32.91,32.99,1146.55
1672610400000,32.99,33.03,32.84,32.89,1974.66
1672614000000,32.9,33.0,32.89,32.95,1046.7
1672617600000,32.94,32.98,32.77,32.8,1820.03
1672621200000,32.8,32.8,32.5,32.6,4233.11
1672624800000,32.56,32.56,32.43,32.49,2045.58
1672628400000,32.48,32.54,32.31,32.51,2461.01
1672632000000,32.51,32.53,32.38,32.45,1421.54
1672635600000,32.45,32.46,32.39,32.45,1144.81
1672639200000,32.43,32.48,32.38,32.47,4482.94
1672642800000,32.47,32.92,32.39,32.85,13809.92
1672646400000,32.91,33.41,32.91,33.37,8595.61
1672650000000,33.37,33.86,33.37,33.59,11894.92
1672653600000,33.59,33.68,33.46,33.62,5068.92
1672657200000,33.62,33.62,33.34,33.44,4224.42
1672660800000,33.45,33.55,33.37,33.41,2626.64
1672664400000,33.42,33.51,33.32,33.37,4398.53
1672668000000,33.37,33.43,33.31,33.4,2825.33
1672671600000,33.4,33.58,33.34,33.48,3751.04
1672675200000,33.49,33.61,33.47,33.48,2116.88
1672678800000,33.49,33.5,33.43,33.44,2241.13
1672682400000,33.45,33.72,33.45,33.68,3066.83
1672686000000,33.69,33.7,33.57,33.69,2141.07
1672689600000,33.68,33.69,33.53,33.63,4856.2
1672693200000,33.65,33.69,33.56,33.67,2840.75
1672696800000,33.68,33.68,33.44,33.46,2553.98
1672700400000,33.46,33.55,33.36,33.41,2364.95
1672704000000,33.39,33.67,33.39,33.58,1823.0
1672707600000,33.57,33.59,33.38,33.42,1676.99
1672711200000,33.4,33.45,33.35,33.37,1525.24
1672714800000,33.36,33.42,33.34,33.39,1241.75
1672718400000,33.39,33.5,33.37,33.4,1727.39
1672722000000,33.4,33.55,33.39,33.52,1517.65
1672725600000,33.52,33.68,33.48,33.5,6005.23
1672729200000,33.5,33.68,33.47,33.5,4855.16
1672732800000,33.51,33.53,33.31,33.41,3403.72
1672736400000,33.41,33.55,33.38,33.53,2996.03
1672740000000,33.53,33.58,33.49,33.52,1139.63
1672743600000,33.54,33.57,32.9,33.34,9786.5
1672747200000,33.33,33.37,33.22,33.3,4883.68
1672750800000,33.3,33.33,33.14,33.15,4279.77
1672754400000,33.13,33.35,33.01,33.06,6648.09
1672758000000,33.06,33.14,32.87,33.1,8664.32
1672761600000,33.11,33.16,32.8,32.8,5034.36
1672765200000,32.81,32.91,32.73,32.78,5062.39
1672768800000,32.77,32.79,32.66,32.7,2839.71
1672772400000,32.71,32.9,32.64,32.87,7039.52
1672776000000,32.86,33.03,32.81,32.98,5128.63
1672779600000,32.98,33.09,32.88,33.08,3486.78
1672783200000,33.07,33.17,33.05,33.16,2059.21
1672786800000,33.17,33.23,33.09,33.1,7920.21
1672790400000,33.1,33.13,32.79,32.95,6107.07
1672794000000,32.93,33.13,32.91,33.03,3668.03
1672797600000,33.02,33.18,32.9,33.15,2861.71
1672801200000,33.16,33.62,33.14,33.6,9419.92
1672804800000,33.6,33.86,33.26,33.59,9547.81
1672808400000,33.59,33.61,33.34,33.6,3700.25
1672812000000,33.62,33.99,33.61,33.99,9673.61
1672815600000,33.99,34.12,33.6,33.73,9099.84
1672819200000,33.72,33.82,33.4,33.57,7274.37
1672822800000,33.56,33.6,33.47,33.57,4843.16
1672826400000,33.55,33.61,33.49,33.56,2199.53
1672830000000,33.56,33.63,33.53,33.56,2789.2
1672833600000,33.55,33.67,33.38,33.39,3476.22
1672837200000,33.39,33.59,33.39,33.59,3006.33
1672840800000,33.57,33.69,33.46,33.52,3140.83
1672844400000,33.53,33.61,33.17,33.56,4199.35
1672848000000,33.57,33.64,33.45,33.53,4644.92
1672851600000,33.54,33.83,33.48,33.66,6761.02
1672855200000,33.66,34.07,33.59,33.96,7598.76
1672858800000,33.95,34.08,33.61,33.84,13949.09
1672862400000,33.83,34.02,33.59,33.59,6036.37
1672866000000,33.58,33.83,33.54,33.79,4510.18
1672869600000,33.79,33.94,33.73,33.93,2451.61
1672873200000,33.94,34.56,33.94,34.46,9818.34
1672876800000,34.44,34.86,34.21,34.33,12330.92
1672880400000,34.33,34.66,34.24,34.43,3729.86
1672884000000,34.43,34.66,34.38,34.61,2546.97
1672887600000,34.61,34.72,34.52,34.56,3863.23
1672891200000,34.56,34.85,34.56,34.65,3695.68
1672894800000,34.65,34.9,34.55,34.59,8992.52
1672898400000,34.6,34.64,34.22,34.29,4386.7
1672902000000,34.29,34.37,34.08,34.34,3036.22
1672905600000,34.34,34.49,34.22,34.29,2912.4
1672909200000,34.28,34.3,34.03,34.14,3953.68
1672912800000,34.13,34.47,34.09,34.45,5203.24
1672916400000,34.45,34.54,34.32,34.52,4390.78
1672920000000,34.52,34.52,34.33,34.47,2410.93
1672923600000,34.47,34.65,34.21,34.21,10322.81
1672927200000,34.21,34.31,34.07,34.24,3295.29
1672930800000,34.27,34.46,34.24,34.3,4308.2
1672934400000,34.28,34.42,34.12,34.15,3274.44
1672938000000,34.15,34.21,34.05,34.08,2130.44
1672941600000,34.08,34.29,34.07,34.28,1510.18
1672945200000,34.27,34.29,34.13,34.15,2248.74
1672948800000,34.15,34.35,34.08,34.33,7571.34
1672952400000,34.33,34.45,34.26,34.4,3413.65
1672956000000,34.38,34.51,34.38,34.44,3233.49
1672959600000,34.45,34.5,34.32,34.43,4331.1
1672963200000,34.42,34.46,34.34,34.46,2971.0
1672966800000,34.45,34.96,34.33,34.71,54348.43
1672970400000,34.69,34.69,34.31,34.33,6583.82
1672974000000,34.33,34.36,34.19,34.28,2139.28
1672977600000,34.27,34.35,33.82,34.11,4709.2
1672981200000,34.1,34.19,33.97,34.19,4040.79
1672984800000,34.19,34.23,34.07,34.12,2970.49
1672988400000,34.12,34.2,34.02,34.09,4227.29
1672992000000,34.13,34.2,34.09,34.1,2491.46
1672995600000,34.1,34.1,33.9,33.96,4131.93
1672999200000,33.97,34.1,33.92,33.92,2008.97
1673002800000,33.94,34.03,33.83,34.01,3403.77
1673006400000,34.01,34.08,33.67,34.02,7177.47
1673010000000,34.02,34.37,33.95,34.14,8414.4
1673013600000,34.15,34.26,34.02,34.11,3166.4
1673017200000,34.11,34.33,34.06,34.28,4605.7
1673020800000,34.28,34.4,34.2,34.36,5545.05
1673024400000,34.37,34.43,34.27,34.27,2433.72
1673028000000,34.27,34.49,34.27,34.39,6590.1
1673031600000,34.39,34.57,34.3,34.49,4482.34
1673035200000,34.49,34.6,34.29,34.32,4770.74
1673038800000,34.33,34.4,34.31,34.35,1686.91
1673042400000,34.35,34.44,34.34,34.44,1766.84
1673046000000,34.44,34.48,34.35,34.36,2654.27
1673049600000,34.37,34.54,34.37,34.53,1444.2
1673053200000,34.51,34.55,34.38,34.42,1356.53
1673056800000,34.43,34.49,34.43,34.46,710.6
1673060400000,34.46,34.46,34.37,34.43,921.86
1673064000000,34.43,34.55,34.43,34.52,1044.18
1673067600000,34.52,34.57,34.48,34.49,1184.87
1673071200000,34.49,34.5,34.32,34.33,1168.55
1673074800000,34.34,34.36,34.29,34.31,863.09
1673078400000,34.3,34.33,34.1,34.15,4509.15
1673082000000,34.15,34.15,34.0,34.06,4186.78
1673085600000,34.06,34.12,33.93,34.06,3777.93
1673089200000,34.04,34.1,34.0,34.04,2631.37
1673092800000,34.03,34.16,34.0,34.13,2098.46
1673096400000,34.12,34.24,34.1,34.13,2244.65
1673100000000,34.13,34.26,34.06,34.26,1475.65
1673103600000,34.25,34.36,34.23,34.32,1906.95
1673107200000,34.33,34.38,34.15,34.18,1963.27
1673110800000,34.17,34.26,34.16,34.23,1717.32
1673114400000,34.22,34.24,34.12,34.24,1861.8
1673118000000,34.24,34.24,34.13,34.17,2791.88
1673121600000,34.18,34.24,34.1,34.17,1838.72
1673125200000,34.16,34.16,34.0,34.01,2447.07
1673128800000,34.0,34.07,33.89,34.07,3232.67
1673132400000,34.04,34.13,33.98,34.11,1128.45
1673136000000,34.11,34.18,33.73,33.91,6447.1
1673139600000,33.9,33.97,33.86,33.97,1536.05
1673143200000,33.98,34.04,33.95,34.01,1029.27
1673146800000,34.02,34.05,33.91,33.93,1542.86
1673150400000,33.92,33.93,33.85,33.88,1358.54
1673154000000,33.88,34.01,33.84,34.0,1756.44
1673157600000,34.01,34.06,33.98,34.04,1015.25
1673161200000,34.04,34.13,34.02,34.07,2525.79
1673164800000,34.07,34.1,34.03,34.07,1513.05
1673168400000,34.07,34.27,34.04,34.2,3750.29
1673172000000,34.2,34.32,34.18,34.2,2990.64
1673175600000,34.2,34.3,33.93,33.94,4882.9
1673179200000,33.95,34.06,33.9,34.04,1480.72
1673182800000,34.04,34.09,33.98,34.03,1845.55
1673186400000,34.03,34.22,34.01,34.22,1767.72
1673190000000,34.23,34.28,34.14,34.23,3266.62
1673193600000,34.23,34.3,33.97,34.1,4102.94
1673197200000,34.1,34.19,34.04,34.06,2146.12
1673200800000,34.05,34.12,34.01,34.12,1486.77
1673204400000,34.12,34.26,34.11,34.19,2626.73
1673208000000,34.19,34.5,34.19,34.45,11976.08
1673211600000,34.49,34.59,34.31,34.48,20618.25
1673215200000,34.49,34.95,34.49,34.89,7442.65
1673218800000,34.91,35.13,34.8,34.99,14724.97
1673222400000,34.99,35.33,34.77,35.32,10670.45
1673226000000,35.32,35.7,35.02,35.52,10496.12
1673229600000,35.5,35.71,35.26,35.3,7616.4
1673233200000,35.31,35.8,35.29,35.55,8595.96
1673236800000,35.55,35.71,35.42,35.48,8696.49
1673240400000,35.49,35.62,35.29,35.31,10663.06
1673244000000,35.32,35.41,35.22,35.24,6436.68
1673247600000,35.24,35.58,35.24,35.46,5881.51
1673251200000,35.46,35.53,35.25,35.28,9889.83
1673254800000,35.28,36.02,35.28,35.91,11706.38
1673258400000,35.91,37.19,35.9,36.42,52302.59
1673262000000,36.42,36.6,36.01,36.07,14848.3
1673265600000,36.09,36.51,36.08,36.45,5633.34
1673269200000,36.45,36.89,35.63,35.92,21411.07
1673272800000,35.95,36.6,35.74,36.53,14923.65
1673276400000,36.52,36.78,36.23,36.54,12891.02
1673280000000,36.55,37.21,36.55,37.08,20608.77
1673283600000,37.09,37.13,36.38,36.39,19467.13
1673287200000,36.4,36.71,34.65,35.33,83567.71
1673290800000,35.32,35.4,35.01,35.11,12385.21
1673294400000,35.11,35.21,34.6,34.98,18934.81
1673298000000,34.99,35.22,34.86,35.03,8411.69
1673301600000,35.04,35.32,34.95,35.14,4237.57
1673305200000,35.15,35.15,34.67,34.85,11130.98
1673308800000,34.86,35.35,34.86,35.32,4505.61
1673312400000,35.34,35.45,34.98,35.05,5525.4
1673316000000,35.07,35.24,34.21,34.65,10456.87
1673319600000,34.66,34.9,34.37,34.9,4244.71
1673323200000,34.87,35.02,34.69,35.02,2987.83
1673326800000,35.02,35.5,34.93,35.29,8897.86
1673330400000,35.3,35.35,34.94,35.12,4786.73
1673334000000,35.12,35.14,34.75,34.77,10496.91
1673337600000,34.77,35.19,34.67,35.09,9703.21
1673341200000,35.08,35.23,34.88,35.16,10642.32
1673344800000,35.15,35.4,35.03,35.37,5643.52
1673348400000,35.34,35.38,35.08,35.12,2928.22
1673352000000,35.1,35.18,34.86,34.91,5789.66
1673355600000,34.95,35.21,34.87,35.11,8498.31
1673359200000,35.12,35.71,34.91,35.23,47986.92
1673362800000,35.24,35.41,35.01,35.25,5917.33
1673366400000,35.26,35.32,35.0,35.11,5952.33
1673370000000,35.1,35.25,35.02,35.24,3419.27
1673373600000,35.24,35.57,35.21,35.45,5222.69
1673377200000,35.45,35.62,35.35,35.61,4164.84
1673380800000,35.6,35.7,35.42,35.62,4433.83
1673384400000,35.63,35.7,35.5,35.51,3750.53
1673388000000,35.53,35.57,35.2,35.27,5191.18
1673391600000,35.28,35.5,35.27,35.44,2707.51
1673395200000,35.44,35.54,35.25,35.44,3774.67
1673398800000,35.43,35.63,35.26,35.54,6247.58
1673402400000,35.54,35.61,35.13,35.24,3300.74
1673406000000,35.24,35.4,35.02,35.26,3576.65
1673409600000,35.26,35.31,35.0,35.11,3990.71
1673413200000,35.1,35.22,35.02,35.2,2603.77
1673416800000,35.2,35.39,35.13,35.37,3929.41
1673420400000,35.35,35.68,35.18,35.61,12639.32
1673424000000,35.61,35.66,35.35,35.52,4208.66
1673427600000,35.52,35.6,35.38,35.56,3467.61
1673431200000,35.54,35.67,35.33,35.37,6971.3
1673434800000,35.36,35.39,35.09,35.27,7058.08
1673438400000,35.25,35.25,35.1,35.19,5006.03
1673442000000,35.18,35.33,35.04,35.21,3084.92
1673445600000,35.2,35.2,34.7,34.98,11325.58
1673449200000,34.99,35.14,34.55,34.7,4362.99
1673452800000,34.68,34.95,34.55,34.79,9912.53
1673456400000,34.78,35.06,34.73,34.92,2878.53
1673460000000,34.92,35.25,34.92,35.23,5600.38
1673463600000,35.23,35.45,35.08,35.38,8018.6
1673467200000,35.39,35.67,35.29,35.62,11451.91
1673470800000,35.62,35.83,35.44,35.76,7983.68
1673474400000,35.77,36.0,35.65,35.89,5763.5
1673478000000,35.92,36.53,35.92,36.37,8961.21
1673481600000,36.38,37.17,36.3,36.98,18211.33
1673485200000,36.98,37.0,36.55,36.72,3976.36
1673488800000,36.72,36.95,36.42,36.53,7207.39
1673492400000,36.55,36.92,36.55,36.78,7346.95
1673496000000,36.77,36.99,36.77,36.94,3812.35
1673499600000,36.95,37.04,36.4,36.43,7100.78
1673503200000,36.46,36.56,36.25,36.46,6672.09
1673506800000,36.45,36.58,36.39,36.55,8089.11
1673510400000,36.54,36.55,36.07,36.23,7639.61
1673514000000,36.23,36.28,36.05,36.14,6336.42
1673517600000,36.1,36.15,35.82,36.02,9456.83
1673521200000,36.01,36.19,35.95,36.19,5192.65
1673524800000,36.18,36.4,35.97,36.22,9248.64
1673528400000,36.22,36.56,35.24,36.51,33919.9
1673532000000,36.48,36.71,35.63,35.86,17213.96
1673535600000,35.88,36.16,35.88,36.05,7978.87
1673539200000,36.06,36.39,35.96,36.38,7394.31
1673542800000,36.37,37.0,36.36,36.96,15397.31
1673546400000,36.96,37.13,36.49,36.81,15500.01
1673550000000,36.83,37.47,36.73,37.23,16334.79
1673553600000,37.24,38.0,37.15,37.89,23170.97
1673557200000,37.9,37.95,37.39,37.59,20502.25
1673560800000,37.58,37.6,37.25,37.42,4960.48
1673564400000,37.43,37.68,37.34,37.59,4126.42
1673568000000,37.57,37.91,37.28,37.37,7926.92
1673571600000,37.36,37.49,37.15,37.29,3108.77
1673575200000,37.3,37.52,37.22,37.52,2851.39
1673578800000,37.53,37.78,37.52,37.76,2585.16
1673582400000,37.77,37.91,37.65,37.65,4042.64
1673586000000,37.67,37.74,37.26,37.26,5626.11
1673589600000,37.27,37.62,37.27,37.61,2262.92
1673593200000,37.61,37.65,37.43,37.51,2550.19
1673596800000,37.52,37.82,37.51,37.68,4330.68
1673600400000,37.68,37.99,37.67,37.94,8938.56
1673604000000,37.95,37.95,37.34,37.81,8576.83
1673607600000,37.79,37.79,37.47,37.56,6674.63
1673611200000,37.57,37.73,37.38,37.44,5083.12
1673614800000,37.42,37.53,37.32,37.36,10712.9
1673618400000,37.35,37.64,37.3,37.55,5047.35
1673622000000,37.52,37.84,37.52,37.71,9410.66
1673625600000,37.72,37.79,37.31,37.66,10673.52
1673629200000,37.65,37.95,37.55,37.72,5957.04
1673632800000,37.72,38.1,37.69,37.82,25801.84
1673636400000,37.82,38.46,37.73,38.42,9978.45
1673640000000,38.41,38.58,38.17,38.53,8850.28
1673643600000,38.53,39.09,38.3,38.82,14636.36
1673647200000,38.83,39.31,38.65,38.77,10760.57
1673650800000,38.8,39.22,38.79,39.21,6910.05
1673654400000,39.22,40.0,39.08,39.46,40883.84
1673658000000,39.48,40.21,39.47,40.14,20061.11
1673661600000,40.17,41.0,40.11,40.51,14944.56
1673665200000,40.52,40.82,40.1,40.34,10364.48
