date,open,high,low,close,volume
1672527600000,0.2405,0.2412,0.2397,0.2408,115789.1
1672531200000,0.2407,0.2408,0.2388,0.239,251428.4
1672534800000,0.2389,0.2403,0.2388,0.2402,187164.2
1672538400000,0.24,0.2415,0.2397,0.2412,135912.9
1672542000000,0.2412,0.243,0.241,0.2424,118800.1
1672545600000,0.2424,0.2425,0.2402,0.2405,68455.8
1672549200000,0.2405,0.2411,0.2403,0.241,65790.9
1672552800000,0.241,0.2411,0.2405,0.2407,106608.8
1672556400000,0.2409,0.241,0.24,0.241,59097.9
1672560000000,0.2409,0.2412,0.2404,0.2411,103233.4
1672563600000,0.241,0.2419,0.2408,0.2416,60173.2
1672567200000,0.2417,0.242,0.2413,0.2418,61140.9
1672570800000,0.2417,0.2422,0.2417,0.242,24785.6
1672574400000,0.242,0.2423,0.242,0.2423,23600.8
1672578000000,0.2423,0.2428,0.2417,0.2419,184617.4
1672581600000,0.2422,0.2423,0.2417,0.2418,45039.2
1672585200000,0.2419,0.2424,0.2419,0.2424,30238.5
1672588800000,0.2424,0.2432,0.2423,0.2426,87452.2
1672592400000,0.2426,0.2432,0.2425,0.2427,51649.9
1672596000000,0.2428,0.2436,0.2427,0.2434,67957.4
1672599600000,0.2435,0.2444,0.243,0.2433,145543.6
1672603200000,0.2434,0.2444,0.2432,0.2438,96349.7
1672606800000,0.2438,0.2439,0.2434,0.2438,40540.6
1672610400000,0.2438,0.2441,0.2433,0.2433,54625.6
1672614000000,0.2433,0.2446,0.2431,0.2431,128303.1
1672617600000,0.2433,0.244,0.2403,0.2404,123478.2
1672621200000,0.2404,0.2406,0.237,0.2379,405522.0
1672624800000,0.2378,0.2392,0.2372,0.2389,256776.3
1672628400000,0.2389,0.2403,0.2383,0.24,151545.0
1672632000000,0.24,0.2405,0.2392,0.2394,84024.2
1672635600000,0.2396,0.2403,0.2392,0.24,87816.0
1672639200000,0.2401,0.2405,0.2399,0.2402,49512.7
1672642800000,0.2402,0.245,0.2399,0.2435,1210531.7
1672646400000,0.2436,0.2476,0.2436,0.2474,343186.5
1672650000000,0.2474,0.2487,0.2468,0.247,228832.0
1672653600000,0.2468,0.2475,0.2458,0.2473,167882.9
1672657200000,0.2473,0.2473,0.2456,0.2469,97729.8
1672660800000,0.247,0.2481,0.2469,0.248,81417.8
1672664400000,0.2478,0.2484,0.2466,0.2468,106362.9
1672668000000,0.247,0.2476,0.2463,0.2475,154517.7
1672671600000,0.2475,0.2496,0.2469,0.249,115218.7
1672675200000,0.2488,0.2499,0.2486,0.2488,184394.5
1672678800000,0.2486,0.2488,0.2481,0.2487,86420.7
1672682400000,0.2485,0.2496,0.2484,0.2493,110524.5
1672686000000,0.2493,0.2509,0.249,0.2508,93377.3
1672689600000,0.2507,0.2517,0.2502,0.2503,140657.8
1672693200000,0.2502,0.2509,0.2496,0.2505,193186.0
1672696800000,0.2504,0.2509,0.2485,0.2492,124500.8
1672700400000,0.249,0.2503,0.2484,0.2492,111089.4
1672704000000,0.2492,0.2499,0.2488,0.249,313560.9
1672707600000,0.2488,0.2488,0.2465,0.2468,159291.5
1672711200000,0.2468,0.2479,0.2468,0.2471,92089.2
1672714800000,0.2472,0.2483,0.2464,0.2483,123549.1
1672718400000,0.2483,0.2491,0.2478,0.2484,96772.8
1672722000000,0.2484,0.2498,0.2482,0.2491,89215.9
1672725600000,0.2493,0.2505,0.2489,0.2491,145351.7
1672729200000,0.2492,0.2496,0.2487,0.2495,67873.6
1672732800000,0.2494,0.2497,0.2477,0.2485,98285.8
1672736400000,0.2485,0.2503,0.2485,0.2498,183119.3
1672740000000,0.2498,0.2499,0.2482,0.2485,124146.1
1672743600000,0.2485,0.2487,0.2468,0.247,140179.6
1672747200000,0.2471,0.2478,0.2463,0.2468,134327.7
1672750800000,0.2467,0.2473,0.2457,0.2457,109870.5
1672754400000,0.2459,0.2475,0.2438,0.2444,313138.7
1672758000000,0.2442,0.245,0.2399,0.2415,1878793.0
1672761600000,0.2415,0.2426,0.2404,0.2405,741318.8
1672765200000,0.2405,0.2422,0.2403,0.2422,225122.3
