date,open,high,low,close,volume
1672527600000,10.76,10.8,10.71,10.75,4126.72
1672531200000,10.76,10.8,10.71,10.75,10435.25
1672534800000,10.74,10.77,10.7,10.73,4041.47
1672538400000,10.73,10.76,10.7,10.74,1987.64
1672542000000,10.73,10.74,10.69,10.69,3734.15
1672545600000,10.7,10.72,10.66,10.68,5017.87
1672549200000,10.68,10.69,10.65,10.68,3901.55
1672552800000,10.68,10.71,10.68,10.69,6117.31
1672556400000,10.69,10.71,10.66,10.67,2372.69
1672560000000,10.67,10.71,10.67,10.7,3416.87
1672563600000,10.69,10.72,10.65,10.69,4363.88
1672567200000,10.69,10.71,10.67,10.68,1339.11
1672570800000,10.69,10.72,10.68,10.7,4009.44
1672574400000,10.7,10.76,10.7,10.73,7754.9
1672578000000,10.73,10.75,10.64,10.66,11562.22
1672581600000,10.65,10.7,10.65,10.66,1493.03
1672585200000,10.66,10.67,10.64,10.67,4082.89
1672588800000,10.68,10.73,10.66,10.71,11162.93
1672592400000,10.7,10.75,10.68,10.7,2741.92
1672596000000,10.71,10.76,10.71,10.76,4634.09
1672599600000,10.76,10.83,10.76,10.8,9554.52
1672603200000,10.8,10.86,10.79,10.85,5677.29
1672606800000,10.85,10.86,10.82,10.83,1093.03
1672610400000,10.84,10.85,10.81,10.84,1631.03
1672614000000,10.84,10.91,10.81,10.9,6590.59
1672617600000,10.91,10.91,10.83,10.88,6795.65
1672621200000,10.88,10.88,10.68,10.73,11229.03
1672624800000,10.74,10.82,10.74,10.81,3696.33
1672628400000,10.81,10.92,10.81,10.86,11107.88
1672632000000,10.87,10.92,10.87,10.88,5340.79
1672635600000,10.88,10.91,10.83,10.91,2656.28
1672639200000,10.9,10.91,10.84,10.86,4417.7
1672642800000,10.87,11.14,10.86,11.06,61328.27
1672646400000,11.06,11.15,11.05,11.09,12743.61
1672650000000,11.09,11.12,11.06,11.08,4540.42
1672653600000,11.08,11.12,11.06,11.11,6708.44
1672657200000,11.11,11.11,11.05,11.11,5038.55
1672660800000,11.11,11.16,11.11,11.15,11282.77
1672664400000,11.15,11.21,11.11,11.15,13220.81
1672668000000,11.14,11.21,11.12,11.21,8910.4
1672671600000,11.2,11.25,11.16,11.23,5711.34
1672675200000,11.23,11.35,11.23,11.26,16085.59
1672678800000,11.27,11.28,11.23,11.23,5879.32
1672682400000,11.24,11.33,11.24,11.31,10310.02
1672686000000,11.32,11.4,11.29,11.34,36002.84
1672689600000,11.34,11.35,11.31,11.32,4524.38
1672693200000,11.32,11.39,11.3,11.37,4893.65
1672696800000,11.37,11.38,11.23,11.23,6471.8
1672700400000,11.24,11.32,11.24,11.29,5833.37
1672704000000,11.28,11.32,11.26,11.3,3688.82
1672707600000,11.3,11.3,11.16,11.25,10326.83
1672711200000,11.26,11.31,11.24,11.28,3299.57
1672714800000,11.28,11.32,11.24,11.3,4646.54
1672718400000,11.3,11.31,11.25,11.27,2883.3
1672722000000,11.27,11.31,11.25,11.31,5097.65
1672725600000,11.32,11.37,11.28,11.29,7434.93
1672729200000,11.3,11.41,11.28,11.4,8506.48
1672732800000,11.4,11.4,11.25,11.31,9270.98
1672736400000,11.31,11.39,11.3,11.37,3081.1
1672740000000,11.36,11.4,11.34,11.34,1657.52
1672743600000,11.35,11.36,11.27,11.3,9345.58
1672747200000,11.3,11.32,11.25,11.27,7077.59
1672750800000,11.27,11.28,11.23,11.25,10151.55
1672754400000,11.25,11.35,11.13,11.17,23454.79
1672758000000,11.17,11.22,11.11,11.19,11353.9
1672761600000,11.19,11.23,11.06,11.08,13422.68
1672765200000,11.08,11.13,11.07,11.1,12058.36
1672768800000,11.1,11.12,11.07,11.12,5766.83
1672772400000,11.12,11.13,11.09,11.1,3497.17
1672776000000,11.11,11.15,11.11,11.13,2861.99
1672779600000,11.14,11.16,11.13,11.15,1589.38
1672783200000,11.15,11.16,11.12,11.16,3737.77
1672786800000,11.16,11.24,11.16,11.22,6736.62
1672790400000,11.23,11.24,11.17,11.21,7651.59
1672794000000,11.21,11.41,11.2,11.36,25084.73
1672797600000,11.36,11.54,11.35,11.48,18640.41
1672801200000,11.49,11.67,11.45,11.66,35983.54
1672804800000,11.67,11.72,11.58,11.67,14800.57
1672808400000,11.67,11.69,11.61,11.64,8697.85
1672812000000,11.65,11.7,11.61,11.7,8959.19
1672815600000,11.7,11.73,11.63,11.69,8720.11
1672819200000,11.69,11.73,11.59,11.63,16412.49
1672822800000,11.63,11.66,11.59,11.62,8320.8
1672826400000,11.62,11.71,11.61,11.71,12024.51
1672830000000,11.7,11.78,11.7,11.77,9839.79
1672833600000,11.76,11.88,11.67,11.7,22854.32
1672837200000,11.7,11.74,11.68,11.73,9441.61
1672840800000,11.74,11.81,11.69,11.74,7905.5
1672844400000,11.74,11.78,11.54,11.77,21750.73
1672848000000,11.77,11.78,11.7,11.73,8039.81
1672851600000,11.74,11.83,11.7,11.78,10224.94
1672855200000,11.78,11.94,11.77,11.81,20722.54
1672858800000,11.81,11.82,11.61,11.65,18466.5
1672862400000,11.65,11.66,11.52,11.56,6956.38
1672866000000,11.57,11.7,11.55,11.62,7287.76
1672869600000,11.61,11.66,11.6,11.66,4023.53
1672873200000,11.66,11.77,11.66,11.74,5522.49
1672876800000,11.74,11.87,11.72,11.73,11878.07
1672880400000,11.73,11.84,11.68,11.78,7673.72
1672884000000,11.77,11.79,11.72,11.77,8307.02
1672887600000,11.77,11.77,11.69,11.71,5423.99
1672891200000,11.72,11.78,11.71,11.74,5345.0
1672894800000,11.74,11.81,11.74,11.78,5201.8
1672898400000,11.78,11.78,11.61,11.64,9950.5
1672902000000,11.64,11.65,11.58,11.62,3594.07
1672905600000,11.63,11.65,11.51,11.57,14229.54
1672909200000,11.56,11.58,11.43,11.47,12412.43
1672912800000,11.47,11.55,11.47,11.52,5205.05
1672916400000,11.52,11.57,11.51,11.56,3345.59
1672920000000,11.55,11.56,11.51,11.55,5505.74
1672923600000,11.54,11.58,11.43,11.43,12557.54
1672927200000,11.43,11.5,11.34,11.43,15504.8
1672930800000,11.43,11.49,11.37,11.39,16115.78
1672934400000,11.39,11.43,11.37,11.42,2940.2
1672938000000,11.41,11.45,11.39,11.4,8758.16
1672941600000,11.4,11.49,11.4,11.45,5507.07
1672945200000,11.46,11.48,11.42,11.46,6084.22
1672948800000,11.46,11.53,11.43,11.51,15116.14
1672952400000,11.51,11.51,11.4,11.4,8069.64
1672956000000,11.41,11.42,11.32,11.35,6790.26
1672959600000,11.35,11.37,11.22,11.28,21127.94
1672963200000,11.28,11.34,11.21,11.33,20650.83
1672966800000,11.33,11.34,11.26,11.26,7149.0
1672970400000,11.27,11.27,11.14,11.2,20815.91
1672974000000,11.21,11.28,11.17,11.24,27058.39
1672977600000,11.24,11.25,11.08,11.14,21836.6
1672981200000,11.13,11.16,11.1,11.13,6626.76
1672984800000,11.12,11.15,11.08,11.11,13957.86
1672988400000,11.11,11.14,11.07,11.09,22759.47
1672992000000,11.09,11.15,11.08,11.12,8871.66
1672995600000,11.12,11.12,11.02,11.08,9012.89
