date,open,high,low,close,volume
1672527600000,0.0701,0.0703,0.0701,0.0703,12319.0
1672531200000,0.0704,0.0704,0.07,0.0701,102565.0
1672534800000,0.0701,0.0703,0.07,0.0703,12669.0
1672538400000,0.0703,0.0705,0.0702,0.0705,25818.0
1672542000000,0.0704,0.0706,0.0704,0.0705,20381.0
1672545600000,0.0705,0.0705,0.0704,0.0704,61540.0
1672549200000,0.0705,0.0705,0.0704,0.0704,13075.0
1672552800000,0.0704,0.0705,0.0703,0.0705,30977.0
1672556400000,0.0705,0.0705,0.0704,0.0704,74659.0
1672560000000,0.0705,0.0705,0.0704,0.0704,35289.0
1672563600000,0.0704,0.0704,0.0701,0.0703,62985.0
1672567200000,0.0702,0.0706,0.0702,0.0705,34478.0
1672570800000,0.0705,0.0708,0.0705,0.0706,103568.0
1672574400000,0.0706,0.0713,0.0706,0.0712,360245.0
1672578000000,0.0711,0.0715,0.0709,0.0709,311858.0
1672581600000,0.0709,0.0713,0.0709,0.0711,68009.0
1672585200000,0.0711,0.0718,0.0711,0.0718,248161.0
1672588800000,0.0717,0.0718,0.0716,0.0717,178008.0
1672592400000,0.0717,0.072,0.0716,0.0718,248371.0
1672596000000,0.0718,0.0718,0.0716,0.0716,71830.0
1672599600000,0.0718,0.0719,0.0717,0.0717,37462.0
1672603200000,0.0719,0.0724,0.0718,0.072,182608.0
1672606800000,0.072,0.0722,0.0719,0.0721,75112.0
1672610400000,0.0722,0.0722,0.072,0.072,127653.0
1672614000000,0.0723,0.0724,0.0721,0.0723,71064.0
1672617600000,0.0723,0.0724,0.0718,0.0718,83256.0
1672621200000,0.0718,0.0718,0.0709,0.0713,259322.0
1672624800000,0.0711,0.0716,0.0711,0.0715,102835.0
1672628400000,0.0716,0.0722,0.0716,0.0722,199843.0
1672632000000,0.0722,0.0723,0.072,0.072,40822.0
1672635600000,0.0721,0.0724,0.0721,0.0724,15264.0
1672639200000,0.0723,0.0723,0.0721,0.0723,50582.0
1672642800000,0.0723,0.0739,0.0723,0.0735,2166791.0
1672646400000,0.0734,0.0739,0.0734,0.0735,389554.0
1672650000000,0.0735,0.0737,0.073,0.0732,501762.0
1672653600000,0.0733,0.0736,0.0732,0.0735,275441.0
1672657200000,0.0734,0.0735,0.0731,0.0734,69047.0
1672660800000,0.0734,0.0738,0.0734,0.0734,112380.0
1672664400000,0.0735,0.0736,0.0733,0.0734,195321.0
1672668000000,0.0734,0.0734,0.0732,0.0733,9709.0
1672671600000,0.0732,0.074,0.0732,0.0737,286075.0
1672675200000,0.0736,0.0738,0.0735,0.0735,32344.0
1672678800000,0.0735,0.0738,0.0734,0.0736,134385.0
1672682400000,0.0735,0.0736,0.0734,0.0736,100720.0
1672686000000,0.0736,0.0738,0.0736,0.0738,55822.0
1672689600000,0.0737,0.0742,0.0737,0.0741,124370.0
1672693200000,0.0742,0.0743,0.074,0.0742,59995.0
1672696800000,0.0742,0.0742,0.0736,0.0736,179059.0
1672700400000,0.0738,0.074,0.0738,0.0738,97364.0
1672704000000,0.0738,0.0742,0.0738,0.0741,15000.0
1672707600000,0.074,0.0741,0.0733,0.0736,260267.0
1672711200000,0.0735,0.0738,0.0734,0.0735,46797.0
1672714800000,0.0734,0.0737,0.0734,0.0737,146508.0
1672718400000,0.0736,0.0738,0.0736,0.0737,185267.0
1672722000000,0.0736,0.0741,0.0736,0.0739,323634.0
1672725600000,0.0741,0.0744,0.0741,0.0742,137916.0
1672729200000,0.0743,0.0743,0.074,0.0742,242572.0
1672732800000,0.0742,0.0743,0.0738,0.0739,266967.0
1672736400000,0.0739,0.0745,0.0739,0.0743,90565.0
1672740000000,0.0744,0.0744,0.0742,0.0742,69581.0
1672743600000,0.0742,0.0748,0.0742,0.0742,263292.0
1672747200000,0.0743,0.0744,0.0739,0.0739,55771.0
1672750800000,0.074,0.0743,0.0739,0.0741,283093.0
1672754400000,0.0741,0.0745,0.0733,0.0733,398039.0
1672758000000,0.0733,0.074,0.0733,0.0739,285954.0
1672761600000,0.0739,0.0742,0.0738,0.0738,199646.0
1672765200000,0.0739,0.0743,0.0734,0.0735,252332.0
1672768800000,0.0735,0.0735,0.0732,0.0734,250641.0
1672772400000,0.0734,0.0736,0.0733,0.0734,144749.0
1672776000000,0.0736,0.0741,0.0736,0.0739,166044.0
1672779600000,0.074,0.0743,0.0739,0.0743,62388.0
1672783200000,0.0743,0.0745,0.0741,0.0744,155497.0
1672786800000,0.0744,0.0749,0.0744,0.0746,169334.0
1672790400000,0.0746,0.0746,0.0742,0.0743,207204.0
1672794000000,0.0744,0.0753,0.0744,0.0752,256134.0
1672797600000,0.0752,0.0757,0.0751,0.0757,372285.0
1672801200000,0.0757,0.0766,0.0756,0.0762,358655.0
