date,open,high,low,close,volume
1672527600000,0.648,0.653,0.647,0.653,74365.67
1672531200000,0.653,0.653,0.648,0.649,87473.62
1672534800000,0.649,0.653,0.649,0.652,60330.74
1672538400000,0.652,0.656,0.649,0.653,87285.78
1672542000000,0.653,0.653,0.651,0.652,18649.19
1672545600000,0.652,0.653,0.646,0.647,21378.44
1672549200000,0.647,0.648,0.645,0.648,36261.76
1672552800000,0.647,0.649,0.646,0.649,54701.36
1672556400000,0.65,0.65,0.647,0.649,44568.94
1672560000000,0.648,0.648,0.645,0.646,57019.87
1672563600000,0.645,0.649,0.644,0.649,27751.38
1672567200000,0.649,0.65,0.648,0.65,11298.09
1672570800000,0.65,0.653,0.649,0.651,84688.55
1672574400000,0.651,0.653,0.65,0.65,57479.09
1672578000000,0.651,0.653,0.648,0.651,203813.61
1672581600000,0.651,0.652,0.649,0.649,63564.55
1672585200000,0.649,0.651,0.648,0.649,91137.58
1672588800000,0.649,0.65,0.646,0.649,75102.28
1672592400000,0.649,0.651,0.648,0.65,67362.53
1672596000000,0.651,0.653,0.649,0.651,78286.24
1672599600000,0.651,0.659,0.651,0.657,173154.36
1672603200000,0.657,0.66,0.657,0.659,89903.06
1672606800000,0.659,0.659,0.657,0.658,46282.36
1672610400000,0.658,0.66,0.655,0.656,67799.97
1672614000000,0.656,0.659,0.655,0.658,54741.83
1672617600000,0.659,0.661,0.651,0.653,150608.77
1672621200000,0.653,0.653,0.645,0.647,137388.54
1672624800000,0.645,0.65,0.644,0.648,55907.82
1672628400000,0.648,0.654,0.648,0.654,27570.76
1672632000000,0.654,0.656,0.652,0.653,108946.21
1672635600000,0.653,0.655,0.651,0.651,34239.33
1672639200000,0.652,0.654,0.651,0.653,27804.34
1672642800000,0.652,0.67,0.651,0.665,462923.33
1672646400000,0.665,0.674,0.664,0.67,214724.08
1672650000000,0.671,0.673,0.669,0.671,125614.32
1672653600000,0.67,0.674,0.667,0.67,156372.18
1672657200000,0.669,0.671,0.663,0.667,273486.57
1672660800000,0.667,0.67,0.665,0.665,103250.16
1672664400000,0.665,0.669,0.663,0.664,176675.02
1672668000000,0.665,0.666,0.662,0.665,60173.93
1672671600000,0.665,0.671,0.663,0.668,142160.88
1672675200000,0.668,0.671,0.666,0.666,122318.83
1672678800000,0.666,0.669,0.665,0.667,162767.51
1672682400000,0.667,0.668,0.665,0.667,80893.22
1672686000000,0.667,0.672,0.666,0.67,38784.96
1672689600000,0.67,0.67,0.666,0.67,64786.4
1672693200000,0.67,0.675,0.67,0.674,89086.05
1672696800000,0.674,0.675,0.665,0.667,94791.11
1672700400000,0.667,0.67,0.665,0.666,185204.08
1672704000000,0.666,0.702,0.666,0.693,1372329.47
1672707600000,0.693,0.706,0.69,0.7,901029.37
1672711200000,0.699,0.702,0.69,0.695,290919.29
1672714800000,0.694,0.695,0.691,0.694,84941.04
1672718400000,0.694,0.705,0.692,0.703,143639.63
1672722000000,0.703,0.704,0.696,0.7,150019.76
1672725600000,0.7,0.703,0.694,0.695,190108.41
1672729200000,0.696,0.698,0.693,0.698,70433.93
1672732800000,0.698,0.734,0.698,0.72,1032300.05
1672736400000,0.72,0.721,0.715,0.719,214705.49
1672740000000,0.719,0.729,0.719,0.724,293323.47
1672743600000,0.724,0.724,0.716,0.716,214025.5
