date,open,high,low,close,volume
1672527600000,520.82,524.0,519.2,522.98,829.27
1672531200000,522.97,522.97,518.4,520.06,722.63
1672534800000,520.19,521.69,519.01,521.52,171.17
1672538400000,521.61,523.27,520.0,522.19,481.4
1672542000000,522.23,523.3,520.75,522.61,422.6
1672545600000,522.62,522.76,520.39,520.39,270.97
1672549200000,520.39,523.48,520.39,522.9,300.35
1672552800000,522.96,524.96,522.42,524.49,462.23
1672556400000,524.48,525.27,523.9,524.55,468.73
1672560000000,524.54,524.54,521.54,521.66,448.65
1672563600000,521.67,522.85,521.66,522.52,164.2
1672567200000,522.52,523.47,522.06,522.38,197.73
1672570800000,522.39,522.92,522.0,522.79,138.0
1672574400000,522.79,524.66,522.79,523.68,317.31
1672578000000,523.62,528.73,523.62,526.71,1262.36
1672581600000,526.66,527.32,524.5,525.83,433.58
1672585200000,525.92,529.99,525.85,529.96,859.11
1672588800000,529.95,529.95,525.53,527.19,662.01
1672592400000,527.21,528.02,526.6,527.32,232.31
1672596000000,527.33,528.22,524.54,524.8,447.01
1672599600000,524.76,526.66,524.76,525.83,189.06
1672603200000,525.84,526.35,523.54,524.09,334.52
1672606800000,524.09,527.12,524.09,526.39,356.42
1672610400000,526.45,527.0,525.72,526.33,180.32
1672614000000,526.32,527.26,525.8,527.08,192.9
1672617600000,526.68,528.94,525.54,527.07,539.65
1672621200000,526.99,526.99,523.01,524.67,314.19
1672624800000,524.7,526.51,523.57,525.95,175.11
1672628400000,525.77,528.08,525.7,527.65,212.31
1672632000000,527.66,528.15,526.88,527.38,170.15
1672635600000,527.51,528.22,525.72,526.48,252.62
1672639200000,526.36,527.39,525.62,525.87,194.03
1672642800000,525.86,532.08,525.76,530.14,1155.81
1672646400000,530.0,531.76,529.43,530.5,565.57
1672650000000,530.5,530.98,529.33,530.36,234.79
1672653600000,530.21,530.98,529.13,530.36,342.57
1672657200000,530.35,530.61,528.05,529.31,217.08
1672660800000,529.2,530.5,529.11,529.83,332.73
1672664400000,529.94,530.2,525.75,525.76,1082.52
1672668000000,525.76,527.77,524.61,527.69,1706.83
1672671600000,527.56,528.83,526.25,528.62,703.75
1672675200000,528.59,528.71,526.33,527.6,310.01
1672678800000,527.52,529.38,526.94,529.36,347.59
1672682400000,529.36,530.53,528.92,530.24,279.65
1672686000000,530.28,530.78,529.08,529.79,174.33
1672689600000,529.77,530.45,528.28,529.43,251.78
1672693200000,529.43,531.61,528.59,531.2,315.84
1672696800000,531.19,531.19,528.04,529.01,295.27
1672700400000,528.97,530.95,528.01,530.06,353.12
1672704000000,530.05,530.3,528.18,529.82,369.04
1672707600000,529.67,530.35,527.56,529.25,221.21
1672711200000,529.16,529.65,527.47,528.07,476.91
1672714800000,528.09,530.13,528.09,530.09,140.43
1672718400000,530.03,530.38,529.13,530.03,177.75
1672722000000,530.09,531.67,529.96,530.83,200.1
1672725600000,530.93,532.0,530.87,531.34,406.27
1672729200000,531.33,532.22,530.73,531.47,193.14
1672732800000,531.49,531.59,529.91,530.89,222.19
1672736400000,530.78,533.6,530.16,531.97,515.63
1672740000000,531.98,532.48,531.42,532.1,176.07
1672743600000,532.1,532.41,530.68,531.06,238.2
1672747200000,531.04,532.39,530.02,530.12,233.41
1672750800000,530.12,531.69,530.11,531.08,263.41
1672754400000,531.08,532.47,528.36,529.4,633.52
1672758000000,529.44,530.54,527.86,530.46,650.68
1672761600000,530.42,531.14,527.88,528.63,840.25
1672765200000,528.44,529.67,526.75,527.47,379.38
1672768800000,527.46,528.63,526.71,528.52,189.23
1672772400000,528.57,529.6,528.09,528.73,242.83
1672776000000,528.69,530.18,528.23,530.01,229.05
1672779600000,529.96,532.61,529.82,531.41,356.78
1672783200000,531.46,531.91,529.8,530.82,249.43
1672786800000,530.79,532.57,530.79,531.81,213.55
1672790400000,531.8,533.89,531.42,531.9,431.48
1672794000000,531.84,534.81,531.69,533.12,545.74
1672797600000,533.12,536.82,533.12,536.1,376.18
1672801200000,536.12,538.48,535.64,537.43,630.21
1672804800000,536.98,538.65,536.18,536.18,276.47
1672808400000,536.18,536.84,535.16,536.26,289.04
1672812000000,536.27,538.0,535.87,536.19,429.64
1672815600000,536.2,540.51,536.11,540.03,583.62
1672819200000,540.03,540.16,535.52,537.15,782.59
1672822800000,536.96,538.45,536.35,536.64,402.42
1672826400000,536.61,537.05,536.15,536.91,199.98
1672830000000,536.91,537.22,536.38,536.87,292.24
1672833600000,536.85,537.56,536.24,536.4,392.66
1672837200000,536.4,536.41,535.4,536.32,319.33
1672840800000,536.33,537.22,535.59,536.71,342.85
1672844400000,536.71,538.17,532.93,537.75,816.98
1672848000000,537.8,538.29,535.98,536.51,288.73
1672851600000,536.47,537.54,534.49,534.82,462.73
1672855200000,534.81,536.63,533.55,533.55,443.73
1672858800000,533.55,535.12,530.63,532.9,782.37
1672862400000,532.95,532.95,529.18,530.62,558.52
1672866000000,530.55,533.52,530.0,533.45,262.13
1672869600000,533.51,534.46,532.11,534.22,242.65
1672873200000,534.2,537.65,534.19,536.57,571.29
1672876800000,536.58,539.89,536.33,537.58,494.44
1672880400000,537.57,559.38,536.37,540.03,5775.52
1672884000000,540.0,547.74,539.28,547.6,1720.03
1672887600000,547.73,550.65,545.71,546.55,1987.2
1672891200000,546.55,546.56,539.52,541.95,1123.99
1672894800000,541.91,543.96,540.87,541.5,444.65
1672898400000,541.5,549.82,539.27,546.35,1393.86
1672902000000,546.35,552.3,543.5,551.26,2221.89
1672905600000,551.26,564.0,546.0,562.41,8513.83
1672909200000,562.56,566.2,555.63,557.82,6578.24
1672912800000,557.82,566.5,554.42,561.97,3474.66
1672916400000,561.97,564.52,556.86,558.49,3719.3
1672920000000,558.4,561.21,552.91,558.93,3544.16
1672923600000,558.94,564.0,557.57,557.69,2317.6
1672927200000,557.85,561.94,557.05,559.42,1758.69
1672930800000,559.3,568.38,559.24,563.1,5716.22
1672934400000,563.23,563.67,557.0,559.82,5523.14
1672938000000,559.91,572.0,558.86,567.68,6428.71
1672941600000,567.62,567.62,562.62,565.52,3092.35
1672945200000,565.71,573.91,565.71,568.47,4251.56
1672948800000,568.46,569.5,564.5,566.08,2397.79
1672952400000,565.89,569.2,565.0,568.26,1144.5
1672956000000,568.26,570.0,566.15,567.49,1335.48
1672959600000,567.48,569.44,562.64,563.56,2439.6
1672963200000,563.82,565.25,560.11,564.05,2934.31
