date,open,high,low,close,volume
1672527600000,0.1996,0.2001,0.1987,0.1998,1531549.0
1672531200000,0.1999,0.1999,0.1988,0.1994,1223100.0
1672534800000,0.1994,0.2002,0.1992,0.1999,1384255.0
1672538400000,0.1998,0.2004,0.1996,0.1997,642173.0
1672542000000,0.1996,0.2005,0.1992,0.2004,554878.0
1672545600000,0.2004,0.2004,0.1988,0.1991,1251134.0
1672549200000,0.199,0.1994,0.1985,0.1992,683572.0
1672552800000,0.1992,0.2002,0.1992,0.1997,490895.0
1672556400000,0.1997,0.1998,0.1991,0.1997,534074.0
1672560000000,0.1996,0.1998,0.199,0.1992,445330.0
1672563600000,0.1992,0.2002,0.1992,0.2001,439520.0
1672567200000,0.2002,0.2003,0.1998,0.2002,581964.0
1672570800000,0.2002,0.2005,0.1998,0.2001,1062430.0
1672574400000,0.2003,0.2007,0.1998,0.1998,883329.0
1672578000000,0.1999,0.2001,0.1993,0.1993,447650.0
1672581600000,0.1994,0.2001,0.1993,0.2,615857.0
1672585200000,0.2001,0.2008,0.2,0.2008,563834.0
1672588800000,0.2008,0.2013,0.2003,0.2005,1092268.0
1672592400000,0.2006,0.2011,0.2004,0.2006,786976.0
1672596000000,0.2006,0.2015,0.2006,0.2014,1369412.0
1672599600000,0.2014,0.2016,0.2008,0.2012,1125529.0
1672603200000,0.2011,0.2024,0.2011,0.2017,1299398.0
1672606800000,0.2018,0.202,0.2011,0.2013,1117204.0
1672610400000,0.2014,0.2018,0.2006,0.2007,874666.0
1672614000000,0.2007,0.2013,0.2004,0.2008,912417.0
1672617600000,0.2008,0.2011,0.1995,0.2003,1453471.0
1672621200000,0.2001,0.2003,0.1974,0.1989,4055990.0
1672624800000,0.1988,0.1997,0.1986,0.1992,439159.0
1672628400000,0.1992,0.2009,0.199,0.2008,779730.0
1672632000000,0.2008,0.2013,0.2002,0.2006,951675.0
1672635600000,0.2006,0.2017,0.2002,0.2013,884517.0
1672639200000,0.2014,0.2014,0.2005,0.2007,1434090.0
1672642800000,0.2008,0.2052,0.2006,0.2043,12054697.0
1672646400000,0.2043,0.2063,0.2042,0.2054,4016155.0
1672650000000,0.2053,0.2068,0.2049,0.2051,2757048.0
1672653600000,0.2052,0.2061,0.2045,0.2061,2232152.0
1672657200000,0.2061,0.2064,0.2048,0.2059,1464105.0
1672660800000,0.2058,0.2066,0.2057,0.2062,2316280.0
1672664400000,0.2062,0.2081,0.2055,0.2059,3016779.0
1672668000000,0.2058,0.2064,0.2053,0.2059,1589576.0
1672671600000,0.2058,0.2085,0.2058,0.2077,2799241.0
1672675200000,0.2077,0.2134,0.2071,0.2118,8810729.0
1672678800000,0.2118,0.212,0.2094,0.2107,3708721.0
1672682400000,0.2107,0.212,0.2103,0.2115,2132388.0
1672686000000,0.2115,0.213,0.2113,0.2123,1745071.0
1672689600000,0.2123,0.2123,0.2104,0.2109,2689391.0
1672693200000,0.2109,0.2134,0.2107,0.2118,2045115.0
1672696800000,0.2118,0.212,0.2093,0.2094,2185579.0
1672700400000,0.2095,0.2117,0.2092,0.2105,1853910.0
1672704000000,0.2105,0.2131,0.2102,0.2118,2860963.0
1672707600000,0.2117,0.2119,0.2087,0.209,2779151.0
1672711200000,0.2089,0.2096,0.2087,0.2089,1690976.0
1672714800000,0.2089,0.2115,0.2085,0.2107,1742819.0
1672718400000,0.2107,0.2122,0.2106,0.2109,1917793.0
1672722000000,0.211,0.2163,0.2107,0.2153,4872307.0
1672725600000,0.2153,0.2187,0.2147,0.2167,8263907.0
1672729200000,0.2169,0.2171,0.2152,0.2157,2330321.0
1672732800000,0.2156,0.2158,0.2139,0.2144,2403919.0
1672736400000,0.2145,0.2164,0.2143,0.2158,1597713.0
1672740000000,0.2159,0.2161,0.2141,0.2142,2055967.0
1672743600000,0.2142,0.2153,0.2137,0.2139,1570135.0
1672747200000,0.2139,0.2165,0.2132,0.215,4689732.0
1672750800000,0.2149,0.2165,0.2148,0.2156,2587904.0
1672754400000,0.2155,0.2174,0.2134,0.2149,7042257.0
1672758000000,0.2149,0.2157,0.2122,0.2146,4306563.0
1672761600000,0.2145,0.2164,0.2127,0.2131,5510878.0
