date,open,high,low,close,volume
1672527600000,4.131,4.145,4.125,4.125,3027.5
1672531200000,4.125,4.126,4.109,4.116,6162.5
1672534800000,4.119,4.119,4.114,4.118,520.5
1672538400000,4.116,4.138,4.1,4.129,8929.2
1672542000000,4.13,4.136,4.126,4.136,524.6
1672545600000,4.137,4.137,4.127,4.129,2430.1
1672549200000,4.129,4.136,4.129,4.136,193.1
1672552800000,4.144,4.166,4.128,4.156,8572.9
1672556400000,4.154,4.165,4.153,4.156,1506.1
1672560000000,4.16,4.175,4.15,4.156,2136.1
1672563600000,4.156,4.175,4.156,4.173,2387.6
1672567200000,4.17,4.446,4.154,4.166,27045.4
1672570800000,4.163,4.17,4.15,4.159,4534.4
1672574400000,4.163,4.222,4.16,4.203,5791.2
1672578000000,4.203,4.219,4.203,4.21,1799.6
1672581600000,4.21,4.215,4.178,4.213,6036.8
1672585200000,4.215,4.222,4.194,4.201,1733.6
1672588800000,4.199,4.209,4.191,4.196,779.3
1672592400000,4.197,4.203,4.175,4.201,2561.9
1672596000000,4.203,4.262,4.202,4.231,8949.1
1672599600000,4.233,4.458,4.225,4.264,40089.7
1672603200000,4.261,4.469,4.239,4.351,97510.4
1672606800000,4.356,4.596,4.354,4.452,112955.9
1672610400000,4.455,4.48,4.405,4.422,21586.2
1672614000000,4.426,4.456,4.414,4.427,12151.4
1672617600000,4.431,4.495,4.431,4.479,11505.7
1672621200000,4.479,4.518,4.47,4.504,19607.5
1672624800000,4.502,4.503,4.479,4.484,5052.6
1672628400000,4.484,4.601,4.48,4.555,20901.2
1672632000000,4.555,4.557,4.5,4.508,17114.2
1672635600000,4.507,4.519,4.503,4.507,2995.7
1672639200000,4.503,4.519,4.498,4.513,4881.2
1672642800000,4.51,4.57,4.509,4.559,10931.3
1672646400000,4.559,4.67,4.55,4.575,46213.3
1672650000000,4.575,4.624,4.567,4.569,9819.7
1672653600000,4.57,4.576,4.532,4.565,14888.2
1672657200000,4.566,4.614,4.564,4.607,6106.4
1672660800000,4.601,4.622,4.528,4.537,17844.7
1672664400000,4.539,4.61,4.52,4.597,13847.4
1672668000000,4.589,4.672,4.587,4.615,16044.4
1672671600000,4.627,4.65,4.6,4.61,5451.3
1672675200000,4.608,4.645,4.608,4.617,6903.4
1672678800000,4.616,4.624,4.595,4.609,4644.9
1672682400000,4.612,4.624,4.601,4.606,4308.6
1672686000000,4.606,4.646,4.592,4.63,8936.0
1672689600000,4.63,4.631,4.622,4.623,1672.6
1672693200000,4.622,4.684,4.622,4.656,21873.2
1672696800000,4.639,4.679,4.632,4.646,5476.9
1672700400000,4.645,4.65,4.632,4.649,2322.9
1672704000000,4.645,4.658,4.614,4.62,4832.1
1672707600000,4.62,4.641,4.612,4.619,2793.3
1672711200000,4.615,4.616,4.61,4.612,2678.0
1672714800000,4.615,4.63,4.55,4.554,13492.1
1672718400000,4.554,4.554,4.526,4.531,4602.7
1672722000000,4.528,4.595,4.522,4.572,10589.8
1672725600000,4.574,4.576,4.545,4.563,5081.5
1672729200000,4.563,4.638,4.562,4.621,21841.5
1672732800000,4.621,4.639,4.621,4.625,2246.8
1672736400000,4.625,4.644,4.621,4.624,4266.6
