date,open,high,low,close,volume
1672527600000,1.024,1.03,1.024,1.026,9289.832
1672531200000,1.027,1.027,1.011,1.014,132552.762
1672534800000,1.013,1.016,1.013,1.015,8039.793
1672538400000,1.015,1.025,1.014,1.024,57866.847
1672542000000,1.023,1.028,1.022,1.028,6886.457
1672545600000,1.027,1.027,1.017,1.019,73703.261
1672549200000,1.02,1.022,1.019,1.022,3615.36
1672552800000,1.023,1.025,1.022,1.024,18858.552
1672556400000,1.023,1.025,1.021,1.025,16145.778
1672560000000,1.024,1.026,1.023,1.023,9108.923
1672563600000,1.024,1.032,1.019,1.028,69209.147
1672567200000,1.026,1.029,1.023,1.023,85078.853
1672570800000,1.024,1.026,1.021,1.023,17022.939
1672574400000,1.023,1.027,1.023,1.026,18863.679
1672578000000,1.026,1.027,1.022,1.022,14193.643
1672581600000,1.022,1.029,1.022,1.026,54310.303
1672585200000,1.026,1.033,1.026,1.032,10377.988
1672588800000,1.033,1.038,1.032,1.036,54712.116
1672592400000,1.036,1.042,1.035,1.039,56821.574
1672596000000,1.038,1.041,1.036,1.037,15540.274
1672599600000,1.037,1.041,1.036,1.037,16889.481
1672603200000,1.038,1.043,1.036,1.04,42332.591
1672606800000,1.04,1.041,1.039,1.041,16759.067
1672610400000,1.04,1.042,1.037,1.038,23900.965
1672614000000,1.038,1.044,1.037,1.04,23124.162
1672617600000,1.041,1.046,1.031,1.038,51181.834
1672621200000,1.036,1.038,1.026,1.032,39278.804
1672624800000,1.03,1.036,1.027,1.035,14057.246
1672628400000,1.035,1.041,1.035,1.039,49750.528
1672632000000,1.04,1.045,1.038,1.042,36745.177
1672635600000,1.043,1.046,1.042,1.044,15030.757
1672639200000,1.044,1.046,1.042,1.046,17448.63
1672642800000,1.045,1.1,1.044,1.062,723023.925
1672646400000,1.062,1.076,1.062,1.067,100926.171
1672650000000,1.068,1.079,1.066,1.075,152268.925
1672653600000,1.075,1.088,1.072,1.081,89322.725
1672657200000,1.082,1.083,1.069,1.074,60911.098
1672660800000,1.074,1.077,1.066,1.068,78386.792
1672664400000,1.068,1.073,1.066,1.067,41037.194
1672668000000,1.066,1.071,1.065,1.067,21731.95
1672671600000,1.068,1.073,1.066,1.071,30451.812
1672675200000,1.071,1.073,1.065,1.065,22198.029
1672678800000,1.066,1.072,1.064,1.069,58036.689
1672682400000,1.069,1.076,1.069,1.072,16824.744
1672686000000,1.071,1.078,1.071,1.075,26055.223
1672689600000,1.075,1.077,1.071,1.076,42390.672
1672693200000,1.077,1.08,1.075,1.08,9502.759
1672696800000,1.079,1.079,1.066,1.067,30963.073
1672700400000,1.067,1.074,1.067,1.069,63550.001
1672704000000,1.068,1.075,1.063,1.072,89119.676
1672707600000,1.072,1.073,1.06,1.064,52957.161
1672711200000,1.064,1.068,1.063,1.068,21902.115
1672714800000,1.067,1.079,1.066,1.076,68199.69
1672718400000,1.075,1.075,1.07,1.071,60617.71
1672722000000,1.072,1.081,1.071,1.081,84972.011
1672725600000,1.081,1.083,1.07,1.072,65877.995
1672729200000,1.072,1.072,1.067,1.07,17173.697
1672732800000,1.07,1.07,1.056,1.058,120180.487
1672736400000,1.058,1.064,1.058,1.061,65010.714
1672740000000,1.06,1.061,1.055,1.057,105987.576
1672743600000,1.057,1.059,1.05,1.053,44586.251
1672747200000,1.053,1.057,1.051,1.054,24158.481
1672750800000,1.053,1.056,1.05,1.052,57994.087
1672754400000,1.051,1.059,1.034,1.035,148027.547
1672758000000,1.036,1.046,1.034,1.039,107350.298
1672761600000,1.039,1.043,1.028,1.032,69787.3
1672765200000,1.031,1.036,1.031,1.035,25586.593
1672768800000,1.034,1.036,1.031,1.034,11112.519
1672772400000,1.033,1.035,1.032,1.033,14596.958
1672776000000,1.033,1.036,1.03,1.032,43224.986
1672779600000,1.032,1.037,1.032,1.036,11805.812
1672783200000,1.036,1.04,1.034,1.039,35525.899
1672786800000,1.039,1.046,1.039,1.042,56828.761
1672790400000,1.043,1.046,1.038,1.045,84593.63
1672794000000,1.046,1.06,1.046,1.058,149583.911
1672797600000,1.06,1.076,1.059,1.075,95981.452
1672801200000,1.076,1.093,1.076,1.09,206653.506
1672804800000,1.092,1.098,1.083,1.092,213003.652
1672808400000,1.091,1.096,1.089,1.095,59378.006
1672812000000,1.096,1.099,1.09,1.096,41252.487
1672815600000,1.095,1.097,1.085,1.088,42568.178
1672819200000,1.087,1.099,1.079,1.087,161013.988
1672822800000,1.087,1.088,1.083,1.085,41070.525
1672826400000,1.085,1.085,1.079,1.079,35683.325
1672830000000,1.08,1.08,1.075,1.079,39920.693
1672833600000,1.079,1.089,1.079,1.08,84377.007
1672837200000,1.079,1.086,1.077,1.083,36849.369
1672840800000,1.085,1.087,1.08,1.081,19605.881
1672844400000,1.08,1.098,1.07,1.098,96446.584
1672848000000,1.097,1.097,1.086,1.089,125212.283
1672851600000,1.089,1.109,1.089,1.094,170277.4
1672855200000,1.095,1.098,1.088,1.092,111590.552
1672858800000,1.091,1.094,1.072,1.08,69082.452
1672862400000,1.08,1.081,1.066,1.071,33493.756
1672866000000,1.071,1.079,1.071,1.075,24118.833
1672869600000,1.076,1.084,1.07,1.082,86420.766
1672873200000,1.083,1.091,1.083,1.09,72156.945
1672876800000,1.089,1.107,1.089,1.097,112810.706
1672880400000,1.096,1.12,1.09,1.11,261110.946
1672884000000,1.109,1.109,1.098,1.109,97523.955
1672887600000,1.109,1.109,1.097,1.106,86169.559
1672891200000,1.105,1.134,1.103,1.133,153288.231
1672894800000,1.132,1.203,1.127,1.164,1294641.807
1672898400000,1.165,1.165,1.134,1.148,607469.918
1672902000000,1.147,1.154,1.136,1.145,221352.154
1672905600000,1.145,1.145,1.12,1.125,263263.621
1672909200000,1.125,1.127,1.111,1.117,149185.465
1672912800000,1.118,1.137,1.118,1.133,162720.667
1672916400000,1.134,1.134,1.123,1.128,83802.439
1672920000000,1.127,1.13,1.118,1.124,170803.027
1672923600000,1.125,1.127,1.108,1.113,104474.324
1672927200000,1.113,1.127,1.113,1.122,58658.554
1672930800000,1.122,1.139,1.122,1.132,173497.707
1672934400000,1.13,1.135,1.122,1.131,41154.833
1672938000000,1.131,1.144,1.125,1.126,205871.853
1672941600000,1.126,1.131,1.121,1.131,43992.867
1672945200000,1.131,1.15,1.13,1.142,141373.343
1672948800000,1.142,1.142,1.132,1.139,54632.199
1672952400000,1.138,1.148,1.131,1.135,63427.61
1672956000000,1.135,1.135,1.119,1.127,200563.512
