date,open,high,low,close,volume
1672527600000,1.288,1.298,1.285,1.297,13290.8
1672531200000,1.297,1.297,1.283,1.286,16684.9
1672534800000,1.285,1.294,1.285,1.292,7466.8
1672538400000,1.292,1.3,1.289,1.297,10270.9
1672542000000,1.297,1.299,1.295,1.296,10097.0
1672545600000,1.296,1.296,1.286,1.289,17956.2
1672549200000,1.288,1.293,1.288,1.293,11093.8
1672552800000,1.292,1.294,1.287,1.287,11531.1
1672556400000,1.287,1.287,1.278,1.284,12047.1
1672560000000,1.284,1.292,1.284,1.292,18141.0
1672563600000,1.293,1.299,1.292,1.294,17485.5
1672567200000,1.295,1.297,1.295,1.296,1528.1
1672570800000,1.298,1.302,1.298,1.299,10574.3
1672574400000,1.3,1.307,1.3,1.304,16886.6
1672578000000,1.303,1.305,1.296,1.299,18098.7
1672581600000,1.299,1.304,1.299,1.303,2356.9
1672585200000,1.304,1.311,1.304,1.307,14113.0
1672588800000,1.308,1.314,1.308,1.313,8537.7
1672592400000,1.313,1.313,1.304,1.304,9871.7
1672596000000,1.307,1.308,1.305,1.307,4756.2
1672599600000,1.308,1.318,1.306,1.306,11982.5
1672603200000,1.308,1.315,1.308,1.315,9221.8
1672606800000,1.313,1.315,1.31,1.314,4615.6
1672610400000,1.315,1.316,1.312,1.312,4300.1
1672614000000,1.311,1.32,1.311,1.314,12869.7
1672617600000,1.315,1.32,1.304,1.305,14947.3
1672621200000,1.306,1.306,1.288,1.298,52918.3
1672624800000,1.297,1.305,1.296,1.303,4352.9
1672628400000,1.303,1.318,1.303,1.315,11713.3
1672632000000,1.316,1.317,1.308,1.308,10346.2
1672635600000,1.313,1.315,1.308,1.309,6215.3
1672639200000,1.312,1.315,1.31,1.315,3234.3
1672642800000,1.313,1.339,1.311,1.326,189184.1
1672646400000,1.324,1.335,1.324,1.332,20059.1
1672650000000,1.335,1.343,1.333,1.333,22691.2
1672653600000,1.333,1.341,1.327,1.328,72847.4
1672657200000,1.329,1.33,1.321,1.328,13598.0
1672660800000,1.329,1.334,1.328,1.331,21322.7
1672664400000,1.331,1.334,1.324,1.328,10625.5
1672668000000,1.328,1.332,1.326,1.331,5193.4
1672671600000,1.332,1.336,1.329,1.335,17170.1
1672675200000,1.334,1.337,1.333,1.334,4734.3
1672678800000,1.333,1.334,1.33,1.332,5006.6
1672682400000,1.332,1.34,1.332,1.339,8395.5
1672686000000,1.339,1.341,1.338,1.34,5969.3
1672689600000,1.341,1.344,1.337,1.337,18958.4
1672693200000,1.338,1.345,1.337,1.343,7420.6
1672696800000,1.343,1.345,1.328,1.33,19326.5
1672700400000,1.33,1.337,1.328,1.332,6484.2
1672704000000,1.331,1.346,1.329,1.344,38621.2
1672707600000,1.343,1.343,1.316,1.319,47216.0
1672711200000,1.32,1.326,1.32,1.322,10396.8
1672714800000,1.322,1.331,1.32,1.328,27998.8
1672718400000,1.329,1.333,1.325,1.326,5301.0
1672722000000,1.325,1.334,1.325,1.334,7355.2
1672725600000,1.333,1.338,1.329,1.329,19785.7
1672729200000,1.329,1.335,1.329,1.332,11509.8
1672732800000,1.331,1.332,1.321,1.326,11122.5
1672736400000,1.325,1.332,1.323,1.331,9830.1
1672740000000,1.332,1.332,1.327,1.328,12924.8
1672743600000,1.329,1.329,1.319,1.321,9156.2
1672747200000,1.321,1.338,1.321,1.333,59181.9
1672750800000,1.332,1.332,1.326,1.327,24766.6
1672754400000,1.327,1.334,1.29,1.303,169499.6
1672758000000,1.305,1.312,1.296,1.301,70471.6
1672761600000,1.301,1.306,1.28,1.282,76162.4
1672765200000,1.279,1.286,1.277,1.282,30306.3
1672768800000,1.282,1.282,1.274,1.282,29228.2
1672772400000,1.283,1.284,1.279,1.284,10010.0
1672776000000,1.282,1.284,1.27,1.275,33389.9
1672779600000,1.275,1.278,1.273,1.278,13410.2
1672783200000,1.279,1.283,1.277,1.283,8400.6
1672786800000,1.283,1.298,1.283,1.295,25920.4
1672790400000,1.293,1.295,1.287,1.292,39735.0
1672794000000,1.293,1.31,1.292,1.306,22408.5
1672797600000,1.306,1.339,1.306,1.339,37484.7
1672801200000,1.339,1.368,1.339,1.367,92862.0
1672804800000,1.368,1.372,1.352,1.354,19501.5
1672808400000,1.354,1.36,1.352,1.358,14236.9
1672812000000,1.359,1.363,1.356,1.363,8923.7
1672815600000,1.363,1.365,1.351,1.354,14638.3
1672819200000,1.355,1.362,1.34,1.349,35389.7
1672822800000,1.35,1.355,1.35,1.352,6465.5
