date,open,high,low,close,volume
1672527600000,0.0363,0.0365,0.0361,0.0365,8235230.0
1672531200000,0.0365,0.0366,0.0363,0.0363,2139159.0
1672534800000,0.0364,0.0365,0.0362,0.0364,1135799.0
1672538400000,0.0364,0.0366,0.0364,0.0365,2812055.0
1672542000000,0.0365,0.0367,0.0365,0.0366,1198479.0
1672545600000,0.0367,0.0367,0.0364,0.0366,1873362.0
1672549200000,0.0366,0.0367,0.0365,0.0366,779496.0
1672552800000,0.0366,0.0367,0.0365,0.0367,559281.0
1672556400000,0.0367,0.0367,0.0363,0.0364,1738574.0
1672560000000,0.0365,0.0365,0.0363,0.0363,874068.0
1672563600000,0.0363,0.0365,0.0362,0.0364,1046652.0
1672567200000,0.0365,0.0365,0.0364,0.0365,459290.0
1672570800000,0.0366,0.0367,0.0365,0.0367,991420.0
1672574400000,0.0367,0.0368,0.0366,0.0368,458078.0
1672578000000,0.0368,0.0369,0.0366,0.0367,1378766.0
1672581600000,0.0367,0.0371,0.0367,0.037,1569189.0
1672585200000,0.037,0.0373,0.0369,0.0373,2841523.0
1672588800000,0.0373,0.0375,0.0372,0.0374,1703388.0
1672592400000,0.0375,0.0377,0.0374,0.0377,831892.0
1672596000000,0.0376,0.0382,0.0376,0.038,3673625.0
1672599600000,0.038,0.039,0.0379,0.0389,11423196.0
1672603200000,0.0389,0.039,0.0383,0.0388,10213318.0
1672606800000,0.0388,0.0388,0.0383,0.0384,7098751.0
1672610400000,0.0384,0.0385,0.0381,0.0381,3489610.0
1672614000000,0.0381,0.0383,0.0379,0.0381,3724969.0
1672617600000,0.0381,0.0383,0.0377,0.038,3255578.0
1672621200000,0.038,0.0381,0.0374,0.0376,8913764.0
1672624800000,0.0375,0.0379,0.0375,0.0378,1537605.0
1672628400000,0.0377,0.0381,0.0376,0.038,1985039.0
1672632000000,0.0379,0.0381,0.0378,0.038,1380673.0
1672635600000,0.0381,0.0381,0.0379,0.0379,1372476.0
1672639200000,0.038,0.0381,0.0379,0.038,814813.0
1672642800000,0.038,0.0388,0.0379,0.0385,9507341.0
1672646400000,0.0385,0.0388,0.0385,0.0386,1912567.0
1672650000000,0.0386,0.0388,0.0384,0.0385,4282072.0
1672653600000,0.0385,0.0387,0.0385,0.0386,2811510.0
1672657200000,0.0386,0.0387,0.0385,0.0387,903002.0
1672660800000,0.0386,0.0388,0.0386,0.0387,2933105.0
1672664400000,0.0387,0.0388,0.0385,0.0385,1466163.0
