date,open,high,low,close,volume
1672527600000,0.283,0.2846,0.2816,0.2844,266674.6
1672531200000,0.2841,0.2861,0.2825,0.284,309782.1
1672534800000,0.2837,0.2841,0.2818,0.283,161013.1
1672538400000,0.283,0.2843,0.2824,0.2833,110067.8
1672542000000,0.2831,0.2846,0.2821,0.2842,209041.1
1672545600000,0.2842,0.2845,0.2826,0.283,143463.7
1672549200000,0.283,0.2837,0.2821,0.2826,145057.8
1672552800000,0.2823,0.2828,0.2813,0.2818,307351.0
1672556400000,0.2817,0.2828,0.281,0.2817,225227.0
1672560000000,0.2817,0.298,0.2815,0.296,2234284.4
1672563600000,0.296,0.2975,0.29,0.292,945243.4
1672567200000,0.2921,0.2922,0.287,0.2882,675555.3
1672570800000,0.2882,0.2935,0.2875,0.2915,615135.5
1672574400000,0.2916,0.305,0.29,0.2996,2569891.9
1672578000000,0.2997,0.302,0.2928,0.2939,1777051.8
1672581600000,0.294,0.2952,0.2911,0.2921,391899.4
1672585200000,0.2923,0.2924,0.2882,0.2906,599180.3
1672588800000,0.2906,0.2964,0.2896,0.2954,437213.2
1672592400000,0.2956,0.2957,0.2916,0.2918,330148.7
1672596000000,0.2919,0.293,0.288,0.2884,708488.9
1672599600000,0.2884,0.2956,0.2881,0.2936,412745.8
1672603200000,0.2941,0.2955,0.2915,0.292,178712.2
1672606800000,0.292,0.2934,0.2906,0.2911,271331.5
1672610400000,0.2911,0.3014,0.29,0.2988,872408.4
1672614000000,0.2988,0.2988,0.293,0.2936,511051.9
1672617600000,0.2936,0.2959,0.29,0.294,773735.8
1672621200000,0.294,0.304,0.2926,0.303,1314573.4
1672624800000,0.303,0.3103,0.3004,0.3065,1733278.1
1672628400000,0.3067,0.3161,0.3001,0.3012,1762093.3
1672632000000,0.3014,0.3061,0.3011,0.3026,526663.5
1672635600000,0.303,0.3051,0.301,0.3014,391242.9
1672639200000,0.3016,0.3017,0.2966,0.2968,787637.4
1672642800000,0.2968,0.3026,0.2966,0.3006,878089.8
1672646400000,0.3006,0.3056,0.3,0.3024,676411.9
1672650000000,0.3026,0.3072,0.302,0.305,439793.7
1672653600000,0.305,0.306,0.3012,0.3015,492930.6
1672657200000,0.3018,0.3024,0.2994,0.3,418241.9
1672660800000,0.3001,0.3011,0.2982,0.299,430416.9
1672664400000,0.299,0.3006,0.297,0.2989,589999.1
1672668000000,0.2987,0.3031,0.297,0.3025,362671.7
1672671600000,0.3025,0.303,0.3,0.3001,185673.5
1672675200000,0.3002,0.3033,0.3001,0.3008,382410.0
1672678800000,0.3007,0.3008,0.2988,0.3,261269.1
1672682400000,0.3001,0.3006,0.2975,0.298,239625.2
1672686000000,0.2978,0.3001,0.2975,0.3001,219988.0
1672689600000,0.3001,0.3009,0.299,0.2998,259827.0
1672693200000,0.2997,0.3032,0.2995,0.3026,286675.7
1672696800000,0.3025,0.3025,0.3,0.3,184126.3
1672700400000,0.3002,0.3009,0.2985,0.2985,165669.1
1672704000000,0.2988,0.3016,0.2974,0.3013,336430.4
1672707600000,0.3012,0.302,0.298,0.2994,209444.5
1672711200000,0.2993,0.2993,0.2966,0.2984,376472.1
1672714800000,0.2986,0.2988,0.2938,0.2951,504687.9
1672718400000,0.295,0.295,0.292,0.2939,613511.5
1672722000000,0.2939,0.2971,0.2932,0.2958,167393.3
1672725600000,0.2959,0.299,0.2946,0.297,611400.2
1672729200000,0.297,0.2984,0.2959,0.2982,150511.0
1672732800000,0.2978,0.2983,0.2958,0.2978,213909.5
1672736400000,0.2974,0.3008,0.2961,0.3003,627671.6
1672740000000,0.3004,0.3007,0.2984,0.2993,270360.5
1672743600000,0.2994,0.3007,0.2981,0.2981,195671.8
1672747200000,0.2984,0.2993,0.2937,0.2939,315238.4
1672750800000,0.2939,0.2961,0.2939,0.2951,289667.5
