date,open,high,low,close,volume
1672527600000,0.1412,0.1418,0.1401,0.1413,740233.7
1672531200000,0.1412,0.1412,0.1407,0.1408,68229.9
1672534800000,0.1408,0.1408,0.1403,0.1406,69194.8
1672538400000,0.1405,0.1408,0.1405,0.1407,23257.5
1672542000000,0.1405,0.1411,0.1405,0.1411,62132.1
1672545600000,0.1411,0.1411,0.1406,0.1406,181384.0
1672549200000,0.1406,0.1408,0.1405,0.1407,13917.2
1672552800000,0.1407,0.1411,0.1406,0.1409,30224.1
1672556400000,0.1409,0.1409,0.1406,0.1406,45321.0
1672560000000,0.1405,0.1406,0.1401,0.1403,37844.9
1672563600000,0.1403,0.1407,0.1401,0.1406,103914.0
1672567200000,0.1406,0.1407,0.1405,0.1407,2380.2
1672570800000,0.1407,0.1407,0.1405,0.1406,5972.1
1672574400000,0.1407,0.1409,0.1406,0.1408,29565.6
1672578000000,0.1408,0.1408,0.1402,0.1404,27748.9
1672581600000,0.1405,0.1408,0.1404,0.1404,32403.8
1672585200000,0.1405,0.1409,0.1405,0.1409,44878.1
1672588800000,0.1409,0.1413,0.1409,0.1412,41625.6
1672592400000,0.1412,0.1419,0.1412,0.1415,60966.3
1672596000000,0.1416,0.1419,0.1415,0.1419,27388.0
1672599600000,0.1418,0.1422,0.1417,0.142,74766.6
1672603200000,0.142,0.143,0.142,0.1429,233672.8
1672606800000,0.1426,0.1431,0.1425,0.1428,22402.9
1672610400000,0.1427,0.1427,0.1425,0.1425,22573.9
1672614000000,0.1426,0.1431,0.1426,0.143,11341.9
1672617600000,0.1431,0.1432,0.1419,0.142,62546.0
1672621200000,0.1419,0.1419,0.1399,0.1404,356864.7
1672624800000,0.1404,0.1408,0.1402,0.1407,68207.7
1672628400000,0.1407,0.1416,0.1404,0.1415,52756.8
1672632000000,0.1416,0.142,0.1414,0.142,38240.5
1672635600000,0.142,0.1424,0.1419,0.1424,35444.9
1672639200000,0.1424,0.1429,0.1423,0.1426,170828.9
1672642800000,0.1427,0.1458,0.1425,0.1449,890308.1
1672646400000,0.145,0.1461,0.1446,0.1452,672434.3
1672650000000,0.1451,0.1462,0.1451,0.1456,334475.7
1672653600000,0.1457,0.1473,0.1451,0.1465,912069.5
1672657200000,0.1465,0.1465,0.1441,0.1452,462168.1
1672660800000,0.1453,0.1457,0.1452,0.1453,94069.9
1672664400000,0.1452,0.1462,0.1448,0.1449,203547.9
1672668000000,0.145,0.1461,0.145,0.146,172485.5
1672671600000,0.1459,0.1468,0.1456,0.1467,167306.0
1672675200000,0.1467,0.1472,0.1466,0.147,176512.3
1672678800000,0.147,0.1472,0.1467,0.1471,40543.1
1672682400000,0.1471,0.1478,0.147,0.1478,145563.2
1672686000000,0.1478,0.1483,0.1476,0.1483,153510.4
1672689600000,0.1482,0.1482,0.1478,0.148,44845.0
1672693200000,0.1481,0.1487,0.1481,0.1484,28844.5
1672696800000,0.1484,0.1484,0.1463,0.1467,222784.7
1672700400000,0.1467,0.1481,0.1466,0.1475,153747.4
1672704000000,0.1477,0.1477,0.1469,0.147,48384.7
1672707600000,0.147,0.1471,0.1459,0.1464,78285.8
1672711200000,0.1465,0.147,0.1465,0.1466,41703.2
1672714800000,0.1467,0.1469,0.1464,0.1466,35986.4
1672718400000,0.1469,0.1469,0.1462,0.1462,17893.6
1672722000000,0.1464,0.1469,0.1463,0.1467,45879.3
1672725600000,0.1468,0.1475,0.1466,0.1467,45258.0
1672729200000,0.1467,0.1469,0.1465,0.1469,22483.0
1672732800000,0.1469,0.1471,0.1459,0.1462,59910.6
1672736400000,0.1462,0.1472,0.1462,0.1471,42797.1
1672740000000,0.147,0.147,0.1467,0.1468,15964.7
1672743600000,0.1467,0.1467,0.1459,0.1463,82321.2
1672747200000,0.1464,0.1468,0.1462,0.1464,58167.5
1672750800000,0.1464,0.1473,0.1464,0.147,59968.2
1672754400000,0.1469,0.1476,0.1454,0.1456,132544.0
1672758000000,0.1455,0.146,0.1448,0.1452,169130.6
1672761600000,0.1451,0.1459,0.1442,0.1442,136865.3
1672765200000,0.1443,0.1445,0.144,0.1442,66022.0
1672768800000,0.1442,0.1444,0.144,0.1441,124879.3
1672772400000,0.1442,0.1449,0.1442,0.1446,63362.3
1672776000000,0.1446,0.1452,0.1445,0.1451,31740.6
1672779600000,0.1451,0.1451,0.1441,0.1447,427285.0
1672783200000,0.1448,0.1448,0.1442,0.1448,58380.1
1672786800000,0.1448,0.1455,0.1447,0.1454,44763.5
1672790400000,0.1452,0.1455,0.1446,0.145,44768.6
1672794000000,0.145,0.1468,0.145,0.146,234177.3
1672797600000,0.146,0.1489,0.1458,0.1487,302425.9
1672801200000,0.1485,0.1499,0.1485,0.1496,92713.4
1672804800000,0.1498,0.1499,0.1491,0.1495,37577.4
1672808400000,0.1498,0.1507,0.1489,0.1505,150189.5
1672812000000,0.1506,0.1515,0.1503,0.1514,110231.8
1672815600000,0.1514,0.1514,0.15,0.1503,219133.8
1672819200000,0.1504,0.1511,0.1494,0.1504,96231.1
1672822800000,0.1504,0.1505,0.1499,0.1503,22225.5
1672826400000,0.1504,0.1504,0.1496,0.1499,90460.7
1672830000000,0.1499,0.1503,0.1494,0.15,73524.4
1672833600000,0.15,0.1503,0.1496,0.1497,55277.8
1672837200000,0.1496,0.1504,0.1496,0.1504,193613.0
1672840800000,0.1503,0.1508,0.1498,0.1502,77657.5
1672844400000,0.1502,0.1508,0.1482,0.1507,159374.1
1672848000000,0.1507,0.1508,0.1501,0.1503,30897.3
1672851600000,0.1504,0.1512,0.1499,0.1504,120149.6
1672855200000,0.1503,0.1508,0.1503,0.1503,34679.1
1672858800000,0.1502,0.1503,0.1483,0.1487,181469.6
1672862400000,0.1489,0.1489,0.1472,0.1475,159096.0
1672866000000,0.1474,0.1487,0.1474,0.1485,44822.7
1672869600000,0.1485,0.1498,0.1485,0.1498,43880.9
1672873200000,0.1498,0.1508,0.1497,0.1503,93355.0
1672876800000,0.1503,0.1516,0.1498,0.1499,170662.2
1672880400000,0.1498,0.1511,0.1492,0.1504,131309.4
1672884000000,0.1504,0.151,0.1498,0.1506,119359.3
1672887600000,0.1506,0.151,0.1498,0.1499,170138.7
1672891200000,0.1499,0.1514,0.1499,0.1508,120834.3
1672894800000,0.1508,0.1515,0.1508,0.1511,71653.6
1672898400000,0.151,0.151,0.1499,0.1502,105088.5
1672902000000,0.1501,0.1507,0.1496,0.1506,136492.1
1672905600000,0.1507,0.1507,0.1496,0.15,121802.1
1672909200000,0.1497,0.1504,0.149,0.1495,86099.1
1672912800000,0.1492,0.1509,0.1492,0.1505,119466.8
1672916400000,0.1506,0.1508,0.15,0.1506,56516.8
1672920000000,0.1504,0.1506,0.1502,0.1506,22182.1
1672923600000,0.1506,0.1507,0.149,0.1492,123587.8
1672927200000,0.1491,0.1499,0.1486,0.1492,54873.2
1672930800000,0.1493,0.1498,0.1493,0.1495,39525.9
1672934400000,0.1493,0.1495,0.1487,0.149,106701.0
1672938000000,0.1489,0.1492,0.1486,0.1487,63841.3
1672941600000,0.1487,0.1493,0.1484,0.1493,65396.5
1672945200000,0.1493,0.15,0.1493,0.1499,29535.7
1672948800000,0.1499,0.1503,0.1498,0.1501,77126.0
1672952400000,0.1501,0.1501,0.1494,0.1496,58306.7
1672956000000,0.1497,0.1497,0.1491,0.1491,24435.5
1672959600000,0.1493,0.1495,0.1478,0.1487,137218.5
1672963200000,0.1489,0.15,0.1485,0.1499,49949.6
1672966800000,0.1499,0.1499,0.1494,0.1494,17869.7
1672970400000,0.1493,0.1495,0.149,0.1492,29296.9
1672974000000,0.1495,0.1495,0.1489,0.1489,47194.6
1672977600000,0.149,0.149,0.1475,0.1478,76873.2
