date,open,high,low,close,volume
1672527600000,0.03648,0.03654,0.03646,0.03651,50263.5
1672531200000,0.0365,0.0365,0.03637,0.03644,125654.2
1672534800000,0.03643,0.03647,0.03636,0.0364,297398.4
1672538400000,0.0364,0.03646,0.03638,0.03642,44184.2
1672542000000,0.0364,0.03641,0.03636,0.03639,73777.5
1672545600000,0.03638,0.03638,0.03633,0.03636,83102.0
1672549200000,0.03635,0.03639,0.03635,0.03637,25519.0
1672552800000,0.0364,0.03648,0.0364,0.03642,55988.1
1672556400000,0.03641,0.03641,0.03634,0.03639,56163.4
1672560000000,0.03637,0.03637,0.0363,0.03636,125802.0
1672563600000,0.03633,0.0365,0.03631,0.03645,145617.7
1672567200000,0.03645,0.03654,0.03645,0.03654,57609.8
1672570800000,0.03653,0.03657,0.03644,0.03645,85652.5
1672574400000,0.03645,0.03653,0.03645,0.03648,74132.1
1672578000000,0.03649,0.03678,0.03646,0.03673,256967.1
1672581600000,0.03674,0.03683,0.03663,0.03668,243834.9
1672585200000,0.03668,0.03818,0.03665,0.03704,6500909.8
1672588800000,0.03704,0.03715,0.03686,0.03691,1576248.8
1672592400000,0.0369,0.03707,0.0369,0.03694,387423.3
1672596000000,0.03696,0.03738,0.03687,0.03724,888633.1
1672599600000,0.03726,0.03734,0.03723,0.03734,187938.9
1672603200000,0.03733,0.03739,0.03722,0.0373,95169.8
1672606800000,0.03726,0.03726,0.03712,0.03717,158050.9
1672610400000,0.0372,0.03723,0.03716,0.03716,59727.3
1672614000000,0.03716,0.03724,0.03714,0.03717,110353.9
1672617600000,0.03718,0.03743,0.03703,0.03708,525330.9
1672621200000,0.03706,0.03721,0.03666,0.03706,1812249.3
1672624800000,0.03704,0.03712,0.03698,0.0371,48037.0
1672628400000,0.03712,0.03718,0.03701,0.03714,155778.5
1672632000000,0.03718,0.0372,0.03714,0.03714,33071.0
1672635600000,0.03716,0.03756,0.03708,0.03742,695667.3
1672639200000,0.03744,0.038,0.03731,0.03791,1688331.8
1672642800000,0.03792,0.038,0.03766,0.03777,1147224.5
1672646400000,0.0378,0.03809,0.03779,0.03794,729475.4
1672650000000,0.03798,0.038,0.03781,0.03785,302051.1
1672653600000,0.03781,0.03794,0.0378,0.03794,146876.8
1672657200000,0.03793,0.03818,0.03777,0.03782,699528.5
1672660800000,0.03782,0.03789,0.03776,0.03778,360019.0
1672664400000,0.03778,0.0378,0.03761,0.03766,263305.4
1672668000000,0.03766,0.03766,0.03717,0.03747,804439.6
1672671600000,0.03747,0.03758,0.03742,0.03752,275768.8
1672675200000,0.03752,0.03756,0.03744,0.03744,195486.0
1672678800000,0.03745,0.03748,0.03741,0.03746,103834.0
1672682400000,0.03746,0.03771,0.03741,0.03752,498760.8
1672686000000,0.03752,0.03755,0.0375,0.03752,177928.7
1672689600000,0.03752,0.03759,0.0375,0.03752,422843.3
1672693200000,0.03752,0.0376,0.0375,0.03757,125011.4
1672696800000,0.03757,0.03758,0.0375,0.0375,314764.4
1672700400000,0.0375,0.0375,0.03737,0.03738,140346.0
1672704000000,0.03737,0.03744,0.03734,0.03739,210177.0
1672707600000,0.03741,0.03741,0.03724,0.03728,118149.0
1672711200000,0.03728,0.03729,0.0372,0.03723,120951.4
1672714800000,0.03722,0.03733,0.03721,0.03733,138264.5
1672718400000,0.03733,0.03737,0.03723,0.03727,287923.0
1672722000000,0.03727,0.03741,0.03727,0.03738,38247.4
1672725600000,0.03741,0.03754,0.03737,0.03754,191224.0
1672729200000,0.03754,0.03763,0.03751,0.0376,147403.3
1672732800000,0.03759,0.03762,0.03748,0.03753,196114.5
1672736400000,0.03752,0.0376,0.03744,0.03753,170237.5
1672740000000,0.03757,0.0376,0.03751,0.03751,118431.7
1672743600000,0.0375,0.0376,0.03746,0.03751,150462.9
1672747200000,0.03747,0.03755,0.03742,0.03745,182991.3
1672750800000,0.03745,0.03764,0.03744,0.03761,209522.9
