date,open,high,low,close,volume
1672527600000,0.383,0.384,0.382,0.384,14903.99
1672531200000,0.384,0.384,0.38,0.38,16970.96
1672534800000,0.381,0.382,0.38,0.382,19477.44
1672538400000,0.382,0.384,0.382,0.383,17090.47
1672542000000,0.382,0.384,0.382,0.384,7864.9
1672545600000,0.383,0.383,0.38,0.381,27802.02
1672549200000,0.38,0.381,0.38,0.381,6954.14
1672552800000,0.38,0.381,0.38,0.38,8608.04
1672556400000,0.38,0.381,0.38,0.381,27357.64
1672560000000,0.38,0.381,0.379,0.38,48096.04
1672563600000,0.38,0.381,0.379,0.38,33597.11
1672567200000,0.381,0.381,0.38,0.381,16500.95
1672570800000,0.381,0.382,0.38,0.381,13824.71
1672574400000,0.381,0.382,0.38,0.382,18439.87
1672578000000,0.382,0.382,0.38,0.381,16186.98
1672581600000,0.38,0.381,0.379,0.379,16162.09
1672585200000,0.379,0.381,0.379,0.381,27254.65
1672588800000,0.38,0.381,0.38,0.381,31099.14
1672592400000,0.381,0.383,0.38,0.382,30948.49
1672596000000,0.383,0.384,0.382,0.384,15632.15
1672599600000,0.384,0.385,0.384,0.384,19608.32
1672603200000,0.385,0.387,0.384,0.386,32669.96
1672606800000,0.387,0.387,0.385,0.385,20674.33
1672610400000,0.386,0.386,0.384,0.385,10912.01
1672614000000,0.385,0.387,0.384,0.385,20211.44
1672617600000,0.386,0.386,0.383,0.385,27124.21
1672621200000,0.384,0.384,0.378,0.382,120958.98
1672624800000,0.381,0.385,0.381,0.385,12713.41
1672628400000,0.385,0.388,0.384,0.386,19997.62
1672632000000,0.387,0.39,0.387,0.388,71521.39
1672635600000,0.388,0.391,0.387,0.39,25782.47
1672639200000,0.39,0.394,0.39,0.392,21700.58
1672642800000,0.392,0.404,0.392,0.398,300648.35
1672646400000,0.397,0.409,0.397,0.402,229800.5
1672650000000,0.402,0.404,0.399,0.4,54476.08
1672653600000,0.4,0.401,0.398,0.399,65466.92
1672657200000,0.4,0.401,0.398,0.399,22734.89
1672660800000,0.4,0.403,0.4,0.401,90481.87
1672664400000,0.402,0.405,0.401,0.404,44017.59
1672668000000,0.403,0.404,0.402,0.404,22428.34
1672671600000,0.404,0.409,0.403,0.403,141113.7
1672675200000,0.404,0.405,0.402,0.403,42850.84
1672678800000,0.403,0.403,0.401,0.401,18847.69
1672682400000,0.402,0.405,0.401,0.404,54017.7
1672686000000,0.404,0.405,0.403,0.404,28720.48
1672689600000,0.404,0.405,0.403,0.404,22296.28
1672693200000,0.405,0.406,0.403,0.405,113726.86
1672696800000,0.404,0.404,0.398,0.398,281433.77
1672700400000,0.398,0.402,0.398,0.399,23488.32
1672704000000,0.399,0.403,0.397,0.4,158382.5
1672707600000,0.4,0.401,0.394,0.395,102154.58
1672711200000,0.395,0.396,0.394,0.396,32614.88
1672714800000,0.395,0.399,0.395,0.398,106979.96
1672718400000,0.398,0.398,0.397,0.398,26332.64
1672722000000,0.398,0.401,0.398,0.4,36580.29
1672725600000,0.401,0.403,0.4,0.4,39163.27
1672729200000,0.4,0.401,0.399,0.4,33802.92
1672732800000,0.4,0.4,0.396,0.397,201566.9
1672736400000,0.397,0.401,0.397,0.4,60230.41
1672740000000,0.4,0.401,0.398,0.398,49054.56
1672743600000,0.398,0.399,0.397,0.397,20379.45
1672747200000,0.397,0.398,0.396,0.397,32547.68
1672750800000,0.396,0.398,0.396,0.397,22540.78
1672754400000,0.396,0.4,0.39,0.392,98798.47
1672758000000,0.392,0.393,0.39,0.392,108924.82
1672761600000,0.392,0.394,0.39,0.391,62065.92
1672765200000,0.391,0.392,0.39,0.39,25231.32
1672768800000,0.391,0.392,0.389,0.391,63047.81
1672772400000,0.391,0.393,0.389,0.391,113920.67
1672776000000,0.392,0.393,0.391,0.392,33757.18
1672779600000,0.392,0.394,0.391,0.393,21513.83
1672783200000,0.392,0.393,0.392,0.393,11102.45
1672786800000,0.393,0.395,0.393,0.395,30048.12
1672790400000,0.395,0.397,0.394,0.396,36136.86
1672794000000,0.395,0.404,0.395,0.402,138016.92
1672797600000,0.403,0.407,0.4,0.407,171960.69
1672801200000,0.406,0.415,0.406,0.413,219346.97
1672804800000,0.413,0.416,0.409,0.415,161633.5
1672808400000,0.416,0.417,0.415,0.416,78105.06
1672812000000,0.416,0.42,0.416,0.419,58366.17
1672815600000,0.418,0.42,0.415,0.416,171789.91
1672819200000,0.417,0.418,0.412,0.415,49475.59
1672822800000,0.415,0.415,0.412,0.413,68680.14
1672826400000,0.412,0.414,0.411,0.413,55209.78
1672830000000,0.413,0.413,0.41,0.411,131835.55
1672833600000,0.411,0.413,0.409,0.409,30826.84
1672837200000,0.409,0.412,0.409,0.411,67278.59
1672840800000,0.411,0.412,0.409,0.41,69306.68
1672844400000,0.409,0.411,0.404,0.411,125452.74
1672848000000,0.41,0.412,0.409,0.41,120142.15
1672851600000,0.41,0.413,0.408,0.41,46678.33
1672855200000,0.41,0.413,0.41,0.412,41449.26
1672858800000,0.411,0.411,0.405,0.407,108702.3
1672862400000,0.407,0.407,0.401,0.404,72504.95
1672866000000,0.404,0.406,0.403,0.405,18857.54
1672869600000,0.405,0.41,0.405,0.409,88117.67
1672873200000,0.409,0.414,0.409,0.413,87143.16
1672876800000,0.413,0.419,0.412,0.413,104090.11
1672880400000,0.414,0.42,0.413,0.418,33913.13
1672884000000,0.418,0.419,0.415,0.416,141970.5
1672887600000,0.417,0.418,0.415,0.417,59813.76
1672891200000,0.417,0.421,0.417,0.419,74300.28
1672894800000,0.42,0.421,0.419,0.42,20442.73
1672898400000,0.42,0.421,0.413,0.417,69487.32
1672902000000,0.417,0.417,0.413,0.416,74499.53
1672905600000,0.417,0.417,0.413,0.416,44633.05
1672909200000,0.415,0.417,0.411,0.412,98244.62
1672912800000,0.413,0.416,0.412,0.416,70480.2
1672916400000,0.416,0.419,0.414,0.418,131500.41
1672920000000,0.418,0.418,0.413,0.415,124279.87
1672923600000,0.415,0.416,0.409,0.41,125398.01
1672927200000,0.41,0.413,0.409,0.412,136420.31
1672930800000,0.412,0.414,0.411,0.412,50945.7
1672934400000,0.412,0.413,0.41,0.412,20970.18
1672938000000,0.412,0.412,0.409,0.41,60378.29
1672941600000,0.41,0.413,0.41,0.413,46844.26
1672945200000,0.413,0.414,0.411,0.411,18719.4
1672948800000,0.413,0.414,0.411,0.411,203998.31
1672952400000,0.412,0.412,0.41,0.412,29509.66
1672956000000,0.411,0.411,0.409,0.41,24664.1
1672959600000,0.41,0.411,0.405,0.409,42860.47
1672963200000,0.409,0.413,0.409,0.412,60990.92
1672966800000,0.412,0.412,0.409,0.409,37963.57
1672970400000,0.409,0.411,0.408,0.41,40850.55
1672974000000,0.41,0.411,0.409,0.409,31126.12
1672977600000,0.409,0.41,0.405,0.407,26468.88
1672981200000,0.407,0.407,0.404,0.405,125382.35
1672984800000,0.405,0.405,0.401,0.402,33596.92
1672988400000,0.402,0.408,0.402,0.408,310676.22
1672992000000,0.407,0.409,0.406,0.407,20554.35
1672995600000,0.407,0.407,0.402,0.403,92671.04
1672999200000,0.403,0.404,0.401,0.402,28651.67
1673002800000,0.402,0.403,0.4,0.402,61495.48
1673006400000,0.403,0.403,0.4,0.403,121776.83
1673010000000,0.402,0.412,0.4,0.409,116081.15
1673013600000,0.409,0.41,0.406,0.407,55979.69
1673017200000,0.407,0.413,0.407,0.412,65590.95
1673020800000,0.412,0.417,0.411,0.416,62087.12
1673024400000,0.416,0.417,0.414,0.416,44440.25
1673028000000,0.416,0.419,0.416,0.417,56876.98
1673031600000,0.417,0.421,0.415,0.419,26507.2
1673035200000,0.42,0.421,0.418,0.419,75039.74
1673038800000,0.419,0.422,0.418,0.421,39627.68
1673042400000,0.421,0.422,0.419,0.421,38997.43
1673046000000,0.422,0.423,0.42,0.423,68674.16
1673049600000,0.423,0.423,0.418,0.422,84534.96
1673053200000,0.421,0.426,0.42,0.422,140177.52
1673056800000,0.422,0.424,0.422,0.423,24937.56
1673060400000,0.423,0.423,0.42,0.421,25052.02
1673064000000,0.422,0.424,0.421,0.422,44841.15
1673067600000,0.422,0.425,0.421,0.424,29496.33
1673071200000,0.424,0.425,0.423,0.425,47360.98
1673074800000,0.424,0.427,0.424,0.427,19916.47
1673078400000,0.426,0.427,0.423,0.424,24919.25
1673082000000,0.424,0.426,0.424,0.426,22104.82
1673085600000,0.425,0.426,0.422,0.423,88876.03
1673089200000,0.423,0.423,0.419,0.419,371438.1
1673092800000,0.42,0.422,0.42,0.422,41336.27
1673096400000,0.421,0.424,0.42,0.421,62310.3
1673100000000,0.421,0.422,0.42,0.422,11715.87
1673103600000,0.421,0.424,0.421,0.422,51135.2
1673107200000,0.423,0.423,0.418,0.421,56111.22
1673110800000,0.42,0.421,0.419,0.42,12127.39
1673114400000,0.421,0.421,0.418,0.419,21418.69
1673118000000,0.419,0.422,0.418,0.422,28090.07
1673121600000,0.422,0.423,0.42,0.421,44794.02
1673125200000,0.422,0.422,0.419,0.42,24576.22
1673128800000,0.42,0.42,0.418,0.419,24881.88
1673132400000,0.419,0.421,0.419,0.421,22190.12
1673136000000,0.421,0.424,0.412,0.415,153117.74
1673139600000,0.416,0.417,0.413,0.415,100482.75
1673143200000,0.416,0.417,0.414,0.417,65871.85
1673146800000,0.417,0.421,0.416,0.419,62145.41
1673150400000,0.419,0.42,0.418,0.419,6688.5
1673154000000,0.419,0.42,0.417,0.419,28369.54
1673157600000,0.42,0.42,0.418,0.42,11864.09
1673161200000,0.42,0.421,0.418,0.42,31686.71
1673164800000,0.42,0.421,0.418,0.421,22666.17
1673168400000,0.421,0.422,0.418,0.42,45280.95
1673172000000,0.421,0.422,0.42,0.421,13985.74
1673175600000,0.421,0.423,0.419,0.42,60879.09
1673179200000,0.421,0.421,0.419,0.42,18469.81
1673182800000,0.42,0.422,0.419,0.421,85745.91
1673186400000,0.421,0.432,0.42,0.429,525961.89
1673190000000,0.429,0.432,0.426,0.43,358316.85
1673193600000,0.43,0.43,0.424,0.427,219484.25
1673197200000,0.428,0.429,0.426,0.427,51491.42
1673200800000,0.426,0.429,0.426,0.429,45632.82
1673204400000,0.428,0.435,0.428,0.432,146877.51
1673208000000,0.431,0.44,0.431,0.438,222190.89
1673211600000,0.439,0.439,0.436,0.437,146709.21
1673215200000,0.438,0.444,0.437,0.443,83829.75
1673218800000,0.444,0.453,0.443,0.451,276474.97
1673222400000,0.451,0.458,0.448,0.458,482590.29
1673226000000,0.458,0.46,0.455,0.459,230463.37
1673229600000,0.458,0.467,0.456,0.457,156110.5
1673233200000,0.457,0.469,0.456,0.465,314406.46
1673236800000,0.465,0.475,0.465,0.473,139500.5
1673240400000,0.475,0.48,0.472,0.473,188266.34
1673244000000,0.474,0.484,0.473,0.477,387078.41
1673247600000,0.478,0.5,0.478,0.498,485513.05
1673251200000,0.499,0.507,0.48,0.482,1192433.84
1673254800000,0.482,0.492,0.481,0.492,174633.71
1673258400000,0.491,0.496,0.487,0.487,225942.02
1673262000000,0.487,0.489,0.477,0.478,186555.13
1673265600000,0.478,0.484,0.478,0.482,109484.1
1673269200000,0.482,0.486,0.473,0.477,235850.74
1673272800000,0.477,0.49,0.474,0.489,211646.95
1673276400000,0.49,0.493,0.485,0.492,251686.93
1673280000000,0.491,0.502,0.491,0.496,268534.28
1673283600000,0.497,0.5,0.492,0.494,261165.71
1673287200000,0.495,0.495,0.477,0.478,350340.28
1673290800000,0.48,0.482,0.476,0.477,125446.77
1673294400000,0.477,0.479,0.47,0.475,290022.86
1673298000000,0.474,0.481,0.474,0.476,138186.66
1673301600000,0.476,0.481,0.476,0.478,85055.05
1673305200000,0.478,0.481,0.472,0.476,181649.03
1673308800000,0.477,0.482,0.477,0.481,329316.09
1673312400000,0.481,0.481,0.475,0.479,125010.21
1673316000000,0.479,0.481,0.463,0.469,217377.77
1673319600000,0.47,0.472,0.468,0.472,93738.74
