date,open,high,low,close,volume
1672527600000,1.274,1.275,1.268,1.275,27171.7
1672531200000,1.275,1.275,1.264,1.265,26977.3
1672534800000,1.265,1.266,1.263,1.264,6069.5
1672538400000,1.263,1.268,1.263,1.268,16217.6
1672542000000,1.267,1.268,1.265,1.267,6781.1
1672545600000,1.268,1.269,1.266,1.266,4233.9
1672549200000,1.266,1.267,1.264,1.265,6097.8
1672552800000,1.265,1.266,1.264,1.265,5087.4
1672556400000,1.265,1.265,1.258,1.259,16231.3
1672560000000,1.259,1.259,1.255,1.255,14528.3
1672563600000,1.254,1.258,1.253,1.258,10472.7
1672567200000,1.258,1.261,1.258,1.26,9206.3
1672570800000,1.261,1.262,1.259,1.259,8723.4
1672574400000,1.26,1.261,1.258,1.259,15138.7
1672578000000,1.26,1.262,1.259,1.261,21985.8
1672581600000,1.262,1.264,1.254,1.254,76455.6
1672585200000,1.254,1.259,1.254,1.257,12250.1
1672588800000,1.259,1.26,1.257,1.259,14073.0
1672592400000,1.258,1.264,1.258,1.263,12352.1
1672596000000,1.262,1.264,1.261,1.261,10628.7
1672599600000,1.262,1.265,1.262,1.262,9023.0
1672603200000,1.262,1.267,1.262,1.265,11316.1
1672606800000,1.265,1.266,1.264,1.265,5332.5
1672610400000,1.266,1.268,1.266,1.268,9502.2
1672614000000,1.267,1.274,1.266,1.274,60858.6
1672617600000,1.275,1.28,1.266,1.268,33902.3
1672621200000,1.268,1.268,1.251,1.253,58158.0
1672624800000,1.252,1.258,1.25,1.258,8586.6
1672628400000,1.256,1.274,1.256,1.273,23583.1
1672632000000,1.273,1.273,1.265,1.266,13774.7
1672635600000,1.267,1.271,1.267,1.268,25920.2
1672639200000,1.269,1.273,1.267,1.267,14494.4
1672642800000,1.267,1.291,1.267,1.282,126149.5
1672646400000,1.283,1.292,1.283,1.289,55085.6
1672650000000,1.289,1.293,1.286,1.288,53003.1
1672653600000,1.287,1.299,1.287,1.295,42174.3
1672657200000,1.295,1.295,1.283,1.289,29191.3
1672660800000,1.289,1.294,1.289,1.29,19143.6
1672664400000,1.291,1.293,1.283,1.286,36962.4
1672668000000,1.285,1.288,1.283,1.286,35318.3
1672671600000,1.287,1.295,1.287,1.291,24535.4
1672675200000,1.291,1.295,1.287,1.288,34642.9
1672678800000,1.287,1.292,1.287,1.292,9379.5
1672682400000,1.291,1.294,1.291,1.293,5884.7
1672686000000,1.292,1.301,1.292,1.301,36295.2
1672689600000,1.299,1.299,1.295,1.298,22626.0
1672693200000,1.298,1.308,1.298,1.306,26563.8
1672696800000,1.307,1.308,1.293,1.294,54888.2
1672700400000,1.295,1.305,1.294,1.299,24024.8
1672704000000,1.3,1.313,1.298,1.313,20673.9
1672707600000,1.312,1.312,1.298,1.302,29347.9
1672711200000,1.303,1.304,1.3,1.302,7403.8
1672714800000,1.302,1.305,1.298,1.304,8216.2
1672718400000,1.304,1.308,1.303,1.306,22526.1
1672722000000,1.306,1.312,1.303,1.311,32731.5
1672725600000,1.312,1.32,1.312,1.313,28310.7
1672729200000,1.313,1.313,1.308,1.31,23518.3
1672732800000,1.311,1.311,1.297,1.299,50106.6
1672736400000,1.3,1.31,1.3,1.31,50369.4
1672740000000,1.31,1.31,1.308,1.309,28016.4
1672743600000,1.308,1.308,1.296,1.296,82046.3
1672747200000,1.296,1.301,1.294,1.294,38710.0
1672750800000,1.294,1.299,1.294,1.299,38295.3
1672754400000,1.297,1.31,1.286,1.289,93850.7
1672758000000,1.289,1.294,1.288,1.294,48385.4
1672761600000,1.293,1.301,1.287,1.288,55735.1
1672765200000,1.288,1.289,1.282,1.283,23678.3
1672768800000,1.284,1.287,1.282,1.285,25652.4
1672772400000,1.285,1.288,1.282,1.287,25730.1
1672776000000,1.287,1.293,1.287,1.292,9665.7
1672779600000,1.291,1.296,1.291,1.295,10042.2
1672783200000,1.295,1.304,1.294,1.304,24779.3
1672786800000,1.304,1.308,1.301,1.305,36211.9
1672790400000,1.305,1.326,1.305,1.324,59840.0
1672794000000,1.324,1.334,1.321,1.321,31520.0
1672797600000,1.322,1.332,1.319,1.329,19222.3
1672801200000,1.329,1.341,1.329,1.34,60239.9
1672804800000,1.341,1.353,1.336,1.347,70166.4
1672808400000,1.348,1.348,1.34,1.346,35743.9
1672812000000,1.348,1.35,1.347,1.349,20579.4
1672815600000,1.35,1.352,1.343,1.345,53594.1
1672819200000,1.346,1.347,1.331,1.339,71885.2
1672822800000,1.338,1.338,1.332,1.334,21870.5
1672826400000,1.334,1.338,1.334,1.337,11866.0
1672830000000,1.336,1.34,1.335,1.337,13420.2
1672833600000,1.336,1.353,1.336,1.346,57506.9
1672837200000,1.346,1.37,1.343,1.365,105659.1
1672840800000,1.365,1.365,1.344,1.346,105755.4
1672844400000,1.347,1.357,1.33,1.357,101873.7
1672848000000,1.358,1.369,1.358,1.36,59420.3
1672851600000,1.36,1.369,1.354,1.366,48973.1
1672855200000,1.366,1.369,1.362,1.364,36335.3
1672858800000,1.363,1.365,1.337,1.344,73652.5
1672862400000,1.345,1.354,1.335,1.341,43330.2
1672866000000,1.341,1.346,1.339,1.344,13262.9
1672869600000,1.343,1.352,1.343,1.351,15646.3
1672873200000,1.353,1.359,1.351,1.356,14049.6
1672876800000,1.357,1.365,1.348,1.348,26555.9
1672880400000,1.347,1.365,1.343,1.357,47176.7
1672884000000,1.357,1.359,1.352,1.358,9877.5
1672887600000,1.357,1.359,1.351,1.354,15781.4
1672891200000,1.354,1.369,1.354,1.367,31168.4
1672894800000,1.367,1.375,1.367,1.374,21558.3
1672898400000,1.374,1.379,1.354,1.36,54653.3
1672902000000,1.361,1.362,1.349,1.356,43337.1
1672905600000,1.357,1.364,1.356,1.356,25677.3
1672909200000,1.356,1.356,1.342,1.349,38202.7
1672912800000,1.349,1.357,1.348,1.356,10134.5
1672916400000,1.356,1.36,1.351,1.358,25636.3
1672920000000,1.359,1.363,1.356,1.361,24783.6
1672923600000,1.36,1.363,1.346,1.346,33303.7
1672927200000,1.345,1.367,1.344,1.365,85181.3
1672930800000,1.366,1.373,1.358,1.364,105575.2
1672934400000,1.364,1.365,1.356,1.362,34449.8
1672938000000,1.363,1.379,1.362,1.369,63806.7
1672941600000,1.367,1.376,1.363,1.375,54209.3
1672945200000,1.376,1.382,1.369,1.372,58313.5
1672948800000,1.371,1.375,1.367,1.369,34133.1
1672952400000,1.37,1.372,1.357,1.358,52668.3
1672956000000,1.358,1.363,1.356,1.357,13785.4
1672959600000,1.357,1.359,1.345,1.357,45121.2
1672963200000,1.356,1.361,1.352,1.358,26482.5
1672966800000,1.36,1.36,1.348,1.349,20837.8
1672970400000,1.349,1.351,1.342,1.348,25678.9
1672974000000,1.348,1.35,1.336,1.336,41169.4
1672977600000,1.337,1.341,1.326,1.334,73561.0
1672981200000,1.333,1.334,1.325,1.332,33552.5
1672984800000,1.332,1.332,1.321,1.322,30685.6
1672988400000,1.322,1.325,1.32,1.322,23604.0
1672992000000,1.324,1.325,1.322,1.324,6615.1
1672995600000,1.323,1.325,1.318,1.325,25491.5
1672999200000,1.324,1.329,1.323,1.327,51027.4
1673002800000,1.327,1.327,1.318,1.326,43340.6
1673006400000,1.326,1.326,1.316,1.317,35478.5
1673010000000,1.318,1.334,1.311,1.326,88793.7
1673013600000,1.326,1.332,1.325,1.329,15504.6
1673017200000,1.328,1.344,1.328,1.344,22875.1
1673020800000,1.345,1.348,1.342,1.347,29402.5
1673024400000,1.348,1.358,1.346,1.357,40119.9
1673028000000,1.357,1.361,1.355,1.357,25141.8
1673031600000,1.357,1.369,1.357,1.368,56706.8
1673035200000,1.368,1.372,1.355,1.36,46709.9
1673038800000,1.36,1.369,1.359,1.367,12110.6
1673042400000,1.367,1.369,1.363,1.369,22564.0
1673046000000,1.37,1.373,1.365,1.372,31560.2
1673049600000,1.372,1.396,1.371,1.394,49583.2
1673053200000,1.393,1.393,1.373,1.375,37223.5
1673056800000,1.376,1.378,1.375,1.376,4428.5
1673060400000,1.375,1.377,1.372,1.374,23632.6
1673064000000,1.374,1.38,1.374,1.376,13269.0
1673067600000,1.376,1.377,1.373,1.374,6416.0
1673071200000,1.375,1.377,1.373,1.376,13452.5
1673074800000,1.375,1.377,1.373,1.377,6141.7
1673078400000,1.376,1.377,1.372,1.374,17495.5
1673082000000,1.373,1.373,1.371,1.371,4465.8
1673085600000,1.371,1.373,1.369,1.373,49880.7
1673089200000,1.373,1.373,1.367,1.371,12445.3
1673092800000,1.371,1.372,1.365,1.367,17118.1
1673096400000,1.368,1.371,1.365,1.366,16050.7
1673100000000,1.365,1.37,1.364,1.37,14324.6
1673103600000,1.369,1.374,1.369,1.373,14275.7
1673107200000,1.374,1.374,1.364,1.364,12141.4
1673110800000,1.364,1.369,1.362,1.366,19082.9
1673114400000,1.367,1.368,1.366,1.368,4133.2
1673118000000,1.368,1.37,1.367,1.37,7634.9
1673121600000,1.37,1.371,1.369,1.369,3338.9
1673125200000,1.369,1.369,1.366,1.367,25842.2
1673128800000,1.366,1.367,1.365,1.366,13255.5
1673132400000,1.367,1.373,1.365,1.372,67154.9
1673136000000,1.373,1.378,1.363,1.369,74982.8
1673139600000,1.369,1.37,1.365,1.37,22762.1
1673143200000,1.37,1.372,1.366,1.368,9488.1
1673146800000,1.369,1.372,1.367,1.372,9128.6
1673150400000,1.373,1.374,1.37,1.371,2645.2
1673154000000,1.37,1.371,1.369,1.371,2457.6
1673157600000,1.372,1.373,1.368,1.372,23220.6
1673161200000,1.37,1.37,1.366,1.368,15201.3
1673164800000,1.369,1.37,1.368,1.37,10257.7
1673168400000,1.37,1.378,1.369,1.373,36194.8
1673172000000,1.373,1.375,1.369,1.369,12978.2
1673175600000,1.369,1.371,1.365,1.366,17440.0
1673179200000,1.365,1.368,1.364,1.366,23671.5
1673182800000,1.365,1.366,1.361,1.365,65134.9
1673186400000,1.363,1.381,1.363,1.38,56831.8
1673190000000,1.38,1.388,1.375,1.385,48095.8
1673193600000,1.386,1.389,1.368,1.376,59731.5
1673197200000,1.376,1.377,1.369,1.372,23271.4
1673200800000,1.372,1.377,1.367,1.376,28587.0
1673204400000,1.376,1.384,1.375,1.384,20388.5
1673208000000,1.383,1.404,1.382,1.401,117709.7
1673211600000,1.402,1.416,1.4,1.408,77736.0
1673215200000,1.407,1.408,1.4,1.407,54770.6
1673218800000,1.406,1.422,1.406,1.415,123303.9
1673222400000,1.415,1.435,1.412,1.435,107000.6
1673226000000,1.435,1.436,1.421,1.428,77930.3
1673229600000,1.427,1.441,1.424,1.431,86808.6
1673233200000,1.431,1.458,1.43,1.455,55550.5
1673236800000,1.456,1.463,1.445,1.447,68890.5
1673240400000,1.447,1.458,1.445,1.445,59779.8
1673244000000,1.446,1.453,1.443,1.444,41566.4
1673247600000,1.445,1.457,1.442,1.452,74286.5
1673251200000,1.451,1.46,1.45,1.453,51271.3
1673254800000,1.452,1.461,1.449,1.458,49073.4
1673258400000,1.458,1.473,1.457,1.464,70282.6
1673262000000,1.464,1.465,1.442,1.443,82653.8
1673265600000,1.444,1.459,1.444,1.459,44406.8
1673269200000,1.459,1.474,1.438,1.449,73199.0
1673272800000,1.45,1.471,1.438,1.469,167948.6
1673276400000,1.468,1.479,1.453,1.466,113847.9
1673280000000,1.466,1.479,1.456,1.468,318133.6
1673283600000,1.469,1.48,1.455,1.474,145783.0
1673287200000,1.473,1.479,1.445,1.452,168925.3
1673290800000,1.452,1.456,1.445,1.445,74171.4
1673294400000,1.445,1.448,1.414,1.421,234727.2
1673298000000,1.422,1.444,1.421,1.421,99329.8
1673301600000,1.421,1.436,1.421,1.432,31781.8
1673305200000,1.432,1.432,1.411,1.421,49794.0
1673308800000,1.42,1.448,1.42,1.446,69176.5
1673312400000,1.447,1.451,1.434,1.442,61301.1
1673316000000,1.444,1.451,1.4,1.414,96103.9
1673319600000,1.415,1.425,1.408,1.424,34388.0
1673323200000,1.425,1.433,1.419,1.433,32787.1
1673326800000,1.432,1.437,1.427,1.435,28758.3
1673330400000,1.436,1.437,1.426,1.433,33623.9
1673334000000,1.433,1.436,1.426,1.427,35468.4
1673337600000,1.428,1.442,1.424,1.441,76142.2
1673341200000,1.44,1.444,1.434,1.439,34619.2
1673344800000,1.439,1.441,1.435,1.44,38649.1
1673348400000,1.44,1.443,1.421,1.424,52685.9
1673352000000,1.424,1.424,1.407,1.408,60548.3
1673355600000,1.408,1.415,1.403,1.412,44553.9
1673359200000,1.412,1.427,1.412,1.423,95359.7
1673362800000,1.422,1.427,1.417,1.422,66796.2
1673366400000,1.422,1.422,1.402,1.408,117100.1
1673370000000,1.407,1.415,1.403,1.415,65714.2
1673373600000,1.415,1.434,1.414,1.434,94673.2
1673377200000,1.434,1.458,1.429,1.454,96095.7
1673380800000,1.454,1.455,1.44,1.453,64787.1
1673384400000,1.454,1.454,1.441,1.444,28834.8
1673388000000,1.444,1.447,1.435,1.439,14402.3
1673391600000,1.44,1.447,1.436,1.442,32830.4
1673395200000,1.442,1.451,1.437,1.445,42201.0
1673398800000,1.445,1.45,1.436,1.445,32715.8
1673402400000,1.446,1.446,1.428,1.432,40544.7
1673406000000,1.432,1.432,1.407,1.418,65270.3
1673409600000,1.417,1.42,1.406,1.409,34984.1
1673413200000,1.41,1.421,1.409,1.418,36696.1
1673416800000,1.418,1.433,1.417,1.433,23599.1
1673420400000,1.432,1.439,1.429,1.438,21566.3
1673424000000,1.437,1.437,1.422,1.428,37428.8
1673427600000,1.428,1.436,1.426,1.431,64124.1
1673431200000,1.431,1.432,1.427,1.429,9708.7
1673434800000,1.428,1.429,1.42,1.421,24630.0
1673438400000,1.421,1.421,1.408,1.41,47995.1
