date,open,high,low,close,volume
1672527600000,0.1345,0.1345,0.134,0.1343,23587.56
1672531200000,0.1343,0.1343,0.1338,0.1339,19659.47
1672534800000,0.1339,0.134,0.1337,0.134,4623.46
1672538400000,0.134,0.134,0.1338,0.134,1248.88
1672542000000,0.1338,0.1341,0.1337,0.1337,45296.29
1672545600000,0.1337,0.1341,0.1328,0.1328,67543.09
1672549200000,0.1329,0.1332,0.1327,0.133,38216.64
1672552800000,0.1331,0.1331,0.1328,0.133,5767.62
1672556400000,0.1328,0.1332,0.1325,0.133,39447.72
1672560000000,0.133,0.1331,0.1322,0.1326,76538.43
1672563600000,0.1324,0.1325,0.1316,0.1324,55175.23
1672567200000,0.1324,0.1324,0.1323,0.1323,12656.27
1672570800000,0.1323,0.1323,0.1321,0.1322,14868.95
1672574400000,0.1322,0.1326,0.132,0.1326,37747.07
1672578000000,0.1324,0.1328,0.1321,0.1324,42382.43
1672581600000,0.1326,0.1331,0.1325,0.1328,25701.85
1672585200000,0.1327,0.1329,0.1323,0.1328,54566.15
1672588800000,0.1325,0.1333,0.1321,0.133,59921.4
1672592400000,0.1328,0.1338,0.1325,0.1334,90949.21
1672596000000,0.1336,0.1338,0.133,0.1335,30286.92
1672599600000,0.1335,0.1339,0.1332,0.1336,49073.46
1672603200000,0.1334,0.1346,0.1333,0.1342,71487.12
1672606800000,0.1341,0.1344,0.1339,0.1341,17222.88
1672610400000,0.1341,0.1341,0.1337,0.134,8606.08
1672614000000,0.1338,0.1343,0.1336,0.1337,8825.21
1672617600000,0.1338,0.134,0.1331,0.1331,30601.27
1672621200000,0.133,0.133,0.1327,0.133,17198.33
1672624800000,0.133,0.133,0.1325,0.1328,5695.39
1672628400000,0.133,0.1333,0.1323,0.133,54189.07
1672632000000,0.1331,0.1333,0.1327,0.1332,34758.61
1672635600000,0.1332,0.1338,0.1332,0.1334,84604.28
1672639200000,0.1336,0.1342,0.1335,0.1338,35112.11
1672642800000,0.1335,0.1363,0.1335,0.1353,149203.74
1672646400000,0.1353,0.1373,0.135,0.1368,113169.84
1672650000000,0.1368,0.1381,0.1368,0.137,201836.1
1672653600000,0.137,0.1373,0.1364,0.1368,20746.8
1672657200000,0.1369,0.1376,0.1366,0.1366,43914.18
1672660800000,0.1368,0.1379,0.1368,0.1375,75457.63
1672664400000,0.1377,0.1377,0.1364,0.1367,62606.74
1672668000000,0.1368,0.1376,0.1368,0.1372,65094.33
