date,open,high,low,close,volume
1672527600000,0.573,0.574,0.571,0.573,78306.2
1672531200000,0.573,0.574,0.555,0.556,1168688.3
1672534800000,0.556,0.559,0.555,0.558,87466.0
1672538400000,0.558,0.56,0.556,0.56,183607.7
1672542000000,0.559,0.56,0.557,0.559,71869.3
1672545600000,0.559,0.559,0.532,0.541,819576.0
1672549200000,0.541,0.547,0.54,0.542,286361.0
1672552800000,0.541,0.547,0.539,0.54,265922.9
1672556400000,0.539,0.541,0.536,0.538,180856.7
1672560000000,0.537,0.554,0.537,0.549,969043.8
1672563600000,0.549,0.551,0.546,0.55,201696.7
1672567200000,0.551,0.553,0.544,0.545,476987.2
1672570800000,0.546,0.546,0.54,0.541,95973.9
1672574400000,0.541,0.544,0.54,0.541,115101.7
1672578000000,0.541,0.542,0.54,0.542,56862.4
1672581600000,0.541,0.542,0.539,0.539,39236.6
1672585200000,0.54,0.545,0.539,0.541,240522.9
1672588800000,0.541,0.541,0.532,0.534,281307.0
1672592400000,0.535,0.537,0.533,0.536,275667.1
1672596000000,0.536,0.537,0.532,0.533,870938.4
1672599600000,0.533,0.538,0.529,0.531,417901.5
1672603200000,0.53,0.535,0.529,0.533,236980.5
1672606800000,0.533,0.534,0.53,0.534,131294.2
1672610400000,0.533,0.533,0.53,0.532,146223.4
1672614000000,0.531,0.537,0.53,0.537,139784.4
1672617600000,0.537,0.538,0.526,0.527,365041.6
1672621200000,0.527,0.527,0.514,0.518,429241.6
1672624800000,0.519,0.525,0.518,0.522,120244.5
1672628400000,0.522,0.526,0.522,0.525,336741.4
1672632000000,0.525,0.527,0.524,0.525,89116.3
1672635600000,0.525,0.527,0.522,0.522,133015.6
1672639200000,0.522,0.523,0.52,0.521,105816.8
1672642800000,0.522,0.535,0.52,0.534,614043.8
1672646400000,0.534,0.543,0.531,0.542,444875.5
1672650000000,0.541,0.548,0.539,0.541,367412.0
1672653600000,0.54,0.551,0.539,0.55,452416.1
1672657200000,0.549,0.551,0.544,0.55,186001.9
1672660800000,0.55,0.557,0.546,0.551,378117.2
1672664400000,0.551,0.552,0.543,0.545,184548.5
1672668000000,0.545,0.546,0.541,0.542,115850.2
1672671600000,0.543,0.548,0.539,0.546,162286.0
1672675200000,0.545,0.553,0.543,0.55,184790.7
1672678800000,0.549,0.551,0.548,0.551,66862.1
1672682400000,0.551,0.557,0.551,0.553,169803.8
1672686000000,0.553,0.554,0.549,0.551,86205.5
1672689600000,0.55,0.552,0.546,0.548,178713.4
1672693200000,0.548,0.555,0.547,0.553,86060.5
1672696800000,0.554,0.555,0.542,0.543,128674.9
1672700400000,0.543,0.549,0.543,0.546,173210.4
1672704000000,0.546,0.555,0.545,0.554,139265.9
1672707600000,0.554,0.554,0.548,0.551,122823.6
1672711200000,0.551,0.559,0.551,0.557,170508.9
1672714800000,0.557,0.565,0.555,0.563,148214.4
1672718400000,0.563,0.568,0.56,0.562,254640.1
1672722000000,0.563,0.573,0.563,0.571,254209.6
1672725600000,0.572,0.594,0.572,0.591,858488.5
1672729200000,0.59,0.602,0.587,0.599,1114952.3
1672732800000,0.599,0.601,0.593,0.594,864726.5
1672736400000,0.593,0.606,0.583,0.604,1128340.6
1672740000000,0.603,0.608,0.601,0.603,601916.6
1672743600000,0.603,0.619,0.6,0.617,473935.8
1672747200000,0.617,0.64,0.609,0.612,1948433.1
