date,open,high,low,close,volume
1672527600000,0.1516,0.1518,0.1515,0.1516,132116.7
1672531200000,0.1517,0.1519,0.1508,0.1509,264989.1
1672534800000,0.1508,0.1512,0.1507,0.1512,92459.9
1672538400000,0.1511,0.1515,0.151,0.1515,251723.6
1672542000000,0.1514,0.1517,0.1514,0.1516,98859.6
1672545600000,0.1516,0.1517,0.1509,0.151,208385.5
1672549200000,0.151,0.1511,0.1508,0.151,93866.2
1672552800000,0.1512,0.1514,0.151,0.1511,124029.4
1672556400000,0.1511,0.1511,0.1502,0.1504,261506.5
1672560000000,0.1504,0.1504,0.1497,0.15,246125.7
1672563600000,0.15,0.1501,0.1496,0.1501,172715.7
1672567200000,0.15,0.1506,0.1499,0.1506,309688.2
1672570800000,0.1506,0.1507,0.1502,0.1504,270234.1
1672574400000,0.1504,0.1506,0.1498,0.1504,546938.0
1672578000000,0.1504,0.1505,0.15,0.1501,115395.7
1672581600000,0.15,0.1502,0.1493,0.1494,480737.3
1672585200000,0.1494,0.1499,0.1492,0.1499,282742.2
1672588800000,0.1499,0.1501,0.1497,0.1499,183568.7
1672592400000,0.1498,0.1502,0.1498,0.15,397231.9
1672596000000,0.15,0.1502,0.1498,0.1501,339628.2
1672599600000,0.1501,0.1505,0.15,0.1502,539398.9
1672603200000,0.1501,0.1507,0.15,0.1505,173894.4
1672606800000,0.1506,0.1506,0.1501,0.1503,74492.3
1672610400000,0.1503,0.1504,0.1495,0.1495,261349.5
1672614000000,0.1496,0.1502,0.1493,0.1499,181052.8
1672617600000,0.1499,0.15,0.1481,0.1483,663750.2
1672621200000,0.1482,0.1482,0.1455,0.1467,2614243.1
1672624800000,0.1466,0.148,0.1465,0.1478,549150.2
1672628400000,0.1478,0.1487,0.1476,0.1483,575654.3
1672632000000,0.1484,0.1486,0.1477,0.1481,387757.6
1672635600000,0.1481,0.1486,0.1479,0.1482,210863.1
1672639200000,0.1483,0.1487,0.148,0.148,229861.9
1672642800000,0.1481,0.1515,0.1481,0.1506,2544987.3
1672646400000,0.1505,0.1525,0.1505,0.1519,995367.6
1672650000000,0.152,0.1529,0.1518,0.1521,804048.8
1672653600000,0.1521,0.1526,0.1517,0.1518,451735.4
1672657200000,0.1519,0.1528,0.1511,0.1524,1179885.3
1672660800000,0.1525,0.1527,0.1522,0.1524,315927.0
1672664400000,0.1525,0.1526,0.1521,0.1525,280945.6
1672668000000,0.1526,0.1527,0.1524,0.1527,219943.4
1672671600000,0.1528,0.1535,0.1527,0.1529,415151.4
1672675200000,0.153,0.1534,0.1528,0.1529,250666.1
1672678800000,0.1529,0.154,0.1526,0.1538,801306.8
1672682400000,0.1537,0.154,0.1534,0.1535,404438.5
1672686000000,0.1535,0.1544,0.1535,0.1539,222037.7
1672689600000,0.1539,0.1542,0.1537,0.1538,280249.4
1672693200000,0.1538,0.1548,0.1538,0.1545,296739.4
1672696800000,0.1546,0.1547,0.1531,0.1532,234839.2
1672700400000,0.1532,0.1536,0.153,0.1533,241277.2
1672704000000,0.1532,0.1541,0.1531,0.1536,488354.6
1672707600000,0.1536,0.1536,0.1521,0.1522,728440.7
1672711200000,0.1523,0.1528,0.1522,0.1522,226270.2
1672714800000,0.1524,0.153,0.1521,0.153,117504.7
1672718400000,0.1529,0.1529,0.152,0.1521,393487.4
1672722000000,0.1521,0.1535,0.1521,0.1534,423982.1
1672725600000,0.1534,0.1543,0.1532,0.1536,593776.7
1672729200000,0.1535,0.1542,0.1534,0.1542,243253.0
1672732800000,0.1542,0.1542,0.153,0.1538,221541.8
1672736400000,0.1537,0.1544,0.1533,0.1541,310753.7
1672740000000,0.1541,0.1542,0.1537,0.1537,250792.6
1672743600000,0.1537,0.1543,0.1534,0.154,401031.6
1672747200000,0.154,0.154,0.153,0.1533,574075.4
1672750800000,0.1533,0.1539,0.1533,0.1533,237072.5
1672754400000,0.1534,0.1539,0.152,0.1524,637451.7
1672758000000,0.1524,0.1534,0.1524,0.1532,628063.4
1672761600000,0.1532,0.1537,0.1526,0.1527,365788.0
1672765200000,0.1526,0.153,0.1521,0.1523,308067.1
1672768800000,0.1523,0.1525,0.1516,0.152,373402.9
1672772400000,0.1521,0.1523,0.1517,0.1522,275690.6
1672776000000,0.1521,0.1525,0.1519,0.152,99480.4
1672779600000,0.152,0.1523,0.152,0.1521,110519.6
1672783200000,0.1522,0.1529,0.1521,0.1529,248728.1
1672786800000,0.153,0.1533,0.1527,0.1532,233009.9
1672790400000,0.1532,0.1537,0.153,0.1535,493767.7
1672794000000,0.1535,0.1556,0.1535,0.1552,905417.7
1672797600000,0.1553,0.1558,0.1546,0.1557,448052.8
1672801200000,0.1558,0.1576,0.1558,0.1566,1447591.7
1672804800000,0.1566,0.1581,0.1566,0.1577,1586630.9
1672808400000,0.1577,0.1581,0.157,0.158,401641.9
1672812000000,0.1579,0.1584,0.1573,0.1583,489567.6
1672815600000,0.1584,0.1588,0.1578,0.1586,427920.2
1672819200000,0.1586,0.1593,0.1579,0.1589,670044.9
1672822800000,0.1589,0.1596,0.1588,0.1593,441112.3
1672826400000,0.1593,0.1594,0.159,0.1593,228039.4
1672830000000,0.1592,0.1592,0.1585,0.1589,441144.1
1672833600000,0.1589,0.159,0.1578,0.158,636904.1
1672837200000,0.1581,0.1586,0.1581,0.1585,402927.9
1672840800000,0.1585,0.1586,0.1577,0.1578,427835.6
1672844400000,0.1578,0.1591,0.1558,0.159,1422506.4
1672848000000,0.159,0.159,0.1576,0.1581,582918.2
1672851600000,0.1581,0.1594,0.1578,0.1585,404127.8
1672855200000,0.1585,0.1593,0.1582,0.1586,279433.7
1672858800000,0.1586,0.159,0.157,0.1585,907288.2
1672862400000,0.1586,0.1588,0.1569,0.1574,550969.2
1672866000000,0.1573,0.1584,0.1571,0.1579,236966.0
1672869600000,0.158,0.1585,0.1575,0.1584,96256.7
1672873200000,0.1583,0.159,0.1583,0.159,285375.9
1672876800000,0.159,0.1598,0.1584,0.1584,440519.5
1672880400000,0.1584,0.1592,0.1577,0.1585,360807.3
1672884000000,0.1586,0.1589,0.158,0.1584,360270.8
1672887600000,0.1586,0.1588,0.1582,0.1586,500590.9
1672891200000,0.1586,0.1596,0.1586,0.1594,365422.2
1672894800000,0.1594,0.1595,0.159,0.1594,196765.9
1672898400000,0.1595,0.1599,0.159,0.1596,822541.1
1672902000000,0.1596,0.1598,0.1582,0.159,1289297.8
1672905600000,0.159,0.159,0.1582,0.1587,356219.5
1672909200000,0.1588,0.1588,0.1577,0.1582,613232.7
1672912800000,0.1582,0.1588,0.1579,0.1583,498134.6
1672916400000,0.1584,0.1588,0.1579,0.1586,259534.1
1672920000000,0.1587,0.1596,0.1585,0.159,735859.6
1672923600000,0.159,0.159,0.1579,0.1579,301719.1
1672927200000,0.1578,0.1587,0.1578,0.1587,239523.1
1672930800000,0.1588,0.1604,0.1587,0.1601,1147950.0
1672934400000,0.1601,0.1612,0.1591,0.1593,881826.0
1672938000000,0.1593,0.1599,0.1593,0.1595,159361.6
1672941600000,0.1595,0.1602,0.1594,0.1601,223901.0
1672945200000,0.16,0.1607,0.1599,0.1606,109960.5
1672948800000,0.1605,0.1609,0.1603,0.1609,118836.5
1672952400000,0.1609,0.1609,0.1598,0.16,147439.4
1672956000000,0.16,0.1602,0.1594,0.1595,154513.8
1672959600000,0.1595,0.1604,0.159,0.1596,539932.8
1672963200000,0.1597,0.1612,0.1597,0.1608,332725.7
1672966800000,0.161,0.1611,0.1605,0.1607,306841.5
1672970400000,0.1607,0.1609,0.16,0.1609,395156.9
1672974000000,0.1609,0.1611,0.1606,0.1606,438118.5
1672977600000,0.1607,0.1608,0.1588,0.1594,643262.6
1672981200000,0.1593,0.1598,0.1581,0.1583,910164.9
1672984800000,0.1582,0.1588,0.1577,0.1577,601058.7
1672988400000,0.1577,0.158,0.1571,0.1578,516987.7
1672992000000,0.1577,0.1583,0.1576,0.1579,198352.8
