date,open,high,low,close,volume
1672527600000,0.454,0.457,0.451,0.456,45556.2
1672531200000,0.456,0.456,0.452,0.456,21598.5
1672534800000,0.456,0.456,0.452,0.453,41080.7
1672538400000,0.454,0.454,0.452,0.452,33226.4
1672542000000,0.452,0.454,0.451,0.453,17013.1
1672545600000,0.453,0.454,0.451,0.451,20336.7
1672549200000,0.451,0.452,0.449,0.451,52301.2
1672552800000,0.451,0.453,0.45,0.453,29394.2
1672556400000,0.453,0.453,0.45,0.451,33094.6
1672560000000,0.451,0.451,0.449,0.45,35014.4
1672563600000,0.449,0.451,0.447,0.45,45136.5
1672567200000,0.45,0.452,0.449,0.452,13938.9
1672570800000,0.452,0.454,0.451,0.453,39880.6
1672574400000,0.453,0.454,0.451,0.451,108300.8
1672578000000,0.452,0.453,0.45,0.451,34092.5
1672581600000,0.451,0.454,0.451,0.453,12775.2
1672585200000,0.452,0.456,0.452,0.454,25790.4
1672588800000,0.455,0.456,0.453,0.455,27794.7
1672592400000,0.455,0.458,0.455,0.457,22436.9
1672596000000,0.457,0.458,0.456,0.456,24721.8
1672599600000,0.457,0.459,0.456,0.457,19581.0
1672603200000,0.457,0.46,0.457,0.46,19038.9
1672606800000,0.459,0.46,0.458,0.459,19330.6
1672610400000,0.459,0.461,0.456,0.457,75214.3
1672614000000,0.457,0.459,0.455,0.457,24144.7
1672617600000,0.457,0.458,0.454,0.454,22220.2
1672621200000,0.454,0.454,0.448,0.449,149717.3
1672624800000,0.448,0.453,0.448,0.452,28123.8
1672628400000,0.451,0.455,0.451,0.454,63958.9
1672632000000,0.454,0.456,0.452,0.453,76051.2
1672635600000,0.453,0.456,0.453,0.455,21726.2
1672639200000,0.455,0.456,0.454,0.454,42378.8
1672642800000,0.455,0.467,0.454,0.464,290767.0
1672646400000,0.464,0.467,0.463,0.465,85750.5
1672650000000,0.464,0.466,0.461,0.462,38598.7
1672653600000,0.462,0.465,0.462,0.465,55324.4
1672657200000,0.464,0.466,0.461,0.465,92609.5
1672660800000,0.465,0.466,0.464,0.465,57441.6
1672664400000,0.465,0.467,0.462,0.464,44838.8
1672668000000,0.464,0.465,0.462,0.465,59945.4
1672671600000,0.464,0.468,0.464,0.466,25083.4
1672675200000,0.467,0.468,0.465,0.465,37021.5
1672678800000,0.466,0.467,0.465,0.466,8639.4
1672682400000,0.466,0.469,0.466,0.468,17241.5
1672686000000,0.468,0.47,0.467,0.47,16885.9
1672689600000,0.47,0.472,0.468,0.471,11512.9
1672693200000,0.471,0.475,0.47,0.473,47530.1
1672696800000,0.473,0.473,0.467,0.468,56655.0
1672700400000,0.468,0.471,0.467,0.468,39988.9
1672704000000,0.468,0.472,0.468,0.471,59203.3
1672707600000,0.47,0.47,0.466,0.469,39856.7
1672711200000,0.469,0.471,0.467,0.468,32017.8
1672714800000,0.468,0.47,0.468,0.47,21364.5
1672718400000,0.47,0.471,0.469,0.469,42465.7
1672722000000,0.469,0.471,0.469,0.471,41124.6
1672725600000,0.472,0.473,0.469,0.471,43823.3
1672729200000,0.471,0.474,0.47,0.472,39164.4
1672732800000,0.473,0.473,0.469,0.471,28353.7
1672736400000,0.471,0.474,0.471,0.474,16956.4
1672740000000,0.474,0.474,0.471,0.473,24697.0
1672743600000,0.473,0.473,0.469,0.471,45888.4
1672747200000,0.471,0.473,0.469,0.471,25651.6
1672750800000,0.471,0.475,0.471,0.473,32136.9
1672754400000,0.472,0.475,0.466,0.468,123251.4
1672758000000,0.467,0.47,0.463,0.466,85613.9
1672761600000,0.467,0.468,0.463,0.464,171556.4
1672765200000,0.464,0.467,0.463,0.465,137264.9
1672768800000,0.465,0.467,0.464,0.467,32134.3
1672772400000,0.466,0.467,0.464,0.466,18578.7
1672776000000,0.467,0.468,0.465,0.466,12603.2
1672779600000,0.466,0.469,0.466,0.467,36864.5
1672783200000,0.468,0.469,0.466,0.468,32986.1
1672786800000,0.468,0.471,0.468,0.47,29428.9
1672790400000,0.47,0.47,0.467,0.468,53777.2
1672794000000,0.468,0.474,0.468,0.473,304697.0
1672797600000,0.474,0.48,0.473,0.478,86133.6
1672801200000,0.478,0.486,0.478,0.484,121903.1
1672804800000,0.485,0.486,0.482,0.484,86045.4
1672808400000,0.485,0.487,0.482,0.486,48672.2
1672812000000,0.487,0.488,0.486,0.487,31710.7
1672815600000,0.487,0.487,0.481,0.484,57748.1
1672819200000,0.484,0.486,0.482,0.485,155756.0
1672822800000,0.485,0.486,0.483,0.485,73807.5
1672826400000,0.485,0.489,0.484,0.488,182896.5
1672830000000,0.487,0.49,0.487,0.489,73213.4
1672833600000,0.489,0.49,0.486,0.488,73579.5
1672837200000,0.487,0.491,0.487,0.491,470324.9
1672840800000,0.492,0.493,0.488,0.491,183438.3
1672844400000,0.491,0.493,0.485,0.492,174037.0
1672848000000,0.492,0.493,0.489,0.49,201786.8
1672851600000,0.491,0.493,0.489,0.489,74401.9
1672855200000,0.49,0.491,0.488,0.489,31717.2
1672858800000,0.488,0.489,0.481,0.484,179571.7
1672862400000,0.485,0.487,0.48,0.483,92217.4
1672866000000,0.483,0.485,0.482,0.483,38267.7
1672869600000,0.484,0.486,0.483,0.486,24466.6
1672873200000,0.486,0.49,0.485,0.489,24233.8
1672876800000,0.489,0.494,0.486,0.486,88784.6
1672880400000,0.486,0.491,0.484,0.487,85616.5
1672884000000,0.488,0.49,0.486,0.489,52510.5
1672887600000,0.489,0.49,0.487,0.489,47529.8
1672891200000,0.489,0.492,0.489,0.491,39483.3
1672894800000,0.491,0.493,0.49,0.491,25018.7
1672898400000,0.492,0.493,0.487,0.49,55294.7
1672902000000,0.49,0.49,0.486,0.488,44875.4
1672905600000,0.487,0.488,0.483,0.486,56653.6
1672909200000,0.485,0.488,0.483,0.484,85268.4
1672912800000,0.485,0.488,0.485,0.488,39209.9
1672916400000,0.487,0.489,0.486,0.488,189620.3
1672920000000,0.489,0.489,0.487,0.488,48344.8
1672923600000,0.488,0.489,0.484,0.484,58873.8
1672927200000,0.484,0.488,0.483,0.487,68566.7
1672930800000,0.486,0.49,0.486,0.488,45655.6
1672934400000,0.488,0.488,0.485,0.485,27295.9
1672938000000,0.485,0.487,0.483,0.484,30169.6
1672941600000,0.485,0.487,0.484,0.487,18504.8
1672945200000,0.487,0.487,0.485,0.486,17251.1
1672948800000,0.486,0.487,0.485,0.487,25019.2
1672952400000,0.486,0.486,0.484,0.484,74678.2
1672956000000,0.484,0.486,0.483,0.484,19861.8
1672959600000,0.484,0.486,0.478,0.483,119779.3
1672963200000,0.484,0.488,0.483,0.488,123646.3
1672966800000,0.487,0.488,0.485,0.486,82218.0
1672970400000,0.486,0.486,0.483,0.486,44576.3
1672974000000,0.486,0.488,0.486,0.487,16432.7
1672977600000,0.487,0.488,0.482,0.483,96461.2
1672981200000,0.483,0.483,0.478,0.48,42359.8
1672984800000,0.48,0.481,0.476,0.476,78172.8
1672988400000,0.475,0.479,0.474,0.478,92155.7
1672992000000,0.477,0.479,0.477,0.477,8953.6
1672995600000,0.477,0.478,0.475,0.478,52103.2
1672999200000,0.477,0.479,0.476,0.476,72284.6
1673002800000,0.476,0.477,0.475,0.476,55427.9
1673006400000,0.476,0.476,0.473,0.474,25234.8
1673010000000,0.474,0.481,0.471,0.48,84789.1
1673013600000,0.48,0.482,0.479,0.479,53338.6
1673017200000,0.48,0.484,0.48,0.484,36828.8
1673020800000,0.484,0.486,0.481,0.483,69087.5
1673024400000,0.484,0.485,0.482,0.482,34140.9
1673028000000,0.482,0.488,0.482,0.487,69945.4
1673031600000,0.488,0.491,0.486,0.491,51816.5
1673035200000,0.491,0.493,0.486,0.488,77943.4
1673038800000,0.488,0.493,0.488,0.491,53921.2
1673042400000,0.491,0.497,0.49,0.496,42936.0
1673046000000,0.496,0.496,0.493,0.494,130716.4
1673049600000,0.494,0.502,0.494,0.501,120012.5
1673053200000,0.501,0.504,0.499,0.503,119482.4
1673056800000,0.503,0.503,0.499,0.5,66837.6
1673060400000,0.499,0.499,0.495,0.496,38998.6
1673064000000,0.497,0.498,0.495,0.496,47147.7
1673067600000,0.496,0.498,0.496,0.497,12649.4
1673071200000,0.497,0.497,0.495,0.497,17077.6
1673074800000,0.498,0.502,0.497,0.501,48874.5
1673078400000,0.502,0.502,0.497,0.5,53167.8
1673082000000,0.499,0.501,0.498,0.5,31081.9
1673085600000,0.499,0.499,0.496,0.497,79604.8
1673089200000,0.496,0.499,0.496,0.499,18709.2
1673092800000,0.498,0.498,0.495,0.495,45426.9
1673096400000,0.496,0.5,0.495,0.496,32321.2
1673100000000,0.497,0.499,0.496,0.499,35998.2
1673103600000,0.499,0.501,0.498,0.501,40437.1
1673107200000,0.5,0.501,0.497,0.499,47273.4
1673110800000,0.498,0.5,0.497,0.498,23554.8
1673114400000,0.498,0.501,0.498,0.499,76170.6
1673118000000,0.499,0.503,0.499,0.501,57477.6
1673121600000,0.502,0.502,0.498,0.499,51902.5
1673125200000,0.499,0.501,0.498,0.499,43238.3
1673128800000,0.5,0.5,0.498,0.498,34103.1
1673132400000,0.498,0.502,0.498,0.501,92880.3
1673136000000,0.501,0.503,0.492,0.497,94332.1
1673139600000,0.497,0.498,0.494,0.498,32338.3
1673143200000,0.499,0.5,0.497,0.499,17496.4
1673146800000,0.499,0.502,0.498,0.501,32427.1
1673150400000,0.501,0.502,0.5,0.501,42052.9
1673154000000,0.501,0.502,0.501,0.502,14568.5
