date,open,high,low,close,volume
1677582000000,1.0,2.678,1.0,2.542,21648429.9
1677585600000,2.544,2.867,2.434,2.527,9741355.2
1677589200000,2.529,2.535,2.302,2.34,3916518.6
1677592800000,2.338,2.378,1.96,2.01,6565186.3
1677596400000,2.012,2.02,1.855,1.94,3547692.3
1677600000000,1.936,2.06,1.905,2.005,3679660.7
1677603600000,2.005,2.04,1.85,1.936,2137054.9
1677607200000,1.936,2.013,1.891,1.915,1771968.6
1677610800000,1.914,2.003,1.851,1.976,1413472.5
1677614400000,1.977,2.07,1.911,2.0,1966979.1
1677618000000,2.0,2.012,1.89,1.964,1401518.7
1677621600000,1.964,2.43,1.935,2.257,6150918.1
1677625200000,2.257,2.36,2.133,2.166,2640911.5
1677628800000,2.167,2.231,2.065,2.135,1913400.4
1677632400000,2.135,2.3,2.131,2.145,1622747.8
1677636000000,2.149,2.234,2.126,2.129,600620.6
1677639600000,2.129,2.138,2.018,2.065,1192314.7
1677643200000,2.06,2.11,1.805,2.002,2430032.8
1677646800000,2.002,2.08,1.874,1.948,1522551.9
1677650400000,1.945,2.22,1.915,2.217,1983864.9
1677654000000,2.217,2.418,2.112,2.241,5500480.7
1677657600000,2.241,2.39,2.186,2.33,2569534.0
1677661200000,2.33,2.375,1.882,2.014,5396014.6
1677664800000,2.015,2.11,1.978,2.093,1929118.8
1677668400000,2.093,2.135,2.0,2.015,1861759.7
1677672000000,2.015,2.051,1.98,2.032,989487.5
1677675600000,2.032,2.06,1.976,2.02,712015.8
1677679200000,2.02,2.091,2.0,2.073,870385.3
1677682800000,2.072,2.188,2.033,2.113,1728636.7
1677686400000,2.114,2.12,2.017,2.049,963688.5
1677690000000,2.05,2.062,2.015,2.039,556365.4
1677693600000,2.039,2.04,2.01,2.017,322910.2
1677697200000,2.017,2.018,1.96,2.004,590298.3
1677700800000,2.004,2.006,1.938,1.985,540348.2
1677704400000,1.985,1.989,1.932,1.956,306116.1
1677708000000,1.956,1.96,1.9,1.902,593927.3
1677711600000,1.902,1.952,1.9,1.928,657297.6
1677715200000,1.926,1.999,1.901,1.934,655454.9
1677718800000,1.933,1.967,1.909,1.942,493993.4
1677722400000,1.942,1.962,1.906,1.91,327583.6
1677726000000,1.91,1.918,1.85,1.91,731106.2
1677729600000,1.91,1.92,1.82,1.833,607609.0
1677733200000,1.833,1.9,1.822,1.836,409136.7
1677736800000,1.835,1.861,1.777,1.814,536238.4
1677740400000,1.814,1.851,1.735,1.768,987701.6
1677744000000,1.768,1.82,1.75,1.793,731230.6
1677747600000,1.794,1.799,1.75,1.75,348159.3
1677751200000,1.751,1.769,1.71,1.734,654936.6
1677754800000,1.732,1.764,1.72,1.75,334600.7
1677758400000,1.752,1.795,1.747,1.753,392301.0
1677762000000,1.751,1.787,1.731,1.756,288204.7
1677765600000,1.756,1.86,1.752,1.831,1340192.9
1677769200000,1.831,1.865,1.81,1.816,451415.7
1677772800000,1.813,1.822,1.75,1.75,465861.4
1677776400000,1.75,1.79,1.744,1.758,272000.2
1677780000000,1.757,1.817,1.755,1.795,345397.0
1677783600000,1.792,1.814,1.769,1.773,172210.7
1677787200000,1.775,1.844,1.765,1.817,278580.1
1677790800000,1.817,1.849,1.8,1.82,230584.6
1677794400000,1.82,1.84,1.81,1.824,101579.0
1677798000000,1.825,1.84,1.801,1.816,162259.7
1677801600000,1.814,1.83,1.795,1.798,150052.0
1677805200000,1.796,1.802,1.61,1.614,1056198.8
1677808800000,1.614,1.696,1.61,1.621,527826.1
1677812400000,1.62,1.668,1.6,1.628,455639.0
1677816000000,1.628,1.725,1.579,1.69,805685.5
1677819600000,1.69,1.718,1.671,1.698,297633.8
1677823200000,1.698,1.705,1.614,1.631,388213.5
1677826800000,1.632,1.675,1.619,1.65,302705.0
1677830400000,1.653,1.69,1.623,1.67,407143.8
1677834000000,1.671,1.7,1.628,1.634,335010.7
1677837600000,1.634,1.668,1.634,1.65,204089.5
1677841200000,1.65,1.665,1.631,1.631,186723.7
1677844800000,1.633,1.648,1.62,1.627,133663.6
1677848400000,1.628,1.64,1.601,1.636,298288.8
1677852000000,1.634,1.894,1.62,1.85,2859908.8
1677855600000,1.85,1.96,1.765,1.945,1679409.0
1677859200000,1.946,2.08,1.855,2.01,3531064.6
1677862800000,2.01,2.074,1.873,1.92,1750359.9
1677866400000,1.92,1.936,1.818,1.895,942750.3
1677870000000,1.891,2.019,1.851,1.995,840534.2
1677873600000,1.991,2.125,1.957,1.969,2063810.6
1677877200000,1.969,2.01,1.915,1.961,677936.4
1677880800000,1.962,1.988,1.88,1.988,642520.0
1677884400000,1.988,2.055,1.939,1.996,748977.5
1677888000000,1.996,2.16,1.959,2.139,1332320.3
1677891600000,2.137,2.168,2.051,2.064,1161458.4
1677895200000,2.065,2.109,2.011,2.039,605902.0
1677898800000,2.039,2.173,2.034,2.158,1030203.3
1677902400000,2.158,2.185,2.058,2.079,895343.1
1677906000000,2.08,2.13,2.02,2.042,702385.3
1677909600000,2.041,2.082,1.98,2.078,627734.4
1677913200000,2.079,2.08,1.936,2.006,857950.6
1677916800000,2.007,2.026,1.961,2.001,400093.2
1677920400000,2.003,2.006,1.932,1.945,451603.5
1677924000000,1.943,1.99,1.91,1.961,450325.8
1677927600000,1.962,1.964,1.906,1.954,361185.2
1677931200000,1.954,2.085,1.941,2.056,1423509.1
1677934800000,2.054,2.13,2.022,2.031,1282866.6
1677938400000,2.03,2.069,1.96,1.968,727278.3
1677942000000,1.972,1.992,1.911,1.981,918757.5
1677945600000,1.981,1.995,1.924,1.969,520558.0
1677949200000,1.968,2.02,1.941,1.955,620265.8
1677952800000,1.957,1.98,1.933,1.949,260351.7
1677956400000,1.949,1.953,1.881,1.89,327909.2
1677960000000,1.89,1.937,1.84,1.93,670863.4
1677963600000,1.927,1.93,1.84,1.88,313663.5
1677967200000,1.88,1.956,1.84,1.948,417471.4
1677970800000,1.948,1.95,1.911,1.923,137684.6
1677974400000,1.922,1.936,1.888,1.901,278519.6
1677978000000,1.902,2.0,1.901,1.965,403732.6
1677981600000,1.964,1.972,1.916,1.94,386474.7
1677985200000,1.939,2.098,1.939,2.074,1220189.9
1677988800000,2.073,2.15,2.033,2.11,973318.7
1677992400000,2.111,2.117,2.025,2.03,645657.7
