date,open,high,low,close,volume
1672527600000,0.1872,0.188,0.1868,0.1878,164079.0
1672531200000,0.1877,0.1877,0.1859,0.1862,361886.0
1672534800000,0.1861,0.1864,0.1859,0.1861,176822.0
1672538400000,0.186,0.1873,0.186,0.1871,181036.0
1672542000000,0.187,0.187,0.1861,0.1868,178212.0
1672545600000,0.1866,0.1867,0.1855,0.1857,295861.0
1672549200000,0.1857,0.1863,0.1856,0.1862,139785.0
1672552800000,0.1862,0.1871,0.1862,0.187,183356.0
1672556400000,0.187,0.1878,0.1867,0.1877,151187.0
1672560000000,0.1877,0.1883,0.1876,0.1877,101672.0
1672563600000,0.1878,0.1883,0.1876,0.1882,61639.0
1672567200000,0.1883,0.1886,0.1882,0.1885,86282.0
1672570800000,0.1886,0.1889,0.1885,0.1886,135708.0
1672574400000,0.1887,0.1889,0.1885,0.1885,79963.0
1672578000000,0.1886,0.1888,0.1879,0.1885,227428.0
1672581600000,0.1885,0.1889,0.1882,0.1887,78933.0
1672585200000,0.1887,0.1892,0.1886,0.1891,136371.0
1672588800000,0.1892,0.1895,0.1889,0.189,140627.0
1672592400000,0.1891,0.1896,0.189,0.189,57820.0
1672596000000,0.1889,0.1894,0.1888,0.1889,101678.0
1672599600000,0.1889,0.1895,0.1889,0.1893,106420.0
1672603200000,0.1893,0.1902,0.1892,0.1896,157197.0
1672606800000,0.1896,0.1899,0.1893,0.1897,184909.0
1672610400000,0.1898,0.1899,0.1897,0.1898,27672.0
1672614000000,0.1896,0.1903,0.189,0.1894,233203.0
1672617600000,0.1893,0.1899,0.188,0.188,229081.0
1672621200000,0.1881,0.1882,0.186,0.1862,747872.0
1672624800000,0.1861,0.1872,0.1858,0.1868,414206.0
1672628400000,0.1868,0.1885,0.1867,0.1883,231363.0
1672632000000,0.1883,0.1885,0.1878,0.188,92305.0
1672635600000,0.1881,0.1888,0.1875,0.1886,251498.0
1672639200000,0.1886,0.189,0.188,0.1884,132529.0
1672642800000,0.1884,0.1928,0.1884,0.1904,2587148.0
1672646400000,0.1905,0.1925,0.1905,0.1918,440918.0
1672650000000,0.1918,0.1935,0.1916,0.1927,510779.0
1672653600000,0.1927,0.1931,0.1913,0.1915,420979.0
1672657200000,0.1916,0.192,0.1905,0.192,480501.0
1672660800000,0.1919,0.1924,0.1914,0.1916,281678.0
1672664400000,0.1915,0.1916,0.1902,0.1906,318182.0
1672668000000,0.1906,0.191,0.1903,0.191,204656.0
1672671600000,0.1909,0.1923,0.1907,0.1919,483133.0
1672675200000,0.1919,0.1926,0.1919,0.1919,307872.0
1672678800000,0.1919,0.1922,0.1914,0.1916,171223.0
1672682400000,0.1916,0.1929,0.1916,0.1926,352143.0
1672686000000,0.1926,0.1935,0.1925,0.1934,221457.0
1672689600000,0.1935,0.1937,0.1928,0.1936,379766.0
1672693200000,0.1936,0.1939,0.1932,0.1936,519879.0
1672696800000,0.1936,0.1938,0.1916,0.192,433508.0
1672700400000,0.1921,0.1929,0.1914,0.1925,249096.0
1672704000000,0.1924,0.1928,0.1918,0.1925,153277.0
1672707600000,0.1924,0.1925,0.1908,0.1919,292967.0
1672711200000,0.1919,0.1922,0.1916,0.1919,91932.0
1672714800000,0.1918,0.1928,0.1916,0.1926,89020.0
1672718400000,0.1927,0.1931,0.1925,0.1928,135412.0
1672722000000,0.1926,0.1936,0.1926,0.1933,247118.0
1672725600000,0.1934,0.1946,0.1931,0.1932,330531.0
1672729200000,0.1935,0.1939,0.1932,0.1938,221304.0
1672732800000,0.1937,0.194,0.1916,0.1925,526270.0
1672736400000,0.1926,0.1942,0.1923,0.1936,307412.0
1672740000000,0.1936,0.1941,0.1932,0.1937,87505.0
1672743600000,0.1937,0.1937,0.1922,0.1926,165088.0
1672747200000,0.1927,0.1927,0.1918,0.1921,496242.0
1672750800000,0.1922,0.1944,0.1921,0.1938,791094.0
1672754400000,0.1937,0.1951,0.1914,0.1921,1327364.0
1672758000000,0.192,0.1935,0.1911,0.1924,439142.0
1672761600000,0.1923,0.1936,0.1913,0.1915,434553.0
1672765200000,0.1914,0.1926,0.1912,0.1915,276831.0
1672768800000,0.1916,0.1921,0.1913,0.1918,123487.0
1672772400000,0.1918,0.1921,0.1912,0.1919,165284.0
1672776000000,0.192,0.1926,0.1918,0.1926,121570.0
1672779600000,0.1926,0.1931,0.1925,0.193,182532.0
1672783200000,0.193,0.1936,0.1927,0.1935,353563.0
1672786800000,0.1936,0.1947,0.1936,0.1942,173303.0
1672790400000,0.1943,0.1945,0.1934,0.1939,196386.0
1672794000000,0.1938,0.1968,0.1938,0.1961,516679.0
1672797600000,0.1964,0.1973,0.1957,0.1967,756819.0
1672801200000,0.1968,0.1989,0.1968,0.198,998519.0
1672804800000,0.1981,0.1991,0.1976,0.1981,484161.0
1672808400000,0.1982,0.1986,0.1973,0.1986,325012.0
1672812000000,0.1987,0.1992,0.1984,0.1988,216792.0
1672815600000,0.1989,0.1997,0.1975,0.1986,518515.0
1672819200000,0.1987,0.1989,0.1964,0.1976,493498.0
1672822800000,0.1976,0.1979,0.1972,0.1973,129790.0
1672826400000,0.1974,0.1974,0.1967,0.197,138338.0
1672830000000,0.1969,0.1973,0.1966,0.197,262814.0
1672833600000,0.197,0.1984,0.197,0.1972,208424.0
1672837200000,0.1972,0.1981,0.1969,0.1978,233211.0
1672840800000,0.1979,0.1985,0.1969,0.1975,860141.0
1672844400000,0.1975,0.1986,0.1943,0.1982,729024.0
1672848000000,0.1983,0.1986,0.1974,0.1982,439283.0
1672851600000,0.1982,0.1997,0.1977,0.1984,322950.0
1672855200000,0.1983,0.1995,0.198,0.1986,419986.0
1672858800000,0.1986,0.1989,0.1959,0.197,546991.0
1672862400000,0.1968,0.197,0.1948,0.1956,720292.0
1672866000000,0.1955,0.197,0.1954,0.1964,161792.0
1672869600000,0.1965,0.1977,0.1965,0.1976,82183.0
1672873200000,0.1976,0.1988,0.1975,0.1985,198051.0
1672876800000,0.1985,0.2007,0.1983,0.1984,392255.0
1672880400000,0.1984,0.2001,0.1978,0.1989,326624.0
1672884000000,0.1991,0.1997,0.1982,0.1995,165047.0
1672887600000,0.1996,0.1999,0.1988,0.1992,173086.0
1672891200000,0.1992,0.2009,0.1991,0.2003,680332.0
1672894800000,0.2003,0.201,0.2002,0.201,208693.0
1672898400000,0.201,0.2011,0.1986,0.1991,373172.0
1672902000000,0.1992,0.1997,0.1979,0.1994,302208.0
1672905600000,0.1995,0.1995,0.1976,0.1983,337787.0
1672909200000,0.1982,0.1989,0.1973,0.1981,377557.0
1672912800000,0.198,0.2002,0.1978,0.1996,430034.0
1672916400000,0.1997,0.1997,0.1987,0.1995,247703.0
1672920000000,0.1994,0.2,0.1988,0.1996,181180.0
1672923600000,0.1996,0.1996,0.1973,0.1973,584565.0
1672927200000,0.1973,0.1988,0.1968,0.1982,431192.0
1672930800000,0.1981,0.1999,0.1979,0.1984,306183.0
1672934400000,0.1985,0.1989,0.1977,0.1978,134105.0
1672938000000,0.1979,0.1982,0.1973,0.1976,99818.0
1672941600000,0.1977,0.1991,0.1977,0.1988,295785.0
1672945200000,0.1989,0.1992,0.1983,0.1992,265200.0
1672948800000,0.199,0.1996,0.1988,0.199,92942.0
1672952400000,0.199,0.1995,0.1986,0.1991,124282.0
1672956000000,0.1989,0.1997,0.1986,0.1994,131447.0
1672959600000,0.1993,0.1993,0.1967,0.1987,773555.0
1672963200000,0.1986,0.2009,0.1981,0.2005,419587.0
1672966800000,0.2005,0.2013,0.1997,0.1997,211669.0
1672970400000,0.1999,0.2009,0.199,0.2008,260636.0
1672974000000,0.2007,0.2007,0.1998,0.2004,115113.0
1672977600000,0.2004,0.2009,0.1985,0.2002,421947.0
1672981200000,0.2001,0.2002,0.1993,0.1998,143877.0
1672984800000,0.1998,0.2001,0.1982,0.1985,342617.0
1672988400000,0.1984,0.2003,0.1982,0.2002,437258.0
1672992000000,0.2002,0.2004,0.1993,0.1999,311177.0
1672995600000,0.1999,0.2,0.1985,0.1987,292567.0
1672999200000,0.1986,0.2004,0.1978,0.1981,566217.0
1673002800000,0.198,0.199,0.1975,0.1985,338382.0
1673006400000,0.1984,0.1985,0.1975,0.1977,204732.0
1673010000000,0.1978,0.2009,0.1955,0.1996,1246655.0
1673013600000,0.1995,0.2011,0.1987,0.1998,741887.0
1673017200000,0.2,0.21,0.2,0.2087,5828170.0
1673020800000,0.2087,0.2088,0.2038,0.2043,2691909.0
1673024400000,0.2043,0.2061,0.2034,0.2056,821722.0
1673028000000,0.2057,0.2063,0.204,0.2047,742570.0
1673031600000,0.2048,0.2061,0.2041,0.2056,506891.0
1673035200000,0.2056,0.2065,0.2041,0.2044,716777.0
1673038800000,0.2045,0.206,0.2045,0.2058,145485.0
1673042400000,0.2059,0.207,0.2054,0.2066,393428.0
1673046000000,0.2068,0.2073,0.2055,0.2064,387758.0
1673049600000,0.2066,0.2087,0.206,0.2083,370806.0
1673053200000,0.2082,0.2084,0.2067,0.2081,265993.0
1673056800000,0.208,0.2087,0.2074,0.2077,247838.0
1673060400000,0.2078,0.2088,0.2076,0.2087,461833.0
1673064000000,0.2088,0.2093,0.2076,0.2079,437692.0
1673067600000,0.2079,0.208,0.2067,0.2069,592028.0
1673071200000,0.207,0.2075,0.2069,0.2072,170502.0
1673074800000,0.2072,0.2082,0.2071,0.2078,117759.0
1673078400000,0.2077,0.2077,0.2058,0.2068,1087018.0
1673082000000,0.2068,0.2073,0.2063,0.2065,465675.0
1673085600000,0.2065,0.2066,0.2057,0.2061,86132.0
1673089200000,0.206,0.2061,0.2055,0.2056,214996.0
1673092800000,0.2054,0.2057,0.2044,0.2047,118652.0
1673096400000,0.2046,0.2054,0.2046,0.2049,119626.0
1673100000000,0.2049,0.2056,0.2043,0.2052,233769.0
1673103600000,0.2051,0.2059,0.205,0.2057,109482.0
1673107200000,0.2057,0.2059,0.2041,0.2047,483735.0
1673110800000,0.2046,0.2054,0.2044,0.2053,185241.0
1673114400000,0.2051,0.2056,0.2051,0.2055,91652.0
1673118000000,0.2055,0.2056,0.2053,0.2054,115287.0
1673121600000,0.2055,0.2058,0.205,0.2056,229476.0
1673125200000,0.2056,0.2056,0.2047,0.2052,262793.0
1673128800000,0.2051,0.2052,0.2048,0.205,78541.0
1673132400000,0.2049,0.2052,0.2047,0.2051,42185.0
1673136000000,0.2051,0.2061,0.2021,0.2041,730440.0
1673139600000,0.204,0.2044,0.2031,0.2037,193167.0
1673143200000,0.2038,0.204,0.2027,0.2031,68821.0
1673146800000,0.2033,0.204,0.2031,0.2039,109881.0
1673150400000,0.204,0.2048,0.2039,0.2046,155658.0
1673154000000,0.2045,0.2051,0.2041,0.205,194438.0
1673157600000,0.205,0.2055,0.205,0.2053,87604.0
1673161200000,0.2052,0.2053,0.2048,0.2051,74650.0
1673164800000,0.2052,0.2052,0.2029,0.2039,1517064.0
1673168400000,0.2041,0.2055,0.2041,0.2051,429572.0
1673172000000,0.2052,0.2053,0.2041,0.2041,112256.0
1673175600000,0.2041,0.2045,0.2036,0.204,176397.0
1673179200000,0.2039,0.2042,0.2032,0.2033,72748.0
1673182800000,0.2032,0.2036,0.2032,0.2034,102898.0
1673186400000,0.2036,0.2056,0.2035,0.2052,366399.0
1673190000000,0.2051,0.2068,0.2049,0.2062,528118.0
1673193600000,0.2062,0.2068,0.204,0.2048,387641.0
1673197200000,0.2048,0.205,0.2041,0.2045,170219.0
1673200800000,0.2043,0.2056,0.2042,0.2056,113543.0
1673204400000,0.2055,0.2093,0.2053,0.2078,1851951.0
1673208000000,0.2079,0.2115,0.2075,0.2109,1324729.0
1673211600000,0.2112,0.2116,0.2097,0.2109,453250.0
1673215200000,0.211,0.2147,0.2108,0.2135,1292300.0
1673218800000,0.2136,0.2189,0.2135,0.2171,1973453.0
1673222400000,0.2172,0.2195,0.2146,0.219,1962582.0
1673226000000,0.2189,0.2193,0.2161,0.2188,935131.0
1673229600000,0.2187,0.22,0.2166,0.217,702691.0
1673233200000,0.2171,0.2195,0.2167,0.2182,492504.0
1673236800000,0.2183,0.222,0.2183,0.2204,1050258.0
1673240400000,0.2205,0.2212,0.2186,0.2187,757573.0
1673244000000,0.2188,0.2198,0.2175,0.2178,694838.0
1673247600000,0.218,0.2202,0.218,0.2196,482882.0
1673251200000,0.2197,0.2206,0.2192,0.2194,855215.0
1673254800000,0.2193,0.2242,0.2191,0.2234,1421607.0
1673258400000,0.2233,0.2276,0.2222,0.2234,2774282.0
1673262000000,0.2233,0.2253,0.2209,0.221,1061464.0
1673265600000,0.2216,0.223,0.2215,0.2228,516212.0
1673269200000,0.2229,0.2234,0.2169,0.2188,1520410.0
1673272800000,0.2189,0.2228,0.2163,0.2225,1096740.0
1673276400000,0.2227,0.2238,0.2201,0.2224,1037356.0
1673280000000,0.2228,0.2263,0.2224,0.2247,1207016.0
1673283600000,0.2248,0.2264,0.2233,0.225,731709.0
1673287200000,0.2252,0.2255,0.2202,0.2224,1052154.0
1673290800000,0.2225,0.225,0.221,0.2225,1549293.0
1673294400000,0.2224,0.2233,0.2196,0.2205,4524657.0
1673298000000,0.2208,0.2233,0.2204,0.2221,860355.0
1673301600000,0.2221,0.2236,0.2213,0.2217,200890.0
1673305200000,0.2218,0.2222,0.2194,0.22,692073.0
1673308800000,0.2201,0.2253,0.2201,0.2249,696894.0
1673312400000,0.2248,0.2251,0.2223,0.2231,810590.0
1673316000000,0.2233,0.2239,0.2144,0.2169,1848183.0
1673319600000,0.2171,0.2197,0.2168,0.2196,659381.0
1673323200000,0.2195,0.2205,0.2179,0.22,611090.0
1673326800000,0.2205,0.2214,0.2198,0.2214,389122.0
1673330400000,0.2214,0.2222,0.22,0.2218,855134.0
