date,open,high,low,close,volume
1672527600000,70.08,70.3,69.79,70.14,13547.208
1672531200000,70.14,70.24,69.14,69.31,42066.072
1672534800000,69.31,69.61,69.18,69.51,17420.1
1672538400000,69.49,69.85,69.31,69.54,12721.391
1672542000000,69.52,69.8,69.41,69.46,17247.881
1672545600000,69.46,69.49,69.22,69.29,7697.14
1672549200000,69.29,69.44,68.91,69.41,15243.8
1672552800000,69.41,69.55,69.33,69.37,5148.046
1672556400000,69.38,69.53,69.18,69.51,9005.759
1672560000000,69.52,70.28,69.38,69.93,28743.019
1672563600000,69.94,70.54,69.77,70.5,34164.779
1672567200000,70.5,70.65,70.11,70.38,19944.31
1672570800000,70.39,70.47,70.14,70.22,12516.734
1672574400000,70.21,70.23,69.84,69.95,17565.128
1672578000000,69.96,69.96,69.56,69.76,12599.976
1672581600000,69.76,70.19,69.75,69.88,16006.946
1672585200000,69.87,70.53,69.86,70.37,26596.436
1672588800000,70.37,70.82,70.17,70.66,25323.217
1672592400000,70.66,71.55,70.61,70.92,58661.475
1672596000000,70.93,71.35,70.93,71.03,24830.439
1672599600000,71.02,71.21,70.82,70.93,21131.61
1672603200000,70.93,71.45,70.88,71.14,15841.972
1672606800000,71.15,71.48,71.07,71.15,12316.39
1672610400000,71.15,71.2,70.53,70.82,31079.036
1672614000000,70.82,70.92,70.56,70.91,13952.768
1672617600000,70.92,71.11,70.29,70.4,22661.544
1672621200000,70.4,70.55,70.0,70.14,30382.26
1672624800000,70.13,70.69,70.05,70.52,14753.665
1672628400000,70.52,71.08,70.35,70.9,25387.522
1672632000000,70.9,70.92,70.19,70.42,22447.462
1672635600000,70.42,70.73,70.27,70.62,11241.597
1672639200000,70.63,70.83,70.4,70.53,11321.179
1672642800000,70.54,77.96,70.41,74.8,226526.596
1672646400000,74.81,76.03,74.46,75.39,153919.784
1672650000000,75.39,75.87,75.04,75.16,71185.802
1672653600000,75.16,75.62,74.76,75.08,46690.88
1672657200000,75.08,75.34,74.85,75.29,37932.06
1672660800000,75.3,75.6,75.13,75.34,36818.305
1672664400000,75.34,75.7,75.08,75.32,29304.147
1672668000000,75.32,75.93,75.27,75.68,31660.846
1672671600000,75.67,77.09,75.06,75.16,99136.058
1672675200000,75.15,75.35,74.48,74.55,52085.473
1672678800000,74.55,74.79,74.34,74.77,24652.083
1672682400000,74.78,74.84,74.45,74.61,15283.141
1672686000000,74.6,75.06,74.5,74.99,21710.209
1672689600000,74.97,75.27,74.75,75.21,14401.727
1672693200000,75.21,75.67,75.08,75.42,17003.999
1672696800000,75.42,75.42,74.75,74.82,23720.522
1672700400000,74.83,75.23,74.68,74.74,16768.42
1672704000000,74.75,75.29,74.44,75.06,27436.828
1672707600000,75.05,75.36,74.59,75.31,20802.314
1672711200000,75.29,75.41,75.06,75.07,20601.017
1672714800000,75.08,75.79,74.96,75.56,28680.179
1672718400000,75.57,75.77,75.27,75.32,24832.04
1672722000000,75.32,75.85,75.19,75.77,23728.49
1672725600000,75.77,76.52,75.71,75.99,60120.1
1672729200000,76.01,76.34,75.89,75.98,25130.389
1672732800000,75.97,76.1,75.18,75.55,35915.188
1672736400000,75.56,76.02,75.47,75.84,30088.803
1672740000000,75.85,75.9,75.59,75.65,14393.671
1672743600000,75.65,75.71,75.3,75.44,23820.808
1672747200000,75.45,75.6,74.82,75.08,36343.17
1672750800000,75.08,75.34,74.97,75.13,18903.439
1672754400000,75.12,75.72,74.37,74.66,43599.265
1672758000000,74.65,74.99,73.62,74.67,102102.364
1672761600000,74.68,75.12,74.32,74.56,40689.851
1672765200000,74.55,75.91,74.55,75.56,66924.231
1672768800000,75.57,75.63,74.84,75.09,22051.406
1672772400000,75.09,75.26,74.79,75.13,14409.824
1672776000000,75.14,75.6,75.12,75.18,13029.994
1672779600000,75.19,75.48,75.08,75.3,10540.486
1672783200000,75.3,75.44,75.14,75.3,9089.745
1672786800000,75.31,75.71,75.27,75.57,12564.499
1672790400000,75.57,76.0,75.33,75.7,32411.532
1672794000000,75.69,76.85,75.67,76.41,70618.622
1672797600000,76.41,77.3,76.29,76.95,42051.186
1672801200000,76.96,77.99,76.87,77.51,85253.131
1672804800000,77.51,77.63,76.71,76.87,45989.184
1672808400000,76.87,76.91,76.56,76.64,25099.342
