date,open,high,low,close,volume
1672527600000,1.2567,1.2597,1.2523,1.2587,178459.0
1672531200000,1.259,1.2651,1.255,1.2639,394475.0
1672534800000,1.2637,1.2646,1.2541,1.2612,280791.0
1672538400000,1.2612,1.27,1.257,1.2682,393848.0
1672542000000,1.2681,1.2681,1.2603,1.2619,241018.0
1672545600000,1.2619,1.265,1.2538,1.2547,228697.0
1672549200000,1.2547,1.261,1.2537,1.26,290514.0
1672552800000,1.2598,1.2661,1.2585,1.2653,238636.0
1672556400000,1.2653,1.273,1.2645,1.2681,375167.0
1672560000000,1.268,1.2732,1.2627,1.2643,529366.0
1672563600000,1.2644,1.2785,1.2614,1.2776,675915.0
1672567200000,1.2777,1.2833,1.2701,1.2727,547371.0
1672570800000,1.2727,1.2744,1.269,1.2735,271380.0
1672574400000,1.2734,1.2772,1.2706,1.2718,267364.0
1672578000000,1.2719,1.276,1.2648,1.2658,448019.0
1672581600000,1.2658,1.2739,1.2658,1.2712,301339.0
1672585200000,1.2711,1.2779,1.2707,1.2767,294520.0
1672588800000,1.2762,1.2863,1.2756,1.2779,774200.0
1672592400000,1.2776,1.2825,1.2769,1.2778,220308.0
1672596000000,1.278,1.2846,1.278,1.2793,295976.0
1672599600000,1.2793,1.2848,1.2768,1.2783,261720.0
1672603200000,1.2785,1.2873,1.2785,1.2821,440598.0
1672606800000,1.2821,1.285,1.279,1.2799,179191.0
1672610400000,1.2799,1.2839,1.2766,1.2784,184280.0
1672614000000,1.2785,1.2851,1.2783,1.2817,194749.0
1672617600000,1.2816,1.2934,1.2744,1.2764,584126.0
1672621200000,1.2764,1.2767,1.2611,1.2685,706742.0
1672624800000,1.2683,1.2753,1.2657,1.2723,185117.0
1672628400000,1.2723,1.2865,1.2723,1.2825,262723.0
1672632000000,1.2825,1.2883,1.2716,1.2738,512086.0
1672635600000,1.2739,1.278,1.2718,1.2762,231233.0
1672639200000,1.2762,1.2816,1.2745,1.2796,295876.0
1672642800000,1.2793,1.3063,1.2781,1.2906,1280778.0
1672646400000,1.2909,1.3156,1.2889,1.3065,1054556.0
1672650000000,1.3069,1.3083,1.2992,1.3012,309760.0
1672653600000,1.3008,1.3091,1.2975,1.3059,350240.0
1672657200000,1.3059,1.3131,1.3016,1.3102,572410.0
1672660800000,1.31,1.3105,1.3028,1.3039,375163.0
1672664400000,1.3042,1.3075,1.2957,1.2978,445898.0
1672668000000,1.2978,1.3013,1.2927,1.2961,320776.0
1672671600000,1.2961,1.3033,1.2951,1.2997,356972.0
1672675200000,1.2997,1.306,1.2995,1.2999,306702.0
1672678800000,1.3,1.3066,1.2985,1.3061,298901.0
1672682400000,1.3064,1.3081,1.3045,1.3064,226884.0
1672686000000,1.3068,1.3103,1.3056,1.3094,163636.0
1672689600000,1.3094,1.3296,1.3066,1.3247,979128.0
1672693200000,1.3245,1.3297,1.3217,1.3245,593906.0
1672696800000,1.325,1.3262,1.3159,1.3206,525897.0
1672700400000,1.3207,1.3299,1.3149,1.3207,636072.0
1672704000000,1.3205,1.337,1.3138,1.3319,747619.0
1672707600000,1.3321,1.3323,1.3222,1.3311,441837.0
1672711200000,1.3312,1.3563,1.3289,1.3352,1320764.0
1672714800000,1.3349,1.3419,1.3334,1.3373,359000.0
1672718400000,1.3374,1.3395,1.3263,1.3271,517930.0
1672722000000,1.3272,1.3414,1.3239,1.3355,1399506.0
1672725600000,1.3355,1.3406,1.331,1.3383,881050.0
1672729200000,1.3383,1.3457,1.3213,1.3249,890412.0
1672732800000,1.325,1.3306,1.305,1.312,1443623.0
1672736400000,1.3118,1.3247,1.3113,1.3202,631651.0
1672740000000,1.3201,1.326,1.3175,1.3199,378498.0
1672743600000,1.32,1.3206,1.3074,1.3119,602526.0
1672747200000,1.312,1.3198,1.3027,1.307,650503.0
1672750800000,1.3072,1.3164,1.3072,1.3124,482199.0
1672754400000,1.3119,1.3242,1.2901,1.3,1026433.0
1672758000000,1.3004,1.311,1.2985,1.3045,709439.0
1672761600000,1.3045,1.3097,1.2879,1.2907,806613.0
1672765200000,1.2904,1.2983,1.2904,1.2943,325085.0
1672768800000,1.2943,1.3043,1.2939,1.304,238870.0
1672772400000,1.3039,1.3098,1.2986,1.302,555230.0
1672776000000,1.3024,1.3086,1.3015,1.3036,331908.0
1672779600000,1.3036,1.308,1.3004,1.3068,211758.0
