date,open,high,low,close,volume
1672527600000,2.074,2.088,2.067,2.079,118071.0
1672531200000,2.079,2.084,2.051,2.051,239672.7
1672534800000,2.051,2.054,2.033,2.047,160715.4
1672538400000,2.046,2.063,2.045,2.052,108944.8
1672542000000,2.053,2.056,2.039,2.043,91306.2
1672545600000,2.043,2.046,2.024,2.03,102045.8
1672549200000,2.03,2.043,2.028,2.043,60531.5
1672552800000,2.042,2.049,2.038,2.039,45866.5
1672556400000,2.04,2.041,2.027,2.038,68618.4
1672560000000,2.037,2.039,2.02,2.023,55215.5
1672563600000,2.024,2.049,2.021,2.045,97439.6
1672567200000,2.045,2.048,2.036,2.043,52110.5
1672570800000,2.045,2.055,2.043,2.047,73439.4
1672574400000,2.047,2.051,2.041,2.05,57415.1
1672578000000,2.05,2.05,2.035,2.04,62316.3
1672581600000,2.04,2.051,2.039,2.039,52091.7
1672585200000,2.039,2.069,2.039,2.061,133735.3
1672588800000,2.061,2.073,2.056,2.058,111320.8
1672592400000,2.058,2.074,2.056,2.072,104271.5
1672596000000,2.072,2.112,2.07,2.11,214300.8
1672599600000,2.11,2.119,2.089,2.092,125687.1
1672603200000,2.095,2.12,2.095,2.115,167597.4
1672606800000,2.113,2.119,2.096,2.108,149639.1
1672610400000,2.108,2.111,2.094,2.094,96931.3
1672614000000,2.096,2.101,2.083,2.096,144895.8
1672617600000,2.096,2.101,2.067,2.069,173297.6
1672621200000,2.07,2.076,2.048,2.062,230339.9
1672624800000,2.062,2.074,2.058,2.072,95665.6
1672628400000,2.072,2.094,2.071,2.092,116711.8
1672632000000,2.094,2.098,2.081,2.089,98824.9
1672635600000,2.089,2.092,2.08,2.085,104263.5
1672639200000,2.086,2.096,2.081,2.085,97303.8
1672642800000,2.085,2.15,2.082,2.147,706059.9
1672646400000,2.147,2.195,2.133,2.184,823646.1
1672650000000,2.183,2.228,2.176,2.21,620422.7
1672653600000,2.21,2.22,2.191,2.203,269712.8
1672657200000,2.203,2.213,2.181,2.198,204524.5
1672660800000,2.198,2.217,2.19,2.193,205970.0
1672664400000,2.194,2.202,2.174,2.182,248598.8
1672668000000,2.183,2.193,2.176,2.185,163255.6
1672671600000,2.184,2.217,2.182,2.204,266775.2
1672675200000,2.205,2.221,2.192,2.195,182816.3
1672678800000,2.195,2.209,2.194,2.204,118180.9
