date,open,high,low,close,volume
1687939200000,0.05,1.98,0.05,0.572,67847968.0
1687942800000,0.5722,0.5745,0.5,0.5429,27927007.0
1687946400000,0.542,0.5861,0.538,0.568,13481501.0
1687950000000,0.5681,0.574,0.525,0.5348,10934009.0
1687953600000,0.5348,0.5447,0.515,0.53,8421280.0
1687957200000,0.5298,0.5649,0.5166,0.5585,8552993.0
1687960800000,0.5592,0.5977,0.556,0.558,15945457.0
1687964400000,0.558,0.565,0.538,0.5485,7082604.0
1687968000000,0.5482,0.561,0.5444,0.554,4466332.0
1687971600000,0.5543,0.5569,0.53,0.5369,4293243.0
1687975200000,0.5369,0.5436,0.5279,0.5312,2928859.0
1687978800000,0.5312,0.5349,0.5015,0.5211,6219389.0
1687982400000,0.5211,0.5282,0.5053,0.5168,3521931.0
1687986000000,0.5164,0.5424,0.5162,0.5278,3847846.0
1687989600000,0.5277,0.532,0.511,0.53,3380058.0
1687993200000,0.53,0.5306,0.5133,0.5228,1562823.0
1687996800000,0.5234,0.575,0.515,0.5743,5466963.0
1688000400000,0.5743,0.585,0.5415,0.5568,8465642.0
1688004000000,0.5564,0.561,0.54,0.5409,2599612.0
1688007600000,0.5409,0.553,0.535,0.5447,1976248.0
1688011200000,0.5454,0.555,0.54,0.5457,1654988.0
1688014800000,0.5456,0.5724,0.5435,0.5529,4192836.0
1688018400000,0.5535,0.5624,0.5506,0.5597,2247815.0
1688022000000,0.5597,0.5747,0.5366,0.5401,5870300.0
1688025600000,0.5407,0.5434,0.472,0.4948,16694285.0
1688029200000,0.4944,0.495,0.4753,0.4877,6102065.0
1688032800000,0.4877,0.4971,0.4802,0.4907,3289230.0
1688036400000,0.4907,0.4981,0.4762,0.4919,3768052.0
1688040000000,0.4915,0.5059,0.464,0.4738,13679751.0
1688043600000,0.4737,0.4747,0.435,0.4429,12368829.0
1688047200000,0.4423,0.46,0.442,0.449,5107439.0
1688050800000,0.4487,0.47,0.4471,0.4607,4723974.0
1688054400000,0.4607,0.4656,0.4405,0.4532,4073963.0
1688058000000,0.4537,0.4545,0.438,0.4476,3375899.0
1688061600000,0.4477,0.4534,0.4188,0.4221,5808530.0
1688065200000,0.4222,0.4324,0.4202,0.4304,3032043.0
1688068800000,0.4302,0.433,0.4181,0.4246,2939654.0
