date,open,high,low,close,volume
1672527600000,0.434,0.436,0.433,0.433,87954.7
1672531200000,0.433,0.435,0.431,0.434,130858.1
1672534800000,0.434,0.435,0.432,0.432,95018.5
1672538400000,0.432,0.433,0.426,0.427,202706.1
1672542000000,0.427,0.428,0.42,0.424,422534.8
1672545600000,0.425,0.425,0.423,0.423,73689.1
1672549200000,0.423,0.425,0.423,0.424,61486.2
1672552800000,0.423,0.426,0.423,0.426,131683.3
1672556400000,0.425,0.427,0.424,0.425,139466.4
1672560000000,0.424,0.43,0.424,0.429,229267.5
1672563600000,0.429,0.431,0.429,0.43,51994.7
1672567200000,0.43,0.432,0.43,0.43,59446.4
1672570800000,0.431,0.431,0.427,0.427,65026.9
1672574400000,0.427,0.429,0.427,0.428,105595.8
1672578000000,0.428,0.429,0.427,0.429,100452.6
1672581600000,0.428,0.43,0.428,0.429,49559.9
1672585200000,0.429,0.43,0.428,0.429,54733.5
1672588800000,0.429,0.433,0.429,0.431,82436.2
1672592400000,0.431,0.434,0.431,0.433,77272.7
1672596000000,0.433,0.435,0.433,0.434,49721.8
1672599600000,0.434,0.439,0.434,0.436,185338.7
1672603200000,0.435,0.437,0.435,0.435,63931.7
1672606800000,0.435,0.437,0.435,0.436,59087.0
1672610400000,0.436,0.437,0.433,0.434,110874.8
1672614000000,0.433,0.435,0.432,0.432,39186.1
1672617600000,0.432,0.433,0.429,0.429,88909.3
1672621200000,0.429,0.429,0.424,0.425,230973.1
1672624800000,0.425,0.426,0.423,0.424,70786.7
1672628400000,0.425,0.432,0.423,0.429,165033.0
1672632000000,0.43,0.43,0.428,0.429,44197.8
1672635600000,0.429,0.432,0.429,0.431,47629.8
1672639200000,0.432,0.433,0.431,0.432,61471.5
1672642800000,0.432,0.441,0.432,0.44,266874.8
1672646400000,0.44,0.443,0.439,0.44,166519.1
1672650000000,0.44,0.441,0.435,0.435,220536.5
1672653600000,0.435,0.436,0.433,0.434,202287.0
1672657200000,0.434,0.438,0.434,0.437,151311.1
1672660800000,0.437,0.441,0.437,0.439,173408.7
1672664400000,0.439,0.44,0.438,0.438,106674.9
1672668000000,0.438,0.439,0.437,0.438,92062.0
1672671600000,0.438,0.441,0.438,0.44,66309.3
1672675200000,0.44,0.441,0.435,0.436,195185.2
1672678800000,0.436,0.437,0.433,0.435,175905.8
1672682400000,0.434,0.437,0.434,0.436,124608.5
1672686000000,0.436,0.439,0.436,0.438,74723.8
1672689600000,0.438,0.44,0.438,0.438,120874.2
1672693200000,0.438,0.442,0.438,0.441,84235.5
1672696800000,0.441,0.442,0.437,0.437,66226.2
1672700400000,0.437,0.438,0.435,0.435,58590.8
1672704000000,0.435,0.437,0.435,0.436,21923.8
1672707600000,0.436,0.437,0.434,0.435,86976.7
1672711200000,0.435,0.436,0.435,0.435,19885.0
1672714800000,0.435,0.436,0.434,0.435,41917.1
1672718400000,0.434,0.436,0.434,0.436,55773.6
1672722000000,0.436,0.438,0.435,0.438,37036.9
1672725600000,0.438,0.441,0.438,0.44,156823.0
1672729200000,0.439,0.441,0.439,0.439,38916.4
1672732800000,0.439,0.44,0.439,0.44,84330.9
1672736400000,0.439,0.44,0.436,0.439,197016.2
1672740000000,0.438,0.443,0.437,0.441,356766.5
1672743600000,0.442,0.443,0.44,0.441,65301.8
1672747200000,0.44,0.443,0.44,0.442,93941.7
1672750800000,0.441,0.443,0.438,0.438,201941.1
1672754400000,0.439,0.442,0.435,0.436,230219.4
1672758000000,0.436,0.438,0.434,0.437,287397.1
1672761600000,0.437,0.444,0.437,0.441,308131.7
1672765200000,0.44,0.441,0.439,0.44,52287.9
1672768800000,0.44,0.441,0.437,0.439,168528.9
1672772400000,0.439,0.459,0.439,0.454,517423.0
1672776000000,0.454,0.488,0.448,0.471,2928098.5
1672779600000,0.471,0.474,0.458,0.459,643023.4
1672783200000,0.459,0.466,0.458,0.462,271007.6
1672786800000,0.462,0.463,0.46,0.463,88807.7
1672790400000,0.462,0.474,0.462,0.471,222589.7
1672794000000,0.471,0.48,0.467,0.47,448619.7
1672797600000,0.47,0.473,0.463,0.468,408461.7
1672801200000,0.468,0.471,0.466,0.47,323734.9
1672804800000,0.47,0.471,0.463,0.466,221005.4
1672808400000,0.465,0.466,0.463,0.463,128847.8
1672812000000,0.463,0.465,0.461,0.465,152229.8
1672815600000,0.465,0.467,0.462,0.462,222496.0
1672819200000,0.462,0.467,0.461,0.462,240091.0
1672822800000,0.462,0.462,0.458,0.458,190498.2
1672826400000,0.458,0.465,0.458,0.465,148936.9
1672830000000,0.464,0.465,0.461,0.465,75994.4
1672833600000,0.464,0.465,0.459,0.46,83988.2
1672837200000,0.459,0.464,0.459,0.464,114339.9
1672840800000,0.464,0.474,0.463,0.467,413601.7
1672844400000,0.467,0.471,0.464,0.467,280827.8
1672848000000,0.466,0.469,0.462,0.462,218462.9
1672851600000,0.462,0.465,0.46,0.462,182835.6
1672855200000,0.462,0.467,0.459,0.465,238677.8
1672858800000,0.464,0.466,0.456,0.46,440481.3
1672862400000,0.46,0.461,0.455,0.457,96107.6
1672866000000,0.457,0.462,0.456,0.46,128435.3
1672869600000,0.461,0.463,0.46,0.461,39333.3
1672873200000,0.461,0.463,0.461,0.463,45689.9
1672876800000,0.463,0.465,0.461,0.462,40401.7
1672880400000,0.461,0.462,0.458,0.461,73958.7
1672884000000,0.461,0.461,0.458,0.459,32914.7
1672887600000,0.459,0.46,0.457,0.458,65497.8
1672891200000,0.458,0.46,0.457,0.459,80162.7
1672894800000,0.459,0.462,0.457,0.458,169604.6
1672898400000,0.458,0.46,0.456,0.457,161007.0
1672902000000,0.458,0.459,0.456,0.456,75930.7
1672905600000,0.456,0.458,0.449,0.449,331696.8
1672909200000,0.449,0.451,0.445,0.445,271688.1
1672912800000,0.446,0.452,0.446,0.452,207486.3
1672916400000,0.451,0.455,0.45,0.454,209226.0
1672920000000,0.453,0.454,0.45,0.451,38640.7
1672923600000,0.451,0.451,0.445,0.447,188202.1
1672927200000,0.447,0.451,0.445,0.449,183582.8
1672930800000,0.449,0.454,0.449,0.452,108531.2
1672934400000,0.451,0.452,0.448,0.449,113054.4
1672938000000,0.45,0.451,0.449,0.45,68393.9
1672941600000,0.45,0.453,0.449,0.452,77264.1
1672945200000,0.452,0.453,0.451,0.452,76192.3
1672948800000,0.451,0.452,0.449,0.45,153840.5
1672952400000,0.449,0.45,0.448,0.45,44446.6
1672956000000,0.45,0.451,0.449,0.451,33160.5
1672959600000,0.451,0.451,0.447,0.45,47097.1
1672963200000,0.45,0.456,0.449,0.455,88897.2
1672966800000,0.455,0.455,0.452,0.455,64183.6
1672970400000,0.454,0.454,0.452,0.452,24160.5
1672974000000,0.453,0.454,0.451,0.451,29811.4
1672977600000,0.45,0.451,0.446,0.447,30369.4
1672981200000,0.448,0.448,0.446,0.448,24499.2
1672984800000,0.448,0.448,0.433,0.437,730436.2
1672988400000,0.438,0.439,0.437,0.438,109546.7
1672992000000,0.438,0.439,0.434,0.435,226527.3
1672995600000,0.435,0.435,0.43,0.433,317843.9
1672999200000,0.432,0.435,0.431,0.433,126060.2
1673002800000,0.432,0.434,0.431,0.434,98136.3
1673006400000,0.433,0.435,0.432,0.434,89466.4
1673010000000,0.435,0.441,0.433,0.437,183804.5
1673013600000,0.437,0.441,0.436,0.441,182820.5
1673017200000,0.441,0.444,0.44,0.442,133307.7
1673020800000,0.442,0.447,0.442,0.447,263698.9
1673024400000,0.446,0.447,0.444,0.444,41858.8
1673028000000,0.444,0.447,0.443,0.445,186019.4
1673031600000,0.445,0.448,0.442,0.447,173284.3
1673035200000,0.447,0.451,0.445,0.446,326145.2
1673038800000,0.446,0.45,0.444,0.449,129523.4
1673042400000,0.449,0.45,0.446,0.448,113229.2
1673046000000,0.447,0.451,0.447,0.45,123661.6
1673049600000,0.45,0.451,0.448,0.451,53310.0
1673053200000,0.451,0.455,0.451,0.453,107056.6
