date,open,high,low,close,volume
1672527600000,1.25,1.258,1.246,1.256,299226.3
1672531200000,1.256,1.257,1.247,1.248,269698.5
1672534800000,1.247,1.249,1.243,1.248,208246.5
1672538400000,1.247,1.254,1.245,1.253,116541.8
1672542000000,1.253,1.253,1.247,1.251,152095.4
1672545600000,1.251,1.251,1.24,1.242,243484.7
1672549200000,1.241,1.246,1.239,1.244,175982.4
1672552800000,1.244,1.247,1.243,1.246,172534.2
1672556400000,1.247,1.248,1.242,1.247,113050.6
1672560000000,1.247,1.249,1.242,1.243,114170.7
1672563600000,1.243,1.251,1.243,1.25,91867.1
1672567200000,1.25,1.251,1.247,1.249,72647.8
1672570800000,1.249,1.254,1.249,1.253,85780.1
1672574400000,1.252,1.26,1.252,1.258,159557.9
1672578000000,1.259,1.261,1.252,1.253,158220.0
1672581600000,1.253,1.259,1.253,1.256,60142.5
1672585200000,1.256,1.258,1.253,1.258,100285.5
1672588800000,1.257,1.262,1.257,1.261,194324.0
1672592400000,1.26,1.276,1.26,1.271,414682.4
1672596000000,1.272,1.28,1.272,1.275,288441.5
1672599600000,1.274,1.283,1.274,1.28,224584.6
1672603200000,1.28,1.285,1.277,1.279,176534.3
1672606800000,1.278,1.281,1.274,1.279,133756.8
1672610400000,1.28,1.28,1.273,1.276,129329.5
1672614000000,1.275,1.279,1.272,1.276,186557.9
1672617600000,1.276,1.282,1.269,1.27,260380.8
1672621200000,1.27,1.27,1.256,1.261,666986.3
1672624800000,1.26,1.266,1.26,1.265,129461.8
1672628400000,1.265,1.276,1.264,1.274,208536.9
1672632000000,1.274,1.277,1.27,1.274,132384.0
1672635600000,1.275,1.276,1.271,1.275,112655.0
1672639200000,1.275,1.28,1.274,1.278,101862.0
1672642800000,1.278,1.308,1.277,1.303,1360519.7
1672646400000,1.304,1.316,1.304,1.307,438620.3
1672650000000,1.307,1.313,1.305,1.307,174261.7
1672653600000,1.308,1.312,1.302,1.306,229227.0
1672657200000,1.305,1.31,1.301,1.31,135912.2
1672660800000,1.31,1.318,1.31,1.316,251642.7
1672664400000,1.316,1.32,1.311,1.316,235390.3
1672668000000,1.316,1.32,1.312,1.316,205746.5
1672671600000,1.317,1.323,1.315,1.319,252300.6
1672675200000,1.319,1.321,1.31,1.311,171738.5
1672678800000,1.312,1.323,1.31,1.322,203600.9
1672682400000,1.322,1.326,1.314,1.316,189684.9
1672686000000,1.316,1.325,1.316,1.321,123509.9
1672689600000,1.323,1.323,1.315,1.319,96059.6
1672693200000,1.319,1.323,1.317,1.32,205313.2
1672696800000,1.321,1.322,1.309,1.31,84171.0
1672700400000,1.31,1.317,1.309,1.314,200549.5
1672704000000,1.314,1.319,1.31,1.318,136985.3
1672707600000,1.317,1.319,1.307,1.309,166079.2
1672711200000,1.308,1.311,1.307,1.308,71774.1
1672714800000,1.307,1.312,1.304,1.31,139895.8
1672718400000,1.31,1.312,1.307,1.308,86237.9
1672722000000,1.308,1.317,1.308,1.317,140493.1
1672725600000,1.318,1.329,1.317,1.327,253044.5
1672729200000,1.327,1.33,1.324,1.328,126787.2
1672732800000,1.327,1.33,1.323,1.327,171715.6
