date,open,high,low,close,volume
1672527600000,0.1627,0.1638,0.1626,0.1634,182573.0
1672531200000,0.1634,0.1639,0.1627,0.1633,296779.0
1672534800000,0.1635,0.1644,0.1633,0.164,164253.0
1672538400000,0.164,0.1643,0.1633,0.1633,156858.0
1672542000000,0.1635,0.1635,0.163,0.1632,83013.0
1672545600000,0.1632,0.1634,0.1617,0.1619,332581.0
1672549200000,0.1619,0.1624,0.1617,0.1624,123787.0
1672552800000,0.1624,0.163,0.1623,0.163,108630.0
1672556400000,0.163,0.163,0.1621,0.1622,73923.0
1672560000000,0.1623,0.1634,0.1622,0.1632,109692.0
1672563600000,0.1633,0.164,0.163,0.164,286181.0
1672567200000,0.164,0.1653,0.1634,0.1641,228597.0
1672570800000,0.1642,0.1645,0.1636,0.1638,163967.0
1672574400000,0.164,0.1644,0.1639,0.1641,112821.0
1672578000000,0.1642,0.1643,0.1627,0.1629,247807.0
1672581600000,0.1629,0.1633,0.1627,0.163,66518.0
1672585200000,0.1631,0.1634,0.1628,0.1631,232667.0
1672588800000,0.1631,0.1634,0.1629,0.1631,226884.0
1672592400000,0.163,0.1631,0.1627,0.1628,213800.0
1672596000000,0.1628,0.164,0.1626,0.1639,312890.0
1672599600000,0.164,0.1645,0.1635,0.1638,502966.0
1672603200000,0.1638,0.1643,0.1633,0.1634,508201.0
1672606800000,0.1635,0.1635,0.1625,0.1634,358581.0
1672610400000,0.1633,0.1638,0.1628,0.163,182159.0
1672614000000,0.1632,0.1638,0.1629,0.1631,299486.0
1672617600000,0.1631,0.1632,0.1621,0.1624,250962.0
1672621200000,0.1622,0.1622,0.1593,0.1596,1291363.0
1672624800000,0.1596,0.1604,0.1584,0.1593,300616.0
1672628400000,0.1593,0.161,0.1591,0.161,417381.0
1672632000000,0.1606,0.161,0.16,0.1602,458453.0
1672635600000,0.1601,0.1611,0.16,0.1608,251157.0
1672639200000,0.1607,0.1611,0.1605,0.1611,138462.0
1672642800000,0.161,0.1645,0.161,0.163,1297570.0
1672646400000,0.163,0.165,0.163,0.1639,1270889.0
1672650000000,0.164,0.1648,0.1636,0.164,882492.0
1672653600000,0.1641,0.1649,0.1638,0.1648,323505.0
1672657200000,0.1648,0.166,0.1637,0.1642,670461.0
1672660800000,0.1644,0.1657,0.1644,0.1651,352175.0
1672664400000,0.1651,0.1658,0.1646,0.1655,365376.0
1672668000000,0.1656,0.1667,0.1653,0.1662,394333.0
1672671600000,0.1662,0.1674,0.1656,0.1671,469894.0
1672675200000,0.1671,0.168,0.1664,0.1669,274958.0
1672678800000,0.1672,0.1689,0.1671,0.1685,931552.0
1672682400000,0.1685,0.1693,0.168,0.1681,484194.0
1672686000000,0.1681,0.1684,0.1676,0.1679,298019.0
1672689600000,0.1679,0.1681,0.1667,0.1671,715510.0
1672693200000,0.1672,0.1687,0.1672,0.1685,127362.0
1672696800000,0.1685,0.1685,0.1667,0.1668,388089.0
1672700400000,0.1669,0.1685,0.1668,0.1669,465917.0
1672704000000,0.1669,0.168,0.166,0.1677,578623.0
1672707600000,0.1674,0.1675,0.1661,0.1668,258746.0
1672711200000,0.1669,0.1676,0.1669,0.1672,129471.0
1672714800000,0.1671,0.1687,0.1671,0.1685,355613.0
1672718400000,0.1686,0.1687,0.1674,0.1675,186316.0
1672722000000,0.1674,0.1696,0.1674,0.1692,409368.0
1672725600000,0.1692,0.1708,0.1683,0.1683,992210.0
1672729200000,0.1682,0.1692,0.168,0.1685,216026.0
1672732800000,0.1685,0.1687,0.1669,0.1674,596254.0
1672736400000,0.1674,0.1682,0.1672,0.1675,355879.0
1672740000000,0.1675,0.169,0.1674,0.1685,595864.0
1672743600000,0.1685,0.1692,0.1679,0.1682,525804.0
1672747200000,0.1682,0.1688,0.1677,0.1682,525040.0
1672750800000,0.1682,0.1708,0.1682,0.17,1611340.0
1672754400000,0.17,0.1717,0.1675,0.1686,2195395.0
1672758000000,0.1686,0.1701,0.1683,0.1692,690027.0
1672761600000,0.1693,0.1703,0.1677,0.1679,820744.0
1672765200000,0.168,0.1704,0.1676,0.1687,1891521.0
1672768800000,0.1688,0.1693,0.1627,0.165,3169072.0
1672772400000,0.1648,0.165,0.1637,0.1638,1420749.0
1672776000000,0.1636,0.1642,0.1627,0.1638,945824.0
1672779600000,0.1638,0.1638,0.163,0.1635,432446.0
1672783200000,0.1635,0.1649,0.163,0.1644,816014.0
1672786800000,0.1642,0.1652,0.1641,0.1647,453108.0
1672790400000,0.1646,0.1656,0.1642,0.1648,586432.0
1672794000000,0.1648,0.1672,0.1648,0.1663,1192532.0
1672797600000,0.1665,0.1682,0.1664,0.1682,363589.0
1672801200000,0.1682,0.1711,0.1681,0.1707,2349566.0
1672804800000,0.1708,0.172,0.1695,0.1711,884008.0
1672808400000,0.1712,0.1719,0.1701,0.1718,262813.0
1672812000000,0.1719,0.1726,0.1714,0.1721,722872.0
1672815600000,0.1721,0.1726,0.1704,0.1714,629186.0
1672819200000,0.1714,0.1721,0.1697,0.1707,900366.0
1672822800000,0.1707,0.1715,0.1706,0.1713,478207.0
1672826400000,0.1712,0.172,0.1711,0.1718,226957.0
1672830000000,0.172,0.1743,0.1719,0.1738,1777550.0
1672833600000,0.1739,0.1742,0.173,0.1734,1482814.0
1672837200000,0.1735,0.1776,0.1732,0.1764,1402792.0
1672840800000,0.1765,0.1776,0.1752,0.1759,1965243.0
1672844400000,0.1759,0.1771,0.1744,0.1771,1695756.0
1672848000000,0.1771,0.1773,0.1759,0.1765,799906.0
1672851600000,0.1767,0.1794,0.1755,0.1778,2807762.0
1672855200000,0.1777,0.1848,0.177,0.1794,3664950.0
1672858800000,0.1794,0.1807,0.1762,0.1769,1975311.0
1672862400000,0.177,0.177,0.1747,0.1756,1113963.0
1672866000000,0.1756,0.1771,0.1754,0.1758,339697.0
1672869600000,0.176,0.1781,0.1754,0.1778,504141.0
1672873200000,0.1777,0.1788,0.1772,0.1773,547243.0
1672876800000,0.1773,0.1787,0.1764,0.1773,1400547.0
1672880400000,0.1773,0.179,0.1773,0.1784,906037.0
1672884000000,0.1784,0.182,0.1779,0.1815,979900.0
1672887600000,0.1814,0.1821,0.1797,0.1802,712837.0
1672891200000,0.1804,0.1821,0.1793,0.182,1052740.0
1672894800000,0.1818,0.1837,0.1809,0.1837,947682.0
1672898400000,0.1837,0.1837,0.1801,0.181,1065875.0
1672902000000,0.181,0.181,0.1783,0.179,606629.0
1672905600000,0.179,0.1797,0.1769,0.1772,1191867.0
1672909200000,0.1772,0.1776,0.1755,0.1765,822761.0
1672912800000,0.1765,0.1784,0.1764,0.178,501542.0
1672916400000,0.1779,0.1793,0.1775,0.1791,466350.0
1672920000000,0.1791,0.1856,0.1781,0.1843,4508185.0
1672923600000,0.1838,0.19,0.1824,0.1839,4261754.0
1672927200000,0.184,0.187,0.1814,0.1834,3926618.0
1672930800000,0.1835,0.1851,0.182,0.1832,1239266.0
1672934400000,0.1833,0.1838,0.182,0.1834,980394.0
1672938000000,0.1836,0.1845,0.1825,0.1831,736265.0
1672941600000,0.1836,0.1843,0.1818,0.1843,728633.0
1672945200000,0.1842,0.1874,0.1838,0.1868,1417478.0
