date,open,high,low,close,volume
1672527600000,0.4914,0.492,0.4861,0.491,55979.0
1672531200000,0.4908,0.4937,0.4908,0.4917,6626.0
1672534800000,0.4917,0.494,0.4917,0.4924,10587.0
1672538400000,0.4924,0.4935,0.4923,0.4929,375.0
1672542000000,0.4931,0.4942,0.4909,0.4921,11950.0
1672545600000,0.4942,0.4944,0.4925,0.4937,1932.0
1672549200000,0.4929,0.4949,0.4925,0.4938,11722.0
1672552800000,0.4942,0.4982,0.494,0.4952,20893.0
1672556400000,0.4961,0.499,0.4946,0.4982,36250.0
1672560000000,0.4977,0.4977,0.4938,0.4946,13938.0
1672563600000,0.4941,0.4993,0.4937,0.4989,44040.0
1672567200000,0.4973,0.4992,0.4955,0.498,39167.0
1672570800000,0.4989,0.5091,0.4981,0.508,149143.0
1672574400000,0.508,0.508,0.4982,0.4985,106142.0
1672578000000,0.4993,0.4993,0.4949,0.498,39823.0
1672581600000,0.498,0.5038,0.4963,0.4999,61016.0
1672585200000,0.5004,0.5033,0.4999,0.5021,19848.0
1672588800000,0.5021,0.5033,0.4989,0.5002,46617.0
1672592400000,0.4998,0.501,0.4992,0.5003,8898.0
1672596000000,0.4999,0.5011,0.4991,0.5005,27044.0
1672599600000,0.4996,0.5006,0.4965,0.4981,36462.0
1672603200000,0.4996,0.5007,0.4959,0.4991,31780.0
1672606800000,0.499,0.501,0.4986,0.501,10417.0
1672610400000,0.5007,0.5008,0.4985,0.5008,7114.0
1672614000000,0.5008,0.501,0.4986,0.5,24498.0
1672617600000,0.5001,0.5018,0.499,0.5,10442.0
1672621200000,0.4997,0.5027,0.495,0.5008,39990.0
1672624800000,0.502,0.5042,0.4997,0.4997,27527.0
1672628400000,0.5006,0.5025,0.4995,0.5023,13844.0
1672632000000,0.5025,0.5038,0.501,0.5014,20895.0
1672635600000,0.5017,0.5024,0.4994,0.4998,23111.0
1672639200000,0.4998,0.5008,0.4959,0.4977,25296.0
1672642800000,0.4969,0.5049,0.496,0.5015,56867.0
1672646400000,0.5023,0.5027,0.5005,0.5008,67431.0
1672650000000,0.5024,0.5024,0.4996,0.4996,27577.0
1672653600000,0.5003,0.5021,0.4991,0.5013,12691.0
1672657200000,0.501,0.5018,0.4984,0.4996,25702.0
1672660800000,0.5,0.5023,0.5,0.5006,9947.0
1672664400000,0.502,0.5023,0.4987,0.4999,56208.0
1672668000000,0.4992,0.501,0.4981,0.4983,34594.0
1672671600000,0.4985,0.5005,0.4977,0.4988,48534.0
1672675200000,0.4986,0.5023,0.4986,0.5003,18482.0
1672678800000,0.5002,0.501,0.4989,0.4996,36822.0
1672682400000,0.5001,0.5019,0.4999,0.5018,13452.0
