date,open,high,low,close,volume
1672527600000,0.2007,0.2018,0.2004,0.2017,80665.1
1672531200000,0.2018,0.2018,0.2005,0.2007,76205.4
1672534800000,0.2007,0.2015,0.2002,0.2015,90952.3
1672538400000,0.2013,0.202,0.2013,0.2015,263277.8
1672542000000,0.2015,0.2021,0.2014,0.202,61992.9
1672545600000,0.202,0.2023,0.2018,0.202,77155.2
1672549200000,0.2019,0.2023,0.2015,0.2017,133927.4
1672552800000,0.2017,0.2021,0.2017,0.2017,22111.3
1672556400000,0.2017,0.2018,0.2011,0.2013,112313.7
1672560000000,0.2014,0.2016,0.2004,0.2007,79994.0
1672563600000,0.2007,0.2012,0.2005,0.2011,45992.4
1672567200000,0.2011,0.2017,0.2011,0.2017,38138.2
1672570800000,0.2017,0.2023,0.2015,0.2016,118570.5
1672574400000,0.2016,0.202,0.2016,0.202,132045.1
1672578000000,0.2019,0.202,0.2011,0.2013,73754.7
1672581600000,0.2014,0.2018,0.2013,0.2016,44271.3
1672585200000,0.2016,0.2019,0.2015,0.2018,81048.2
1672588800000,0.2019,0.2021,0.2015,0.2017,89198.5
1672592400000,0.2017,0.2021,0.2012,0.202,134950.7
1672596000000,0.202,0.2024,0.2016,0.2022,138777.7
1672599600000,0.2023,0.2026,0.2022,0.2023,55773.7
1672603200000,0.2023,0.2032,0.2023,0.2031,147283.7
1672606800000,0.2031,0.2038,0.2028,0.2037,75051.2
1672610400000,0.2037,0.2037,0.2021,0.2024,412141.1
1672614000000,0.2024,0.2033,0.2023,0.2025,138334.2
1672617600000,0.2025,0.2033,0.202,0.2022,333149.6
1672621200000,0.2021,0.2021,0.1994,0.2002,422279.0
1672624800000,0.2001,0.2005,0.1993,0.2004,123654.1
1672628400000,0.2003,0.2019,0.2003,0.2015,83790.6
1672632000000,0.2015,0.2015,0.2008,0.201,33888.7
1672635600000,0.201,0.2014,0.2007,0.2013,42314.0
1672639200000,0.2012,0.2013,0.2007,0.201,15906.9
1672642800000,0.2008,0.2056,0.2008,0.2039,793897.4
1672646400000,0.2038,0.2055,0.2037,0.2051,135516.4
1672650000000,0.2051,0.2055,0.2047,0.2047,66018.9
1672653600000,0.2047,0.2054,0.2042,0.2049,133174.3
1672657200000,0.205,0.2053,0.2041,0.2049,60831.8
1672660800000,0.205,0.2056,0.2047,0.2048,140275.6
1672664400000,0.205,0.2053,0.2041,0.2043,107242.2
1672668000000,0.2043,0.2048,0.204,0.2047,86629.4
1672671600000,0.2045,0.2054,0.2045,0.2054,78007.8
1672675200000,0.2054,0.2056,0.205,0.205,50350.3
1672678800000,0.205,0.2056,0.2047,0.2048,135724.4
1672682400000,0.2049,0.2063,0.2049,0.2055,117442.3
1672686000000,0.2056,0.2061,0.2054,0.2059,66724.5
1672689600000,0.2058,0.2061,0.2053,0.2057,79295.1
1672693200000,0.2058,0.2062,0.2053,0.2057,92845.6
1672696800000,0.2059,0.206,0.204,0.2042,69717.7
1672700400000,0.2042,0.2056,0.2042,0.2047,107277.1
1672704000000,0.2045,0.2053,0.2043,0.2051,39692.0
1672707600000,0.205,0.205,0.2035,0.2036,107867.6
1672711200000,0.2037,0.2041,0.2036,0.2036,57621.8
1672714800000,0.2039,0.2043,0.2031,0.2042,41195.9
1672718400000,0.2043,0.2045,0.2042,0.2045,20713.2
1672722000000,0.2043,0.2053,0.2042,0.205,62023.2
1672725600000,0.205,0.2058,0.2049,0.2052,205292.0
1672729200000,0.2052,0.2059,0.205,0.2056,51542.4
1672732800000,0.2056,0.2061,0.2045,0.2058,273632.1
1672736400000,0.2058,0.2064,0.2054,0.206,169787.1
1672740000000,0.2061,0.2063,0.2056,0.2057,87769.3
1672743600000,0.2057,0.2057,0.2045,0.2048,121336.3
1672747200000,0.2048,0.2055,0.2044,0.205,132466.1
1672750800000,0.2049,0.2057,0.2049,0.2051,126816.3
