date,open,high,low,close,volume
1672527600000,12.18,12.21,12.15,12.18,422.02
1672531200000,12.2,12.2,12.13,12.16,839.45
1672534800000,12.17,12.18,12.04,12.05,1075.86
1672538400000,12.05,12.15,12.05,12.15,608.36
1672542000000,12.14,12.15,12.11,12.11,772.33
1672545600000,12.11,12.13,12.05,12.06,354.1
1672549200000,12.07,12.08,12.05,12.08,136.08
1672552800000,12.06,12.08,12.04,12.05,499.49
1672556400000,12.04,12.06,11.96,12.01,934.39
1672560000000,12.01,12.04,11.99,12.03,314.77
1672563600000,12.03,12.11,12.02,12.1,1365.08
1672567200000,12.07,12.13,12.07,12.13,542.98
1672570800000,12.13,12.18,12.13,12.16,1202.66
1672574400000,12.14,12.16,12.12,12.13,198.87
1672578000000,12.13,12.15,12.08,12.12,326.1
1672581600000,12.12,12.15,12.1,12.12,209.18
1672585200000,12.1,12.13,12.09,12.13,186.33
1672588800000,12.13,12.17,12.12,12.12,834.85
1672592400000,12.14,12.2,12.14,12.16,1346.27
1672596000000,12.16,12.2,12.15,12.16,289.57
1672599600000,12.16,12.17,12.13,12.16,300.8
1672603200000,12.17,12.24,12.14,12.21,2359.12
1672606800000,12.21,12.21,12.16,12.17,796.89
1672610400000,12.19,12.21,12.13,12.13,614.51
1672614000000,12.13,12.22,12.13,12.14,1356.42
1672617600000,12.14,12.18,12.06,12.08,288.15
1672621200000,12.05,12.06,11.95,11.97,2313.47
1672624800000,11.96,11.96,11.92,11.93,911.78
1672628400000,11.92,12.11,11.91,12.1,827.24
1672632000000,12.07,12.21,12.07,12.11,8151.55
1672635600000,12.11,12.11,12.03,12.04,1556.36
1672639200000,12.02,12.05,12.0,12.02,906.76
1672642800000,12.0,12.28,12.0,12.17,11818.33
1672646400000,12.17,12.27,12.14,12.25,2679.45
1672650000000,12.24,12.24,12.17,12.18,945.07
1672653600000,12.17,12.24,12.16,12.22,1593.71
1672657200000,12.2,12.35,12.19,12.33,5701.86
1672660800000,12.33,12.38,12.27,12.33,3004.58
1672664400000,12.34,12.41,12.32,12.36,2004.29
1672668000000,12.35,12.35,12.26,12.26,766.49
1672671600000,12.29,12.31,12.2,12.22,1250.44
1672675200000,12.21,12.27,12.2,12.25,1407.72
1672678800000,12.22,12.32,12.21,12.32,1040.7
1672682400000,12.32,12.37,12.29,12.36,429.0
1672686000000,12.36,12.43,12.36,12.4,895.97
1672689600000,12.41,12.44,12.37,12.42,727.33
1672693200000,12.42,12.47,12.42,12.45,374.1
1672696800000,12.46,12.46,12.28,12.3,2341.42
1672700400000,12.32,12.37,12.29,12.36,1986.26
1672704000000,12.37,12.43,12.35,12.4,612.79
1672707600000,12.4,12.41,12.25,12.31,1021.9
1672711200000,12.3,12.34,12.28,12.28,519.35
1672714800000,12.28,12.31,12.26,12.31,189.87
1672718400000,12.31,12.39,12.31,12.34,1866.98
1672722000000,12.35,12.43,12.35,12.43,600.64
1672725600000,12.43,12.48,12.36,12.37,1328.99
1672729200000,12.39,12.44,12.36,12.41,620.48
1672732800000,12.41,12.42,12.28,12.32,1537.41
1672736400000,12.33,12.41,12.3,12.4,847.15
1672740000000,12.38,12.38,12.35,12.36,640.55
1672743600000,12.35,12.36,12.27,12.27,640.92
1672747200000,12.27,12.31,12.23,12.25,1033.07
1672750800000,12.25,12.28,12.21,12.27,2038.02
1672754400000,12.24,12.32,12.09,12.13,2145.51
1672758000000,12.13,12.18,12.03,12.12,1826.58
1672761600000,12.11,12.16,12.03,12.03,2047.0
1672765200000,12.02,12.08,11.99,12.05,2012.9
1672768800000,12.04,12.07,12.02,12.04,647.0
1672772400000,12.05,12.07,12.0,12.04,2223.54
1672776000000,12.03,12.09,12.03,12.09,714.86
1672779600000,12.07,12.1,12.06,12.1,239.07
1672783200000,12.11,12.14,12.08,12.13,389.41
1672786800000,12.14,12.19,12.14,12.18,355.31
1672790400000,12.17,12.22,12.16,12.2,1036.88
1672794000000,12.2,12.36,12.2,12.34,2072.44
1672797600000,12.33,12.46,12.33,12.45,1338.85
1672801200000,12.46,12.58,12.43,12.55,3199.0
1672804800000,12.58,12.59,12.49,12.52,622.96
1672808400000,12.53,12.56,12.45,12.55,2753.37
1672812000000,12.56,12.58,12.52,12.56,1466.32
1672815600000,12.58,12.58,12.49,12.54,990.0
1672819200000,12.54,12.56,12.42,12.48,2037.59
1672822800000,12.51,12.51,12.44,12.47,1742.83
1672826400000,12.47,12.48,12.41,12.44,683.88
1672830000000,12.43,12.5,12.43,12.5,330.12
1672833600000,12.49,12.55,12.44,12.44,877.84
1672837200000,12.45,12.5,12.45,12.5,538.15
1672840800000,12.5,12.53,12.43,12.46,806.66
1672844400000,12.45,12.5,12.29,12.49,2748.18
1672848000000,12.49,12.52,12.44,12.46,1676.42
1672851600000,12.47,12.62,12.47,12.55,1468.21
1672855200000,12.54,12.62,12.54,12.55,1263.64
1672858800000,12.55,12.55,12.38,12.43,1898.59
1672862400000,12.43,12.43,12.27,12.31,1157.7
1672866000000,12.3,12.43,12.29,12.4,810.93
1672869600000,12.4,12.58,12.4,12.57,848.85
1672873200000,12.57,12.73,12.56,12.63,2377.75
1672876800000,12.63,12.76,12.58,12.58,1506.48
1672880400000,12.6,12.73,12.55,12.69,2003.59
1672884000000,12.7,12.89,12.69,12.84,3582.6
1672887600000,12.83,12.83,12.72,12.72,2530.75
1672891200000,12.75,12.82,12.74,12.74,2243.49
1672894800000,12.77,12.78,12.7,12.73,1984.07
1672898400000,12.73,12.77,12.64,12.68,2476.89
1672902000000,12.68,12.7,12.57,12.66,909.89
1672905600000,12.66,12.68,12.59,12.63,1602.83
1672909200000,12.65,12.76,12.57,12.74,5157.83
1672912800000,12.72,13.02,12.68,13.02,11277.06
1672916400000,13.0,13.4,12.9,12.9,41124.8
1672920000000,12.91,12.91,12.63,12.69,11222.09
1672923600000,12.69,12.74,12.51,12.52,7983.67
1672927200000,12.52,12.68,12.52,12.63,5807.72
1672930800000,12.63,12.85,12.63,12.76,6850.84
1672934400000,12.76,12.76,12.64,12.66,1877.83
1672938000000,12.66,12.68,12.57,12.6,1370.65
1672941600000,12.61,12.66,12.6,12.64,2705.06
1672945200000,12.65,12.72,12.63,12.7,3182.89
1672948800000,12.69,12.71,12.67,12.67,676.88
1672952400000,12.68,12.7,12.65,12.67,825.64
1672956000000,12.66,12.7,12.61,12.62,686.73
1672959600000,12.63,12.66,12.51,12.62,2124.61
1672963200000,12.62,12.74,12.62,12.73,825.91
1672966800000,12.74,12.75,12.64,12.64,1561.8
1672970400000,12.65,12.66,12.57,12.65,1531.3
1672974000000,12.66,12.66,12.61,12.62,373.25
1672977600000,12.63,12.63,12.41,12.52,4622.65
1672981200000,12.49,12.49,12.35,12.39,1768.54
1672984800000,12.4,12.44,12.28,12.34,3844.9
1672988400000,12.31,12.31,12.19,12.26,3882.24
1672992000000,12.26,12.33,12.26,12.3,4295.33
1672995600000,12.27,12.29,12.14,12.22,6221.5
1672999200000,12.22,12.25,12.12,12.16,1382.61
1673002800000,12.15,12.16,12.06,12.12,5832.0
1673006400000,12.13,12.13,12.07,12.13,4805.0
1673010000000,12.11,12.23,11.95,12.16,8687.59
1673013600000,12.13,12.18,12.1,12.15,1130.15
1673017200000,12.15,12.29,12.14,12.28,2121.19
1673020800000,12.29,12.31,12.23,12.3,2659.96
1673024400000,12.29,12.33,12.29,12.31,1677.97
1673028000000,12.31,12.41,12.31,12.37,2686.27
1673031600000,12.39,12.49,12.35,12.48,3270.95
1673035200000,12.49,12.51,12.37,12.37,1205.71
1673038800000,12.39,12.44,12.39,12.43,300.6
1673042400000,12.41,12.52,12.41,12.51,3376.98
1673046000000,12.51,12.53,12.47,12.48,1222.53
1673049600000,12.49,12.58,12.49,12.57,796.98
1673053200000,12.58,12.62,12.54,12.59,1330.76
1673056800000,12.6,12.64,12.58,12.6,3075.56
1673060400000,12.6,12.64,12.6,12.62,553.48
1673064000000,12.65,12.65,12.61,12.61,271.8
1673067600000,12.61,12.65,12.56,12.58,791.76
1673071200000,12.62,12.63,12.53,12.55,853.24
1673074800000,12.55,12.58,12.51,12.52,1001.05
1673078400000,12.54,12.54,12.41,12.41,1960.6
1673082000000,12.41,12.43,12.4,12.4,894.35
1673085600000,12.4,12.43,12.38,12.4,1076.98
1673089200000,12.39,12.44,12.36,12.38,2555.59
1673092800000,12.38,12.38,12.34,12.36,3450.04
1673096400000,12.37,12.38,12.35,12.37,1947.31
1673100000000,12.35,12.43,12.35,12.43,1419.05
1673103600000,12.42,12.45,12.41,12.43,2021.55
1673107200000,12.43,12.44,12.39,12.4,1330.4
1673110800000,12.4,12.41,12.38,12.4,755.22
1673114400000,12.39,12.46,12.38,12.45,2367.93
1673118000000,12.45,12.47,12.43,12.45,2706.71
1673121600000,12.45,12.48,12.44,12.46,671.68
1673125200000,12.46,12.49,12.45,12.46,497.04
1673128800000,12.47,12.48,12.44,12.47,566.29
1673132400000,12.44,12.47,12.44,12.47,567.14
1673136000000,12.48,12.52,12.23,12.29,7841.7
1673139600000,12.27,12.35,12.27,12.34,2160.86
1673143200000,12.34,12.37,12.32,12.37,1085.81
1673146800000,12.37,12.43,12.36,12.43,1073.26
1673150400000,12.44,12.45,12.41,12.41,517.05
1673154000000,12.41,12.44,12.4,12.41,504.77
1673157600000,12.41,12.43,12.41,12.43,363.46
1673161200000,12.42,12.44,12.36,12.4,659.9
1673164800000,12.39,12.45,12.38,12.45,967.56
1673168400000,12.45,12.52,12.43,12.48,2881.17
1673172000000,12.48,12.49,12.45,12.46,546.49
1673175600000,12.47,12.5,12.46,12.48,1266.96
1673179200000,12.43,12.46,12.36,12.37,2802.88
1673182800000,12.37,12.42,12.35,12.35,2173.62
1673186400000,12.36,12.5,12.36,12.48,1103.41
1673190000000,12.46,12.52,12.45,12.51,1613.44
1673193600000,12.52,12.53,12.37,12.42,2199.9
1673197200000,12.43,12.48,12.4,12.42,1267.48
1673200800000,12.41,12.46,12.4,12.43,2088.84
1673204400000,12.42,12.5,12.42,12.5,1339.69
1673208000000,12.5,12.68,12.49,12.65,4433.85
1673211600000,12.65,12.89,12.65,12.78,8135.98
1673215200000,12.79,12.88,12.79,12.86,1130.04
1673218800000,12.89,13.04,12.89,12.99,5135.56
1673222400000,12.99,13.02,12.85,13.02,4204.16
1673226000000,13.03,13.09,12.95,13.05,1762.83
1673229600000,13.04,13.16,12.98,13.02,1616.15
1673233200000,13.02,13.17,12.98,13.09,4528.71
1673236800000,13.11,13.19,13.11,13.16,1404.82
1673240400000,13.15,13.2,13.06,13.06,3075.94
1673244000000,13.06,13.11,12.99,13.01,2184.42
1673247600000,13.0,13.13,13.0,13.12,1562.63
1673251200000,13.14,13.19,13.09,13.13,3467.36
1673254800000,13.12,13.23,13.11,13.22,1621.29
1673258400000,13.22,13.37,13.2,13.25,3678.05
1673262000000,13.26,13.34,13.09,13.11,5875.33
1673265600000,13.11,13.26,13.11,13.24,2247.63
1673269200000,13.24,13.31,13.02,13.1,2041.27
1673272800000,13.1,13.29,13.0,13.26,2506.68
1673276400000,13.26,13.34,13.18,13.29,4633.81
1673280000000,13.29,13.45,13.28,13.36,2320.69
1673283600000,13.35,13.44,13.21,13.31,9121.44
1673287200000,13.3,13.41,13.07,13.17,3147.67
1673290800000,13.19,13.27,13.12,13.16,1010.67
1673294400000,13.15,13.18,12.94,13.11,3298.61
1673298000000,13.1,13.31,13.1,13.2,6088.6
1673301600000,13.19,13.34,13.18,13.21,1787.33
1673305200000,13.21,13.31,13.08,13.19,1628.64
1673308800000,13.23,13.43,13.22,13.43,1955.69
1673312400000,13.44,13.44,13.3,13.35,546.31
1673316000000,13.41,13.41,12.87,13.1,8058.58
1673319600000,13.14,13.21,13.04,13.21,5271.81
1673323200000,13.22,13.3,13.18,13.29,1627.39
1673326800000,13.3,13.35,13.23,13.32,3127.51
1673330400000,13.34,13.43,13.28,13.39,1615.42
1673334000000,13.38,13.47,13.32,13.35,1665.02
1673337600000,13.38,13.48,13.33,13.37,1657.98
1673341200000,13.35,13.38,13.28,13.37,2870.61
1673344800000,13.36,13.47,13.34,13.45,2345.65
1673348400000,13.43,13.49,13.32,13.36,1215.86
1673352000000,13.34,13.43,13.25,13.25,1770.82
1673355600000,13.31,13.43,13.27,13.39,6099.46
1673359200000,13.39,13.48,13.31,13.43,6302.55
1673362800000,13.44,13.62,13.37,13.57,5328.45
1673366400000,13.56,13.94,13.5,13.62,14206.35
1673370000000,13.59,13.63,13.51,13.56,2951.68
1673373600000,13.57,13.75,13.53,13.62,3959.71
1673377200000,13.63,13.68,13.59,13.65,947.08
1673380800000,13.65,13.75,13.6,13.7,927.24
1673384400000,13.72,13.72,13.6,13.65,3324.34
1673388000000,13.64,13.65,13.57,13.63,1270.23
1673391600000,13.64,13.74,13.63,13.73,1193.52
1673395200000,13.71,13.77,13.62,13.7,1546.96
1673398800000,13.71,13.72,13.56,13.67,792.83
1673402400000,13.68,13.68,13.38,13.44,2495.08
1673406000000,13.42,13.48,13.16,13.27,13938.04
1673409600000,13.3,13.39,13.08,13.17,7945.88
