date,open,high,low,close,volume
1672527600000,1.494,1.498,1.493,1.494,1549.7
1672531200000,1.497,1.52,1.497,1.5,19506.7
1672534800000,1.501,1.512,1.501,1.501,5679.6
1672538400000,1.502,1.502,1.496,1.496,1126.2
1672542000000,1.494,1.494,1.49,1.491,1625.1
1672545600000,1.489,1.492,1.486,1.486,1516.9
1672549200000,1.489,1.49,1.483,1.488,4678.3
1672552800000,1.49,1.492,1.49,1.492,275.7
1672556400000,1.492,1.558,1.488,1.5,129407.3
1672560000000,1.5,1.502,1.497,1.501,13617.7
1672563600000,1.502,1.504,1.499,1.501,8856.5
1672567200000,1.5,1.501,1.499,1.499,2249.3
1672570800000,1.499,1.501,1.496,1.498,9467.9
1672574400000,1.498,1.499,1.498,1.499,2777.7
1672578000000,1.499,1.506,1.498,1.505,10386.5
1672581600000,1.505,1.505,1.504,1.505,1943.5
1672585200000,1.505,1.507,1.5,1.503,7194.8
1672588800000,1.501,1.505,1.501,1.505,1881.7
1672592400000,1.504,1.512,1.493,1.504,15879.3
1672596000000,1.503,1.505,1.501,1.505,1659.1
1672599600000,1.503,1.505,1.501,1.501,4269.7
1672603200000,1.504,1.505,1.499,1.503,3807.4
1672606800000,1.502,1.504,1.5,1.502,1503.0
1672610400000,1.502,1.505,1.502,1.503,614.9
1672614000000,1.504,1.508,1.504,1.508,3169.0
1672617600000,1.507,1.508,1.498,1.501,4732.3
1672621200000,1.501,1.501,1.488,1.489,8751.8
1672624800000,1.491,1.496,1.491,1.493,3284.6
1672628400000,1.493,1.5,1.493,1.5,3920.2
1672632000000,1.499,1.504,1.497,1.501,1580.0
1672635600000,1.502,1.502,1.496,1.498,1179.4
1672639200000,1.5,1.5,1.496,1.499,280.1
1672642800000,1.496,1.517,1.496,1.516,10426.0
1672646400000,1.514,1.525,1.513,1.522,11346.6
1672650000000,1.522,1.531,1.522,1.526,8738.6
1672653600000,1.526,1.527,1.509,1.516,26657.5
1672657200000,1.516,1.521,1.514,1.515,4212.0
1672660800000,1.518,1.52,1.516,1.518,2279.7
1672664400000,1.519,1.519,1.516,1.519,1303.1
1672668000000,1.516,1.522,1.515,1.519,3207.2
1672671600000,1.519,1.524,1.516,1.524,5404.4
1672675200000,1.523,1.528,1.521,1.527,9242.3
1672678800000,1.524,1.528,1.515,1.519,11460.3
1672682400000,1.517,1.518,1.512,1.516,7841.2
1672686000000,1.516,1.521,1.514,1.521,1721.0
1672689600000,1.521,1.521,1.515,1.519,3231.6
1672693200000,1.52,1.523,1.516,1.522,5192.3
1672696800000,1.521,1.522,1.514,1.518,13439.6
1672700400000,1.515,1.518,1.512,1.512,1839.1
1672704000000,1.512,1.521,1.511,1.521,2079.3
1672707600000,1.519,1.521,1.51,1.51,1850.3
1672711200000,1.51,1.528,1.51,1.519,12639.8
1672714800000,1.519,1.521,1.518,1.521,1066.8
1672718400000,1.52,1.525,1.52,1.525,2050.0
1672722000000,1.523,1.525,1.519,1.523,4415.1
1672725600000,1.524,1.528,1.521,1.522,9761.8
1672729200000,1.522,1.539,1.519,1.536,20578.0
1672732800000,1.536,1.536,1.517,1.524,13292.6
1672736400000,1.521,1.539,1.52,1.53,55935.6
1672740000000,1.53,1.533,1.523,1.533,10128.6
1672743600000,1.532,1.535,1.524,1.525,3969.1
1672747200000,1.525,1.529,1.522,1.523,6236.0
1672750800000,1.523,1.531,1.523,1.528,2110.0
1672754400000,1.528,1.533,1.517,1.518,6983.3
1672758000000,1.518,1.531,1.517,1.526,15455.7
1672761600000,1.526,1.526,1.512,1.512,14214.7
1672765200000,1.513,1.52,1.513,1.519,4548.4
1672768800000,1.519,1.527,1.516,1.523,6712.0
1672772400000,1.524,1.53,1.515,1.518,14477.9
1672776000000,1.516,1.519,1.513,1.518,3228.2
1672779600000,1.515,1.519,1.514,1.516,1222.9
1672783200000,1.519,1.521,1.516,1.518,2760.2
1672786800000,1.519,1.522,1.518,1.521,1908.6
1672790400000,1.522,1.522,1.518,1.518,1087.3
1672794000000,1.521,1.532,1.521,1.531,5427.1
1672797600000,1.532,1.54,1.532,1.54,5694.6
1672801200000,1.539,1.541,1.536,1.541,13859.1
1672804800000,1.541,1.547,1.537,1.542,6512.0
1672808400000,1.544,1.549,1.54,1.545,6880.8
1672812000000,1.547,1.552,1.544,1.549,4442.7
1672815600000,1.549,1.554,1.546,1.551,6842.4
1672819200000,1.552,1.557,1.544,1.545,14034.5
1672822800000,1.545,1.551,1.543,1.547,1765.1
1672826400000,1.545,1.545,1.539,1.541,4977.7
1672830000000,1.545,1.545,1.538,1.54,2132.9
1672833600000,1.544,1.544,1.538,1.541,3115.0
1672837200000,1.541,1.546,1.539,1.546,4152.3
1672840800000,1.546,1.549,1.539,1.544,7569.2
1672844400000,1.543,1.547,1.534,1.547,5778.3
1672848000000,1.544,1.562,1.544,1.552,21337.3
1672851600000,1.553,1.589,1.551,1.587,87097.6
1672855200000,1.586,1.587,1.563,1.567,34906.6
1672858800000,1.564,1.566,1.538,1.55,24818.2
1672862400000,1.551,1.551,1.535,1.537,21651.1
1672866000000,1.536,1.544,1.536,1.544,2179.5
1672869600000,1.545,1.545,1.541,1.543,2745.4
1672873200000,1.543,1.551,1.542,1.551,7723.4
1672876800000,1.551,1.552,1.548,1.548,2812.4
1672880400000,1.548,1.551,1.546,1.551,1413.0
1672884000000,1.548,1.549,1.542,1.549,3572.3
1672887600000,1.548,1.552,1.548,1.551,6266.7
1672891200000,1.551,1.579,1.549,1.551,34856.0
1672894800000,1.551,1.553,1.548,1.552,3920.7
1672898400000,1.553,1.555,1.549,1.555,4415.4
1672902000000,1.553,1.553,1.545,1.549,6623.5
1672905600000,1.548,1.55,1.545,1.55,6223.6
1672909200000,1.547,1.55,1.535,1.535,4473.1
1672912800000,1.535,1.537,1.53,1.534,10982.0
1672916400000,1.534,1.545,1.533,1.543,10758.2
1672920000000,1.544,1.546,1.543,1.544,4593.9
1672923600000,1.544,1.545,1.53,1.533,5370.5
1672927200000,1.532,1.539,1.531,1.539,6141.7
1672930800000,1.538,1.55,1.538,1.542,7873.9
1672934400000,1.541,1.542,1.536,1.538,5582.2
1672938000000,1.541,1.541,1.535,1.536,2673.9
1672941600000,1.538,1.548,1.535,1.543,3904.9
1672945200000,1.546,1.549,1.544,1.544,396.1
1672948800000,1.544,1.548,1.542,1.542,1352.9
1672952400000,1.546,1.548,1.541,1.541,492.0
1672956000000,1.546,1.546,1.542,1.542,149.0
1672959600000,1.542,1.561,1.538,1.548,21517.7
1672963200000,1.548,1.55,1.542,1.545,17062.7
1672966800000,1.544,1.547,1.542,1.542,1361.1
1672970400000,1.542,1.542,1.537,1.538,1666.9
1672974000000,1.538,1.541,1.538,1.54,609.1
1672977600000,1.541,1.542,1.536,1.536,3599.5
1672981200000,1.536,1.538,1.535,1.537,712.5
1672984800000,1.538,1.539,1.529,1.529,3671.7
1672988400000,1.529,1.532,1.526,1.529,5698.5
1672992000000,1.529,1.529,1.526,1.526,2506.1
1672995600000,1.526,1.529,1.517,1.523,14755.0
1672999200000,1.524,1.528,1.521,1.522,2583.7
1673002800000,1.525,1.525,1.517,1.52,833.9
1673006400000,1.517,1.519,1.514,1.514,1974.4
1673010000000,1.514,1.517,1.499,1.515,35569.0
1673013600000,1.512,1.517,1.509,1.515,9984.7
1673017200000,1.515,1.529,1.512,1.528,11027.7
1673020800000,1.53,1.539,1.527,1.535,6785.5
