date,open,high,low,close,volume
1672527600000,0.1198,0.1202,0.1196,0.1199,120814.8
1672531200000,0.12,0.1205,0.12,0.1201,216361.5
1672534800000,0.1201,0.1209,0.12,0.1208,116588.6
1672538400000,0.1209,0.1225,0.1209,0.1224,877513.8
1672542000000,0.1223,0.1223,0.1213,0.1217,286559.5
1672545600000,0.1216,0.1218,0.1211,0.1215,90040.7
1672549200000,0.1215,0.122,0.1213,0.1219,347699.7
1672552800000,0.1219,0.1222,0.1214,0.1219,281448.6
1672556400000,0.1219,0.1221,0.1213,0.122,183016.8
1672560000000,0.1221,0.1221,0.121,0.1214,271447.1
1672563600000,0.1213,0.1218,0.1211,0.1217,120300.5
1672567200000,0.1217,0.122,0.1215,0.1217,376608.0
1672570800000,0.1217,0.1229,0.1217,0.1225,810637.4
1672574400000,0.1226,0.1228,0.1223,0.1225,145848.1
1672578000000,0.1225,0.1229,0.1224,0.1228,310375.7
1672581600000,0.1229,0.1234,0.1227,0.1234,485199.1
1672585200000,0.1233,0.1237,0.1229,0.1234,304421.1
1672588800000,0.1234,0.1237,0.1231,0.1232,202622.1
1672592400000,0.1232,0.1239,0.1232,0.1235,201285.5
1672596000000,0.1234,0.1248,0.1233,0.1247,910473.2
1672599600000,0.1246,0.1261,0.1242,0.1247,954001.6
1672603200000,0.1246,0.1255,0.1245,0.125,254861.1
1672606800000,0.125,0.1256,0.1248,0.125,212232.3
1672610400000,0.125,0.1258,0.1245,0.1246,330284.8
1672614000000,0.1246,0.1256,0.1246,0.1253,389191.9
1672617600000,0.1252,0.1255,0.124,0.125,410804.3
1672621200000,0.1249,0.1254,0.1233,0.1234,685634.5
1672624800000,0.1234,0.1241,0.1234,0.1238,154140.6
1672628400000,0.1237,0.1248,0.1236,0.1244,501925.1
1672632000000,0.1243,0.1246,0.1236,0.1243,162317.0
1672635600000,0.1243,0.1244,0.1235,0.1237,156085.0
1672639200000,0.1237,0.1242,0.1231,0.1232,327331.3
1672642800000,0.1232,0.1269,0.1231,0.1251,1058001.7
1672646400000,0.1252,0.1267,0.125,0.1256,1259454.3
1672650000000,0.1256,0.1259,0.1252,0.1253,278338.7
1672653600000,0.1252,0.1257,0.1249,0.1251,325691.0
1672657200000,0.1251,0.1254,0.1238,0.1245,846532.5
1672660800000,0.1245,0.1248,0.1236,0.124,236890.1
1672664400000,0.124,0.1241,0.1233,0.1236,175073.6
1672668000000,0.1236,0.1241,0.1234,0.124,345332.7
1672671600000,0.1241,0.125,0.1239,0.125,157943.1
1672675200000,0.125,0.1255,0.1248,0.1249,286046.3
1672678800000,0.1249,0.125,0.1242,0.1243,265826.1
1672682400000,0.1243,0.1245,0.1241,0.1243,157787.5
1672686000000,0.1243,0.1246,0.124,0.1246,141269.9
1672689600000,0.1246,0.1246,0.1239,0.1241,100901.7
1672693200000,0.124,0.1252,0.124,0.1251,325566.9
1672696800000,0.1252,0.1252,0.1237,0.124,483570.2
1672700400000,0.124,0.1253,0.1239,0.1246,208931.5
1672704000000,0.1246,0.1254,0.1243,0.1251,170628.3
1672707600000,0.1251,0.1252,0.124,0.1244,101383.6
1672711200000,0.1243,0.1244,0.1235,0.1236,397336.3
1672714800000,0.1236,0.124,0.1232,0.124,166783.1
1672718400000,0.124,0.1242,0.1238,0.1239,96572.4
1672722000000,0.1239,0.1253,0.1239,0.1253,105878.7
1672725600000,0.1253,0.1257,0.1243,0.1244,317412.3
1672729200000,0.1244,0.1245,0.1239,0.1242,102435.6
1672732800000,0.1242,0.1243,0.1234,0.1238,604288.9
1672736400000,0.1238,0.124,0.1234,0.1238,497380.7
1672740000000,0.1238,0.1238,0.1224,0.1231,782345.6
1672743600000,0.1231,0.1231,0.122,0.1224,798931.0
1672747200000,0.1225,0.1231,0.1223,0.1228,290760.1
1672750800000,0.1228,0.1234,0.1226,0.1231,290017.6
1672754400000,0.123,0.1239,0.1216,0.1221,1045975.8
1672758000000,0.1221,0.1227,0.1218,0.1223,343869.1
1672761600000,0.1223,0.1227,0.1219,0.122,180738.9
1672765200000,0.1219,0.1228,0.1218,0.1223,267298.7
1672768800000,0.1224,0.1235,0.1224,0.1233,552620.7
1672772400000,0.1233,0.1235,0.1226,0.1231,291582.5
1672776000000,0.123,0.1238,0.1229,0.1236,375329.1
1672779600000,0.1236,0.124,0.1232,0.1235,479822.3
1672783200000,0.1236,0.1238,0.1232,0.1237,82863.0
1672786800000,0.1237,0.1242,0.1237,0.1241,141063.5
1672790400000,0.1242,0.1247,0.124,0.1244,182369.3
1672794000000,0.1245,0.1258,0.1244,0.125,748450.9
1672797600000,0.1251,0.1261,0.1247,0.1257,438950.0
1672801200000,0.1259,0.1266,0.1254,0.1264,378595.5
1672804800000,0.1264,0.1266,0.1256,0.1261,806584.0
1672808400000,0.126,0.1266,0.1259,0.1266,138132.1
1672812000000,0.1266,0.1275,0.1264,0.1273,195693.0
1672815600000,0.1272,0.1274,0.126,0.1265,384601.6
1672819200000,0.1265,0.1268,0.1252,0.1262,351760.1
1672822800000,0.1262,0.1262,0.1257,0.1261,189742.8
1672826400000,0.1261,0.1267,0.126,0.1265,358055.8
1672830000000,0.1264,0.1291,0.1262,0.1281,2863919.4
1672833600000,0.1281,0.1287,0.1272,0.1284,1025090.1
1672837200000,0.1286,0.1296,0.1282,0.1288,2929495.6
1672840800000,0.1289,0.1291,0.1277,0.1284,1075917.4
1672844400000,0.1284,0.1292,0.1266,0.1288,2437422.2
1672848000000,0.1289,0.1327,0.1286,0.1303,3954555.8
1672851600000,0.1302,0.1315,0.1302,0.1309,744379.6
1672855200000,0.1311,0.1316,0.1295,0.1304,2495507.6
1672858800000,0.1302,0.1311,0.1296,0.13,1250542.1
1672862400000,0.1301,0.1308,0.129,0.1291,1427916.3
1672866000000,0.1291,0.1301,0.129,0.1295,466575.9
1672869600000,0.1296,0.1307,0.1296,0.1305,728158.9
1672873200000,0.1305,0.1319,0.1305,0.1312,630082.3
1672876800000,0.1312,0.1316,0.1298,0.1299,365907.3
1672880400000,0.1299,0.1307,0.1292,0.13,578179.1
1672884000000,0.13,0.1308,0.1294,0.1308,251389.6
1672887600000,0.1308,0.1316,0.1305,0.1309,462984.8
1672891200000,0.1309,0.1331,0.1308,0.1321,583522.2
1672894800000,0.132,0.1327,0.1319,0.132,395793.9
1672898400000,0.1321,0.1324,0.1309,0.1313,313755.7
1672902000000,0.1314,0.1316,0.1303,0.1306,428166.9
1672905600000,0.1306,0.1307,0.1296,0.1301,449380.5
1672909200000,0.1302,0.1314,0.1295,0.1299,447016.9
1672912800000,0.1299,0.1312,0.1299,0.1309,293606.7
1672916400000,0.1309,0.1317,0.1307,0.1316,346303.9
1672920000000,0.1316,0.1317,0.13,0.1306,467498.5
1672923600000,0.1307,0.1308,0.1294,0.1298,580519.1
1672927200000,0.1297,0.1308,0.1291,0.13,1013237.5
1672930800000,0.13,0.1334,0.1296,0.1304,11193843.1
1672934400000,0.1303,0.1306,0.1298,0.1303,351358.1
1672938000000,0.1303,0.1308,0.1302,0.1307,370805.2
1672941600000,0.1307,0.1316,0.1303,0.1314,409223.7
1672945200000,0.1314,0.1326,0.1313,0.1324,862490.1
1672948800000,0.1323,0.1328,0.1318,0.1321,716267.9
1672952400000,0.1321,0.1321,0.1311,0.1318,198289.0
1672956000000,0.1318,0.1318,0.1311,0.1312,196616.0
1672959600000,0.1315,0.1315,0.1298,0.1314,734143.8
1672963200000,0.1313,0.1323,0.1306,0.1321,509731.9
1672966800000,0.1321,0.1321,0.1311,0.1311,120774.9
1672970400000,0.131,0.1315,0.1305,0.1313,274660.4
1672974000000,0.1313,0.1315,0.1304,0.1305,197889.1
1672977600000,0.1306,0.1307,0.1297,0.1304,154579.1
1672981200000,0.1304,0.1304,0.1295,0.1298,305157.3
1672984800000,0.1298,0.1301,0.129,0.1291,636103.0
1672988400000,0.129,0.1294,0.129,0.1291,279025.2
1672992000000,0.1291,0.1294,0.1289,0.1291,639059.6
1672995600000,0.1291,0.1291,0.1279,0.1285,918425.7
1672999200000,0.1286,0.1287,0.1278,0.1278,346253.5
1673002800000,0.1279,0.1293,0.1273,0.1292,1258715.3
1673006400000,0.1292,0.1302,0.1289,0.1298,1073005.5
1673010000000,0.1298,0.132,0.1287,0.1307,1239969.1
1673013600000,0.1307,0.131,0.1298,0.13,638558.4
1673017200000,0.1301,0.1321,0.1301,0.132,633708.3
1673020800000,0.1319,0.1347,0.1315,0.1337,2624220.6
1673024400000,0.1338,0.1339,0.1325,0.1327,846664.6
1673028000000,0.1327,0.1338,0.1327,0.1335,399745.0
1673031600000,0.1335,0.1336,0.1319,0.1334,979192.2
1673035200000,0.1334,0.1342,0.1329,0.1332,650996.1
1673038800000,0.1333,0.1339,0.1332,0.1336,138597.0
1673042400000,0.1336,0.1345,0.1335,0.1344,150595.8
1673046000000,0.1344,0.1355,0.134,0.1347,832251.6
1673049600000,0.1346,0.1354,0.1344,0.1353,159314.8
1673053200000,0.1353,0.1357,0.135,0.1353,383478.3
1673056800000,0.1354,0.1359,0.1352,0.1353,183470.3
1673060400000,0.1354,0.136,0.135,0.1359,525932.6
1673064000000,0.1358,0.136,0.1351,0.1353,408698.7
1673067600000,0.1353,0.1356,0.1352,0.1355,426743.8
1673071200000,0.1355,0.1371,0.1352,0.1362,901444.8
1673074800000,0.1362,0.1377,0.1362,0.1377,412929.5
1673078400000,0.1378,0.1384,0.1361,0.1366,1580645.2
1673082000000,0.1367,0.1371,0.1366,0.1368,142017.9
1673085600000,0.1368,0.1375,0.1368,0.1375,457140.3
1673089200000,0.1374,0.1394,0.1374,0.1393,1994321.3
1673092800000,0.1393,0.1393,0.1368,0.137,1280305.5
1673096400000,0.1371,0.1379,0.1369,0.1376,460898.6
1673100000000,0.1377,0.1384,0.1376,0.1378,295406.5
1673103600000,0.1378,0.1381,0.1366,0.1368,495837.5
