date,open,high,low,close,volume
1672527600000,0.717,0.717,0.713,0.716,56541.8
1672531200000,0.716,0.717,0.711,0.713,30945.7
1672534800000,0.712,0.714,0.711,0.712,51316.1
1672538400000,0.712,0.715,0.711,0.714,24880.2
1672542000000,0.714,0.714,0.713,0.714,16699.6
1672545600000,0.713,0.714,0.708,0.708,35380.0
1672549200000,0.708,0.71,0.707,0.709,46772.1
1672552800000,0.709,0.71,0.708,0.71,20571.1
1672556400000,0.71,0.71,0.706,0.707,24466.5
1672560000000,0.707,0.708,0.705,0.707,21734.3
1672563600000,0.706,0.71,0.706,0.709,27455.9
1672567200000,0.709,0.71,0.708,0.709,15028.0
1672570800000,0.71,0.712,0.71,0.712,25587.4
1672574400000,0.712,0.714,0.711,0.714,31031.8
1672578000000,0.713,0.714,0.712,0.713,34334.2
1672581600000,0.713,0.716,0.713,0.715,31186.1
1672585200000,0.714,0.718,0.714,0.716,81729.8
1672588800000,0.717,0.718,0.713,0.713,53537.6
1672592400000,0.714,0.716,0.714,0.715,26243.9
1672596000000,0.715,0.718,0.715,0.717,20028.4
1672599600000,0.717,0.721,0.717,0.72,26648.4
1672603200000,0.72,0.721,0.719,0.719,34094.1
1672606800000,0.72,0.72,0.717,0.719,13264.2
1672610400000,0.719,0.72,0.718,0.718,11820.0
1672614000000,0.719,0.721,0.717,0.719,28118.2
1672617600000,0.719,0.72,0.715,0.715,37769.7
1672621200000,0.715,0.715,0.707,0.71,165822.9
1672624800000,0.71,0.715,0.71,0.715,19279.1
1672628400000,0.715,0.722,0.715,0.719,21086.9
1672632000000,0.72,0.723,0.719,0.719,42187.7
1672635600000,0.719,0.721,0.719,0.719,39402.4
1672639200000,0.72,0.722,0.72,0.72,16584.3
1672642800000,0.721,0.735,0.721,0.727,320426.1
1672646400000,0.727,0.731,0.726,0.727,93248.9
1672650000000,0.728,0.73,0.727,0.727,41042.7
1672653600000,0.727,0.731,0.725,0.726,108682.7
1672657200000,0.727,0.73,0.723,0.729,153695.0
1672660800000,0.73,0.732,0.728,0.729,59700.3
1672664400000,0.729,0.731,0.728,0.729,69851.9
1672668000000,0.73,0.733,0.729,0.733,48417.0
1672671600000,0.734,0.74,0.731,0.737,96044.6
1672675200000,0.738,0.738,0.732,0.733,46438.3
1672678800000,0.733,0.737,0.733,0.736,24992.2
1672682400000,0.738,0.74,0.736,0.738,31536.0
1672686000000,0.738,0.744,0.738,0.743,76431.7
1672689600000,0.743,0.744,0.74,0.741,49749.0
1672693200000,0.741,0.746,0.74,0.744,33720.6
1672696800000,0.744,0.745,0.738,0.74,54231.1
1672700400000,0.739,0.743,0.737,0.739,57006.8
1672704000000,0.739,0.745,0.738,0.743,49210.4
1672707600000,0.743,0.743,0.735,0.739,81079.9
1672711200000,0.738,0.739,0.737,0.737,28092.3
1672714800000,0.736,0.74,0.736,0.739,38286.9
1672718400000,0.74,0.741,0.739,0.74,33264.4
1672722000000,0.739,0.743,0.739,0.742,27550.0
1672725600000,0.743,0.747,0.743,0.743,52115.1
1672729200000,0.744,0.745,0.742,0.745,26980.4
1672732800000,0.746,0.747,0.74,0.742,69057.7
1672736400000,0.742,0.745,0.74,0.744,42950.0
1672740000000,0.744,0.745,0.742,0.744,51937.8
1672743600000,0.744,0.748,0.743,0.744,130945.3
1672747200000,0.745,0.75,0.742,0.748,149386.3
1672750800000,0.748,0.759,0.748,0.757,545944.1
1672754400000,0.757,0.759,0.75,0.751,305616.0
