date,open,high,low,close,volume
1672527600000,9.2,9.24,9.15,9.22,1474.15
1672531200000,9.23,9.23,9.16,9.22,2257.71
1672534800000,9.23,9.25,9.16,9.23,1149.95
1672538400000,9.22,9.26,9.21,9.26,651.01
1672542000000,9.26,9.27,9.22,9.26,855.98
1672545600000,9.26,9.3,9.23,9.24,2988.02
1672549200000,9.24,9.27,9.21,9.23,2139.01
1672552800000,9.22,9.34,9.22,9.28,2079.26
1672556400000,9.28,9.33,9.28,9.31,2184.71
1672560000000,9.3,9.31,9.27,9.28,1833.98
1672563600000,9.28,9.34,9.28,9.33,1982.45
1672567200000,9.33,9.37,9.32,9.34,1698.42
1672570800000,9.34,9.38,9.32,9.35,2691.74
1672574400000,9.35,9.4,9.35,9.37,2241.85
1672578000000,9.38,9.45,9.32,9.37,8391.5
1672581600000,9.38,9.43,9.36,9.37,7932.04
1672585200000,9.37,9.38,9.36,9.37,537.84
1672588800000,9.38,9.41,9.36,9.38,1216.93
1672592400000,9.37,9.41,9.37,9.39,1401.13
1672596000000,9.38,9.43,9.38,9.42,1653.58
1672599600000,9.42,9.43,9.4,9.41,422.09
1672603200000,9.42,9.46,9.4,9.45,763.75
1672606800000,9.44,9.47,9.43,9.46,1149.59
1672610400000,9.45,9.48,9.42,9.42,1210.55
1672614000000,9.43,9.47,9.41,9.41,2098.95
1672617600000,9.4,9.41,9.32,9.34,1924.71
1672621200000,9.32,9.39,9.23,9.29,6613.84
1672624800000,9.28,9.37,9.28,9.31,1477.61
1672628400000,9.32,9.35,9.29,9.34,1527.52
1672632000000,9.34,9.34,9.29,9.3,1175.92
1672635600000,9.3,9.32,9.29,9.3,946.12
1672639200000,9.3,9.31,9.29,9.3,396.53
1672642800000,9.3,9.53,9.29,9.44,16686.84
1672646400000,9.44,9.49,9.43,9.48,2004.97
1672650000000,9.48,9.49,9.46,9.47,1765.76
1672653600000,9.46,9.51,9.45,9.51,2558.94
1672657200000,9.51,9.51,9.46,9.48,2443.81
1672660800000,9.48,9.53,9.48,9.48,753.16
1672664400000,9.49,9.49,9.39,9.42,1534.8
1672668000000,9.41,9.42,9.35,9.38,1884.92
1672671600000,9.36,9.42,9.34,9.4,2602.86
1672675200000,9.39,9.4,9.35,9.35,1469.02
1672678800000,9.34,9.38,9.29,9.35,1350.2
1672682400000,9.36,9.38,9.33,9.34,323.21
1672686000000,9.34,9.36,9.33,9.35,552.03
1672689600000,9.36,9.46,9.35,9.41,1489.97
1672693200000,9.42,9.49,9.39,9.45,2322.67
1672696800000,9.44,9.44,9.36,9.38,764.04
1672700400000,9.36,9.41,9.34,9.4,1554.87
1672704000000,9.4,9.44,9.39,9.42,914.04
1672707600000,9.42,9.42,9.31,9.31,1427.23
1672711200000,9.31,9.31,9.26,9.27,2658.41
1672714800000,9.27,9.31,9.18,9.28,11832.09
1672718400000,9.28,9.29,9.26,9.26,2383.79
1672722000000,9.27,9.3,9.25,9.29,1126.55
1672725600000,9.28,9.32,9.26,9.27,900.73
1672729200000,9.27,9.27,9.2,9.24,1725.46
1672732800000,9.23,9.23,9.11,9.15,3123.36
1672736400000,9.14,9.19,9.12,9.14,1924.23
1672740000000,9.14,9.14,9.04,9.12,7496.41
1672743600000,9.11,9.14,9.06,9.07,4169.79
1672747200000,9.08,9.11,9.06,9.08,2498.52
1672750800000,9.08,9.1,9.04,9.05,1831.94
1672754400000,9.05,9.11,9.0,9.01,4956.07
1672758000000,9.01,9.1,8.98,9.09,7008.23
1672761600000,9.09,9.18,9.05,9.06,3043.62
1672765200000,9.06,9.13,9.03,9.05,3206.89
1672768800000,9.05,9.06,9.02,9.05,1642.21
1672772400000,9.05,9.06,9.01,9.04,2555.14
1672776000000,9.03,9.05,9.01,9.03,788.56
1672779600000,9.02,9.05,9.0,9.03,2297.06
1672783200000,9.03,9.04,9.0,9.02,2659.72
1672786800000,9.03,9.03,9.0,9.0,2730.42
1672790400000,9.0,9.01,8.97,9.01,3833.25
1672794000000,9.01,9.19,8.99,9.12,9991.2
1672797600000,9.12,9.34,9.09,9.25,8663.14
1672801200000,9.25,9.37,9.25,9.31,10735.38
1672804800000,9.32,9.36,9.27,9.3,2930.88
1672808400000,9.3,9.32,9.23,9.32,2884.39
1672812000000,9.32,9.34,9.3,9.33,1582.95
1672815600000,9.32,9.35,9.25,9.28,2873.97
1672819200000,9.27,9.29,9.2,9.26,3934.8
1672822800000,9.26,9.27,9.22,9.25,3633.19
1672826400000,9.25,9.26,9.23,9.25,2497.88
1672830000000,9.25,9.27,9.24,9.26,4634.03
1672833600000,9.25,9.3,9.23,9.23,3787.47
1672837200000,9.23,9.26,9.21,9.24,4599.03
1672840800000,9.24,9.26,9.2,9.22,3554.29
1672844400000,9.22,9.25,9.08,9.24,10480.18
1672848000000,9.24,9.24,9.14,9.16,4468.91
1672851600000,9.16,9.19,9.12,9.12,3297.3
1672855200000,9.11,9.12,9.08,9.08,3982.59
1672858800000,9.08,9.08,8.91,8.93,10644.41
1672862400000,8.93,8.94,8.83,8.85,6811.02
1672866000000,8.86,8.89,8.86,8.88,2650.41
1672869600000,8.88,8.96,8.87,8.95,3613.29
1672873200000,8.96,9.02,8.95,9.0,7344.6
1672876800000,8.99,9.17,8.98,9.08,9845.63
1672880400000,9.07,9.25,9.07,9.18,12627.93
1672884000000,9.19,9.2,9.1,9.13,5262.68
1672887600000,9.13,9.14,9.05,9.08,3883.28
1672891200000,9.08,9.15,9.07,9.09,3920.51
1672894800000,9.09,9.13,9.05,9.07,3558.48
1672898400000,9.07,9.08,8.96,8.97,8628.83
1672902000000,8.97,9.0,8.91,9.0,11988.46
1672905600000,8.99,8.99,8.91,8.94,3466.56
1672909200000,8.94,8.94,8.8,8.86,6050.53
1672912800000,8.85,8.92,8.83,8.89,2824.68
1672916400000,8.88,8.89,8.84,8.86,2074.55
1672920000000,8.86,8.88,8.84,8.88,1710.6
1672923600000,8.88,8.88,8.8,8.81,5834.2
1672927200000,8.81,8.86,8.79,8.85,4619.16
1672930800000,8.85,8.92,8.85,8.92,4954.99
1672934400000,8.91,8.97,8.9,8.92,4767.53
1672938000000,8.93,8.94,8.88,8.88,983.91
1672941600000,8.88,8.92,8.88,8.9,1435.91
1672945200000,8.9,8.9,8.87,8.89,1204.25
1672948800000,8.89,8.91,8.86,8.87,1281.33
1672952400000,8.87,8.88,8.84,8.84,1809.71
1672956000000,8.84,8.84,8.82,8.82,644.13
1672959600000,8.82,8.83,8.69,8.73,24240.8
1672963200000,8.73,8.78,8.7,8.77,6901.91
1672966800000,8.76,8.76,8.61,8.64,12334.19
1672970400000,8.65,8.66,8.62,8.65,3908.32
1672974000000,8.64,8.66,8.61,8.62,2303.1
1672977600000,8.61,8.61,8.44,8.5,18829.11
1672981200000,8.5,8.5,8.46,8.47,2905.2
1672984800000,8.47,8.49,8.4,8.42,10595.77
1672988400000,8.42,8.46,8.41,8.44,2358.56
