date,open,high,low,close,volume
1672527600000,0.1483,0.1484,0.1478,0.1479,210356.0
1672531200000,0.1479,0.1479,0.1476,0.1477,167485.0
1672534800000,0.1477,0.148,0.1477,0.148,22863.0
1672538400000,0.1479,0.1486,0.1479,0.1485,56707.0
1672542000000,0.1483,0.149,0.1483,0.149,243078.0
1672545600000,0.1492,0.1492,0.1484,0.1485,110919.0
1672549200000,0.1487,0.149,0.1487,0.1489,39627.0
1672552800000,0.149,0.1491,0.1489,0.149,30968.0
1672556400000,0.1491,0.1492,0.1488,0.1492,21244.0
1672560000000,0.1493,0.1494,0.1492,0.1492,44398.0
1672563600000,0.1492,0.1495,0.1489,0.1493,50638.0
1672567200000,0.1494,0.1494,0.1493,0.1494,34079.0
1672570800000,0.1494,0.1496,0.1492,0.1492,78230.0
1672574400000,0.1493,0.1494,0.1492,0.1492,73555.0
1672578000000,0.1493,0.1494,0.149,0.1494,38382.0
1672581600000,0.1494,0.1497,0.1494,0.1497,18485.0
1672585200000,0.1498,0.1499,0.1498,0.1499,12276.0
1672588800000,0.1499,0.1501,0.1496,0.1496,81790.0
1672592400000,0.1496,0.1501,0.1496,0.1498,34726.0
1672596000000,0.1497,0.1504,0.1497,0.1502,51546.0
1672599600000,0.1501,0.1505,0.1501,0.1504,40066.0
1672603200000,0.1504,0.1509,0.1503,0.1509,91609.0
1672606800000,0.1508,0.1508,0.1506,0.1508,29747.0
1672610400000,0.1508,0.151,0.1505,0.1505,84604.0
1672614000000,0.1506,0.1511,0.1504,0.1506,92103.0
1672617600000,0.1507,0.1508,0.15,0.15,121122.0
1672621200000,0.15,0.15,0.148,0.149,451165.0
1672624800000,0.1489,0.1491,0.1487,0.1489,69325.0
1672628400000,0.1489,0.1498,0.1489,0.1496,147301.0
1672632000000,0.1497,0.1499,0.1495,0.1496,136628.0
1672635600000,0.1498,0.1501,0.1498,0.1501,30760.0
1672639200000,0.1502,0.1503,0.1501,0.1502,8748.0
